AJvRBg,,U2FsaW0gSGFtaWQ=,,,,,TcODwqFxdWluYSBkZSBWZW5kYXMgUXVlYnJhZGE=,,U2FsaW0gSGFtaWQ=
dJvRBg,,W1N0ZXdhcmQgQXlkaW5dCkRpZCBIYW1pZCBzZW5kIHlvdT8gSGVsbG8uIEknbSBhIGJpdCBidXN5IG1hbmFnaW5nIGFjY291bnRzIHJpZ2h0IG5vdy4gTGV0IG1lIGZpbmlzaCB0aGlzIGFuZCBnZXQgYmFjayB0byB5b3Uu,,,,,W01vcmRvbW8gQWlkaW5dCk1lc3RyZSBIYW1pZCBlbnZpb3Ugdm9jw4PCqi4gUHJhemVyIGVtIGNvbmhlY2VyIHZvY8ODwqouIEV1IHRlbmhvIGFsZ3VtYXMgY29udGFzIHBhcmEgZmF6ZXIsIG1hcyB2b3UgbGliZXJhciB1bSB0ZW1wbyBwYXJhIHZvY8ODwqou,,W01heW9yZG9tbyBBeWRpbl0Kwr9UZSBlbnZpw7MgSGFtaWQ/IEhvbGEuIEFob3JhIG1pc21vIGVzdG95IHVuIHBvY28gb2N1cGFkbyBnZXN0aW9uYW5kbyBjdWVudGFzLiBEw6lqYW1lIHRlcm1pbmFyIGNvbiBlc3RvIHkgdGUgY29udGVzdG8u
dZvRBg,,W1N0ZXdhcmQgQXlkaW5dClRoZXJlIGFyZSBwbGVudHkgb2Ygd2F5cyB0byBtYWtlIGEgcHJvZml0LiBCbGFja21haWwsIGJyaWJlcnksIGJsYWNrIG1hcmtldCBkZWFsaW5ncy4uLg==,,,,,W01vcmRvbW8gQWlkaW5dCkV4aXN0ZW0gbXVpdGFzIG1hbmVpcmFzIGRlIGx1Y3JhciBjb21vIGFsZ3XDg8KpbSBkZSBuZWfDg8KzY2lvcy4gQ29lcsODwqfDg8Kjbywgc3Vib3JubywgY29tw4PCqXJjaW8gaWxlZ2FsLi4u,,W01heW9yZG9tbyBBeWRpbl0KSGF5IG11Y2hhcyBmb3JtYXMgZGUgb2J0ZW5lciBnYW5hbmNpYXMuIENoYW50YWplLCBzb2Jvcm5vLCBuZWdvY2lvcyBlbiBlbCBtZXJjYWRvIG5lZ3Jv4oCm
dpvRBg,,W1N0ZXdhcmQgQXlkaW5dCldoZW4gbmVjZXNzYXJ5LCB2aW9sZW5jZSwgYmxvb2RzaGVkLi4uICh0aGUgc3Rld2FyZCBzZWVtcyBsb3N0IGluIG5vc3RhbGdpYSk=,,,,,W01vcmRvbW8gQWlkaW5dCkF0w4PCqSBtZXNtbyB2aW9sw4PCqm5jaWEgZSBkZXJyYW1hbWVudG8gZGUgc2FuZ3VlLi4uIChPbGhhbmRvIHBhcmEgbyBuYWRhLCByZWxlbWJyYW5kbyk=,,W01heW9yZG9tbyBBeWRpbl0KWSwgY3VhbmRvIGhhZ2EgZmFsdGEsIHZpb2xlbmNpYSwgZGVycmFtYW1pZW50byBkZSBzYW5ncmXigKYgKGVsIG1heW9yZG9tbyBwYXJlY2UgcGVyZGlkbyBlbiBsYSBub3N0YWxnaWEp
d5vRBg,,W1N0ZXdhcmQgQXlkaW5dCk9oLCB3aGF0IHdhcyBJIHNheWluZy4uLj8KV2VsbCwgdGhvc2UgbWV0aG9kcyBhcmUgYSB0YWQgaWxsZWdhbCwgSSdtIGFmcmFpZC4gSWYgeW91J2QgbGlrZSB0byBtYWtlIG1vcmUgbW9uZXkgKGxlZ2FsbHkpLCB5b3UgaGF2ZSB0d28gc2tpbGxzIGF0IHlvdXIgZGlzcG9zYWw6IF4wMDAwRkZPdmVyY2hhcmdlIGFuZCBEaXNjb3VudF4wMDAwMDAu,,,,,W01vcmRvbW8gQWlkaW5dCkFoISBEbyBxdWUgZXUgZXN0YXZhIGZhbGFuZG8/ClBvciBmYXZvciwgZXNxdWXDg8KnYSBvIHF1ZSBldSBkaXNzZS4gVHVkbyBpc3NvIMODwqkgaWxlZ2FsLiBDb21vIHVtIE1lcmNhZG9yLCB2b2PDg8KqIHBvZGUgZ2FuaGFyIGRpbmhlaXJvIGNvbSBkdWFzIGhhYmlsaWRhZGVzLiBeMDAwMENEU3VwZXJmYXR1cmFyIGUgRGVzY29udG9eMDAwMDAwLg==,,W01heW9yZG9tbyBBeWRpbl0KRWgsIMK/cXXDqSBlc3RhYmEgZGljaWVuZG/igKY/Ck1lIHRlbW8gcXVlIGVzb3MgbcOpdG9kb3Mgc29uIHVuIHBvY28gaWxlZ2FsZXMuIFNpIHF1aWVyZXMgZ2FuYXIgbcOhcyBkaW5lcm8gKGxlZ2FsbWVudGUpLCB0aWVuZXMgZG9zIGhhYmlsaWRhZGVzIGEgdHUgZGlzcG9zaWNpw7NuOiBeRkYwMDAwU29icmVjb3N0byB5IERlc2N1ZW50b14wMDAwMDAu
eJvRBg,,W1N0ZXdhcmQgQXlkaW5dCkFsc28sIHRoZXJlIGFyZSBza2lsbHMgc3VjaCBhcyBeMDAwMEZGUHVzaGNhcnQsIEluY3JlYXNlIENhcnJpYWJsZSBRdWFudGl0eSwgU3RyZWV0IFN0YWxsLCBhbmQgSXRlbSBBcHByYWlzYWxeMDAwMDAwLiBUaGVzZSB3aWxsIGhlbHAgeW91IGEgYml0IG1vcmUgaW5kaXJlY3RseSBpbiB5b3VyIHByb2ZpdC1zZWVraW5nIHZlbnR1cmVzLg==,,,,,W01vcmRvbW8gQWlkaW5dCkV4aXN0ZW0gb3V0cmFzIGhhYmlsaWRhZGVzIHF1ZSBuw4PCo28gZXN0w4PCo28gZGlyZXRhbWVudGUgcmVsYWNpb25hZGFzIGEgdmVuZGFzLCBtYXMgcXVlIHPDg8KjbyDDg8K6dGVpcywgY29tbyBeMDAwMENEVXNhciBDYXJyaW5obywgQXVtZW50YXIgQ2FwYWNpZGFkZSBkZSBDYXJnYSwgQ29tw4PCqXJjaW8gZSBJZGVudGlmaWNhciBJdGVtXjAwMDAwMC4=,,W01heW9yZG9tbyBBeWRpbl0KVGFtYmnDqW4gaGF5IGhhYmlsaWRhZGVzIGNvbW8gXkZGMDAwMFVzbyBkZSBjYXJybywgQW1wbGlhciBsw61taXRlIGRlIHBlc28sIFZlbmRlZG9yIHkgVmFsb3JhY2nDs24gZGUgb2JqZXRvc14wMDAwMDAuIEVzdGFzIGhhYmlsaWRhZGVzIHRlIGF5dWRhcsOhbiBkZSBmb3JtYSB1biBwb2NvIG3DoXMgaW5kaXJlY3RhIGVuIHR1IGLDunNxdWVkYSBkZSBnYW5hbmNpYXMu
eZvRBg,,W1N0ZXdhcmQgQXlkaW5dCkFueSBxdWVzdGlvbnMgc28gZmFyPw==,,,,,W01vcmRvbW8gQWlkaW5dClZvY8ODwqogdGVtIGFsZ3VtYSBwZXJndW50YSBzb2JyZSBhbGd1bWEgZGVzc2FzIGhhYmlsaWRhZGVzPw==,,W01heW9yZG9tbyBBeWRpbl0Kwr9BbGd1bmEgcHJlZ3VudGE/
epvRBg,,T3ZlcmNoYXJnZS9EaXNjb3VudA==,,,,,RXUgasODwqEgc2VpIHR1ZG8u,,U29icmVjb3N0by9EZXNjdWVudG8=
e5vRBg,,SW5jcmVhc2UgQ2FycmlhYmxlIFF1YW50aXR5L1B1c2hjYXJ0IC9WZW5kaW5n,,,,,U3VwZXJmYXR1cmFyL0Rlc2NvbnRv,,QW1wbGlhciBsw61taXRlIGRlIHBlc28vVXNvIGRlIGNhcnJvL1ZlbmRlZG9y
fJvRBg,,SXRlbSBBcHByYWlzYWw=,,,,,QXVtZW50YXIgQ2FwYWNpZGFkZSBkZSBDYXJnYS9Vc2FyIENhcnJpbmhvL0NvbcODwqlyY2lv,,VmFsb3JhY2nDs24gZGUgb2JqZXRvcw==
fZvRBg,,W1N0ZXdhcmQgQXlkaW5dCkFyZSB5b3Ugc3VyZT8=,,,,,SWRlbnRpZmljYXIgSXRlbQ==,,W01heW9yZG9tbyBBeWRpbl0Kwr9MbyBkaWNlcyBlbiBzZXJpbz8=
fpvRBg,,QWN0dWFsbHksIGNvdWxkIHlvdSBnbyBvdmVyIHRoYXQgb25lIG1vcmUgdGltZT8=,,,,,W01vcmRvbW8gQWlkaW5dClRlbSBjZXJ0ZXphPw==,,RGUgaGVjaG8sIMK/cG9kcsOtYXMgcmVwYXNhcmxvIHVuYSB2ZXogbcOhcz8=
f5vRBg,,W1N0ZXdhcmQgQXlkaW5dClJlYWxseT8gQWxsIHJpZ2h0LCB0aGVuLiBJIHNlZSB0aGF0IHlvdSBwcmVmZXIgcHJhY3RpY2UgdG8gdGhlb3J5Lg==,,,,,TsODwqNvLiBQb3IgZmF2b3IsIG1lIGRpZ2Eu,,W01heW9yZG9tbyBBeWRpbl0Kwr9EZSB2ZXJkYWQ/IE11eSBiaWVuLiBWZW8gcXVlIHByZWZpZXJlcyBsYSBwcsOhY3RpY2EgZW4gdmV6IGRlIGxhIHRlb3LDrWEu
gJvRBg,,W1N0ZXdhcmQgQXlkaW5dCkFoLCBJIG11c3QgaGF2ZSBtaXNoZWFyZCB5b3UuIFRoZW4sIEknbGwgY29udGludWUgd2l0aCB0aGUgbGVzc29uLg==,,,,,W01vcmRvbW8gQWlkaW5dCkFoLCBlbnTDg8KjbyBuw4PCo28gdGVtIG5hZGEgcXVlIHZvY8ODwqogcXVlaXJhIHNhYmVyLiBWb2PDg8KqIHByZWZlcmUgYSBwcsODwqF0aWNhIMODwqAgdGVvcmlhLCBuw4PCo28gw4PCqT8=,,W01heW9yZG9tbyBBeWRpbl0KQWgsIGRlYm8gaGFiZXJ0ZSBvw61kbyBtYWwuIEVudG9uY2VzLCBjb250aW51YXLDqSBjb24gbGEgbGVjY2nDs24u
gZvRBg,,W1N0ZXdhcmQgQXlkaW5dCk92ZXJjaGFyZ2UgYW5kIERpc2NvdW50IGFyZSB2ZXJ5IHNpbXBsZS4=,,,,,W01vcmRvbW8gQWlkaW5dCkFoLCBldSBlbnRlbmRpIGVycmFkbywgZW50w4PCo28uIENlcnRvLCB2YW1vcyByZXZlciBvIG5vc3NvIGN1cnNvLg==,,W01heW9yZG9tbyBBeWRpbl0KU29icmVjb3N0byB5IERlc2N1ZW50byBzb24gbXV5IHNlbmNpbGxvcy4=
gpvRBg,,W1N0ZXdhcmQgQXlkaW5dClRoZXkgYXJlIHBhc3NpdmUgc2tpbGxzLCB3aGljaCBtZWFucyB5b3UgZG9uJ3QgaGF2ZSB0byBkbyBhbnl0aGluZyBpbiBvcmRlciB0byB1c2UgdGhlbSwge30uIFRoZXkgd2lsbCBiZSBhcHBsaWVkIGF1dG9tYXRpY2FsbHkgd2hlbiB5b3UgdHJhZGUgd2l0aCBhbiBOUEMu,,,,,W01vcmRvbW8gQWlkaW5dCsOD4oCwIGbDg8KhY2lsIHVzYXIgU3VwZXJmYXR1cmFyIGUgRGVzY29udG8u,,W01heW9yZG9tbyBBeWRpbl0KU29uIGhhYmlsaWRhZGVzIHBhc2l2YXMsIGxvIHF1ZSBzaWduaWZpY2EgcXVlIG5vIHRpZW5lcyBxdWUgaGFjZXIgbmFkYSBwYXJhIHVzYXJsYXMsIHt9LiBTZSBhcGxpY2Fyw6FuIGF1dG9tw6F0aWNhbWVudGUgY3VhbmRvIGNvbWVyY2llcyBjb24gdW4gUE5KLg==
g5vRBg,,W1N0ZXdhcmQgQXlkaW5dCk9uY2UgeW91IGxlYXJuIE92ZXJjaGFyZ2UsIHlvdSB3aWxsIGJlIGFibGUgdG8gZWFybiBzb21lIG1vcmUgbW9uZXkgd2hlbiB5b3Ugc2VsbCB0aGluZ3MgdG8gbWVyY2hhbnQgTlBDcy4=,,,,,W01vcmRvbW8gQWlkaW5dCk5hIHZlcmRhZGUsIGVzc2FzIGR1YXMgaGFiaWxpZGFkZXMgc8ODwqNvIHBhc3NpdmFzLCBvIHF1ZSBzaWduaWZpY2EgcXVlIHZvY8ODwqosIHt9LCBuw4PCo28gcHJlY2lzYSBwZW5zYXIgZW0gdXPDg8KhLWxhcyB0b2RhIHZleiBxdWUgbmVnb2NpYXIgY29tIG1lcmNhZG9yZXMgTlBDcy4=,,W01heW9yZG9tbyBBeWRpbl0KVW5hIHZleiBxdWUgYXByZW5kYXMgU29icmVjb3N0bywgcG9kcsOhcyBnYW5hciBhbGdvIG3DoXMgZGUgZGluZXJvIGN1YW5kbyB2ZW5kYXMgY29zYXMgYSBsb3MgUE5KIGNvbWVyY2lhbnRlcy4=
hJvRBg,,W1N0ZXdhcmQgQXlkaW5dCk9uIHRoZSBmbGlwIHNpZGUgb2YgdGhlIGNvaW4sIHlvdSBjYW4gcHVyY2hhc2UgdGhpbmdzIGF0IGxvd2VyIHByaWNlcyBmcm9tIG1lcmNoYW50IE5QQ3MgdXNpbmcgdGhlIERpc2NvdW50IHNraWxsLg==,,,,,W01vcmRvbW8gQWlkaW5dClN1cGVyZmF0dXJhciBwZXJtaXRlIHF1ZSB2b2PDg8KqIHZlbmRhIGl0ZW5zIHBhcmEgbG9qYXMgZGUgTlBDIGNvbSB1bSBwcmXDg8KnbyBhbHRvLCBkZXBlbmRlbmRvIGRvIG7Dg8KtdmVsLg==,,W01heW9yZG9tbyBBeWRpbl0KUG9yIG90cm8gbGFkbywgcHVlZGVzIGNvbXByYXIgY29zYXMgYSBwcmVjaW9zIG3DoXMgYmFqb3MgYSBsb3MgUE5KIGNvbWVyY2lhbnRlcyB1c2FuZG8gbGEgaGFiaWxpZGFkIERlc2N1ZW50by4=
hZvRBg,,W1N0ZXdhcmQgQXlkaW5dClRob3NlIHR3byBza2lsbHMgb25seSB3b3JrIG9uIGF2ZXJhZ2UgbWVyY2hhbnQgTlBDcy4gVGhleSB3b24ndCB3b3JrIG9uIGNyYWZ0aW5nIE5QQ3Mgb3Igb3RoZXIgYWR2ZW50dXJlcnMu,,,,,W01vcmRvbW8gQWlkaW5dCkRlc2NvbnRvIGZ1bmNpb25hIGRhIG1lc21hIG1hbmVpcmEsIG1hcyBhbyBjb250csODwqFyaW8uIFZvY8ODwqogcG9kZSBjb21wcmFyIGl0ZW5zIGRlIGxvamFzIGRlIE5QQ3MgcG9yIHByZcODwqdvcyBtZW5vcmVzLg==,,W01heW9yZG9tbyBBeWRpbl0KQW1iYXMgaGFiaWxpZGFkZXMgZnVuY2lvbmFuIGNvbiBsb3MgUE5KIGNvbWVyY2lhbnRlcyByZWd1bGFyZXMuIE5vIGZ1bmNpb25hcsOhbiBjb24gUE5KIGZhYnJpY2FudGVzIG5pIGNvbiBvdHJvcyB0cm90YW11bmRvcy4=
hpvRBg,,W1N0ZXdhcmQgQXlkaW5dCkFueXRoaW5nIGVsc2U/,,,,,W01vcmRvbW8gQWlkaW5dClNhaWJhIHF1ZSBlc3NhcyBkdWFzIGhhYmlsaWRhZGVzIHPDg8KjbyBlc3RyaXRhbWVudGUgcGFyYSBuZWdvY2lhw4PCp8ODwrVlcyBjb20gbWVyY2Fkb3JlcyBOUENzLiBFbGFzIG7Dg8KjbyBzZSBhcGxpY2FtIGFvcyBOUENzIGRlIGNyaWHDg8Knw4PCo28gb3Ugb3V0cm9zIGF2ZW50dXJlaXJvcy4=,,W01heW9yZG9tbyBBeWRpbl0Kwr9BbGdvIG3DoXM/
h5vRBg,,W1N0ZXdhcmQgQXlkaW5dCkVubGFyZ2UgV2VpZ2h0IExpbWl0LCBQdXNoY2FydCwgYW5kIFZlbmRpbmcgYXJlIGNsb3NlbHkgcmVsYXRlZCB0byBlYWNoIG90aGVyLg==,,,,,W01vcmRvbW8gQWlkaW5dCk1haXMgYWxndW1hIHBlcmd1bnRhPw==,,W01heW9yZG9tbyBBeWRpbl0KQW1wbGlhciBsw61taXRlIGRlIHBlc28sIFVzbyBkZSBjYXJybyB5IFZlbmRlZG9yIGVzdMOhbiBlc3RyZWNoYW1lbnRlIHJlbGFjaW9uYWRvcyBlbnRyZSBzw60u
iJvRBg,,W1N0ZXdhcmQgQXlkaW5dCldpdGggXjAwMDBGRkVubGFyZ2UgV2VpZ2h0IExpbWl0XjAwMDAwMCwgeW91IGNhbiBeMDAwMEZGY2FycnkgbW9yZSB0aGluZ3NeMDAwMDAwLiBUaGlzIGlzIGEgcGFzc2l2ZSBza2lsbCwgb2YgY291cnNlLg==,,,,,W01vcmRvbW8gQWlkaW5dCkF1bWVudGFyIENhcGFjaWRhZGUgZGUgQ2FyZ2EsIFVzYXIgQ2FycmluaG8gZSBDb23Dg8KpcmNpby4gRXNzYXMgdHLDg8KqcyBoYWJpbGlkYWRlcyBlc3TDg8KjbyByZWxhY2lvbmFkYXMgZW50cmUgc2ku,,W01heW9yZG9tbyBBeWRpbl0KQ29uIF5GRjAwMDBBbXBsaWFyIGzDrW1pdGUgZGUgcGVzb14wMDAwMDAsIHB1ZWRlcyBeRkYwMDAwY2FyZ2FyIG3DoXMgY29zYXNeMDAwMDAwLiBQb3Igc3VwdWVzdG8sIHNlIHRyYXRhIGRlIHVuYSBoYWJpbGlkYWQgcGFzaXZhLg==
iZvRBg,,W1N0ZXdhcmQgQXlkaW5dCk9uY2UgdGhhdCBza2lsbCBsZXZlbCByZWFjaGVzIGEgY2VydGFpbiBwb2ludCwgXjAwMDBGRlB1c2hjYXJ0XjAwMDAwMCB3aWxsIGJlIGF2YWlsYWJsZS4gSXQgd2lsbCBhbGxvdyB5b3UgdG8gZXF1aXAgXjAwMDBGRmEgY2FydCB0aGF0IGNhbiBjYXJyeSBhIG1hc3NpdmUgYW1vdW50IG9mIGdvb2RzXjAwMDAwMC4g,,,,,W01vcmRvbW8gQWlkaW5dClByaW1laXJvLCBeMDAwMENEQXVtZW50YXIgQ2FwYWNpZGFkZSBkZSBDYXJnYV4wMDAwMDAuIEVsYSBsaXRlcmFsbWVudGUgXjAwMDBDRGF1bWVudGEgYSBzdWEgQ2FwYWNpZGFkZSBkZSBDYXJnYSBiw4PCoXNpY2FeMDAwMDAwLiBUYW1iw4PCqW0gw4PCqSB1bWEgaGFiaWxpZGFkZSBwYXNzaXZhIHF1ZSBkZXBvaXMgZGUgc2VyIGFwcmVuZGlkYSBwZXJtYW5lY2UgYXRpdmEu,,W01heW9yZG9tbyBBeWRpbl0KQ3VhbmRvIGVsIG5pdmVsIGRlIGVzdGEgaGFiaWxpZGFkIGFsY2FuY2UgY2llcnRvIHB1bnRvLCBlc3RhcsOhIGRpc3BvbmlibGUgXkZGMDAwMFVzbyBkZSBjYXJyb14wMDAwMDAuIFRlIHBlcm1pdGlyw6EgZXF1aXBhciBeRkYwMDAwdW4gY2Fycm8gcXVlIHB1ZWRlIHRyYW5zcG9ydGFyIHVuYSBlbm9ybWUgY2FudGlkYWQgZGUgb2JqZXRvc14wMDAwMDAuIA==
ipvRBg,,W1N0ZXdhcmQgQXlkaW5dCldoYXQncyBncmVhdCBhYm91dCBQdXNoY2FydCBpcyB0aGF0IGl0IGFsbG93cyB5b3UgdG8gY2FycnkgYSBsb3QgbW9yZSB0aGluZ3MsIGJ1dCB5b3VyIG1vdmVtZW50IHNwZWVkIHdpbGwgYmUgZGVjcmVhc2VkIGEgbGl0dGxlIGJpdCBvbmNlIHlvdSBlcXVpcCBpdC4=,,,,,W01vcmRvbW8gQWlkaW5dCkFvIGF0aW5naXIgdW0gY2VydG8gbsODwq12ZWwgZGUgQXVtZW50YXIgQ2FwYWNpZGFkZSBkZSBDYXJnYSwgdm9jw4PCqiBhcHJlbmRlIF4wMDAwQ0RVc2FyIENhcnJpbmhvXjAwMDAwMCwgcXVlIHBlcm1pdGUgZXF1aXBhciBeMDAwMENEdW0gY2FycmluaG8gcXVlIGZvcm5lY2UgdW0gaW52ZW50w4PCoXJpbyBhZGljaW9uYWxeMDAwMDAwLg==,,W01heW9yZG9tbyBBeWRpbl0KTG8gYnVlbm8gZGUgVXNvIGRlIGNhcnJvIGVzIHF1ZSB0ZSBwZXJtaXRlIGxsZXZhciBtdWNoYXMgbcOhcyBjb3NhcywgcGVybyB0dSB2ZWxvY2lkYWQgZGUgbW92aW1pZW50byBkaXNtaW51aXLDoSBzb2xvIHVuIHBvY28gY3VhbmRvIGxvIGVxdWlwZXMu
i5vRBg,,W1N0ZXdhcmQgQXlkaW5dCk9uY2UgeW91ciBQdXNoY2FydCBza2lsbCByZWFjaGVzIGEgY2VydGFpbiBsZXZlbCwgdGhlIF4wMDAwRkZWZW5kaW5nXjAwMDAwMCBza2lsbCB3aWxsIGJlIGF2YWlsYWJsZS4gWW91IGNhbiBtYW4gYSBzdHJlZXQgc3RhbGwgYW5kIHNlbGwgeW91ciB0aGluZ3MgbGlrZSBhIG1lcmNoYW50IE5QQyB3aXRoIHRoYXQgc2tpbGwu,,,,,W01vcmRvbW8gQWlkaW5dClVzYXIgQ2FycmluaG8gYWp1ZGEgYSBjYXJyZWdhciBtdWl0byBtYWlzIGl0ZW5zIGRvIHF1ZSB2b2PDg8KqIGNvbnNlZ3VpcmlhIHNlbSBlbGUsIG1hcyB0YW1iw4PCqW0gZGltaW51aSBhIHN1YSB2ZWxvY2lkYWRlIGRlIG1vdmltZW50by4=,,W01heW9yZG9tbyBBeWRpbl0KVW5hIHZleiBxdWUgbGEgaGFiaWxpZGFkIFVzbyBkZSBjYXJybyBsbGVndWUgYSBjaWVydG8gbml2ZWwsIGVzdGFyw6EgZGlzcG9uaWJsZSBsYSBoYWJpbGlkYWQgXkZGMDAwMFZlbmRlZG9yXjAwMDAwMC4gQ29uIGVzYSBoYWJpbGlkYWQsIHB1ZWRlcyBhdGVuZGVyIHVuIHB1ZXN0byBjYWxsZWplcm8geSB2ZW5kZXIgdHVzIGNvc2FzIGNvbW8gdW4gUE5KIGNvbWVyY2lhbnRlLg==
jJvRBg,,W1N0ZXdhcmQgQXlkaW5dCldpdGggdGhlIFZlbmRpbmcgc2tpbGwsIHlvdSB3b24ndCBoYXZlIHRvIGNoYXQgYW5kIHdhbmRlciBhcm91bmQgdG8gc2VsbCB5b3VyIHZhbHVhYmxlcy4gSnVzdCBlc3RhYmxpc2ggYSBzdHJlZXQgc3RhbGwsIHNldCB0aGUgcXVhbnRpdHkgeW91IHdhbnQgdG8gc2VsbCBhbmQgaXRzIHByaWNlLCB0aGVuIGdvIHRha2UgY2FyZSBvZiBvdGhlciBtYXR0ZXJzLg==,,,,,W01vcmRvbW8gQWlkaW5dCkFvIGF0aW5naXIgdW0gY2VydG8gbsODwq12ZWwgZGUgVXNhciBDYXJyaW5obywgdm9jw4PCqiBhcHJlbmRlIF4wMDAwQ0RDb23Dg8KpcmNpb14wMDAwMDAsIHF1ZSBwZXJtaXRlIGFicmlyIHVtYSBsb2phIG9uZGUgZXN0aXZlciwgdmVuZGVuZG8gc2V1cyBpdGVucyBwZWxvcyBwcmXDg8Knb3MgcXVlIHF1aXNlciwgYXNzaW0gY29tbyBvcyBOUENzIGZhemVtLg==,,W01heW9yZG9tbyBBeWRpbl0KQ29uIGxhIGhhYmlsaWRhZCBWZW5kZWRvciwgbm8gdGVuZHLDoXMgcXVlIGNoYXJsYXIgeSBkYXIgdnVlbHRhcyBwYXJhIHZlbmRlciB0dXMgb2JqZXRvcyBkZSB2YWxvci4gU29sbyB0aWVuZXMgcXVlIG1vbnRhciB1biBwdWVzdG8gY2FsbGVqZXJvLCBmaWphciBsYSBjYW50aWRhZCBxdWUgcXVpZXJlcyB2ZW5kZXIgeSBzdSBwcmVjaW8sIHkgbHVlZ28gb2N1cGFydGUgZGUgb3Ryb3MgYXN1bnRvcy4=
jZvRBg,,W1N0ZXdhcmQgQXlkaW5dCkZvciB1cyBtZXJjaGFudHMgd2hvIGFsd2F5cyBoYXZlIG91ciBleWVzIG9uIGEgZ29vZCBwcm9maXQsIHRoaXMgaXMgYW4gaW52YWx1YWJsZSBza2lsbC4=,,,,,W01vcmRvbW8gQWlkaW5dCkRlcG9pcyBkZSBhcHJlbmRlciBDb23Dg8KpcmNpbywgdm9jw4PCqiBuw4PCo28gcHJlY2lzYSBhbnVuY2lhciBzZXVzIGl0ZW5zIG5hIEphbmVsYSBkZSBDaGF0IG1hbnVhbG1lbnRlLiBWb2PDg8KqIHBvZGUgYXBlbmFzIHNlbGVjaW9uYXIgbyBwcmXDg8KnbyBlIGEgcXVhbnRpZGFkZSBkb3MgaXRlbnMgcXVlIGRlc2VqYSB2ZW5kZXIsIGFicmlyIHVtYSBsb2phIG9uZGUgZXN0aXZlciBlIGlyIGZhemVyIG91dHJhcyBjb2lzYXMu,,W01heW9yZG9tbyBBeWRpbl0KUGFyYSBsb3MgY29tZXJjaWFudGVzIHF1ZSBzaWVtcHJlIHRlbmVtb3MgbGEgdmlzdGEgcHVlc3RhIGVuIHVuIGJ1ZW5hIGdhbmFuY2lhLCBlc3RhIGVzIHVuYSBoYWJpbGlkYWQgZGUgdmFsb3IgaW5jYWxjdWxhYmxlLg==
jpvRBg,,W1N0ZXdhcmQgQXlkaW5dCkl0ZW0gQXBwcmFpc2FsIGlzbid0IHJlYWxseSBtYW5kYXRvcnkuIEl0J3MgYmVzdCB0byB0aGluayBvZiBpdCBhcyBhIHN1cHBsZW1lbnRhcnkgc2tpbGwu,,,,,W01vcmRvbW8gQWlkaW5dCkVzc2EgaGFiaWxpZGFkZSDDg8KpIG8gYXVnZSBkZSBzZXIgdW0gTWVyY2Fkb3Iu,,W01heW9yZG9tbyBBeWRpbl0KVmFsb3JhY2nDs24gZGUgb2JqZXRvcyBubyBlcyB1bmEgaGFiaWxpZGFkIG9ibGlnYXRvcmlhLCBlbiB2ZXJkYWQuIEVzIG1lam9yIGNvbnNpZGVyYXJsYSB1bmEgaGFiaWxpZGFkIGNvbXBsZW1lbnRhcmlhLg==
j5vRBg,,W1N0ZXdhcmQgQXlkaW5dCkl0IHJlbW92ZXMgdGhlIG5lZWQgdG8gcHVyY2hhc2UgTWFnbmlmaWVycyBmcm9tIHNob3BzIG9yIHRvIGNhcnJ5IE1hZ25pZmllcnMgYXJvdW5kIHdpdGggeW91Lg==,,,,,W01vcmRvbW8gQWlkaW5dCklkZW50aWZpY2FyIEl0ZW0gbsODwqNvIMODwqkgbmVjZXNzw4PCoXJpbywgbWFzIMODwrp0aWwgZGUgc2UgdGVyLg==,,W01heW9yZG9tbyBBeWRpbl0KQ29uIGVsbGEsIGVsaW1pbmFzIGxhIG5lY2VzaWRhZCBkZSBjb21wcmFyIGx1cGFzIGVuIGxhcyB0aWVuZGFzIG8gZGUgbGxldmFyIGx1cGFzIGVuY2ltYS4=
kJvRBg,,W1N0ZXdhcmQgQXlkaW5dCldpdGggdGhhdCBza2lsbCwgeW91IHdpbGwgYmUgYWJsZSB0byBpZGVudGlmeSBhbiB1bmlkZW50aWZpZWQgaXRlbSB3aXRob3V0IHRoZSB1c2Ugb2YgYSBNYWduaWZpZXIu,,,,,W01vcmRvbW8gQWlkaW5dClNlIHZvY8ODwqogbsODwqNvIHBvZGUgY29tcHJhciBMZW50ZXMgZGUgQXVtZW50byB2ZW5kaWRhcyBuYXMgbG9qYXMgb3UgcXVlciBwb3VwYXIgc2V1IGVzcGHDg8KnbyBkZSBpbnZlbnTDg8KhcmlvIHBhcmEgb3V0cmEgY29pc2Es,,W01heW9yZG9tbyBBeWRpbl0KQ29uIGVzYSBoYWJpbGlkYWQsIHBvZHLDoXMgaWRlbnRpZmljYXIgdW4gb2JqZXRvIG5vIGlkZW50aWZpY2FkbyBzaW4gdGVuZXIgcXVlIHVzYXIgdW5hIEx1cGEu
