IGwwDA,,Q2FjdGVyb24=,,,,,S2FjdGVyb24=,,Q2FjdGVyb24=
dmwwDA,,W3swfV0KQ2FjdGVyb24gc2FpZCBoZSBwcm9iYWJseSBjb3VsZG4ndCBmaW5kIGFsbCBzZXZlbi4uLgpUaGlzIHNob3VsZCBiZSBlbm91Z2guIExldCdzIGhlYWQgYmFjayB0byB0aGUgdmlsbGFnZSBhbmQgcmVwb3J0IHRvIENhY3Rlcm9uLg==,,,,,W3swfV0KS2FjdGVyb24gZGlzc2UgcXVlIHByb3ZhdmVsbWVudGUgbsOjbyBjb25zZWd1aXJpYSBlbmNvbnRyYXIgdG9kb3Mgb3Mgc2V0ZS4uLgpJc3NvIGRldmUgc2VyIG8gc3VmaWNpZW50ZS4gVmFtb3Mgdm9sdGFyIHBhcmEgYSB2aWxhIGUgcmVwb3J0YXIgw6AgS2FjdGVyb24u,,W3swfV0KQ2FjdGVyb24gZGlqbyBxdWUgcHJvYmFibGVtZW50ZSBubyBwb2Ryw61hIGVuY29udHJhciBsb3Mgc2lldGUuLi4KRXN0byBkZWJlcsOtYSBzZXIgc3VmaWNpZW50ZS4gUmVncmVzZW1vcyBhbCBwdWVibG8gZSBpbmZvcm1lbW9zIGEgQ2FjdGVyb24u
d2wwDA,,W3swfV0KT2ggcmlnaHQsIG11c3Qgbm90IGZvcmdldCB0byBodW50IHRoaXJ0eSBjb3lvdGVzLg==,,,,,W3swfV0KQWgsIGNlcnRvLCBuw6NvIGRldm8gZXNxdWVjZXIgZGUgY2HDp2FyIHRyaW50YSBjb2lvdGVzLg==,,W3swfV0KQWgsIGNpZXJ0bywgbm8gZGVibyBvbHZpZGFyIGNhemFyIHRyZWludGEgY295b3Rlcy4=
eGwwDA,,W3swfV0KSSB3YXMgbG9va2luZyBmb3IgdGhlIGp1aWNlIG1peCBwYWNrYWdlIGZyb20gdGhlIHN0YXJ0LiBUaGF0IG1lYW5zIEkga25ldyBzb21lb25lIGhhZCBsb3N0IGEganVpY2UgbWl4IHBhY2thZ2Uu,,,,,W3swfV0KRXUgZXN0YXZhIHByb2N1cmFuZG8gbyBwYWNvdGUgZGUgbWlzdHVyYSBkZSBzdWNvIGRlc2RlIG8gY29tZcOnby4gSXNzbyBzaWduaWZpY2EgcXVlIGV1IHNhYmlhIHF1ZSBhbGd1w6ltIHRpbmhhIHBlcmRpZG8gdW0gcGFjb3RlIGRlIG1pc3R1cmEgZGUgc3Vjby4=,,W3swfV0KRXN0YWJhIGJ1c2NhbmRvIGVsIHBhcXVldGUgZGUgcHJlcGFyYWRvIGRlc2RlIGVsIHByaW5jaXBpby4gRXNvIHNpZ25pZmljYSBxdWUgc2Fiw61hIHF1ZSBhbGd1aWVuIGhhYsOtYSBwZXJkaWRvIHVuIHBhcXVldGUgZGUgcHJlcGFyYWRvLg==
eWwwDA,,W3swfV0KQW5kIHRoZXJlIHJlYWxseSBpcyBhIGp1aWNlIG1peCBwYWNrYWdlIGhlcmUuIEF0IGxlYXN0LCB0aGlzIG9uZSBpc24ndCB5b3VycywgaXMgaXQ/,,,,,W3swfV0KRSByZWFsbWVudGUgaMOhIHVtIHBhY290ZSBkZSBtaXN0dXJhIGRlIHN1Y28gYXF1aS4gUGVsbyBtZW5vcywgZXN0ZSBuw6NvIMOpIHNldSwgw6k/,,W3swfV0KWSByZWFsbWVudGUgaGF5IHVuIHBhcXVldGUgZGUgcHJlcGFyYWRvIGFxdcOtLiBBbCBtZW5vcywgZXN0ZSBubyBlcyB0dXlvLCDCv3ZlcmRhZD8=
emwwDA,,W1dhc3RlbGFuZCBDYWN0ZXJwaW5dCllvdSBhcmUgcmlnaHQuIFRoaXMgaXMgbm90IG15IGl0ZW0u,,,,,W0thY3RlcnBpbiBkbyBEZXNlcnRvXQpWb2PDqiBlc3TDoSBjZXJ0by4gRXN0ZSBuw6NvIMOpIG1ldSBpdGVtLg==,,W0NhY3RlcmlubyBkZWwgWWVybW9dClRpZW5lcyByYXrDs24uIEVzdGUgbm8gZXMgbWkgYXJ0w61jdWxvLg==
e2wwDA,,W3swfV0KVGhlbiB3b3VsZG4ndCBpdCBiZSByaWdodCB0byByZXR1cm4gaXQgdG8gdGhlIHBlcnNvbiB3aG8gd2FzIGxvb2tpbmcgZm9yIGl0PyBUaGUgY2hpbGQgYXQgQ2FjdGVyb24ncyBob3VzZSB3YXMgdmVyeSBkaXNhcHBvaW50ZWQgYWJvdXQgdGhlIGxhY2sgb2YganVpY2UgbWl4LiBJIHdhbnQgdG8gcmV0dXJuIGl0IHRvIHRoZW0u,,,,,W3swfV0KRW50w6NvIG7Do28gc2VyaWEgY2VydG8gZGV2b2x2w6otbG8gcGFyYSBhIHBlc3NvYSBxdWUgZXN0YXZhIHByb2N1cmFuZG8gcG9yIGVsZT8gQSBjcmlhbsOnYSBuYSBjYXNhIGRhIEthY3Rlcm9uIGZpY291IG11aXRvIGRlc2Fwb250YWRhIGNvbSBhIGZhbHRhIGRvIG1pc3R1cmEgZGUgc3Vjby4gUXVlcm8gZGV2b2x2w6otbG8gYSBlbGVzLg==,,W3swfV0Kwr9FbnRvbmNlcyBubyBzZXLDrWEgY29ycmVjdG8gZGV2b2x2w6lyc2VsbyBhIGxhIHBlcnNvbmEgcXVlIGxvIGVzdGFiYSBidXNjYW5kbz8gRWwgbmnDsW8gZW4gbGEgY2FzYSBkZSBDYWN0ZXJvbiBlc3RhYmEgbXV5IGRlY2VwY2lvbmFkbyBwb3IgbGEgZmFsdGEgZGUgcHJlcGFyYWRvLiBRdWllcm8gZGV2b2x2w6lyc2Vsby4=
fGwwDA,,W1dhc3RlbGFuZCBDYWN0ZXJwaW5dCkhtbS4uLiBZb3VyIGxvZ2ljIGlzbid0IHBlcmZlY3QsIGJ1dCB0aGUgcGVvcGxlIHlvdSdyZSB0YWxraW5nIGFib3V0IHNlZW0gdG8gYmUgdGhlIENhY3Rlcm9uIGFuZCB5b3VuZyBSYWN0ZXIgSSBrbm93Lg==,,,,,W0thY3RlcnBpbiBkbyBEZXNlcnRvXQpIbW0uLi4gU3VhIGzDs2dpY2EgbsOjbyDDqSBwZXJmZWl0YSwgbWFzIGFzIHBlc3NvYXMgZGUgcXVlbSB2b2PDqiBlc3TDoSBmYWxhbmRvIHBhcmVjZW0gc2VyIGEgS2FjdGVyb24gZSBvIGpvdmVtIFJhY3RlciBxdWUgY29uaGXDp28u,,W0NhY3RlcmlubyBkZWwgWWVybW9dCk1tbS4uLiBUdSBsw7NnaWNhIG5vIGVzIHBlcmZlY3RhLCBwZXJvIGxhIGdlbnRlIGRlIGxhIHF1ZSBoYWJsYXMgcGFyZWNlIHNlciBlbCBDYWN0ZXJvbiB5IGVsIHBlcXVlw7FvIFJhY3RlciBxdWUgY29ub3pjby4=
fWwwDA,,W1dhc3RlbGFuZCBDYWN0ZXJwaW5dCkZpbmUuIEkgd2lsbCByZXR1cm4gaXQuIEJ1dCBpZiB5b3UgYXJlIGx5aW5nLCB5b3Ugd2lsbCBwYXkgdGhlIHByaWNlIGZvciBleHBsb2l0aW5nIHRoZSB0cnVzdCBvZiB0aGUgQ2FjdGVyIHRyaWJlLg==,,,,,W0thY3RlcnBpbiBkbyBEZXNlcnRvXQpFc3TDoSBiZW0uIEV1IGRldm9sdmVyZWkuIE1hcyBzZSB2b2PDqiBlc3RpdmVyIG1lbnRpbmRvLCBwYWdhcsOhIG8gcHJlw6dvIHBvciBleHBsb3JhciBhIGNvbmZpYW7Dp2EgZGEgdHJpYm8gS2FjdGVyLg==,,W0NhY3RlcmlubyBkZWwgWWVybW9dCkVzdMOhIGJpZW4uIExvIGRldm9sdmVyw6kuIFBlcm8gc2kgZXN0w6FzIG1pbnRpZW5kbywgcGFnYXLDoXMgZWwgcHJlY2lvIHBvciBleHBsb3RhciBsYSBjb25maWFuemEgZGUgbGEgdHJpYnUgQ2FjdGVyLg==
fmwwDA,,W3swfV0KRG9uJ3Qgd29ycnkgYWJvdXQgdGhhdC4=,,,,,W3swfV0KTsOjbyBzZSBwcmVvY3VwZSBjb20gaXNzby4=,,W3swfV0KTm8gdGUgcHJlb2N1cGVzIHBvciBlc28u
f2wwDA,,LSBSZXRyaWV2ZWQgdGhlIGp1aWNlIG1peCBwYWNrYWdlIC0=,,,,,LSBSZWN1cGVyb3UgbyBwYWNvdGUgZGUgbWlzdHVyYSBkZSBzdWNvIC0=,,LSBSZWN1cGVyYXN0ZSBlbCBwYXF1ZXRlIGRlIHByZXBhcmFkbyAt
gGwwDA,,Q2FjdGVyIEdpcmw=,,,,,R2Fyb3RhIEthY3Rlcg==,,Q2hpY2EgQ2FjdGVy
gWwwDA,,W0NhY3RlciBHaXJsXQpBIHN0cmFuZ2VyLi4uLi4u,,,,,W0dhcm90YSBLYWN0ZXJdClVtIGVzdHJhbmhvLi4uLi4u,,W0NoaWNhIENhY3Rlcl0KVW4gZXh0cmHDsW8uLi4uLi4=
gmwwDA,,W0NhY3RlciBHaXJsXQpZb3UgYXJlIG9ic2Vzc2VkIHdpdGggcG9zc2Vzc2lvbnMuIEJ1dCB5b3UncmUgdW5hYmxlIHRvIG1vdmUgZnJlZWx5IGJlY2F1c2UgeW91J3JlIGhlbGQgYmFjayBieSB0aGVtLg==,,,,,W0dhcm90YSBLYWN0ZXJdClZvY8OqIMOpIG9iY2VjYWRvIHBvciBwb3NzZXMuIE1hcyDDqSBpbmNhcGF6IGRlIHNlIG1vdmVyIGxpdnJlbWVudGUgcG9ycXVlIMOpIGltcGVkaWRvIHBvciBlbGFzLg==,,W0NoaWNhIENhY3Rlcl0KRXN0w6FzIG9ic2VzaW9uYWRvIGNvbiBsYXMgcG9zZXNpb25lcy4gUGVybyBlcmVzIGluY2FwYXogZGUgbW92ZXJ0ZSBsaWJyZW1lbnRlIHBvcnF1ZSBlc3TDoXMgYXRhZG8gYSBlbGxhcy4=
g2wwDA,,W0NhY3RlciBHaXJsXQouLi4uLi5TdHJhbmdlci4uLgpEb24ndCBjb21lIGNsb3Nlci4gSSB3b24ndCBzdGF5IHN0aWxsLg==,,,,,W0dhcm90YSBLYWN0ZXJdCi4uLi4uLkVzdHJhbmhvLi4uCk7Do28gc2UgYXByb3hpbWUuIE7Do28gdm91IGZpY2FyIHBhcmFkYS4=,,W0NoaWNhIENhY3Rlcl0KLi4uLi4uRXh0cmHDsW8uLi4KTm8gdGUgYWNlcnF1ZXMuIE5vIG1lIHF1ZWRhcsOpIHF1aWV0YS4=
hGwwDA,,SGF2ZW4ndCB5b3Ugc2VlbiB0aGUganVpY2UgbWl4IHBhY2thZ2U/,,,,,Vm9jw6ogbsOjbyB2aXUgbyBwYWNvdGUgZGUgbWlzdHVyYSBkZSBzdWNvPw==,,wr9ObyBoYXMgdmlzdG8gZWwgcGFxdWV0ZSBkZSBwcmVwYXJhZG8/
hWwwDA,,W3swfV0KQnkgYW55IGNoYW5jZSwgaGF2ZW4ndCB5b3Ugc2VlbiBhIGp1aWNlIG1peCBwYWNrYWdlIGFyb3VuZCBoZXJlPw==,,,,,W3swfV0KUG9yIGFjYXNvLCB2b2PDqiBuw6NvIHZpdSB1bSBwYWNvdGUgZGUgbWlzdHVyYSBkZSBzdWNvIHBvciBhcXVpPw==,,W3swfV0KUG9yIGNhc3VhbGlkYWQsIMK/bm8gaGFzIHZpc3RvIHVuIHBhcXVldGUgZGUgcHJlcGFyYWRvIHBhcmEganVnbyBwb3IgYXF1w60/
hmwwDA,,W0NhY3RlciBHaXJsXQpKdWljZSBtaXggcGFja2FnZT8KLi4uLi4uRG9uJ3QgdGVsbCBtZS4uLiB5b3UgY2FtZSBsb29raW5nIGZvciB0aGlzPyBUaGlzIGp1aWNlIG1peCBwYWNrYWdlIGJ1cmllZCBpbiB0aGUgc2FuZC4=,,,,,W0dhcm90YSBLYWN0ZXJdClBhY290ZSBkZSBtaXN0dXJhIGRlIHN1Y28/Ci4uLi4uLk7Do28gbWUgZGlnYS4uLiB2b2PDqiB2ZWlvIHByb2N1cmFyIHBvciBpc3NvPyBFc3RlIHBhY290ZSBkZSBtaXN0dXJhIGRlIHN1Y28gZW50ZXJyYWRvIG5hIGFyZWlhLg==,,W0NoaWNhIENhY3Rlcl0Kwr9QYXF1ZXRlIGRlIHByZXBhcmFkbyBwYXJhIGp1Z28/Ci4uLi4uLk5vIG1lIGRpZ2FzLi4uIMK/dmluaXN0ZSBidXNjYW5kbyBlc3RvPyBFc3RlIHBhcXVldGUgZGUgcHJlcGFyYWRvIGVudGVycmFkbyBlbiBsYSBhcmVuYS4=
h2wwDA,,W3swfV0KWWVzLCB0aGF0J3MgcmlnaHQuIFRoYXQncyB3aGF0IENhY3Rlcm9uIGxvc3QuIEkndmUgY29tZSB0byBmaW5kIGl0Lg==,,,,,W3swfV0KU2ltLCBlc3TDoSBjZXJ0by4gw4kgbyBxdWUgYSBLYWN0ZXJvbiBwZXJkZXUuIEV1IHZpbSBlbmNvbnRyw6EtbG8u,,W3swfV0KU8OtLCBhc8OtIGVzLiBFc28gZXMgbG8gcXVlIHBlcmRpw7MgQ2FjdGVyb24uIEhlIHZlbmlkbyBhIGVuY29udHJhcmxvLg==
iGwwDA,,W0NhY3RlciBHaXJsXQouLi4uLi4KSSBzZWUuLi4KQnV0IHlvdSBzYWlkIGl0J3Mgc29tZXRoaW5nIENhY3Rlcm9uIGxvc3QuIFdobyBhcmUgeW91Pw==,,,,,W0dhcm90YSBLYWN0ZXJdCi4uLi4uLgpFbnRlbmRvLi4uCk1hcyB2b2PDqiBkaXNzZSBxdWUgw6kgYWxnbyBxdWUgYSBLYWN0ZXJvbiBwZXJkZXUuIFF1ZW0gw6kgdm9jw6o/,,W0NoaWNhIENhY3Rlcl0KLi4uLi4uCllhIHZlby4uLgpQZXJvIGRpamlzdGUgcXVlIGVzIGFsZ28gcXVlIENhY3Rlcm9uIHBlcmRpw7MuIMK/UXVpw6luIGVyZXMgdMO6Pw==
iWwwDA,,W3swfV0KQW4gdHJhdmVsZXIgcnVubmluZyBhbiBlcnJhbmQuCklmIHlvdSdyZSBzdXNwaWNpb3VzLCB5b3UgY2FuIGdvIHRvIHRoZSB2aWxsYWdlIGxhdGVyIGFuZCBjaGVjayB3aXRoIENhY3Rlcm9uLg==,,,,,W3swfV0KVW0gdmlhamFudGUgZmF6ZW5kbyB1bSByZWNhZG8uClNlIGVzdMOhIGRlc2NvbmZpYWRhLCBwb2RlIGlyIGF0w6kgYSB2aWxhIGRlcG9pcyBlIHZlcmlmaWNhciBjb20gYSBLYWN0ZXJvbi4=,,W3swfV0KVW4gdmlhamVybyBoYWNpZW5kbyB1biBtYW5kYWRvLgpTaSBzb3NwZWNoYXMsIHB1ZWRlcyBpciBhbCBwdWVibG8gbcOhcyB0YXJkZSB5IHZlcmlmaWNhcmxvIGNvbiBDYWN0ZXJvbi4=
imwwDA,,W0NhY3RlciBHaXJsXQpIbXBoLCBkb24ndCB0cmVhdCBtZSBsaWtlIGEgZm9vbC4gSWYgeW91IHdlcmUgYSBzY2FtbWVyLCB3b3VsZCB5b3Ugc3RpY2sgYXJvdW5kIGluIHRoZSB2aWxsYWdlIHVudGlsIHRoZW4/CkhlcmUsIHRha2UgaXQuIFRoZSBqdWljZSBtaXggcGFja2FnZS4=,,,,,W0dhcm90YSBLYWN0ZXJdCkhtcGgsIG7Do28gbWUgdG9tZSBwb3IgdG9sYS4gU2Ugdm9jw6ogZm9zc2UgdW0gaW1wb3N0b3IsIGZpY2FyaWEgcG9yIHBlcnRvIG5hIHZpbGEgYXTDqSBsw6E/CkFxdWksIHBlZ3VlLiBPIHBhY290ZSBkZSBtaXN0dXJhIGRlIHN1Y28u,,W0NoaWNhIENhY3Rlcl0KVWYsIG5vIG1lIHRvbWVzIHBvciB0b250YS4gU2kgZnVlcmFzIHVuIGVzdGFmYWRvciwgwr90ZSBxdWVkYXLDrWFzIGVuIGVsIHB1ZWJsbyBoYXN0YSBlbnRvbmNlcz8KVG9tYSwgbGzDqXZhbG8uIEVsIHBhcXVldGUgZGUgcHJlcGFyYWRvLg==
i2wwDA,,W3swfV0KWW91J3JlIGp1c3QgZ2l2aW5nIGl0IHRvIG1lPw==,,,,,W3swfV0KVm9jw6ogZXN0w6Egc2ltcGxlc21lbnRlIG1lIGRhbmRvPw==,,W3swfV0Kwr9NZSBsbyBkYXMgYXPDrSBuYWRhIG3DoXM/
jGwwDA,,W0NhY3RlciBHaXJsXQpJJ20ganVzdCB0cnVzdGluZyBhbiBlcnJhbmQgcnVubmVyIHdobyBtZW50aW9uZWQgQ2FjdGVyb24ncyBuYW1lLiBPciB3b3VsZCB5b3UgcHJlZmVyIEkgYmUgbW9yZSBzdXNwaWNpb3VzPw==,,,,,W0dhcm90YSBLYWN0ZXJdCkVzdG91IGFwZW5hcyBjb25maWFuZG8gZW0gdW0gbWVuc2FnZWlybyBxdWUgbWVuY2lvbm91IG8gbm9tZSBkYSBLYWN0ZXJvbi4gT3Ugdm9jw6ogcHJlZmVyaXJpYSBxdWUgZXUgZm9zc2UgbWFpcyBkZXNjb25maWFkYT8=,,W0NoaWNhIENhY3Rlcl0KU29sbyBlc3RveSBjb25maWFuZG8gZW4gdW4gbWFuZGFkZXJvIHF1ZSBtZW5jaW9uw7MgZWwgbm9tYnJlIGRlIENhY3Rlcm9uLiDCv08gcHJlZmVyaXLDrWFzIHF1ZSBmdWVyYSBtw6FzIGRlc2NvbmZpYWRhPw==
jWwwDA,,W3swfV0KTm8uIFRoYW5rIHlvdSBmb3IgcmV0dXJuaW5nIGl0Lg==,,,,,W3swfV0KTsOjby4gT2JyaWdhZG8gcG9yIGRldm9sdsOqLWxvLg==,,W3swfV0KTm8uIEdyYWNpYXMgcG9yIGRldm9sdmVybG8u
jmwwDA,,LSBSZWNlaXZlZCB0aGUganVpY2UgbWl4IHBhY2thZ2UgZnJvbSB0aGUgQ2FjdGVyIEdpcmwgLQ==,,,,,LSBSZWNlYmV1IG8gcGFjb3RlIGRlIG1pc3R1cmEgZGUgc3VjbyBkYSBHYXJvdGEgS2FjdGVyIC0=,,LSBSZWNpYmlzdGUgZWwgcGFxdWV0ZSBkZSBwcmVwYXJhZG8gZGUgbGEgQ2hpY2EgQ2FjdGVyIC0=
j2wwDA,,Q3VyaW91cyBDb3lvdGU=,,,,,Q29pb3RlIEN1cmlvc28=,,Q295b3RlIEN1cmlvc28=
kGwwDA,,LSBBIGN1cmlvdXMgY295b3RlIGlzIGRpc3RyYWN0ZWQsIHBsYXlmdWxseSBzaGFraW5nIHNvbWV0aGluZyBpbiBpdHMgbW91dGguIEJ1dCB5b3VyIGludmVudG9yeSBpcyB0b28gZnVsbCB0byBjaGVjay4uLiBZb3Ugc2hvdWxkIG9yZ2FuaXplIHlvdXIgYmFnIGEgYml0IGFuZCB0cnkgYWdhaW4gLQ==,,,,,LSBVbSBjb2lvdGUgY3VyaW9zbyBlc3TDoSBkaXN0cmHDrWRvLCBiYWxhbsOnYW5kbyBhbGdvIGVtIHN1YSBib2NhIGJyaW5jYW5kby4gTWFzIHNldSBpbnZlbnTDoXJpbyBlc3TDoSBtdWl0byBjaGVpbyBwYXJhIHZlcmlmaWNhci4uLiBWb2PDqiBkZXZlcmlhIG9yZ2FuaXphciBzdWEgbW9jaGlsYSB1bSBwb3VjbyBlIHRlbnRhciBkZSBub3ZvIC0=,,LSBVbiBjb3lvdGUgY3VyaW9zbyBlc3TDoSBkaXN0cmHDrWRvLCBzYWN1ZGllbmRvIGp1Z3VldMOzbiBhbGdvIGVuIHN1IGJvY2EuIFBlcm8gdHUgaW52ZW50YXJpbyBlc3TDoSBkZW1hc2lhZG8gbGxlbm8gcGFyYSByZXZpc2FyLi4uIERlYmVyw61hcyBvcmdhbml6YXIgdW4gcG9jbyB0dSBtb2NoaWxhIGUgaW50ZW50YXIgZGUgbnVldm8gLQ==
kWwwDA,,LSBBIGN1cmlvdXMgY295b3RlIGlzIGRpc3RyYWN0ZWQsIHBsYXlmdWxseSBzaGFraW5nIHNvbWV0aGluZyBpbiBpdHMgbW91dGguIEl0IG1pZ2h0IGJlIHRoZSBqdWljZSBtaXggcGFja2FnZSBDYWN0ZXJvbiBsb3N0Li4uIC0=,,,,,LSBVbSBjb2lvdGUgY3VyaW9zbyBlc3TDoSBkaXN0cmHDrWRvLCBiYWxhbsOnYW5kbyBhbGdvIGVtIHN1YSBib2NhIGJyaW5jYW5kby4gUG9kZSBzZXIgbyBwYWNvdGUgZGUgbWlzdHVyYSBkZSBzdWNvIHF1ZSBhIEthY3Rlcm9uIHBlcmRldS4uLiAt,,LSBVbiBjb3lvdGUgY3VyaW9zbyBlc3TDoSBkaXN0cmHDrWRvLCBzYWN1ZGllbmRvIGp1Z3VldMOzbiBhbGdvIGVuIHN1IGJvY2EuIFBvZHLDrWEgc2VyIGVsIHBhcXVldGUgZGUgcHJlcGFyYWRvIHF1ZSBDYWN0ZXJvbiBwZXJkacOzLi4uIC0=
kmwwDA,,LSBMZXQncyB0cnkgc2hvdXRpbmcgbG91ZGx5IHRvIHN0YXJ0bGUgYW5kIHNjYXJlIGl0IGF3YXkuIE5vdy4uLiB3aGF0IHNob3VsZCBJIHNob3V0PyAt,,,,,LSBWYW1vcyB0ZW50YXIgZ3JpdGFyIGFsdG8gcGFyYSBhc3N1c3TDoS1sbyBlIGVzcGFudMOhLWxvLiBBZ29yYS4uLiBvIHF1ZSBkZXZvIGdyaXRhcj8gLQ==,,LSBJbnRlbnRlbW9zIGdyaXRhciBmdWVydGUgcGFyYSBhc3VzdGFybG8geSBhaHV5ZW50YXJsby4gQWhvcmEuLi4gwr9xdcOpIGRlYmVyw61hIGdyaXRhcj8gLQ==
k2wwDA,,W3swfV0KQWhlbSwgYWhlbS4uLiB7MX0hISEhIQ==,,,,,W3swfV0KQWhlbSwgYWhlbS4uLiB7MX0hISEhIQ==,,W3swfV0KRWplbSwgZWplbS4uLiB7MX0hISEhIQ==
lGwwDA,,W0N1cmlvdXMgQ295b3RlXQpFZWshIQ==,,,,,W0NvaW90ZSBDdXJpb3NvXQpBaSEh,,W0NveW90ZSBDdXJpb3NvXQrCocKhwqFBaCEhIQ==
lWwwDA,,LSBUaGUgY295b3RlIHdhcyBzdGFydGxlZCBhbmQgYmFja2VkIGF3YXkuIFlvdSBhcHByb2FjaGVkIGFuZCBjaGVja2VkIHRoZSBpdGVtLiBJdCdzIHRoZSBqdWljZSBtaXggcGFja2FnZSEgLQ==,,,,,LSBPIGNvaW90ZSBmaWNvdSBhc3N1c3RhZG8gZSByZWN1b3UuIFZvY8OqIHNlIGFwcm94aW1vdSBlIHZlcmlmaWNvdSBvIGl0ZW0uIMOJIG8gcGFjb3RlIGRlIG1pc3R1cmEgZGUgc3VjbyEgLQ==,,LSBFbCBjb3lvdGUgc2UgYXN1c3TDsyB5IHJldHJvY2VkacOzLiBUZSBhY2VyY2FzdGUgeSByZXZpc2FzdGUgZWwgb2JqZXRvLiDCoUVzIGVsIHBhcXVldGUgZGUgcHJlcGFyYWRvISAt
lmwwDA,,QWJzb3JiZWQgQ295b3Rl,,,,,Q29pb3RlIFBlbnNhdGl2bw==,,Q295b3RlIEFic29ydG8=
l2wwDA,,LSBBIGNveW90ZSwgZGVlcGx5IGFic29yYmVkIGluIHBsYXksIGlzIGRpc3RyYWN0ZWQsIHNoYWtpbmcgc29tZXRoaW5nIGluIGl0cyBtb3V0aC4gSXQgbWlnaHQgYmUgdGhlIGp1aWNlIG1peCBwYWNrYWdlIENhY3Rlcm9uIGxvc3QuLi4gLQ==,,,,,LSBVbSBjb2lvdGUsIHByb2Z1bmRhbWVudGUgYWJzb3J0byBlbSBicmluY2FkZWlyYSwgZXN0w6EgZGlzdHJhw61kbywgYmFsYW7Dp2FuZG8gYWxnbyBlbSBzdWEgYm9jYS4gUG9kZSBzZXIgbyBwYWNvdGUgZGUgbWlzdHVyYSBkZSBzdWNvIHF1ZSBhIEthY3Rlcm9uIHBlcmRldS4uLiAt,,LSBVbiBjb3lvdGUsIHByb2Z1bmRhbWVudGUgYWJzb3J0byBlbiBlbCBqdWVnbywgZXN0w6EgZGlzdHJhw61kbywgc2FjdWRpZW5kbyBhbGdvIGVuIHN1IGJvY2EuIFBvZHLDrWEgc2VyIGVsIHBhcXVldGUgZGUgcHJlcGFyYWRvIHF1ZSBDYWN0ZXJvbiBwZXJkacOzLi4uIC0=
mGwwDA,,W3swfV0KVGFrZSBhIGRlZXAgYnJlYXRoLi4uIHsxfSEhISEh,,,,,W3swfV0KUmVzcGlyZSBmdW5kby4uLiB7MX0hISEhIQ==,,W3swfV0KVG9tYSB1bmEgcmVzcGlyYWNpw7NuIHByb2Z1bmRhLi4uIHsxfSEhISEh
mWwwDA,,W0Fic29yYmVkIENveW90ZV0KWWVscCEh,,,,,W0NvaW90ZSBQZW5zYXRpdm9dCkFpISE=,,W0NveW90ZSBBYnNvcnRvXQrCocKhwqFZaXAhISE=
mmwwDA,,U3VzcGljaW91cyBTYW5kIFBpbGU=,,,,,TW9udGUgZGUgQXJlaWEgU3VzcGVpdG8=,,TW9udMOzbiBkZSBBcmVuYSBTb3NwZWNob3Nv
m2wwDA,,LSBBIHRhdHRlcmVkIGNsb3RoIGJhZyBpcyBoYWxmLWJ1cmllZCBpbiBhIHNhbmQgcGlsZS4gQnV0IHlvdXIgaW52ZW50b3J5IGlzIHRvbyBmdWxsIHRvIGNoZWNrLi4uIFlvdSBzaG91bGQgb3JnYW5pemUgeW91ciBiYWcgYSBiaXQgYW5kIHRyeSBhZ2FpbiAt,,,,,LSBVbWEgYm9sc2EgZGUgcGFubyBlc2ZhcnJhcGFkYSBlc3TDoSBzZW1pLWVudGVycmFkYSBlbSB1bSBtb250ZSBkZSBhcmVpYS4gTWFzIHNldSBpbnZlbnTDoXJpbyBlc3TDoSBtdWl0byBjaGVpbyBwYXJhIHZlcmlmaWNhci4uLiBWb2PDqiBkZXZlcmlhIG9yZ2FuaXphciBzdWEgbW9jaGlsYSB1bSBwb3VjbyBlIHRlbnRhciBkZSBub3ZvIC0=,,LSBVbmEgYm9sc2EgZGUgdGVsYSBoZWNoYSBqaXJvbmVzIGVzdMOhIG1lZGlvIGVudGVycmFkYSBlbiB1biBtb250w7NuIGRlIGFyZW5hLiBQZXJvIHR1IGludmVudGFyaW8gZXN0w6EgZGVtYXNpYWRvIGxsZW5vIHBhcmEgcmV2aXNhci4uLiBEZWJlcsOtYXMgb3JnYW5pemFyIHVuIHBvY28gdHUgbW9jaGlsYSBlIGludGVudGFyIGRlIG51ZXZvIC0=
nGwwDA,,LSBBIHRhdHRlcmVkIGNsb3RoIGJhZyBpcyBoYWxmLWJ1cmllZCBpbiBhIHNhbmQgcGlsZS4gSXQgc2VlbXMgbGlrZSBqdXN0IHRyYXNoIC0=,,,,,LSBVbWEgYm9sc2EgZGUgcGFubyBlc2ZhcnJhcGFkYSBlc3TDoSBzZW1pLWVudGVycmFkYSBlbSB1bSBtb250ZSBkZSBhcmVpYS4gUGFyZWNlIHNlciBhcGVuYXMgbGl4byAt,,LSBVbmEgYm9sc2EgZGUgdGVsYSBoZWNoYSBqaXJvbmVzIGVzdMOhIG1lZGlvIGVudGVycmFkYSBlbiB1biBtb250w7NuIGRlIGFyZW5hLiBQYXJlY2Ugc29sbyBiYXN1cmEgLQ==
