4MrUAg,,TWFuYWdlcjE=,,,,,U3VwZXJ2aXNvciAx,,UmVzcG9uc2FibGUgMQ==
c8vUAg,,W0l2YW4gU2lkb3JlbmtvXQpJJ2xsIGV4cGxhaW4gdGhlIHRhc2sgcXVpY2tseS4gWW91J2xsIHJ1biB0aHJvdWdoIHRoZSBzaG9vdGluZyByYW5nZSB3aGljaCBjb25zaXN0cyBvZiA1IGFyZWFzLg==,,,,,W0l2YW4gU2lkb3JlbmtvXQpWb3UgdGUgZXhwbGljYXIgY29tbyBlc3NhIHBhcnRlIGZ1bmNpb25hOiBiYXNpY2FtZW50ZSwgdm9jw6ogdGVyw6EgZGUgcGFzc2FyIHBlbGFzIDUgcGFydGVzIGRlc3NlIGNhbXBvIGRlIHRpcm8u,,W0l2YW4gU2lkb3JlbmtvXQpFeHBsaWNhcsOpIGxhIHRhcmVhIHLDoXBpZGFtZW50ZS4gUmVjb3JyZXLDoXMgZWwgY2FtcG8gZGUgdGlybyBxdWUgY29uc3RhIGRlIDUgem9uYXMu
dMvUAg,,W0l2YW4gU2lkb3JlbmtvXQpJdCdzIGFib3V0IGRpc3Rpbmd1aXNoaW5nIHRoZSB0YXJnZXQgYW1vbmcgdGhlIGNyb3dkLiBUaGlzIHRlc3RzIGhvdyBhY2N1cmF0ZSBhbmQgcXVpY2sgeW91IGFyZSwgbm90IGhvdyBtYW55IHlvdSBjYW4ga2lsbCE=,,,,,W0l2YW4gU2lkb3JlbmtvXQpTZXUgb2JqZXRpdm8gc2Vyw6EgZGUgZW5jb250cmFyIGluaW1pZ29zIG5vIG1laW8gZGUgdW1hIG11bHRpZMOjby4gU2VqYSByw6FwaWRvIGUgbsOjbyBjb25mdW5kYSBvcyBhbHZvcyE=,,W0l2YW4gU2lkb3JlbmtvXQpUZW5kcsOhcyBxdWUgZGlzdGluZ3VpciBlbCBvYmpldGl2byBlbnRyZSBsYSBtdWx0aXR1ZC4gRXN0byBwb25lIGEgcHJ1ZWJhIHR1IHByZWNpc2nDs24geSByYXBpZGV6LCBubyBhIGN1w6FudG9zIHB1ZWRlcyBtYXRhci4=
dcvUAg,,W0l2YW4gU2lkb3JlbmtvXQpZb3UgaGF2ZSB0byBvbmx5IHNob290IF4wMDAwRkZSZWd1bGFyIFRhcmdldHNeMDAwMDAwIGFtb25nIHRoZSBzYW1lLWxvb2tpbmcgaWxsdXNpb25zLiBJZiB5b3Ugc2hvb3QgdGhlIHdyb25nIG9uZSwgeW91J2xsIGxvc2UgcG9pbnRzLg==,,,,,W0l2YW4gU2lkb3JlbmtvXQpEZW50cmUgdG9kb3MgZWxlcywgdm9jw6ogZGV2ZXLDoSBhdGlyYXIgYXBlbmFzIG5vIF4wMDAwRkZBbHZvXjAwMDAwMC4gVm9jw6ogcGVyZGVyw6EgcG9udG9zIGEgY2FkYSBlcnJvIGNvbWV0aWRvLg==,,W0l2YW4gU2lkb3JlbmtvXQpTb2xvIHRpZW5lcyBxdWUgZGlzcGFyYXIgYSBeMDAwMEZGb2JqZXRpdm9zIG9yZGluYXJpb3NeMDAwMDAwIGVudHJlIGxhcyBpbHVzaW9uZXMgZGUgbGEgbWlzbWEgYXBhcmllbmNpYS4gU2kgbGUgZGlzcGFyYXMgYSB1bm8gZXF1aXZvY2FkbywgcGVyZGVyw6FzIHB1bnRvcy4=
dsvUAg,,W0l2YW4gU2lkb3JlbmtvXQpJdCdzIGJldHRlciB0byB0cnkgaXQgeW91cnNlbGYuIFRoZXJlIGFyZSBvbmx5IGEgZmV3IF4wMDAwRkZSZWd1bGFyIFRhcmdldHNeMDAwMDAwIGFtb25nIHRoZSBpbGx1c2lvbnMsIHNvIGJlIHN1cmUgdG8gZmluZCB0aGUgY29ycmVjdCBvbmVzLg==,,,,,W0l2YW4gU2lkb3JlbmtvXQpWYW1vcyBsw6EuIE7Do28gaMOhIG11aXRvcyBeMDAwMEZGQWx2b3NeMDAwMDAwLCBlbnTDo28gZmlxdWUgZGUgb2xob3MgYmVtIGFiZXJ0b3Mu,,W0l2YW4gU2lkb3JlbmtvXQpFcyBtZWpvciBxdWUgbG8gcHJ1ZWJlcyBwb3IgdHUgY3VlbnRhLiBTb2xvIGhheSB1bm9zIHBvY29zIF4wMDAwRkZvYmpldGl2b3Mgb3JkaW5hcmlvc14wMDAwMDAgZW50cmUgbGFzIGlsdXNpb25lcywgYXPDrSBxdWUgYXNlZ8O6cmF0ZSBkZSBlbmNvbnRyYXIgbG9zIGNvcnJlY3Rvcy4=
d8vUAg,,W0l2YW4gU2lkb3JlbmtvXQpeMDAwMEZGSSdsbCBnaXZlIHlvdSBleGFjdGx5IDMgbWludXRlcy4gSWYgeW91ciBkaXNndWlzZSBpcyBleHBvc2VkLCBpdCBtZWFucyB0aW1lJ3MgdXAuXjAwMDAwMCBJZiB0aGF0IGhhcHBlbnMsIGdpdmUgdXAgYW5kIGZvbGxvdyB0aGUgcm9hZCBiYWNrIHRvIG1lLg==,,,,,W0l2YW4gU2lkb3JlbmtvXQpeMDAwMEZGVm9jw6ogdGVyw6EgMyBtaW51dG9zIHBhcmEgdGVybWluYXIgZXN0ZSB0ZXN0ZS4gU2UgbsOjbyB0aXZlciB0ZXJtaW5hZG8gYW50ZXMgZGEgc3VhIHRyYW5zZm9ybWHDp8OjbyBhY2FiYXIsIHZvY8OqIGZhbGhhcsOhLl4wMDAwMDAgTmVzc2UgY2FzbywgYmFzdGEgdmlyIGZhbGFyIGNvbWlnbyBub3ZhbWVudGUu,,W0l2YW4gU2lkb3JlbmtvXQpeMDAwMEZGVGUgZGFyw6kgZXhhY3RhbWVudGUgMyBtaW51dG9zLiBTaSBzZSByZXZlbGEgdHUgZGlzZnJheiwgc2lnbmlmaWNhIHF1ZSBzZSBhY2Fiw7MgZWwgdGllbXBvLl4wMDAwMDAgU2kgZXNvIG9jdXJyZSwgcsOtbmRldGUgeSB2dWVsdmUgYXF1w60gcG9yIGVsIGNhbWluby4=
eMvUAg,,W0l2YW4gU2lkb3JlbmtvXQpeMDAwMEZGSWYgeW91IGZhaWwgdG8gc2hvb3QgdGhlIHJlcXVpcmVkIG51bWJlciBvZiBSZWd1bGFyIFRhcmdldHMgb3Igc2hvb3QgMyB3cm9uZyB0YXJnZXRzLCB5b3UgZ2V0IGRpc3F1YWxpZmllZC5eMDAwMDAwIE5vdywgbGV0J3MgYmVnaW4u,,,,,W0l2YW4gU2lkb3JlbmtvXQpeMDAwMEZGQWzDqW0gZGlzc28sIHZvY8OqIGZhbGhhcsOhIHNlIHBlcmRlciB1bSBBbHZvLCBvdSBhdGlyYXIgZW0gMyBvcG9uZW50ZXMgZXJyYWRvc14wMDAwMDAuIFZhbW9zIGNvbWXDp2FyLg==,,W0l2YW4gU2lkb3JlbmtvXQpeMDAwMEZGU2kgbm8gZGlzcGFyYXMgYSBsYSBjYW50aWRhZCByZXF1ZXJpZGEgZGUgb2JqZXRpdm9zIG9yZGluYXJpb3MgbyBzaSBkaXNwYXJhcyBhIDMgb2JqZXRpdm9zIGVxdWl2b2NhZG9zLCB0ZSBkZXNjYWxpZmljYXLDoW4uXjAwMDAwMCBBaG9yYSwgY29tZW5jZW1vcy4=
ecvUAg,,W0l2YW4gU2lkb3JlbmtvXQpTcGxlbmRpZC4gSSBkaWRuJ3Qga25vdyB5b3UnZCBtYWtlIGl0IHRoYXQgZWFzaWx5Lg==,,,,,W0l2YW4gU2lkb3JlbmtvXQpVYXUsIGJvbSB0cmFiYWxoby4gTsOjbyBhY2hlaSBxdWUgZm9zc2UgdGVybWluYXIgdMOjbyByw6FwaWRvIQ==,,W0l2YW4gU2lkb3JlbmtvXQpFc3Bsw6luZGlkby4gTm8gY3Jlw60gcXVlIGxvIGliYXMgYSBsb2dyYXIgdGFuIGbDoWNpbG1lbnRlLg==
esvUAg,,W0l2YW4gU2lkb3JlbmtvXQpHbyBvdXRzaWRlIGFuZCB3YWl0LiBJJ2xsIHRha2UgdGhlIGFzc2Vzc21lbnQgcGFwZXJzIGZyb20gdGhlIG90aGVyIGluc3RydWN0b3JzIGFuZCBmb2xsb3cgeW91Lg==,,,,,W0l2YW4gU2lkb3JlbmtvXQpWb2PDqiBwb2RlIGVzcGVyYXIgbMOhIGZvcmEgYWdvcmEuIFZvdSBjb25mZXJpciBxdWFpcyBmb3JhbSBvcyBwYXJlY2VyZXMgZG9zIGRlbWFpcyBpbnN0cnV0b3Jlcy4=,,W0l2YW4gU2lkb3JlbmtvXQpWZSBhZnVlcmEgeSBlc3BlcmEuIFBlZGlyw6kgbGFzIGV2YWx1YWNpb25lcyBkZSBsb3Mgb3Ryb3MgaW5zdHJ1Y3RvcmVzIHkgdGUgc2VndWlyw6ku
e8vUAg,,W0l2YW4gU2lkb3JlbmtvXQpZb3Ugd2VyZSBxdWl0ZSBmYXN0LCBidXQgdW5mb3J0dW5hdGVseSwgeW91IHNob3QgdG9vIG1hbnkgd3JvbmcgdGFyZ2V0cy4gWW91J3JlIGRpc3F1YWxpZmllZC4=,,,,,W0l2YW4gU2lkb3JlbmtvXQpWb2PDqiDDqSByw6FwaWRvLCBtYXMgYXRpcm91IGVtIG11aXRvcyBhbHZvcyBlcnJhZG9zLiBUZW50ZSBub3ZhbWVudGUu,,W0l2YW4gU2lkb3JlbmtvXQpGdWlzdGUgYmFzdGFudGUgdmVsb3ogcGVybywgbGFtZW50YWJsZW1lbnRlLCBkaXNwYXJhc3RlIGEgZGVtYXNpYWRvcyBvYmpldGl2b3MgZXF1aXZvY2Fkb3MuIFRlIGRlc2NhbGlmaWNhcm9uLg==
fMvUAg,,W0l2YW4gU2lkb3JlbmtvXQpMZXQncyByZXN0YXJ0IHJpZ2h0IGF3YXkuIEJlIHF1aWNrLg==,,,,,W0l2YW4gU2lkb3JlbmtvXQpWYW1vcyB0ZW50YXIgZGUgbm92by4gUmVkb2JyZSBzdWEgYXRlbsOnw6NvIGRlc3NhIHZleiE=,,W0l2YW4gU2lkb3JlbmtvXQpFbXBlY2Vtb3MgZGUgbnVldm8gZGUgaW5tZWRpYXRvLiBEYXRlIHByaXNhLg==
fcvUAg,,W0l2YW4gU2lkb3JlbmtvXQpZb3Ugd2VyZSBwcmV0dHkgYWNjdXJhdGUgYnV0IHRvbyBzbG93LiBUaGF0J3Mgbm90IGdvb2QgZW5vdWdoIHRvIG1ha2UgeW91IGEgUmViZWxsaW9uLg==,,,,,W0l2YW4gU2lkb3JlbmtvXQpWb2PDqiB0ZW0gdW1hIG1pcmEgw7N0aW1hLCBtYXMgZGVtb3JvdSBtdWl0byB0ZW1wby4gQXBlbmFzIEluc3VyZ2VudGVzIMOhZ2VpcyB2aXZlbSBwcmEgdmVyIG8gYW1hbmjDoy4=,,W0l2YW4gU2lkb3JlbmtvXQpEaXNwYXJhc3RlIGNvbiBiYXN0YW50ZSBwcmVjaXNpw7NuLCBwZXJvIGRlbWFzaWFkbyBsZW50by4gRXNvIG5vIGVzIHN1ZmljaWVudGUgcGFyYSBzZXIgbWllbWJybyBkZSBSZWJlbGnDs24u
fsvUAg,,W0l2YW4gU2lkb3JlbmtvXQpCb3RoIHlvdXIgYWNjdXJhY3kgYW5kIHNwZWVkIGFyZSBwcmV0dHkgdGVycmlibGUuIEFyZSB5b3Ugc3VyZSB5b3Uga25vdyBob3cgdG8gdXNlIGEgZ3VuPw==,,,,,W0l2YW4gU2lkb3JlbmtvXQpWb2PDqiBwYXNzb3UgZG8gdGVtcG8gbGltaXRlIGUgZXJyb3UgbXVpdG9zIGFsdm9zLiBNaW5oYSBub3NzYSwgaGVpbj8=,,W0l2YW4gU2lkb3JlbmtvXQpUdSBwcmVjaXNpw7NuIHkgdHUgdmVsb2NpZGFkIHNvbiBkZXNhc3Ryb3Nhcy4gwr9TZWd1cm8gcXVlIHNhYmVzIHVzYXIgdW4gYXJtYT8=
f8vUAg,,W0l2YW4gU2lkb3JlbmtvXQpTb21ldGhpbmcncyBvZmYgYWJvdXQgeW91LiBJIHRoaW5rIHRoZSBjb3VudGluZyB3YXNuJ3QgZG9uZSByaWdodC4gV2VsbCwgdGhpcyBoYXBwZW5zIGZyb20gdGltZSB0byB0aW1lLg==,,,,,W0l2YW4gU2lkb3JlbmtvXQpIw6EgYWxnbyBkZSBlcnJhZG8gY29tIHZvY8OqLiBBY2hvIHF1ZSBhIGNvbnRhZ2VtIG7Do28gZm9pIGZlaXRhIGNvcnJldGFtZW50ZS4gQmVtLCBpc3NvIGFjb250ZWNlIGRlIHZleiBlbSBxdWFuZG8u,,W0l2YW4gU2lkb3JlbmtvXQpIYXkgYWxnbyByYXJvIGVuIHRpLiBDcmVvIHF1ZSBlbCByZWN1ZW50byBubyBzZSBoaXpvIGJpZW4uIEJ1ZW5vLCBlc3RvIG9jdXJyZSBkZSB2ZXogZW4gY3VhbmRvLg==
gMvUAg,,W0l2YW4gU2lkb3JlbmtvXQpXaHkgYXJlIHlvdSBzdGlsbCBoZXJlPw==,,,,,W0l2YW4gU2lkb3JlbmtvXQpQb3IgcXVlIGFpbmRhIGVzdMOhIGFxdWk/,,W0l2YW4gU2lkb3JlbmtvXQrCv1BvciBxdcOpIHNpZ3VlcyBhcXXDrT8=
gcvUAg,,W0l2YW4gU2lkb3JlbmtvXQpHbyBvdXRzaWRlIGFuZCB3YWl0LiBJJ2xsIGZvbGxvdyB5b3UgaW4gYSBtb21lbnQu,,,,,W0l2YW4gU2lkb3JlbmtvXQpQb2RlIGVzcGVyYXIgbMOhIGZvcmEuIFZvdSBjb25mZXJpciBxdWFpcyBmb3JhbSBvcyBwYXJlY2VyZXMgZG9zIGRlbWFpcyBpbnN0cnV0b3Jlcy4=,,W0l2YW4gU2lkb3JlbmtvXQpWZSBhZnVlcmEgeSBlc3BlcmEuIFRlIHNlZ3VpcsOpIGVuIHVuIG1vbWVudG8u
gsvUAg,,SSdtIGNhcnJ5aW5nIHRvbyBtYW55IHR5cGVzIG9mIGl0ZW1zLiBJIHNob3VsZCBsaWdodGVuIG15IGJhZyBmaXJzdC4=,,,,,Vm9jw6ogdGVtIG11aXRvcyBpdGVucy4gTGliZXJlIHVtIHBvdWNvIGRlIGVzcGHDp28gbm8gaW52ZW50w6FyaW8u,,VGVuZ28gZGVtYXNpYWRvcyB0aXBvcyBkZSBvYmpldG9zLiBQcmltZXJvIGRlYmVyw61hIGFsaWdlcmFyIG1pIGJvbHNvLg==
g8vUAg,,SSdtIG92ZXJ3ZWlnaHQuIEknZCBiZXR0ZXIgbGlnaHRlbiBteSBiYWcgZmlyc3Qu,,,,,Vm9jw6ogbsOjbyBjb25zZWd1ZSBjYXJyZWdhciBuZW0gdW1hIHBlbmEgYSBtYWlzLiBMaWJlcmUgdW0gcG91Y28gZGUgcGVzby4=,,VGVuZ28gZGVtYXNpYWRvIHBlc28uIFNlcsOhIG1lam9yIHF1ZSBhbGlnZXJlIG1pIGJvbHNvIHByaW1lcm8u
hMvUAg,,W0l2YW4gU2lkb3JlbmtvXQpIdWg/IFlvdSdyZSB0b28gd2Vhay4gUmlnaHQgbm93LCBJJ3ZlIGdvdCBub3RoaW5nIHRvIHRlbGwgeW91Lg==,,,,,W0l2YW4gU2lkb3JlbmtvXQpEZXZlIHRlciBhY29udGVjaWRvIGFsZ3VtIGRlc2VudGVuZGltZW50by4gVm9jw6ogbsOjbyBkZXZlcmlhIGVzdGFyIGFxdWku,,W0l2YW4gU2lkb3JlbmtvXQrCv0VoPyBFcmVzIGRlbWFzaWFkbyBkw6liaWwuIFBvciBhaG9yYSwgbm8gdGVuZ28gbmFkYSBxdWUgZGVjaXJ0ZS4=
hcvUAg,,W0l2YW4gU2lkb3JlbmtvXQpZb3Ugc3RpbGwgZ290IHNvbWUgU2tpbGwgUG9pbnRzIGxlZnQuIEkgY2FuJ3QgdHJ1c3QgYSBjYXJlbGVzcyBndXkgbGlrZSB5b3Uu,,,,,W0l2YW4gU2lkb3JlbmtvXQpWb2PDqiBhaW5kYSB0ZW0gYWxndW5zIFBvbnRvcyBkZSBIYWJpbGlkYWRlIHBhcmEgZGlzdHJpYnVpci4=,,W0l2YW4gU2lkb3JlbmtvXQpUb2RhdsOtYSB0ZSBxdWVkYW4gYWxndW5vcyBwdW50b3MgZGUgaGFiaWxpZGFkLiBObyBwdWVkbyBjb25maWFyIGVuIHVuYSBwZXJzb25hIHRhbiBkZXNjdWlkYWRhIGNvbW8gdMO6Lg==
hsvUAg,,W0l2YW4gU2lkb3JlbmtvXQpLdWxiZXJ0aW5vdiwgRWx3aW4sIGFuZCBJLCBJdmFuLCBoYXZlIGFnZ3JlZ2F0ZWQgeW91ciBwZXJmb3JtYW5jZSBzbyBmYXIuIE5vdywgSSdtIGdvaW5nIHRvIHRlbGwgeW91IHdoZXRoZXIgeW91IHF1YWxpZnkgdG8gYmUgYSBSZWJlbGxpb24u,,,,,W0l2YW4gU2lkb3JlbmtvXQpFdSwgS3VsYmVydGlub3YgZSBFbHdpbiBhbmFsaXNhbW9zIHNldXMgcmVzdWx0YWRvcyBubyB0ZXN0ZS4=,,W0l2YW4gU2lkb3JlbmtvXQpLdWxiZXJ0aW5vdiwgRWx3aW4geSB5bywgSXZhbiwgZXZhbHVhbW9zIHRvZG9zIHR1cyByZXN1bHRhZG9zIGhhc3RhIGFob3JhLiBWb3kgYSBkZWNpcnRlIHNpIGNhbGlmaWNhcyBwYXJhIHNlciBwYXJ0ZSBkZSBSZWJlbGnDs24u
h8vUAg,,W0l2YW4gU2lkb3JlbmtvXQpUaGUgYm90dG9tIGxpbmUgaXMuLi4=,,,,,W0l2YW4gU2lkb3JlbmtvXQpFLi4u,,W0l2YW4gU2lkb3JlbmtvXQpMYSBjb25jbHVzacOzbiBlcy4uLg==
iMvUAg,,W0l2YW4gU2lkb3JlbmtvXQpZb3VyIHBlcmZvcm1hbmNlIGFuZCB0aGUgaW1wcmVzc2lvbiB5b3UgZ2F2ZSB1cyBhcmUgbW9yZSB0aGFuIGdvb2QgZW5vdWdoLg==,,,,,W0l2YW4gU2lkb3JlbmtvXQpWb2PDqiBjdW1wcml1IG9zIHJlcXVpc2l0b3MgZW0gdG9kb3Mgb3MgcGFzc29zLiBQYXJhYsOpbnMu,,W0l2YW4gU2lkb3JlbmtvXQpUdSBkZXNlbXBlw7FvIHkgbGEgaW1wcmVzacOzbiBxdWUgbm9zIGRpc3RlIHNvbiBtw6FzIHF1ZSBzdWZpY2llbnRlcy4=
icvUAg,,W0l2YW4gU2lkb3JlbmtvXQpZZXMsIHdlIGRlY2lkZWQgdG8gYWNjZXB0IHlvdSBhcyBhIFJlYmVsbGlvbi4gUHJlcGFyZSB5b3Vyc2VsZi4gSSdtIGdvaW5nIHRvIHNlbmQgeW91IHRvIGhlYXZlbiBpbiBhIHNlY29uZC4=,,,,,W0l2YW4gU2lkb3JlbmtvXQrDiSBpc3NvIG1lc21vOiB2b2PDqiBhZ29yYSDDqSB1bSBtZW1icm8gZG9zIEluc3VyZ2VudGVzLg==,,W0l2YW4gU2lkb3JlbmtvXQpTw60sIGRlY2lkaW1vcyBhY2VwdGFydGUgY29tbyBtaWVtYnJvIGRlIFJlYmVsacOzbi4gUHJlcMOhcmF0ZS4gVm95IGEgZW52aWFydGUgYWwgcGFyYcOtc28gZW4gdW4gc2VndW5kby4=
isvUAg,,W0l2YW4gU2lkb3JlbmtvXQpPaCwgYW5kIEluc3RydWN0b3IgRWx3aW4gc2VudCB0aGlzIHRvIHlvdS4gTG9va3MgbGlrZSBoZSBwdXQgcXVpdGUgYSBsb3Qgb2YgY2FyZSBpbnRvIHBvbGlzaGluZyBpdC4gVXNlIGl0IHdlbGwu,,,,,W0l2YW4gU2lkb3JlbmtvXQpPIEVsd2luIHBlZGl1IHBhcmEgdGUgZW50cmVnYXIgdW0gcHJlc2VudGUuIEVsZSBmZXogZXNwZWNpYWxtZW50ZSBwYXJhIHZvY8OqLCBlbnTDo28gY3VpZGUgY29tIGNhcmluaG8u,,W0l2YW4gU2lkb3JlbmtvXQpBaCwgeSBlbCBpbnN0cnVjdG9yIEVsd2luIHRlIGVudmnDsyBlc3RvLiBQYXJlY2UgcXVlIHB1c28gbXVjaG8gY3VpZGFkbyBlbiBzYWNhcmxlIGJyaWxsby4gw5pzYWxvIGJpZW4u
i8vUAg,,W0l2YW4gU2lkb3JlbmtvXQpTZWUgeW91IGFnYWluLCB0aGVuLg==,,,,,W0l2YW4gU2lkb3JlbmtvXQpWZWpvIHZvY8OqIHBvciBhw60u,,W0l2YW4gU2lkb3JlbmtvXQpIYXN0YSBsdWVnby4=
jMvUAg,,W0l2YW4gU2lkb3JlbmtvXQpZb3UnbGwgZmluZCB0aGlzIGxpZmUgZW5qb3lhYmxlLiBBdCBsZWFzdCwgaXQncyBub3QgYm9yaW5nLg==,,,,,W0l2YW4gU2lkb3JlbmtvXQpWb2PDqiB2YWkgZ29zdGFyIGRlIHNlciB1bSBJbnN1cmdlbnRlLiBOdW5jYSBzZSB0ZW0gdW0gbW9tZW50byBkZSB0w6lkaW8u,,W0l2YW4gU2lkb3JlbmtvXQpUZSB2YSBhIGd1c3RhciBlc3RhIHZpZGEuIEFsIG1lbm9zLCBubyBlcyBhYnVycmlkYS4=
jcvUAg,,W0l2YW4gU2lkb3JlbmtvXQpZb3UgZ290IHNvbWV0aGluZyB0byB0ZWxsIG1lPyBJIGRvbid0IGhhdmUgYW55dGhpbmcgdG8gdGVsbCB5b3Uu,,,,,W0l2YW4gU2lkb3JlbmtvXQpBY2hvIHF1ZSBuw6NvIHRlbW9zIG1haXMgYXNzdW50b3MgYSB0cmF0YXIsIG7Do28gw6kgbWVzbW8/,,W0l2YW4gU2lkb3JlbmtvXQrCv1RpZW5lcyBhbGdvIHF1ZSBkZWNpcm1lPyBObyB0ZW5nbyBuYWRhIHF1ZSBkZWNpcnRlLg==
jsvUAg,,QnV0bGVyIEthbGV4,,,,,TW9yZG9tbyBLYXJsZXg=,,TWF5b3Jkb21vIEthbGV4
j8vUAg,,W0J1dGxlciBLYWxleF0KSSBjYW4gb3BlbiB0aGUgdGVtcG9yYXJ5IHN0b3JhZ2UgeW91IGNhbiB1c2UgYmVmb3JlIGNoYW5naW5nIHlvdXIgam9iLg==,,,,,W01vcmRvbW8gS2FybGV4XQpVc2UgZXN0ZSBhcm1hesOpbSB0ZW1wb3LDoXJpbyBwYXJhIGd1YXJkYXIgc2V1cyBpdGVucyBlbSBzZWd1cmFuw6dhIGR1cmFudGUgbyB0ZXN0ZS4=,,W01heW9yZG9tbyBLYWxleF0KUHVlZG8gYWJyaXIgZWwgYWxtYWPDqW4gdGVtcG9yYWwgcGFyYSBxdWUgbG8gdXNlcyBhbnRlcyBkZSBjYW1iaWFyIGRlIGNsYXNlLg==
kMvUAg,,Tm8sIHRoYW5rcw==,,,,,RmVjaGFyLg==,,Tm8sIGdyYWNpYXMu
kcvUAg,,T3BlbiB0aGUgc3RvcmFnZQ==,,,,,QWJyaXIgbyBhcm1hesOpbS4=,,QWJyaXIgZWwgYWxtYWPDqW4u
ksvUAg,,W0J1dGxlciBLYWxleF0KVGhhbmsgeW91IGZvciB5b3VyIHBhdHJvbmFnZS4=,,,,,W01vcmRvbW8gS2FybGV4XQpFc3RhcmVpIGFxdWkgc2UgcHJlY2lzYXIu,,W01heW9yZG9tbyBLYWxleF0KR3JhY2lhcyBwb3IgdHUgYXBveW8u
k8vUAg,,W0J1dGxlciBLYWxleF0KVG8gdXNlIG91ciBTdG9yYWdlIHNlcnZpY2UsIHlvdSBmaXJzdCBtdXN0IGluY3JlYXNlIHlvdXIgTm92aWNlIEpvYiBMZXZlbCB0byA2IG9yIGxlYXJuIHRoZSBCYXNpYyBTa2lsbC4=,,,,,W01vcmRvbW8gS2FybGV4XQpOw612ZWwgZGUgQ2xhc3NlIDYgY29tbyBBcHJlbmRpeiBvdSBJbnN0aW50b3MgQsOhc2ljb3MgTsOtdmVsIDEgZGUgSW52b2NhZG9yIHBhcmEgdXRpbGl6YXIgbyBBcm1hesOpbS4=,,W01heW9yZG9tbyBLYWxleF0KUGFyYSB1c2FyIG51ZXN0cm8gc2VydmljaW8gZGUgYWxtYWNlbmFtaWVudG8sIHByaW1lcm8gdGllbmVzIHF1ZSBhdW1lbnRhciB0dSBuaXZlbCBkZSBjbGFzZSBkZSBQcmluY2lwaWFudGUgYSA2IG8gYXByZW5kZXIgbGEgaGFiaWxpZGFkIGLDoXNpY2Eu
