oFEqDA,,S2FyYW0gUHVjaGk=,,,,,S2FyYW0gUHVjaGk=,,S2FyYW0gUHVjaGk=
GFMqDA,,W1NoYXduIE1jQ3VyZHldCkkgaG9wZSBteSBvcGluaW9uIGhlbHBzIHlvdXIgd29yayE=,,,,,W1NoYXduIE1jQ3VyZHldCkVzcGVybyBxdWUgbWluaGEgb3BpbmnDo28gYWp1ZGUgc2V1IHRyYWJhbGhvIQ==,,W1NoYXduIE1jQ3VyZHldCsKhRXNwZXJvIHF1ZSBtaSBvcGluacOzbiBheXVkZSBlbiB0dSB0cmFiYWpvIQ==
GVMqDA,,W1NoYXduIE1jQ3VyZHldCkFkdmVudHVyZXIsIHdoZXJlIGRpZCB0aGF0IGJpZywgYmVhdXRpZnVsIG9yZSBnby4uLiBFbXB0eS1oYW5kZWQ/CkRvIHdlIG5lZWQgdG8gZ28gbWluZSBhZ2Fpbj8=,,,,,W1NoYXduIE1jQ3VyZHldClZpYWphbnRlLCBwYXJhIG9uZGUgZm9pIGFxdWVsZSBtaW7DqXJpbyBncmFuZGUgZSBib25pdG8uLi4gRGUgbcOjb3MgdmF6aWFzPwpQcmVjaXNhbW9zIGlyIG1pbmVyYXIgZGUgbm92bz8=,,W1NoYXduIE1jQ3VyZHldClRyb3RhbXVuZG9zLCDCv2EgZMOzbmRlIGZ1ZSBlc2UgbWluZXJhbCBncmFuZGUgeSBoZXJtb3NvLi4uPyAKwr9Db24gbGFzIG1hbm9zIHZhY8OtYXM/CsK/TmVjZXNpdGFtb3MgaXIgYSBleHRyYWVyIGRlIG51ZXZvPw==
GlMqDA,,U2VuZCBtZSBkb3duLg==,,,,,TWUgZW52aWUgcGFyYSBiYWl4by4=,,RW52w61hbWUgYWJham8u
G1MqDA,,W1NoYXduIE1jQ3VyZHldClRoaXMgdGltZSwgZG9uJ3QgbG9zZSBpdC4KV2F0Y2ggeW91ciBzdGVwLg==,,,,,W1NoYXduIE1jQ3VyZHldCkRlc3RhIHZleiwgbsOjbyBvIHBlcmNhLgpDdWlkYWRvIGNvbSBvbmRlIHBpc2Eu,,W1NoYXduIE1jQ3VyZHldCkVzdGEgdmV6LCBubyBsbyBwaWVyZGFzLgpDdWlkYWRvIGNvbiBlbCBwYXNvLg==
HFMqDA,,W1NoYXduIE1jQ3VyZHldCkknbSBpbnZlc3RpZ2F0aW5nIGhvdyB0byByZW9yZ2FuaXplIHRoaXMgcGxhY2UgZm9yIHVzZS4KT2YgY291cnNlLCBqdXN0IG1lIGxvb2tpbmcgYXJvdW5kIGxpZ2h0bHkgc28gdGhlIFNtYWxsIEJhbmRpdCBHcm91cCBkb24ndCBmaW5kIG91dC4=,,,,,W1NoYXduIE1jQ3VyZHldCkVzdG91IGludmVzdGlnYW5kbyBjb21vIHJlb3JnYW5pemFyIGVzdGUgbHVnYXIgcGFyYSB1c28uCkNsYXJvLCBhcGVuYXMgZXUgb2xoYW5kbyBsZXZlbWVudGUgcGFyYSBxdWUgb3MgQsO6ZmFsb3MgQmFuZGlkb3MgbsOjbyBkZXNjdWJyYW0u,,W1NoYXduIE1jQ3VyZHldCkVzdG95IGludmVzdGlnYW5kbyBjw7NtbyByZW9yZ2FuaXphciBlc3RlIGx1Z2FyIHBhcmEgdXNhcmxvLgpQb3Igc3VwdWVzdG8sIHNvbG8geW8gbWlyYW5kbyBhIGxhIGxpZ2VyYSBwYXJhIHF1ZSBlbCBQZXF1ZcOxbyBncnVwbyBkZSBiYW5kaWRvcyBubyBzZSBlbnRlcmUu
HVMqDA,,W1NoYXduIE1jQ3VyZHldCk5vdywgbGV0J3MgZ28gaW4gYmVmb3JlIHRoZSBTbWFsbCBCYW5kaXQgR3JvdXAgc2N1bSBmaW5kIHRoaXMgcGxhY2Uu,,,,,W1NoYXduIE1jQ3VyZHldCkFnb3JhLCB2YW1vcyBlbnRyYXIgYW50ZXMgcXVlIGEgZXNjw7NyaWEgZG9zIELDumZhbG9zIEJhbmRpZG9zIGVuY29udHJlbSBlc3RlIGx1Z2FyLg==,,W1NoYXduIE1jQ3VyZHldCkFob3JhLCBlbnRyZW1vcyBhbnRlcyBkZSBxdWUgbGEgZXNjb3JpYSBkZWwgUGVxdWXDsW8gZ3J1cG8gZGUgYmFuZGlkb3MgZW5jdWVudHJlIGVzdGUgbHVnYXIu
HlMqDA,,W1NoYXduIE1jQ3VyZHldCk5vdyBvbmx5IEFsYmVydCBGb3JkIHJlbWFpbnMuCkhlIG11c3QgYmUgYnVzeSBwcmVwYXJpbmcgdG8gYmVjb21lIHRoZSBTbWFsbCBCYW5kaXQgR3JvdXAgbGVhZGVyLCBhd2FpdGluZyBKb2hubnkgSmFtZXMncyBkZWF0aC4=,,,,,W1NoYXduIE1jQ3VyZHldCkFnb3JhIHPDsyByZXN0YSBBbGJlcnQgRm9yZC4KRWxlIGRldmUgZXN0YXIgb2N1cGFkbyBwcmVwYXJhbmRvLXNlIHBhcmEgc2UgdG9ybmFyIG8gbMOtZGVyIGRvcyBCw7pmYWxvcyBCYW5kaWRvcywgYWd1YXJkYW5kbyBhIG1vcnRlIGRlIEpvaG5ueSBKYW1lcy4=,,W1NoYXduIE1jQ3VyZHldCkFob3JhIHNvbG8gcXVlZGEgQWxiZXJ0IEZvcmQuCkRlYmUgZXN0YXIgb2N1cGFkbyBwcmVwYXLDoW5kb3NlIHBhcmEgY29udmVydGlyc2UgZW4gZWwgbMOtZGVyIGRlbCBQZXF1ZcOxbyBncnVwbyBkZSBiYW5kaWRvcywgZXNwZXJhbmRvIGxhIG11ZXJ0ZSBkZSBKb2hubnkgSmFtZXMu
H1MqDA,,W1NoYXduIE1jQ3VyZHldCkJ1dCB0aGV5IG1pZ2h0IGFscmVhZHkga25vdyBhYm91dCB0aGUgY29tbW90aW9uIGluIHRoZSBtaW5lIHNlYXJjaGluZyBmb3IgdGhlIGJveC4KSXQncyBvdXIgdHVybiB0byB0YWtlIGEgaGFyZGxpbmUgYXBwcm9hY2ggdGhpcyB0aW1lLg==,,,,,W1NoYXduIE1jQ3VyZHldCk1hcyBlbGVzIHBvZGVtIGrDoSBzYWJlciBzb2JyZSBvIHJlYnVsacOnbyBuYSBtaW5hIHByb2N1cmFuZG8gcGVsYSBjYWl4YS4Kw4kgYSBub3NzYSB2ZXogZGUgYXNzdW1pciB1bWEgYWJvcmRhZ2VtIGR1cmEgZGVzdGEgdmV6Lg==,,W1NoYXduIE1jQ3VyZHldClBlcm8gcG9kcsOtYW4gc2FiZXIgeWEgc29icmUgZWwgYWxib3JvdG8gZW4gbGEgbWluYSBidXNjYW5kbyBsYSBjYWphLgpFcyBudWVzdHJvIHR1cm5vIGRlIHRvbWFyIHVuIGVuZm9xdWUgZGUgbMOtbmVhIGR1cmEgZXN0YSB2ZXou
IFMqDA,,W1NoYXduIE1jQ3VyZHldCk9uIHRoZSB3YXksIF40RDRERkZ0YWtlIG91dCB0aGUgU21hbGwgQmFuZGl0IEdyb3VwIGFuZCBicmluZyBhYm91dCA1IEJyb3duIE11ZmZsZXJzIGFuZCBCYW5kaXQgU2NhcnZlc14wMDAwMDAuCkxldCdzIG1ha2UgQWxiZXJ0IEZvcmQgdW5hYmxlIHRvIG1vdmUh,,,,,W1NoYXduIE1jQ3VyZHldCk5vIGNhbWluaG8sIF40RDRERkZlbGltaW5lIG9zIELDumZhbG9zIEJhbmRpZG9zIGUgdHJhZ2EgY2VyY2EgZGUgNSBDYWNoZWPDs2lzIE1hcnJvbnMgZSBMZW7Dp29zIGRlIEJhbmRpZG9eMDAwMDAwLgpWYW1vcyBmYXplciBBbGJlcnQgRm9yZCBpbmNhcGF6IGRlIHNlIG1vdmVyIQ==,,W1NoYXduIE1jQ3VyZHldCkVuIGVsIGNhbWlubywgXjRENERGRmVsaW1pbmEgYWwgUGVxdWXDsW8gZ3J1cG8gZGUgYmFuZGlkb3MgeSB0cmFlIHVuYXMgNSBCdWZhbmRhcyBNYXJyb25lcyB5IFBhw7F1ZWxvcyBkZSBCYW5kaWRvXjAwMDAwMC4KwqFIYWdhbW9zIHF1ZSBBbGJlcnQgRm9yZCBubyBwdWVkYSBtb3ZlcnNlIQ==
IVMqDA,,W1NoYXduIE1jQ3VyZHldCklmIGV2ZW4gdGhpcyBlbnRyYW5jZSBpcyBkaXNjb3ZlcmVkLCBpdCdzIG92ZXIsIHNvIEknbSBiZWNvbWluZyBjYXV0aW91cyBteXNlbGYuCllvdSBiZSBjYXJlZnVsIHRvbywgYWR2ZW50dXJlci4=,,,,,W1NoYXduIE1jQ3VyZHldClNlIGF0w6kgZXN0YSBlbnRyYWRhIGZvciBkZXNjb2JlcnRhLCBhY2Fib3UsIGVudMOjbyBlc3RvdSBtZSB0b3JuYW5kbyBjYXV0ZWxvc28uClZvY8OqIHRhbWLDqW0gdGVuaGEgY3VpZGFkbywgdmlhamFudGUu,,W1NoYXduIE1jQ3VyZHldClNpIGluY2x1c28gZXN0YSBlbnRyYWRhIGVzIGRlc2N1YmllcnRhLCBzZSBhY2Fiw7MsIGFzw60gcXVlIHlvIG1pc21vIG1lIGVzdG95IHZvbHZpZW5kbyBjYXV0ZWxvc28uClTDuiB0YW1iacOpbiB0ZW4gY3VpZGFkbywgdHJvdGFtdW5kb3Mu
IlMqDA,,W1NoYXduIE1jQ3VyZHldClNoYWxsIHdlIGdldCB0byB3b3JrIHJpZ2h0IGF3YXk/CkZvbGxvdyB0aGlzIG5hcnJvdyBwYXRoLCBhbmQgdGhlcmUncyBhbiBvcmUgdmVpbi4KT3JlIGlzIHNjYXR0ZXJlZCBldmVyeXdoZXJlLCBzbyBwaWNrIGFwcHJvcHJpYXRlbHkKYW5kIG1pbmUganVzdCBeNEQ0REZGMSBQdXJwbGUgT3JlXjAwMDAwMC4=,,,,,W1NoYXduIE1jQ3VyZHldClZhbW9zIGNvbWXDp2FyIGEgdHJhYmFsaGFyIGltZWRpYXRhbWVudGU/ClNpZ2EgZXN0ZSBjYW1pbmhvIGVzdHJlaXRvLCBlIGjDoSB1bWEgdmllbGEgZGUgbWluw6lyaW9zLgpNaW7DqXJpbyBlc3TDoSBlc3BhbGhhZG8gcG9yIHRvZGEgcGFydGUsIGVudMOjbyBwZWd1ZSBhcHJvcHJpYWRhbWVudGUKZSBtaW5lcmUgYXBlbmFzIF40RDRERkYxIE1pbsOpcmlvIFJveG9eMDAwMDAwLg==,,W1NoYXduIE1jQ3VyZHldCsK/RW1wZXphbW9zIGEgdHJhYmFqYXIgYWhvcmEgbWlzbW8/ClNpZ3VlIGVzdGUgY2FtaW5vIGVzdHJlY2hvLCB5IGhheSB1bmEgdmV0YSBkZSBtaW5lcmFsLgpFbCBtaW5lcmFsIGVzdMOhIGVzcGFyY2lkbyBwb3IgdG9kYXMgcGFydGVzLCBhc8OtIHF1ZSBlbGlnZSBhcHJvcGlhZGFtZW50ZQp5IGV4dHJhZSBzb2xvIF40RDRERkYxIE1pbmVyYWwgUMO6cnB1cmFeMDAwMDAwLg==
I1MqDA,,W1NoYXduIE1jQ3VyZHldCkknbGwgZml4IHRoZSBwdWxsZXkgdXNlZCB0byBnbyB1cCBmcm9tIGhlcmUuCkl0IHdhcyBtYWRlIGFzIGEgdGVtcG9yYXJ5IG1lYXN1cmUsIHNvIHRoZSBzYWZldHkgaXMgYSBiaXQgbG93LiBIYWhhLi4=,,,,,W1NoYXduIE1jQ3VyZHldClZvdSBjb25zZXJ0YXIgYSBwb2xpYSB1c2FkYSBwYXJhIHN1YmlyIGRhcXVpLgpGb2kgZmVpdGEgY29tbyB1bWEgbWVkaWRhIHRlbXBvcsOhcmlhLCBlbnTDo28gYSBzZWd1cmFuw6dhIMOpIHVtIHBvdWNvIGJhaXhhLiBIYWhhLi4=,,W1NoYXduIE1jQ3VyZHldCkFycmVnbGFyw6kgbGEgcG9sZWEgcXVlIHVzYW1vcyBwYXJhIHN1YmlyIGRlc2RlIGFxdcOtLgpGdWUgaGVjaGEgY29tbyBtZWRpZGEgdGVtcG9yYWwsIGFzw60gcXVlIGxhIHNlZ3VyaWRhZCBlcyB1biBwb2NvIGJhamEuIEphamEuLg==
JFMqDA,,W1NoYXduIE1jQ3VyZHldCkdvb2QuIFRoaXMgc2hvdWxkIGJlIGVub3VnaCB0byB3b3JrIG9uIEFsYmVydC4KQ29tZSBvbiwgbGV0J3MgZ28gdXAu,,,,,W1NoYXduIE1jQ3VyZHldCkJvbS4gSXN0byBkZXZlIHNlciBzdWZpY2llbnRlIHBhcmEgdHJhYmFsaGFyIG5vIEFsYmVydC4KVmFtb3MsIHZhbW9zIHN1YmlyLg==,,W1NoYXduIE1jQ3VyZHldCkJpZW4uIEVzdG8gZGViZXLDrWEgc2VyIHN1ZmljaWVudGUgcGFyYSB0cmFiYWphciBlbiBBbGJlcnQuClZhbW9zLCBzdWJhbW9zLg==
JVMqDA,,W1NoYXduIE1jQ3VyZHldCllvdSwgYWR2ZW50dXJlciwgbWluZSBeNEQ0REZGMSBQdXJwbGUgT3JlXjAwMDAwMCBmaXJzdC4KSSBuZWVkIHRvIGZpeCB0aGUgcHVsbGV5IHdlIHVzZSB0byBnbyB1cC4=,,,,,W1NoYXduIE1jQ3VyZHldClZvY8OqLCB2aWFqYW50ZSwgbWluZXJlIF40RDRERkYxIE1pbsOpcmlvIFJveG9eMDAwMDAwIHByaW1laXJvLgpQcmVjaXNvIGNvbnNlcnRhciBhIHBvbGlhIHF1ZSB1c2Ftb3MgcGFyYSBzdWJpci4=,,W1NoYXduIE1jQ3VyZHldClTDuiwgYXZlbnR1cmVybywgZXh0cmFlIF40RDRERkYxIE1pbmVyYWwgUMO6cnB1cmFeMDAwMDAwIHByaW1lcm8uCk5lY2VzaXRvIGFycmVnbGFyIGxhIHBvbGVhIHF1ZSB1c2Ftb3MgcGFyYSBzdWJpci4=
JlMqDA,,W1NoYXduIE1jQ3VyZHldCkNoZWNrIGlmIHlvdSBoYXZlIGFsbCB0aGUgb3JlLgpTaGFsbCB3ZSBnbyB1cD8=,,,,,W1NoYXduIE1jQ3VyZHldClZlcmlmaXF1ZSBzZSB2b2PDqiB0ZW0gdG9kbyBvIG1pbsOpcmlvLgpWYW1vcyBzdWJpcj8=,,W1NoYXduIE1jQ3VyZHldClZlcmlmaWNhIHNpIHRpZW5lcyB0b2RvIGVsIG1pbmVyYWwuCsK/U3ViaW1vcz8=
J1MqDA,,WWVzLg==,,,,,U2ltLg==,,U8OtLg==
KFMqDA,,SSdsbCBnbyBtaW5lIGFnYWluLg==,,,,,Vm91IG1pbmVyYXIgZGUgbm92by4=,,SXLDqSBhIGV4dHJhZXIgZGUgbnVldm8u
KVMqDA,,W1NoYXduIE1jQ3VyZHldClRoZW4gd2UncmUgZ29pbmcgdXB+,,,,,W1NoYXduIE1jQ3VyZHldCkVudMOjbyBlc3RhbW9zIHN1YmluZG9+,,W1NoYXduIE1jQ3VyZHldCkVudG9uY2VzIGVzdGFtb3Mgc3ViaWVuZG9+
KlMqDA,,W1NoYXduIE1jQ3VyZHldCkknbGwgd2FpdCBoZXJlLg==,,,,,W1NoYXduIE1jQ3VyZHldClZvdSBlc3BlcmFyIGFxdWku,,W1NoYXduIE1jQ3VyZHldCkVzcGVyYXLDqSBhcXXDrS4=
K1MqDA,,W1NoYXduIE1jQ3VyZHldCkRpZCB0aGUgbmVnb3RpYXRpb24gZ28gd2VsbD8KTGV0J3MgcmV0dXJuIHRvIHRvd24gcXVpY2tseSEgUGVvcGxlIHdpbGwgYmUgd2FpdGluZy4=,,,,,W1NoYXduIE1jQ3VyZHldCkEgbmVnb2NpYcOnw6NvIGZvaSBib2E/ClZhbW9zIHZvbHRhciBwYXJhIGEgY2lkYWRlIHJhcGlkYW1lbnRlISBBcyBwZXNzb2FzIGVzdGFyw6NvIGVzcGVyYW5kby4=,,W1NoYXduIE1jQ3VyZHldCsK/RnVlIGJpZW4gbGEgbmVnb2NpYWNpw7NuPwrCoVJlZ3Jlc2Vtb3MgYWwgcHVlYmxvIHLDoXBpZG8hIExhIGdlbnRlIGVzdGFyw6EgZXNwZXJhbmRvLg==
LFMqDA,,W1NoYXduIE1jQ3VyZHldCklmIHlvdSBnbyB1cCBmcm9tIHRoZSBjZW50ZXIgb2YgdGhpcyBtaW5lLCB5b3UnbGwgc2VlIGEgYnJva2VuIGVsZXZhdG9yLgpEYW1uIGJhc3RhcmRzLiBJZiB0aGV5IGJyZWFrIGl0IGxpa2UgdGhhdCwgaG93IGRpZCB0aGV5IHBsYW4gdG8gZ2V0IHRoaXMgb3JlIG91dC4uLg==,,,,,W1NoYXduIE1jQ3VyZHldClNlIHZvY8OqIHN1YmlyIGRvIGNlbnRybyBkZXN0YSBtaW5hLCB2ZXLDoSB1bSBlbGV2YWRvciBxdWVicmFkby4KTWFsZGl0b3MgYmFzdGFyZG9zLiBTZSBlbGVzIHF1ZWJyYW0gYXNzaW0sIGNvbW8gcGxhbmVqYXJhbSB0aXJhciBlc3RlIG1pbsOpcmlvLi4uPw==,,W1NoYXduIE1jQ3VyZHldClNpIHN1YmVzIGRlc2RlIGVsIGNlbnRybyBkZSBlc3RhIG1pbmEsIHZlcsOhcyB1biBlbGV2YWRvciByb3RvLgpNYWxkaXRvcyBiYXN0YXJkb3MuIFNpIGxvIHJvbXBlbiBhc8OtLCDCv2PDs21vIHBsYW5lYWJhbiBzYWNhciBlc3RlIG1pbmVyYWwuLi4=
LVMqDA,,W1NoYXduIE1jQ3VyZHldCkFueXdheSwgdGhleSBhY3QgYWxsIGhpZ2ggYW5kIG1pZ2h0eSwKYnV0IHRoZW4gdGhleSdyZSBzbyBzdHVwaWQgYWJvdXQgdGhhdC4=,,,,,W1NoYXduIE1jQ3VyZHldCkRlIHF1YWxxdWVyIGZvcm1hLCBlbGVzIGFnZW0gY29tbyBzZSBmb3NzZW0gaW1wb3J0YW50ZXMsCm1hcyBlbnTDo28gc8OjbyB0w6NvIGVzdMO6cGlkb3Mgc29icmUgaXNzby4=,,W1NoYXduIE1jQ3VyZHldCkRlIHRvZG9zIG1vZG9zLCBhY3TDumFuIHRhbiBhcnJvZ2FudGVzLApwZXJvIGx1ZWdvIHNvbiB0YW4gZXN0w7pwaWRvcyBjb24gZXNvLg==
LlMqDA,,W1NoYXduIE1jQ3VyZHldCkNoZWNrIHRoZSBvcmUgbG9jYXRpb24gYW5kIGJyaW5nIG91dCBqdXN0IF40RDRERkYxIGJveCBvZiBvcmVeMDAwMDAwLgpJJ2xsIGhpZGUgb3IgbW92ZSB0aGUgcmVzdCBzZXBhcmF0ZWx5IGxhdGVyLg==,,,,,W1NoYXduIE1jQ3VyZHldClZlcmlmaXF1ZSBhIGxvY2FsaXphw6fDo28gZG8gbWluw6lyaW8gZSB0cmFnYSBhcGVuYXMgXjRENERGRjEgY2FpeGEgZGUgbWluw6lyaW9eMDAwMDAwLgpWb3UgZXNjb25kZXIgb3UgbW92ZXIgbyByZXN0byBzZXBhcmFkYW1lbnRlIGRlcG9pcy4=,,W1NoYXduIE1jQ3VyZHldClZlcmlmaWNhIGxhIHViaWNhY2nDs24gZGVsIG1pbmVyYWwgeSBzYWNhIHNvbG8gXjRENERGRjEgY2FqYSBkZSBtaW5lcmFsXjAwMDAwMC4KRXNjb25kZXLDqSBvIG1vdmVyw6kgZWwgcmVzdG8gcG9yIHNlcGFyYWRvIG3DoXMgdGFyZGUu
L1MqDA,,W1NoYXduIE1jQ3VyZHldCkFuZCB0aGUgb3JlIHN1cnJvdW5kaW5ncyBtaWdodCBiZSB3YXRjaGVkIGJ5IHRoZSBTbWFsbCBCYW5kaXQgR3JvdXAgdG9vLgpCZSBjYXJlZnVsIQ==,,,,,W1NoYXduIE1jQ3VyZHldCkUgb3MgYXJyZWRvcmVzIGRvIG1pbsOpcmlvIHBvZGVtIGVzdGFyIHNlbmRvIHZpZ2lhZG9zIHBlbG9zIELDumZhbG9zIEJhbmRpZG9zIHRhbWLDqW0uClRlbmhhIGN1aWRhZG8h,,W1NoYXduIE1jQ3VyZHldClkgbG9zIGFscmVkZWRvcmVzIGRlbCBtaW5lcmFsIHBvZHLDrWFuIGVzdGFyIHZpZ2lsYWRvcyBwb3IgZWwgUGVxdWXDsW8gZ3J1cG8gZGUgYmFuZGlkb3MgdGFtYmnDqW4uCsKhVGVuIGN1aWRhZG8h
MFMqDA,,W1NoYXduIE1jQ3VyZHldClRoZXJlJ3MgYSBicm9rZW4gZWxldmF0b3IgaW4gdGhlIG5vcnRoIGNlbnRyYWwgcGFydCBvZiB0aGlzIHBsYWNlLgpDaGVjayB0aGUgb3JlIGxvY2F0aW9uIGFuZCBicmluZyBvdXQganVzdCBeNEQ0REZGMSBib3ggb2Ygb3JlXjAwMDAwMC4KSSdsbCBoaWRlIG9yIG1vdmUgdGhlIHJlc3Qgc2VwYXJhdGVseSBsYXRlci4=,,,,,W1NoYXduIE1jQ3VyZHldCkjDoSB1bSBlbGV2YWRvciBxdWVicmFkbyBuYSBwYXJ0ZSBjZW50cm8tbm9ydGUgZGVzdGUgbHVnYXIuClZlcmlmaXF1ZSBhIGxvY2FsaXphw6fDo28gZG8gbWluw6lyaW8gZSB0cmFnYSBhcGVuYXMgXjRENERGRjEgY2FpeGEgZGUgbWluw6lyaW9eMDAwMDAwLgpWb3UgZXNjb25kZXIgb3UgbW92ZXIgbyByZXN0byBzZXBhcmFkYW1lbnRlIGRlcG9pcy4=,,W1NoYXduIE1jQ3VyZHldCkhheSB1biBlbGV2YWRvciByb3RvIGVuIGxhIHBhcnRlIGNlbnRyby1ub3J0ZSBkZSBlc3RlIGx1Z2FyLgpWZXJpZmljYSBsYSB1YmljYWNpw7NuIGRlbCBtaW5lcmFsIHkgc2FjYSBzb2xvIF40RDRERkYxIGNhamEgZGUgbWluZXJhbF4wMDAwMDAuCkVzY29uZGVyw6kgbyBtb3ZlcsOpIGVsIHJlc3RvIHBvciBzZXBhcmFkbyBtw6FzIHRhcmRlLg==
MVMqDA,,W1NoYXduIE1jQ3VyZHldCkFoLCBJIGxldCBteSBndWFyZCBkb3duLgpCdXQgd2VyZSB0aGV5IHBhdHJvbGxpbmcgYXJvdW5kIHRoZSBlbGV2YXRvcj8KSWYgdGhlcmUgYXJlIFNtYWxsIEJhbmRpdCBHcm91cCBvbiBndWFyZCwgdGFrZSB0aGVtIG91dCBmaXJzdCwgdGhlbiBnZXQgdGhlIG9yZS4=,,,,,W1NoYXduIE1jQ3VyZHldCkFoLCBldSBtZSBkaXN0cmHDrS4KTWFzIGVsZXMgZXN0YXZhbSBwYXRydWxoYW5kbyBlbSB2b2x0YSBkbyBlbGV2YWRvcj8KU2UgaG91dmVyIELDumZhbG9zIEJhbmRpZG9zIGRlIGd1YXJkYSwgZWxpbWluZS1vcyBwcmltZWlybywgZW50w6NvIHBlZ3VlIG8gbWluw6lyaW8u,,W1NoYXduIE1jQ3VyZHldCkFoLCBiYWrDqSBsYSBndWFyZGlhLgrCv1Blcm8gZXN0YWJhbiBwYXRydWxsYW5kbyBhbHJlZGVkb3IgZGVsIGVsZXZhZG9yPwpTaSBoYXkgUGVxdWXDsW8gZ3J1cG8gZGUgYmFuZGlkb3MgZGUgZ3VhcmRpYSwgZWxpbcOtbmFsb3MgcHJpbWVybywgbHVlZ28gdG9tYSBlbCBtaW5lcmFsLg==
MlMqDA,,W1NoYXduIE1jQ3VyZHldCkdvb2QuIFRoaXMgb3JlIGJveCBpcyB0aGUgcmlnaHQgb25lLgpeNEQ0REZGQWxiZXJ0IEZvcmReMDAwMDAwIHdpbGwgYmUgdmVyeSBleGNpdGVkIHdoZW4gaGUgc2VlcyB0aGlzLg==,,,,,W1NoYXduIE1jQ3VyZHldCkJvbS4gRXN0YSBjYWl4YSBkZSBtaW7DqXJpbyDDqSBhIGNlcnRhLgpeNEQ0REZGQWxiZXJ0IEZvcmReMDAwMDAwIGZpY2Fyw6EgbXVpdG8gYW5pbWFkbyBxdWFuZG8gdmlyIGlzdG8u,,W1NoYXduIE1jQ3VyZHldCkJpZW4uIEVzdGEgY2FqYSBkZSBtaW5lcmFsIGVzIGxhIGNvcnJlY3RhLgpeNEQ0REZGQWxiZXJ0IEZvcmReMDAwMDAwIGVzdGFyw6EgbXV5IGVtb2Npb25hZG8gY3VhbmRvIHZlYSBlc3RvLg==
M1MqDA,,W1NoYXduIE1jQ3VyZHldCkxldCdzIGdldCBvdXQgb2YgaGVyZSBiZWZvcmUgQWxiZXJ0IHdvbmRlcnMgd2h5IHRoZSBwYXRyb2xsaW5nIFNtYWxsIEJhbmRpdCBHcm91cCBhcmVuJ3QgcmV0dXJuaW5nLgpBaCwgYW5kIGFkdmVudHVyZXIsIHlvdSBuZWVkIHRvIF40RDRERkZtZWV0IEFsYmVydCBGb3JkIGFuZCBkZWxpdmVyIHRoZSBnb29kIG5ld3MsIHJpZ2h0P14wMDAwMDA=,,,,,W1NoYXduIE1jQ3VyZHldClZhbW9zIHNhaXIgZGFxdWkgYW50ZXMgcXVlIG8gQWxiZXJ0IHNlIHBlcmd1bnRlIHBvciBxdWUgb3MgQsO6ZmFsb3MgQmFuZGlkb3MgbsOjbyBlc3TDo28gdm9sdGFuZG8uCkFoLCBlIHZpYWphbnRlLCB2b2PDqiBwcmVjaXNhIF40RDRERkZlbmNvbnRyYXIgQWxiZXJ0IEZvcmReMDAwMDAwLg==,,W1NoYXduIE1jQ3VyZHldClNhbGdhbW9zIGRlIGFxdcOtIGFudGVzIGRlIHF1ZSBBbGJlcnQgc2UgcHJlZ3VudGUgcG9yIHF1w6kgbG9zIFBlcXVlw7FvIGdydXBvIGRlIGJhbmRpZG9zIHBhdHJ1bGxhbmRvIG5vIHJlZ3Jlc2FuLgpBaCwgeSBhdmVudHVyZXJvLCBuZWNlc2l0YXMgXjRENERGRmVuY29udHJhcnRlIGNvbiBBbGJlcnQgRm9yZCB5IGVudHJlZ2FyIGxhcyBidWVuYXMgbm90aWNpYXMsIMK/dmVyZGFkP14wMDAwMDA=
NFMqDA,,W1NoYXduIE1jQ3VyZHldCk9uIHRoZSB3YXksIF40RDRERkZ0YWtlIG91dCB0aGUgU21hbGwgQmFuZGl0IEdyb3VwIGFuZCBicmluZyBhYm91dCA1IEJyb3duIE11ZmZsZXJzIGFuZCBCYW5kaXQgU2NhcnZlc14wMDAwMDAu,,,,,W1NoYXduIE1jQ3VyZHldCk5vIGNhbWluaG8sIF40RDRERkZlbGltaW5lIG9zIELDumZhbG9zIEJhbmRpZG9zIGUgdHJhZ2EgY2VyY2EgZGUgNSBDYWNoZWPDs2lzIE1hcnJvbnMgZSBMZW7Dp29zIGRlIEJhbmRpZG9eMDAwMDAwLg==,,W1NoYXduIE1jQ3VyZHldCkVuIGVsIGNhbWlubywgXjRENERGRmVsaW1pbmEgYWwgUGVxdWXDsW8gZ3J1cG8gZGUgYmFuZGlkb3MgeSB0cmFlIHVuYXMgNSBCdWZhbmRhcyBNYXJyb25lcyB5IFBhw7F1ZWxvcyBkZSBCYW5kaWRvXjAwMDAwMC4=
