QEuBDA,,SW5uIEVtcGxveWVl,,,,,Q2FtYXJlaXJh,,RW1wbGVhZG8gZGUgcG9zYWRh
u0uBDA,,U3RpbGw/,,,,,QWluZGEgbsOjbz8=,,wr9Ub2RhdsOtYT8=
vEuBDA,,W0Vpbmhhcl0KWWVzLiBUaGlzIGlzIGEgcGFydCBvZiB0aGUgcHJvY2VzcyBvZiByZXR1cm5pbmcgdG8gSGlzIGVtYnJhY2UuCkFzIGFuIElucXVpc2l0b3IsIHlvdSdsbCBoYXZlIHRvIGV4b3JjaXNlIGV2aWwgY3JlYXR1cmVzIG92ZXIgYW5kIG92ZXIgYWdhaW4uIFlvdSBoYXZlIHRvIGdldCB1c2VkIHRvIGl0Lg==,,,,,W0Vpbmhhcl0KU2ltLiBFc3RlIMOpIG8gcHJvY2Vzc28gZGUgcmV0b3JubyDDoCBncmHDp2EgZGUgT2Rpbi4KQSByZXBldGnDp8OjbyBkb3Mgcml0dWFpcyBkZSBleG9yY2lzbW8gc2UgdG9ybmFyw6EgY290aWRpYW5hIGRhcXVpIGVtIGRpYW50ZS4gUHJlY2lzYSBzZSBhY29zdHVtYXIgY29tIGlzc28u,,W0Vpbmhhcl0KQXPDrSBlcy4gRXN0ZSBlcyBlbCBwcm9jZXNvIHBhcmEgcmVncmVzYXIgYWwgc2VubyBkZSBsb3MgZGlvc2VzLgpMYXMgcmVwZXRpZGFzIGV4b3JjaXNtb3Mgc2UgY29udmVydGlyw6FuIGVuIHR1IHJ1dGluYSBkaWFyaWEuIE5lY2VzaXRhcyBhY29zdHVtYnJhcnRlIGEgZXNvLg==
vUuBDA,,W0Vpbmhhcl0KPEI+T25lIG1vcmUgdGltZTwvQj4sIHBsZWFzZSBkZWZlYXQgdGhlIG1vbnN0ZXIgaW4gdGhlIHVuZGVyZ3JvdW5kIHdhcmQuCkkgd2lsbCBvcGVuIHRoZSBwYXNzYWdlIGFnYWluIGZvciB5b3Uu,,,,,W0Vpbmhhcl0KPEI+TWFpcyB1bWEgdmV6PC9CPiwgcG9yIGZhdm9yLCBkZXJyb3RlIG8gbW9uc3RybyBkZW50cm8gZGEgY2F0YWN1bWJhLgpWb3UgYWJyaXIgbyBsb2NhbCBub3ZhbWVudGUgcGFyYSB2b2PDqi4=,,W0Vpbmhhcl0KPEI+VW5hIHZleiBtw6FzPC9CPiwgcG9yIGZhdm9yLCBkZXJyb3RhIGEgbG9zIG1vbnN0cnVvcyBkZW50cm8gZGVsIGJhcnJpZXIgc3VidGVycsOhbmVvLgpUZSB2b2x2ZXLDqSBhIGFicmlyIGVsIHBhc2FqZS4=
vkuBDA,,SSdtIGdldHRpbmcgdGlyZWQgb2YgdGhpcy4=,,,,,UXVlIGNoYXRpY2UuLi4=,,UXXDqSBhYnVycmlkby4uLg==
v0uBDA,,SXMgdGhpcyB0aGUgbGFzdCB0aW1lPw==,,,,,w4kgYSDDumx0aW1hIHZlej8=,,wr9FcyBlc3RhIGxhIMO6bHRpbWE/
wEuBDA,,SSB3aWxsIQ==,,,,,Vm91IGZhemVyIGlzc28h,,wqFMbyBoYXLDqSE=
wUuBDA,,W0Vpbmhhcl0KSWYgeW91IHF1aXQgbm93LCB5b3Ugd29uJ3QgYWNoaWV2ZSBhbnl0aGluZy4KRXZlcnl0aGluZyB5b3UndmUgZG9uZSBzbyBmYXIgd2lsbCBnbyB0byB3YXN0ZS4gUGxlYXNlIGJlIHJlc29sdXRlIGFuZCBjYXJyeSBvbi4=,,,,,W0Vpbmhhcl0KU2UgZGVzaXN0aXIgYWdvcmEsIG7Do28gdmFpIGNvbnNlZ3VpciBuYWRhLgpUdWRvIG8gcXVlIGZleiBhdMOpIGFnb3JhIHNlcsOhIGVtIHbDo28uIFBvciBpc3NvLCBjb250aW51ZSBkYW5kbyBvIHNldSBtZWxob3Iu,,W0Vpbmhhcl0KU2kgbG8gZGVqYXMgYWhvcmEsIG5vIGxvZ3JhcsOhcyBuYWRhLgpUb2RvIGxvIHF1ZSBoYXMgaGVjaG8gaGFzdGEgYWhvcmEgc2UgZWNoYXLDoSBhIHBlcmRlci4gQXPDrSBxdWUgc2lndWUgZXNmb3J6w6FuZG90ZS4=
wkuBDA,,W0Vpbmhhcl0KRXZlbiBpZiB0aGlzIHdhcyB0aGUgbGFzdCB0aW1lLCBpdCdkIGJlIHRoZSBsYXN0IHRpbWUgZm9yIHRvZGF5LgpZb3Ugd2lsbCBoYXZlIHRvIGZpZ2h0IHRoZSBzYW1lIGVuZW1pZXMgb3ZlciBhbmQgb3ZlciBhZ2FpbiBhcyBhbiBleG9yY2lzdC4KU28sIHRoZSBiZXR0ZXIgYW5zd2VyIHdvdWxkIGJlIHRvIHRlbGwgeW91IHRoYXQgdGhpcyBpcyBqdXN0IHRoZSBiZWdpbm5pbmcsIG5vdCB0aGUgZW5kLg==,,,,,W0Vpbmhhcl0KTWVzbW8gcXVlIGVzdGEgc2VqYSBhIMO6bHRpbWEgcHJvdmEsIGV4b3JjaXNtb3MgY29tbyBlc3RlIGNvbnRpbnVhcsOjbyBhIGFjb250ZWNlciBubyBmdXR1cm8uCkVudMOjbywgZW0gdmV6IGRlIGRpemVyIHF1ZSDDqSBvIGZpbSwgZGV2byByZXNwb25kZXIgcXVlIGlzdG8gw6kgYXBlbmFzIG8gY29tZcOnby4=,,W0Vpbmhhcl0KQXVucXVlIGVzdGEgcHJ1ZWJhIHNlYSBsYSDDumx0aW1hLCBsYXMgZXhvcmNpemFjaW9uZXMgY29tbyBlc3RhIHNlZ3VpcsOhbiBvY3VycmllbmRvIGVuIGVsIGZ1dHVyby4KQXPDrSBxdWUsIGVuIGx1Z2FyIGRlIGRlY2lyIHF1ZSBlcyBsYSDDumx0aW1hLCB0ZW5nbyBxdWUgZGVjaXJ0ZSBxdWUgZXN0byBhcGVuYXMgZXMgZWwgY29taWVuem8u
w0uBDA,,W0Vpbmhhcl0KVGhhdCdzIHRoZSBzcGlyaXQhIEkndmUgYmVlbiB3YWl0aW5nIGZvciB0aGF0IGFuc3dlci4=,,,,,W0Vpbmhhcl0KUXVlIMOibmltbyEgRXJhIGEgcmVzcG9zdGEgcXVlIGV1IGVzcGVyYXZhLg==,,W0Vpbmhhcl0KUXXDqSBidWVuIMOhbmltby4gRXJhIGxhIHJlc3B1ZXN0YSBxdWUgZXN0YWJhIGVzcGVyYW5kby4=
xEuBDA,,W0Vpbmhhcl0KVGhpcyBpcyBwYXJ0IG9mIHRoZSBwcm9jZXNzIG9mIHJldHVybmluZyB0byBIaXMgZW1icmFjZS4KUmVwZWF0ZWQgZXhvcmNpc21zIHdpbGwgYmVjb21lIHlvdXIgZGFpbHkgcm91dGluZS4gWW91IG11c3QgZ2V0IHVzZWQgdG8gaXQu,,,,,W0Vpbmhhcl0KRXN0ZSDDqSBvIHByb2Nlc3NvIHBhcmEgdm9sdGFyIMOgIGdyYcOnYSBkZSBPZGluLgpBcyByZWNvcnJlbnRlcyBtaXNzw7VlcyBkZSBleG9yY2lzbW8gc2UgdG9ybmFyw6NvIGEgc3VhIHJvdGluYSBkYXF1aSBwYXJhIGZyZW50ZS4gUHJlY2lzYXLDoSBzZSBhY29zdHVtYXIgY29tIGlzc28u,,W0Vpbmhhcl0KRXN0ZSBlcyBlbCBwcm9jZXNvIGRlIHJlZ3Jlc2FyIGFsIHNlbm8gZGUgbG9zIGRpb3Nlcy4KTGFzIGV4cGVkaWNpb25lcyBkZSBleG9yY2lzbW8gcmVwZXRpZGFzIHNlIGNvbnZlcnRpcsOhbiBlbiB0dSBydXRpbmEgZGlhcmlhLiBOZWNlc2l0YXMgYWNvc3R1bWJyYXJ0ZSBhIGVzby4=
xUuBDA,,W0Vpbmhhcl0KSSB3aXRuZXNzZWQgeW91ciBkZWZlYXQgb2YgdGhhdCBoZWlub3VzIG1vbnN0ZXIuIFlvdXIgc2tpbGwgc2hpbmVzIGJyaWxsaWFudGx5LgpUaGVuLCA8Qj5vbmNlIG1vcmU8L0I+Li4uLi4uLA==,,,,,W0Vpbmhhcl0KVmkgY29tbyB2b2PDqiBkZXJyb3RvdSBhcXVlbGUgbW9uc3RybyB0ZXJyw612ZWwuIEEgc3VhIGRlc3RyZXphIGJyaWxoYSBkZSBmb3JtYSBkZXNsdW1icmFudGUuCkVudMOjbywgPEI+bWFpcyB1bWEgdmV6PC9CPi4uLi4uLg==,,W0Vpbmhhcl0KSGUgdmlzdG8gYmllbiBjw7NtbyBkZXJyb3RhcyBhIGVzZSBtb25zdHJ1byBhdHJvei4gVHUgZGVzdHJlemEgYnJpbGxhIGRlIG1hbmVyYSBkZXNsdW1icmFudGUuCkVudG9uY2VzLCA8Qj51bmEgdmV6IG3DoXM8L0I+Li4uLi4uLA==
xkuBDA,,QWdhaW4/IQ==,,,,,RGUgbm92bz8h,,wqHCv090cmEgdmV6PyE=
x0uBDA,,W1NlcmlhbmddClNoZWVzaCwgRWluaGFyLiBXZWxjb21lIHRoZSBuZXcgSW5xdWlzaXRvciBhbHJlYWR5LgpUaGV5J3ZlIHByb3ZlZCB0aGVtc2VsdmVzIHBsZW50eS4gV2h5IGFyZSB5b3UgdG9ydHVyaW5nIHRoZW0/,,,,,W1NlcmFuZ10KQWksIEVpbmhhci4gRMOqIGxvZ28gYXMgYm9hcy12aW5kYXMgYW8gbm92byBJbnF1aXNpZG9yIQpBY2hvIHF1ZSBqw6EgZm9yYW0gcHJvdmFzIG8gc3VmaWNpZW50ZS4gUG9yIHF1ZSBmaWNhciBhdG9ybWVudGFuZG8gdGFudG8/,,W1NlcnlhbmddClZheWEsIEVpbmhhci4gwr9ObyBlc3TDoXMgZGFuZG8gbGEgYmllbnZlbmlkYSBhIHVuIG51ZXZvIGlucXVpc2lkb3I/CllhIGhhIGhhYmlkbyBzdWZpY2llbnRlIHBydWViYS4gwr9Qb3IgcXXDqSB0ZSBlc2NvbmRlcyB5IG1lIGF0b3JtZW50YXM/
yEuBDA,,W0Vpbmhhcl0KLi4uSSdkIGxpa2UgdG8gc2F5IG9uZSBtb3JlIHRpbWUsIGJ1dCB0aGUgdGVzdCBlbmRzIGhlcmUuClRvcnR1cmU/IE5vLiBJIGp1c3Qgd2FudGVkIHRvIGNoZWNrIHRoZWlyIGZpcm1uZXNzIG9mIGhlYXJ0IG9uZSBtb3JlIHRpbWUsIFNlcmlhbmcu,,,,,W0Vpbmhhcl0KLi4uLi4uR29zdGFyaWEgZGUgZGl6ZXIg4oCcbWFpcyB1bWEgdmV64oCdLCBtYXMgbyB0ZXN0ZSB0ZXJtaW5hIHBvciBhcXVpLgpBdG9ybWVudGFyPyDDiSBhcGVuYXMgcGFyYSBjb25maXJtYXIgYSBmw6kgZGVsZXMsIFNlcmFuZy4=,,W0Vpbmhhcl0KLi4uLi4uTWUgZ3VzdGFyw61hIGRlY2lyIMKrb3RyYSB2ZXrCuywgcGVybyBsYSBwcnVlYmEgdGVybWluYSBhcXXDrS4Kwr9RdWUgbG8gZXN0b3kgYXRvcm1lbnRhbmRvPyBTb2xvIHF1aWVybyBjb25maXJtYXIgdW5hIHZleiBtw6FzIHF1ZSB0aWVuZXMgdW4gY29yYXrDs24gZmlybWUsIFNlLXJ5YW5nLg==
yUuBDA,,W0Vpbmhhcl0KQnV0IGFzIFNlcmlhbmcgc2FpZCwgdGhlIHRlc3Qgc2VlbXMgc3VmZmljaWVudC4KSGVhcmluZyBTZXJpYW5nJ3Mgc3RvcnkgYW5kIGNvbWluZyB0byBtZSBjb25maXJtZWQgaG93IGRlc3BlcmF0ZWx5IHlvdSB3YW50ZWQgdG8gZ3Jvdy4=,,,,,W0Vpbmhhcl0KTWFzLCBjb21vIHZvY8OqIGRpc3NlLCBqw6EgY2hlZ2EgZGUgcHJvdmFzLgpBbyBvdXZpciBzdWEgaGlzdMOzcmlhIGUgdmVyIGNvbW8gdm9jw6ogdmVpbyBhdMOpIG1pbSwgcGVyY2ViaSBxdWUgdm9jw6ogcmVhbG1lbnRlIGRlc2VqYSBjcmVzY2VyLg==,,W0Vpbmhhcl0KUGVybywgY29tbyBkaWNlcywgU2VyeWFuZywgcGFyZWNlIHF1ZSB5YSBoYSBoYWJpZG8gc3VmaWNpZW50ZXMgcHJ1ZWJhcy4KQWwgZXNjdWNoYXIgdHUgaGlzdG9yaWEgeSB2ZXIgY8OzbW8gdmluaXN0ZSBhIGJ1c2Nhcm1lLCBtZSBkaSBjdWVudGEgZGUgcXVlIGRlc2VhYmFzIGNyZWNlciBjb24gdG9kYXMgdHVzIGZ1ZXJ6YXMu
ykuBDA,,W0Vpbmhhcl0KQW5kIGhlcmUsIGF0IFN0LiBDYXBpdG9saW5hIEFiYmV5LCBJIHdpdG5lc3NlZCB5b3VyIHJlcGVhdGVkIGRlZmVhdHMgb2YgdGhlIHNlYWxlZCBtb25zdGVyLCBjb25maXJtaW5nIHlvdXIgd2lsbCBhbmQgeW91ciBzdGVhZGZhc3QgZGV2b3Rpb24gdG8gT2Rpbi4=,,,,,W0Vpbmhhcl0KRSBhcXVpLCBuYSBBYmFkaWEgZGUgU2FudGEgQ2FwaXRvbGluYSwgYW8gdGUgdmVyIGRlcnJvdGFyIG8gbW9uc3RybywgY29uZmlybWVpIHN1YSBkZXRlcm1pbmHDp8OjbyBlIG8gdGV1IGNvcmHDp8OjbyB2b2x0YWRvIHBhcmEgT2Rpbi4=,,W0Vpbmhhcl0KWSBhbCB2ZXIgY8OzbW8gZGVycm90YWJhcyB1bmEgeSBvdHJhIHZleiBhIGxvcyBtb25zdHJ1b3Mgc2VsbGFkb3MgYXF1w60sIGVuIGVsIG1vbmFzdGVyaW8gZGUgU2FudGEgQ2FwaXRvbGluYSwgaGUgY29tcHJvYmFkbyB0dSB2b2x1bnRhZCB5IHR1IGZpcm1lIGRldm9jacOzbiBwb3IgT2TDrW4u
y0uBDA,,W0Vpbmhhcl0KWW91IHBvc3Nlc3MgdGhlIHF1YWxpZmljYXRpb25zIHRvIGJlIGFuIElucXVpc2l0b3IuCk5vdywgbGV0IHVzIHByb2NlZWQgd2l0aCB0aGUgY2VyZW1vbnkgdG8gc3dlYXIgeW91IGluLg==,,,,,W0Vpbmhhcl0Kw4kgdW1hIHF1YWxpZmljYcOnw6NvIG1haXMgZG8gcXVlIHN1ZmljaWVudGUgcGFyYSB1bSBJbnF1aXNpZG9yLgpFbnTDo28sIHZhbW9zIHJlYWxpemFyIGFxdWkgbyByaXR1YWwgZGUgcmVuYXNjaW1lbnRvIGRvcyBJbnF1aXNpZG9yZXMu,,W0VpbmFoYXJdClRpZW5lcyBsYXMgY3VhbGlkYWRlcyBuZWNlc2FyaWFzIHBhcmEgc2VyIHVuIElucXVpc2lkb3IuCkVudG9uY2VzLCB2YW1vcyBhIGNlbGVicmFyIGFxdcOtIG1pc21vIGxhIGNlcmVtb25pYSBlbiBsYSBxdWUgcmVuYWNlcsOhcyBjb21vIG51ZXZvIElucXVpc2lkb3Iu
zEuBDA,,W0Vpbmhhcl0KTGlnaHRlbiB5b3VyIG1pbmQgYW5kIGJvZHksIGRpc21vdW50LCBhbmQgdGhlbiByZXR1cm4uCklmIHlvdSBzdGlsbCBoYXZlIHVuZmluaXNoZWQgYnVzaW5lc3Mgb3IgdW5jb21wbGV0ZWQgdHJhaW5pbmcgYXMgYSBTdXJhLCBwbGVhc2UgY29tcGxldGUgaXQgYWxsIGJlZm9yZSByZXR1cm5pbmcu,,,,,W0Vpbmhhcl0KTGltcGUgc2V1IGNvcnBvIGUgc3VhIG1lbnRlIHBhcmEgcXVlIG7Do28gZmlxdWVtIGV4Y2Vzc2l2YW1lbnRlIHBlc2Fkb3MsIGRlc8OnYSBkZSBzdWEgbW9udGFyaWEgZSBlbnTDo28gcmV0b3JuZS4KU2UgYWluZGEgaG91dmVyIGFsZ3VtYSB0YXJlZmEgcXVlIG7Do28gdGVuaGEgY3VtcHJpZG8gb3UgYWxndW0gdHJlaW5vIHF1ZSBuw6NvIHRlbmhhIGNvbmNsdcOtZG8gY29tbyBTaHVyYSwgY29uY2x1YSBlIHJldG9ybmUu,,W0Vpbmhhcl0KUHJlcMOhcmF0ZSwgc2luIHF1ZSB0dSBjdWVycG8gbmkgdHUgbWVudGUgZXN0w6luIGRlbWFzaWFkbyBhZ29iaWFkb3MsIGJhamEgZGUgdHUgbW9udHVyYSB5IHZ1ZWx2ZSBhcXXDrS4KU2kgYcO6biB0ZSBxdWVkYW4gdGFyZWFzIHBlbmRpZW50ZXMgbyBwcsOhY3RpY2FzIHF1ZSBubyBoYXlhcyBjb21wbGV0YWRvIGNvbW8gc3VyYSwgdGVybWluYSBjb24gdG9kbyBlc28gYW50ZXMgZGUgcmVncmVzYXIu
zUuBDA,,W0Vpbmhhcl0KQWZ0ZXIgdGhhdCwgcGxlYXNlIHJldHVybiB0byBtZS4gSSB3aWxsIHBlcmZvcm0gdGhlIGNlcmVtb255Lg==,,,,,W0Vpbmhhcl0KRGVwb2lzIGRpc3NvLCB2b2x0ZSBhdMOpIG1pbS4gSXJlaSByZWFsaXphciBhIGNlcmltw7RuaWEu,,W0Vpbmhhcl0KRGVzcHXDqXMgZGUgZXNvLCByZWdyZXNlbiBjb25taWdvLiBQcm9jZWRlcsOpIGEgbGxldmFyIGEgY2FibyBsYSBjZXJlbW9uaWEu
zkuBDA,,W0Vpbmhhcl0KVGhlIHRlc3QgaXMgb3Zlci4gTm93LCBsaWdodGVuIHlvdXIgbWluZCBhbmQgYm9keSwgZGlzbW91bnQsIGFuZCBjb21lIGJhY2sgdG8gbWUuCklmIHlvdSBzdGlsbCBoYXZlIHRoaW5ncyB0byBkbyBhcyBhIFN1cmEsIHBsZWFzZSBjb21wbGV0ZSB0aGVtIGFzIHdlbGwu,,,,,W0Vpbmhhcl0KTyB0ZXN0ZSBlc3TDoSBlbmNlcnJhZG8uIEFnb3JhLCBsaW1wZSBzZXUgY29ycG8gZSBzdWEgbWVudGUgcGFyYSBxdWUgbsOjbyBmaXF1ZW0gZXhjZXNzaXZhbWVudGUgcGVzYWRvcywgZGVzw6dhIGRlIHN1YSBtb250YXJpYSBlIHJldG9ybmUgcGFyYSBtaW0uClNlIGFpbmRhIGhvdXZlciBhbGd1bWEgdGFyZWZhIHF1ZSBuw6NvIHRlbmhhIGN1bXByaWRvIG91IGFsZ3VtIHRyZWlubyBxdWUgbsOjbyB0ZW5oYSBjb25jbHXDrWRvIGNvbW8gU2h1cmEsIGNvbmNsdWEgZSByZXRvcm5lLg==,,W0Vpbmhhcl0KTGEgcHJ1ZWJhIGhhIHRlcm1pbmFkby4gQnVlbm8sIG9yZGVuYSB0dSBjdWVycG8geSB0dSBtZW50ZSBwYXJhIHF1ZSBubyBlc3TDqW4gZGVtYXNpYWRvIGNhcmdhZG9zLCBiYWphIGRlIHR1IG1vbnR1cmEgeSB2dWVsdmUgYSB2ZXJtZS4KU2kgYcO6biB0ZSBxdWVkYSBhbGdvIHBvciBoYWNlciBvIGFsZ3VuYSB0YXJlYSBzaW4gY29tcGxldGFyIGNvbW8gQXN1cmEsIHRlcm1pbmEgdG9kbyBlc28gYW50ZXMgZGUgdmVuaXIu
z0uBDA,,W0Vpbmhhcl0KVGhlbiwgbGV0IG1lIGd1aWRlIHlvdSB0byB0aGUgdW5kZXJncm91bmQgd2FyZCBpbiB0aGUgYWJiZXku,,,,,W0Vpbmhhcl0KRW50w6NvLCB2b3UgdGUgZ3VpYXIgYXTDqSBvIHN1YnRlcnLDom5lbyBkYSBhYmFkaWEu,,W0Vpbmhhcl0KRW50b25jZXMsIHRlIGd1aWFyw6kgYWwgaW50ZXJpb3IgZGVsIGJhcnJpZXIgc3VidGVycsOhbmVvIGRlbCBtb25hc3RlcmlvLg==
0EuBDA,,UmVxdWVzdCB0byBlbnRlciB0aGUgdW5kZXJncm91bmQgd2FyZA==,,,,,Q3JpYXIgaW5zdMOibmNpYQ==,,U29saWNpdHVkIGRlIGluZ3Jlc28gYWwgcmVjaW50byBzdWJ0ZXJyw6FuZW8=
0UuBDA,,RW50ZXIgdGhlIFVuZGVyZ3JvdW5kIFdhcmQ=,,,,,RW50cmFyIG5hcyBDYXRhY3VtYmFz,,RW50cmFyIGFsIHJlY2ludG8gc3VidGVycsOhbmVv
0kuBDA,,QWJiZXkgVW5kZXJncm91bmQgV2FyZA==,,,,,QmFycmVpcmEgU3VidGVycsOibmVhIGRhIEFiYWRpYQ==,,QmFycmVyYSBzdWJ0ZXJyw6FuZWEgZGVsIG1vbmFzdGVyaW8=
00uBDA,,XjAwMDBGRlRoZSBKb2IgQ2hhbmdlIHRlc3QgY2FuIG9ubHkgYmUgdGFrZW4gaW4gYSBwYXJ0eSBvZiAxLl4wMDAwMDA=,,,,,XjAwMDBGRk8gdGVzdGUgZGUgbXVkYW7Dp2EgZGUgY2xhc3NlIHPDsyBwb2RlIHNlciByZWFsaXphZG8gZW0gZ3J1cG8gZGUgMSBwZXNzb2EuXjAwMDAwMA==,,XjAwMDBGRkxhIHBydWViYSBkZSBjYW1iaW8gZGUgY2xhc2Ugc29sbyBzZSBwdWVkZSByZWFsaXphciBlbiB1biBncnVwbyBkZSAxIHBlcnNvbmEuXjAwMDAwMA==
1EuBDA,,W0Vpbmhhcl0KT25seSB0aGUgbGVhZGVyIG9mIGEgcGFydHkgb2YgMSBjYW4gYXBwbHkgdG8gZW50ZXIuClBsZWFzZSBmb3JtIGEgcGFydHkgZmlyc3Qu,,,,,W0Vpbmhhcl0KQXBlbmFzIG8gbMOtZGVyIGRvIGdydXBvIHBvZGUgc29saWNpdGFyIGEgZW50cmFkYS4KRm9ybWUgdW0gZ3J1cG8gZSB0ZW50ZSBub3ZhbWVudGUu,,W0Vpbmhhcl0KU29sbyBlbCBsw61kZXIgZGUgdW4gZ3J1cG8gZGUgMSBwZXJzb25hIHB1ZWRlIHNvbGljaXRhciBsYSBlbnRyYWRhLgpGb3JtYSB1biBncnVwbyB5IHZ1ZWx2ZSBhIGludGVudGFybG8u
1UuBDA,,W0Vpbmhhcl0KUmVxdWVzdCBmYWlsZWQuIFBsZWFzZSB0cnkgYWdhaW4gbGF0ZXIu,,,,,W0Vpbmhhcl0KQSBzb2xpY2l0YcOnw6NvIGZhbGhvdS4gVGVudGUgbm92YW1lbnRlIGRhcXVpIGEgcG91Y28u,,W0Vpbmhhcl0KTGEgc29saWNpdHVkIGhhIGZhbGxhZG8uIEludMOpbnRhbG8gZGUgbnVldm8gZW4gdW5vcyBtb21lbnRvcy4=
1kuBDA,,W0Vpbmhhcl0KWW91ciBhcHBsaWNhdGlvbiB3YXMgc3VjY2Vzc2Z1bC4gUGxlYXNlIHNlbGVjdCAnRW50ZXIgVW5kZXJncm91bmQgUmVhbG0nIHRvIHByb2NlZWQu,,,,,W0Vpbmhhcl0KQSBzb2xpY2l0YcOnw6NvIGZvaSBiZW0tc3VjZWRpZGEuIFNlbGVjaW9uZSDigJxFbnRyYXIgbmFzIENhdGFjdW1iYXPigJ0gcGFyYSBlbnRyYXIu,,W0Vpbmhhcl0KTGEgc29saWNpdHVkIHNlIGhhIHJlYWxpemFkbyBjb24gw6l4aXRvLiBTZWxlY2Npb25hIMKrRW50cmFyIGFsIHJlY2ludG8gc3VidGVycsOhbmVvwrsgcGFyYSBhY2NlZGVyLg==
10uBDA,,U3VyYSB7MH0gaXMgZW50ZXJpbmcgdGhlIHsxfS4=,,,,,ezB9IGVzdMOhIGVudHJhbmRvIGVtIHsxfS4=,,ezB9IGRlIFN1cmEgZXN0w6EgZW50cmFuZG8gZW4gezF9Lg==
2EuBDA,,W0Vpbmhhcl0KWW91IGNhbiBvbmx5IGVudGVyIHRoaXMgTWVtb3JpYWwgRHVuZ2VvbiBhZnRlciB5b3VyIHBhcnR5IGxlYWRlciBjcmVhdGVkIGl0LiBQbGVhc2UgY2hlY2sgYWdhaW4u,,,,,W0Vpbmhhcl0KTyBsw61kZXIgZG8gZ3J1cG8gcHJlY2lzYSBjcmlhciBhIEluc3TDom5jaWEgcGFyYSBxdWUgcG9zc2EgZW50cmFyLiBWZXJpZmlxdWUgbm92YW1lbnRlLg==,,W0Vpbmhhcl0KRWwgbMOtZGVyIGRlbCBncnVwbyBkZWJlIGNyZWFyIGxhIG1hem1vcnJhIGNvbm1lbW9yYXRpdmEgcGFyYSBwb2RlciBlbnRyYXIuIFBvciBmYXZvciwgY29tcHJ1w6liYWxvIGRlIG51ZXZvLg==
2UuBDA,,W0Vpbmhhcl0KTm8gTWVtb3JpYWwgRHVuZ2VvbiBleGlzdHMuIFBsZWFzZSB0cnkgYWdhaW4u,,,,,W0Vpbmhhcl0KQSBJbnN0w6JuY2lhIG7Do28gZm9pIGNyaWFkYS4gVGVudGUgbm92YW1lbnRlLCBwb3IgZmF2b3Iu,,W0Vpbmhhcl0KTm8gc2UgaGEgY3JlYWRvIGxhIG1hem1vcnJhIGNvbm1lbW9yYXRpdmEuIEludMOpbnRhbG8gZGUgbnVldm8u
2kuBDA,,W0Vpbmhhcl0KQW4gdW5rbm93biBlcnJvciBvY2N1cnJlZC4gUGxlYXNlIHRyeSBhZ2Fpbi4=,,,,,W0Vpbmhhcl0KT2NvcnJldSB1bSBlcnJvIGRlc2NvbmhlY2lkby4gVGVudGUgbm92YW1lbnRlLCBwb3IgZmF2b3Iu,,W0Vpbmhhcl0KU2UgaGEgcHJvZHVjaWRvIHVuIGVycm9yIGRlc2Nvbm9jaWRvLiBJbnTDqW50YWxvIGRlIG51ZXZvLg==
20uBDA,,W0Vpbmhhcl0KQW4gZXhjZXB0aW9uYWwgc2l0dWF0aW9uIG9jY3VycmVkLiBQbGVhc2UgdHJ5IGFnYWluLgpJZiB0aGlzIHBlcnNpc3RzLCBwbGVhc2UgdGFrZSBhIHNjcmVlbnNob3QgYW5kIGNvbnRhY3QgdGhlIE9wZXJhdGlvbiBUZWFtLg==,,,,,W0Vpbmhhcl0KT2NvcnJldSB1bWEgc2l0dWHDp8OjbyBpbmVzcGVyYWRhLiBQb3IgZmF2b3IsIHRlbnRlIG5vdmFtZW50ZS4KU2UgZXNzYSBtZW5zYWdlbSBjb250aW51YXIgYXBhcmVjZW5kbywgdGlyZSB1bWEgY2FwdHVyYSBkZSB0ZWxhIGUgZW50cmUgZW0gY29udGF0byBjb20gYSBlcXVpcGUgZGUgc3Vwb3J0ZS4=,,W0Vpbmhhcl0KU2UgaGEgcHJvZHVjaWRvIHVuIGVycm9yLiBJbnTDqW50YWxvIGRlIG51ZXZvLgpTaSBzaWd1ZSBhcGFyZWNpZW5kbyBlc3RlIG1lbnNhamUsIGhheiB1bmEgY2FwdHVyYSBkZSBwYW50YWxsYSB5IHBvbnRlIGVuIGNvbnRhY3RvIGNvbiBlbCBlcXVpcG8gZGUgc29wb3J0ZS4=
3EuBDA,,W+yXkOyduO2VmOultF0KWW91ciBiYWcgaXMgZnVsbC4gUGxlYXNlIGxpZ2h0ZW4geW91ciBtaW5kIGFuZCBib2R5IGZpcnN0Lg==,,,,,W0Vpbmhhcl0KUG9yIGZhdm9yLCByZW9yZ2FuaXplIHNldSBpbnZlbnTDoXJpbyBwcmltZWlyby4=,,W0Vpbmhhcl0KVHUgbW9jaGlsYSBlc3TDoSBsbGVuYS4gT3JkZW5hIHR1cyBjb3NhcyBwYXJhIHF1ZSBubyB0ZSBwZXNlbiBkZW1hc2lhZG8gZWwgY3VlcnBvIHkgbGEgbWVudGUsIHkgbHVlZ28gcmVncmVzYS4=
