oK/fBw,,VHdpdHk=,,,,,U2liaWxh,,U2lsYmlkYQ==
CbDfBw,,W1R3aXR5XQpXZSBzaG91bGQgY2hlY2ssIGFmdGVyIGFsbC4uLiBidXQgeW91IGRpZCBzYXkgdGhlIGRvb3Igd2FzIGxvY2tlZC4gV2UgY2Fubm90IGZvcmNlIGl0IG9wZW4sIHNvIHdlIG11c3QgZmluZCB0aGUgRW1lcmdlbmN5IEtleS4=,,,,,W1NpYmlsYV0KQWluZGEgYXNzaW0sIMOpIG1lbGhvciBjb25maXJtYXIuLi4gUHJlY2lzYXJlbW9zIGVuY29udHJhciBhIENoYXZlIGRlIEVtZXJnw6puY2lhLg==,,W1NpbGJpZGFdClNlcsOhIG1lam9yIGNvbXByb2JhcmxvLi4uIHBlcm8gZGlqbyBxdWUgbGEgcHVlcnRhIGVzdGFiYSBjZXJyYWRhIGNvbiBsbGF2ZS4gTm8gcG9kZW1vcyBmb3J6YXJsYSwgYXPDrSBxdWUgdGVuZHJlbW9zIHF1ZSBlbmNvbnRyYXIgbGEgTGxhdmUgZGUgRW1lcmdlbmNpYS4=
CrDfBw,,W1R3aXR5XQpJdCB3YXMgYSBwbGFjZSBvbmx5IHRoZSBtYXN0ZXIgdXNlZCwgYnV0IGFmdGVyIHRoZSBtYXN0ZXIgd2VudCBkb3duIHVuZGVyZ3JvdW5kLCB0aGUgbWFzdGVyIGVudHJ1c3RlZCB0aGUgRW1lcmdlbmN5IEtleSwgd2hpY2ggY2FuIGJlIHVzZWQgb25seSBpbiBhbiBlbWVyZ2VuY3ksIGluIGNhc2Ugc29tZXRoaW5nIGhhcHBlbnMgdG8gdGhlIG1hc3RlcidzIHNhZmV0eS4=,,,,,W1NpYmlsYV0KRW1ib3JhIGFwZW5hcyBvIG1lc3RyZSB0aXZlc3NlIGFjZXNzbyBhbyBzdWJzb2xvLCBlbGUgY29uZmlvdSB1bWEgQ2hhdmUgZGUgRW1lcmfDqm5jaWEgcGFyYSB1c28gZXhjbHVzaXZvIGVtIGNhc28gZGUgZW1lcmfDqm5jaWEu,,W1NpbGJpZGFdCkVyYSB1biBsdWdhciBhbCBxdWUgc29sbyBlbnRyYWJhIGVsIGFtbywgcGVybyBlbCBhbW8sIHBvciBzaSBhbGdvIGxlIG9jdXJyw61hIHRyYXMgYmFqYXIgYWwgc8OzdGFubywgY29uZmnDsyB1bmEgTGxhdmUgZGUgRW1lcmdlbmNpYSBxdWUgc29sbyBwdWVkZSB1c2Fyc2UgZW4gY2FzbyBkZSBlbWVyZ2VuY2lhLg==
C7DfBw,,W1R3aXR5XQpJIHN1cHBvc2UgdGhpcyBpcyB0aGF0IGVtZXJnZW5jeS4=,,,,,W1NpYmlsYV0KRXN0ZSDDqSBleGF0YW1lbnRlIGVzc2UgbW9tZW50byBkZSBlbWVyZ8OqbmNpYS4=,,W1NpbGJpZGFdClN1cG9uZ28gcXVlIGFob3JhIGVzIHByZWNpc2FtZW50ZSBlc2EgZW1lcmdlbmNpYS4=
DLDfBw,,R2l2ZSBpdCB0byBtZS4=,,,,,TWUgZMOqIGEgQ2hhdmUgZGUgRW1lcmfDqm5jaWEu,,RMOpbWVsYS4=
DbDfBw,,W1R3aXR5XQpEbyB5b3UgaGFwcGVuIHRvIGxpa2UgdHJlYXN1cmUgaHVudHM/IE9yIGRvIHlvdSBoYXZlIGFuIGV4Y2VwdGlvbmFsIHRhbGVudCBmb3IgdHJlYXN1cmUgaHVudGluZz8gSWYgbm90LCB0aGVuIEkgaG9wZSB5b3Ugd2lsbCBoYXZlIGl0IGZyb20gbm93IG9uLg==,,,,,W1NpYmlsYV0KUG9yIGFjYXNvIHZvY8OqIGdvc3RhIGRlIGNhw6dhIGFvIHRlc291cm8/IFNlIG7Do28sIGVzcGVybyBxdWUgYWRxdWlyYSB1bSBhIHBhcnRpciBkZSBhZ29yYS4=,,W1NpbGJpZGFdCsK/TGUgZ3VzdGEgbGEgYsO6c3F1ZWRhIGRlbCB0ZXNvcm8/IMK/TyBhY2FzbyB0aWVuZSB1biB0YWxlbnRvIGV4Y2VwY2lvbmFsIHBhcmEgZWxsbz8gU2kgbm8gZXMgYXPDrSwgbcOhcyBsZSB2YWxlIHRlbmVybG8gYSBwYXJ0aXIgZGUgYWhvcmEu
DrDfBw,,W1R3aXR5XQpUaGUgbWFzdGVyIGhhcyBeMDAwMENEaGlkZGVuIGEgdG90YWwgb2YgMyBFbWVyZ2VuY3kgS2V5cyB0aHJvdWdob3V0IHRoZSB3YXJlaG91c2VeMDAwMDAwLiBBbmQgdGhlcmUgYXJlIHN0aWxsIG1hbnkgYnJva2VuIGF1dG9tYXRyb25zIGluIHRoZXJlLg==,,,,,W1NpYmlsYV0KTyBtZXN0cmUgZXNjb25kZXUgXjAwMDBDRDMgQ2hhdmVzIGRlIEVtZXJnw6puY2lhXjAwMDAwMCBlbSBwb250b3MgZGlzdGludG9zIG5vIGFybWF6w6ltLg==,,W1NpbGJpZGFdCkVsIGFtbyBeMDAwMENEZXNjb25kacOzIHVuIHRvdGFsIGRlIDMgTGxhdmUgZGUgRW1lcmdlbmNpYSBlbiBkaXN0aW50b3MgbHVnYXJlcyBkZWwgYWxtYWPDqW5eMDAwMDAwLiBZIGFow60gZGVudHJvIHRvZGF2w61hIGhheSBtdWNob3MgYXV0w7NtYXRhcyBhdmVyaWFkb3Mu
D7DfBw,,VGhlbiBJJ2xsLi4uIGFnYWluLi4u,,,,,RW50w6NvIGV1IHZvdS4uLg==,,RW50b25jZXMgeW8gb3RyYSB2ZXouLi4=
ELDfBw,,W1R3aXR5XQpJbmRlZWQuIEl0IGlzIHRpbWUgdG8gZW5qb3kgc29tZSBhbXVzZW1lbnQuIEkgYW0gZ2xhZCB0byBiZSBvZiBoZWxwIHRvIGEgZ3Vlc3Qgb25jZSBhZ2Fpbi4=,,,,,W1NpYmlsYV0KVmFpLiBFbnRlbmRpIHF1ZSB2b2PDqiBBRE9SQSBpc3NvLiBFbnTDo28sIGRpdmlydGEtc2Uu,,W1NpbGJpZGFdCkFzw60gZXMuIEVzIGhvcmEgZGUgcXVlIGRpc2ZydXRlIGRlbCBqdWVnby4gTWUgYWxlZ3JhIHBvZGVyIGF5dWRhciBkZSBudWV2byBhIHVuIGludml0YWRvLg==
EbDfBw,,W1R3aXR5XQpJZiB5b3UgZmluZCBhbGwgb2YgdGhlIEVtZXJnZW5jeSBLZXlzIGluIHRoZSBwbGFjZXMgSSB0ZWxsIHlvdSBhbmQgcmVsZWFzZSB0aGUgbG9jayBtZWNoYW5pc20gb24gdGhlIGRvb3IgbGVhZGluZyB1bmRlcmdyb3VuZCwgeW91IHdpbGwgYmUgYWJsZSB0byBnbyBkb3duIHVuZGVyZ3JvdW5kLg==,,,,,W1NpYmlsYV0KRW5jb250cmUgdG9kYXMgYXMgQ2hhdmUgZGUgRW1lcmfDqm5jaWEgbm9zIGxvY2FpcyBkZXN0YWNhZG9zIGUgZGVzdHJhbnF1ZSBhIHBvcnRhIHF1ZSBsZXZhIGFvIHN1YnNvbG8u,,W1NpbGJpZGFdClNpIGVuY3VlbnRyYSB0b2RhcyBsYXMgTGxhdmUgZGUgRW1lcmdlbmNpYSBlbiBsb3MgbHVnYXJlcyBxdWUgbGUgaW5kaWNhcsOpIHkgZGVzYWN0aXZhIGVsIG1lY2FuaXNtbyBkZSBjaWVycmUgZGUgbGEgcHVlcnRhIHF1ZSBiYWphIGFsIHPDs3Rhbm8sIHBvZHLDoSBkZXNjZW5kZXIgYWwgc8OzdGFuby4=
ErDfBw,,W1R3aXR5XQo8TkFWST5bVGhlIFNwaW5uaW5nIFdvcmxkXTxJTkZPPmJhXzJ3aHMwMSwxMTAsMjE4LDAsMTAxLDA8L0lORk8+PC9OQVZJPi4gWW91IHNhaWQgdGhhdCBhbGwgdHJ1dGggbGllcyBiZW5lYXRoIGl0LiBUcnkgbG9va2luZyBmb3IgYSBwbGFjZSB3aGVyZSBzdWNoIGFuIG9iamVjdCBtaWdodCBiZS4=,,,,,W1NpYmlsYV0KUHJpbWVpcm8sIGV4cGVyaW1lbnRlIHByb2N1cmFyIDxOQVZJPltuZXNzZSBsdWdhcl08SU5GTz5iYV8yd2hzMDEsMTEwLDIxOCwwLDEwMSwwPC9JTkZPPjwvTkFWST4u,,W1NpbGJpZGFdCjxOQVZJPltNdW5kbyBlbiBtb3ZpbWllbnRvXTxJTkZPPmJhXzJ3aHMwMSwxMTAsMjE4LDAsMTAxLDA8L0lORk8+PC9OQVZJPi4gRGlqbyBxdWUgZGViYWpvIGRlIGVzbyBlc3TDoSB0b2RhIGxhIHZlcmRhZC4gQnVzcXVlIGVsIGx1Z2FyIGRvbmRlIGhheWEgYWxnbyBhc8OtLg==
E7DfBw,,W1R3aXR5XQpBbHNvLCBpbiB0aGUgPE5BVkk+W3BsYWNlXTxJTkZPPmJhXzJ3aHMwMSwxNCwyODIsMCwxMDEsMDwvSU5GTz48L05BVkk+IHdoZXJlIGV2ZW4geW91ciBicmVhdGggZnJlZXplcywgeW91IHNhaWQgdGhhdCBldmVyeXRoaW5nIHJlbWFpbnMgZm9yZXZlciB1bnNwb2lsZWQsIGtlZXBpbmcgaXRzIGZvcm0ganVzdCBhcyBpdCBpcy4=,,,,,W1NpYmlsYV0KRGVwb2lzLCB2ZWphIHNlIGVuY29udHJhIDxOQVZJPltwb3IgYXF1aV08SU5GTz5iYV8yd2hzMDEsMTQsMjgyLDAsMTAxLDA8L0lORk8+PC9OQVZJPi4=,,W1NpbGJpZGFdCkFkZW3DoXMsIGVuIGVsIDxOQVZJPltsdWdhcl08SU5GTz5iYV8yd2hzMDEsMTQsMjgyLDAsMTAxLDA8L0lORk8+PC9OQVZJPiBkb25kZSBoYXN0YSBlbCBhbGllbnRvIHNlIGNvbmdlbGEsIGRpam8gcXVlIHRvZG8gc2UgY29uc2VydmEgcGFyYSBzaWVtcHJlIHNpbiBhbHRlcmFyc2UgeSBtYW50aWVuZSBzdSBmb3JtYSB0YWwgY3VhbC4=
FLDfBw,,W1R3aXR5XQpMYXN0bHksIHlvdSBzYWlkIHRoYXQgYWxsIGFpciBtdXN0IGZsb3cuIFlvdSBhbHNvIHNhaWQgdGhhdCB0cmVtZW5kb3VzIGVuZXJneSBpcyB1c2VkIHRoZXJlLiBJIGNhbm5vdCBldmVuIGd1ZXNzIHdoZXJlIDxOQVZJPltzdWNoIGEgcGxhY2VdPElORk8+YmFfMndoczAxLDIyMiwyNTcsMCwxMDEsMDwvSU5GTz48L05BVkk+IG1pZ2h0IGJlLCB0aG91Z2gu,,,,,W1NpYmlsYV0KUG9yIGZpbSwgcGFyZWNlIHF1ZSBow6EgYWxnbyBlbSA8TkFWST5bdGFsIGxvY2FsXTxJTkZPPmJhXzJ3aHMwMSwyMjIsMjU3LDAsMTAxLDA8L0lORk8+PC9OQVZJPi4=,,W1NpbGJpZGFdClBvciDDumx0aW1vLCBkaWpvIHF1ZSB0b2RvIGVsIGFpcmUgZGViZSBmbHVpci4gVGFtYmnDqW4gZGlqbyBxdWUgYWxsw60gc2UgdXNhIHVuYSBlbmVyZ8OtYSBlbm9ybWUuIE5vIHRlbmdvIG5pIGlkZWEgZGUgZMOzbmRlIGVzdGFyw6EgPE5BVkk+W2VzZSBsdWdhcl08SU5GTz5iYV8yd2hzMDEsMjIyLDI1NywwLDEwMSwwPC9JTkZPPjwvTkFWST4sIHBlcm8uLi4=
FbDfBw,,W1R3aXR5XQpJIGRvIG5vdCBrbm93IHdoYXQgYWxsIHRoZSBoaW50cyBtZWFuLCBidXQgYXMgYW4gYWR2ZW50dXJlciB3aG8gaXMgaHVtYW4gbGlrZSB0aGUgbWFzdGVyLCB5b3UgbWF5IGJlIGFibGUgdG8gaW50ZXJwcmV0IHRoZW0u,,,,,W1NpYmlsYV0KRXNwZXJvIHF1ZSBjb25zaWdhIGVuY29udHJhciBhcyBDaGF2ZXMgZGUgRW1lcmfDqm5jaWEu,,W1NpbGJpZGFdCk5vIHPDqSBxdcOpIHNpZ25pZmljYW4gdG9kYXMgbGFzIHBpc3RhcywgcGVybyB1c3RlZCwgdHJvdGFtdW5kb3MsIHF1ZSBlcyBodW1hbm8gY29tbyBlbCBhbW8sIHF1aXrDoSBwdWVkYSBpbnRlcnByZXRhcmxhcy4=
FrDfBw,,W1R3aXR5XQpJIGRvIG5vdCBleHBlY3QgeW91IHRvIGludGVycHJldCBldmVuIGEgc2luZ2xlIGxpbmUgb2YgdGhlIGdyZWF0IG1hc3RlcidzIGludGVudC4uLiBidXQgaWYgeW91IGFyZSB1bnN1cmUsIHlvdSBjYW4gc2VhcmNoIGV2ZXJ5dGhpbmcuIFRoZW4gcGxlYXNlIGJlIG9uIHlvdXIgd2F5Lg==,,,,,W1NpYmlsYV0KTyBNZXN0cmUgVmFybXVudCBzb3ViZSBlc2NvbmRlciBtdWl0byBiZW0gbmVzc2VzIGxvY2Fpcy4=,,W1NpbGJpZGFdCk5vIGVzcGVybyBxdWUgaW50ZXJwcmV0ZSBuaSB1bmEgc29sYSBsw61uZWEgZGUgbGEgdm9sdW50YWQgZGVsIGdyYW4gYW1vLi4uIHBlcm8gc2kgbm8gbG8gc2FiZSwgcHVlZGUgcmVnaXN0cmFybG8gdG9kby4gRW50b25jZXMsIHF1ZSBsZSB2YXlhIGJpZW4u
F7DfBw,,W1R3aXR5XQpBaCwgSSBmb3Jnb3QgdG8gdGVsbCB5b3UgdGhpcy4gVGhlIHVuZGVyZ3JvdW5kIGlzIGV4dHJlbWVseSBkYW5nZXJvdXMsIHNvIHlvdSBtdXN0IHByZXBhcmUgdGhvcm91Z2hseSBiZWZvcmUgeW91IGdvLiBVbmRlcnN0b29kPw==,,,,,W1NpYmlsYV0KQWgsIHF1YXNlIG1lIGVzcXVlw6dvLiBPIHN1YnNvbG8gw6kgZXh0cmVtYW1lbnRlIHBlcmlnb3NvLCBlbnTDo28gcHJlcGFyZS1zZSBhZGVxdWFkYW1lbnRlIGFudGVzIGRlIGRlc2Nlci4gQ29tcHJlZW5kaWRvPw==,,W1NpbGJpZGFdCkFoLCBvbHZpZMOpIGRlY2lybGUgZXN0by4gRWwgc8OzdGFubyBlcyBleHRyZW1hZGFtZW50ZSBwZWxpZ3Jvc28sIGFzw60gcXVlIGRlYmUgaXIgYmllbiBwcmVwYXJhZG8uIMK/RW50ZW5kaWRvPw==
GLDfBw,,W1R3aXR5XQpJIGRvIG5vdCBrbm93IHdoYXQgYWxsIHRoZSBoaW50cyBtZWFuLCBidXQgYW4gYWR2ZW50dXJlciBsaWtlIHlvdSwgYSBodW1hbiBsaWtlIG15IG1hc3RlciwgbWF5IGJlIGFibGUgdG8gaW50ZXJwcmV0IHRoZW0uIFRoZW4sIGJlIG9uIHlvdXIgd2F5Lg==,,,,,W1NpYmlsYV0KTsOjbyBjb21wcmVlbmRvIG8gbW90aXZvIGRlIHRhbnRhcyBjaGF2ZXMsIG1hcyBuw6NvIGjDoSBlc3Bhw6dvIHBhcmEgcXVlc3Rpb25hciBvIE1lc3RyZSBWYXJtdW50Lg==,,W1NpbGJpZGFdCk5vIHPDqSBxdcOpIHNpZ25pZmljYW4gdG9kYXMgbGFzIHBpc3RhcywgcGVybyB1biB0cm90YW11bmRvcyBodW1hbm8gY29tbyB1c3RlZCwgaWd1YWwgcXVlIG1pIGFtbywgcXVpesOhIHB1ZWRhIGludGVycHJldGFybGFzLiBFbnRvbmNlcywgdmF5YSBjb24gY3VpZGFkby4=
GbDfBw,,W1R3aXR5XQpIYXZlIHlvdSBnb25lIGFuZCBjaGVja2VkIHRoZSBzaXR1YXRpb24gdW5kZXJncm91bmQ/IEhvdyBpcyBpdD8gSG0uLi4gSXQgc2VlbXMgeW91IGhhdmUgbm90IGV4YW1pbmVkIGl0IHRob3JvdWdobHkgeWV0LiBJIHdpbGwgYmUgd2FpdGluZy4=,,,,,W1NpYmlsYV0KVmVyaWZpY291IGEgc2l0dWHDp8OjbyBubyBzdWJzb2xvPyBIbS4uLiBhaW5kYSBuw6NvIGludmVzdGlnb3UgbyBzdWZpY2llbnRlLiBFc3RhcmVpIGFndWFyZGFuZG8u,,W1NpbGJpZGFdCsK/SGEgaWRvIGEgY29tcHJvYmFyIGxhIHNpdHVhY2nDs24gZW4gZWwgc3Vic3VlbG8/IMK/UXXDqSB0YWw/IEhtbS4uLiBBw7puIG5vIGhhIHBvZGlkbyByZXZpc2FybG8gbG8gc3VmaWNpZW50ZS4gRXN0YXLDqSBlc3BlcmFuZG8u
GrDfBw,,W1R3aXR5XQpIYXZlIHlvdSBnb25lIGFuZCBjaGVja2VkIHRoZSBzaXR1YXRpb24gdW5kZXJncm91bmQ/IEhvdyBpcyBpdD8gWW91IGRpZCBub3QgcmV0dXJuIGV2ZW4gYWZ0ZXIgYSBsb25nIHRpbWUsIHNvIEkgd2FzIGp1c3QgY29uc2lkZXJpbmcgd2hldGhlciBJIHNob3VsZCBpbmZvcm0gdGhlIG90aGVycyBhYm91dCB0aGUgZGVhdGggb2YgezB9Lg==,,,,,W1NpYmlsYV0KVmVyaWZpY291IGEgc2l0dWHDp8OjbyBubyBzdWJzb2xvPyBDb21vIGRlbW9yb3UgdGFudG8sIGNvbnNpZGVyZWkgYW51bmNpYXIgYSBtb3J0ZSBkZSB7MH0gcGFyYSB0b2Rvcy4=,,W1NpbGJpZGFdCsK/SGEgaWRvIGEgY29tcHJvYmFyIGxhIHNpdHVhY2nDs24gZW4gZWwgc3Vic3VlbG8/IMK/UXXDqSB0YWw/IENvbW8gbm8gdmVuw61hIG5pIGRlc3B1w6lzIGRlIHRhbnRvIHRpZW1wbywganVzdG8gZXN0YWJhIHBlbnNhbmRvIHNpIGRlYsOtYSBpbmZvcm1hciBkZSBsYSBub3RpY2lhIGRlIGxhIG11ZXJ0ZSBkZSB7MH0u
G7DfBw,,W1R3aXR5XQpJdCB3YXMgbm90IGEgd2VsY29tZSBtYXR0ZXIgZm9yIG1lIGVpdGhlciwgc28gdGhpcyBpcyBhIHJlbGllZi4gQnV0IHdoeSBkaWQgaXQgdGFrZSBzbyBsb25nPyBEaWQgeW91IHJ1biBpbnRvIGEgcHJvYmxlbSB0b28gZGlmZmljdWx0IHRvIHJlc29sdmUgd2l0aCB0aGUgYWJpbGl0aWVzIHlvdSBwb3NzZXNzPw==,,,,,W1NpYmlsYV0KTWFzIGFpbmRhIGJlbSBxdWUgcmV0b3Jub3UuIFBvciBxdWUgbGV2b3UgdGFudG8gdGVtcG8/IEVuY29udHJvdSBhbGdvIGzDoT8=,,W1NpbGJpZGFdCkEgbcOtIHRhbXBvY28gbWUgYWdyYWRhYmEsIGFzw60gcXVlIGVzIHVuIGFsaXZpby4gUGVybyDCv3BvciBxdcOpIHRhcmTDsyB0YW50bz8gwr9TZSB0b3DDsyBjb24gdW4gcHJvYmxlbWEgZGVtYXNpYWRvIGRpZsOtY2lsIGRlIHJlc29sdmVyIGNvbiBsYXMgY2FwYWNpZGFkZXMgcXVlIHBvc2VlPw==
HLDfBw,,W1R3aXR5XQpJIGhhdmUgaGVhcmQgdGhhdCBodW1hbnMgc29tZXRpbWVzIGNoYWxsZW5nZSB0aGluZ3MgYmV5b25kIHRoZWlyIG93biBhYmlsaXRpZXMsIHRvIHRoZSBwb2ludCBvZiByZWNrbGVzc25lc3Mu,,,,,W1NpYmlsYV0KT3V2aSBkaXplciBxdWUgdmlhamFudGVzIGFkb3JhbSBlbnJvbGFyIHBhcmEgZmF6ZXIgc2V1cyBkZXZlcmVzLg==,,W1NpbGJpZGFdCkhlIG/DrWRvIHF1ZSwgYSB2ZWNlcywgbG9zIGh1bWFub3MgZGVzYWbDrWFuIGRlIGZvcm1hIHRlbWVyYXJpYSBjb3NhcyBxdWUgc3VwZXJhbiBzdXMgcHJvcGlhcyBjYXBhY2lkYWRlcy4=
HbDfBw,,V2VsbC4uLg==,,,,,w4kgcXVlLi4u,,RXNvLi4u
HrDfBw,,W1R3aXR5XQpTbywgdG8gc3VtbWFyaXplIHdoYXQgezB9IHNhaWQsIGlmIHlvdSBoYWQgbm90IGdvbmUgb3V0IG9mIHlvdXIgd2F5IHRvIG9wZW4gdGhlIGRvb3IgYW5kIGdvIGRvd24gdW5kZXJncm91bmQsIGl0IHdvdWxkIGhhdmUgYmVlbiBhIHNpdHVhdGlvbiB3aXRoIG5vIGRhbmdlci4KSWYgbGVmdCBhbG9uZSwgYSBwZWFjZWZ1bCBhbmQgc2FmZSBzdGF0ZSB3b3VsZCBoYXZlIGNvbnRpbnVlZCB0byBiZSBtYWludGFpbmVkLg==,,,,,W1NpYmlsYV0KRW50w6NvLCByZXN1bWluZG8gc3VhcyBwYWxhdnJhcywgdm9jw6ogYWJyaXUgYSBwb3J0YSBlIG1haXMgYXV0w7RtYXRvcyBlbnRyYXJhbT8KU2UgbsOjbyB0aXZlc3NlIGVudHJhZG8sIG8gc3Vic29sbyBwZXJtYW5lY2VyaWEgZW0gc2VndXJhbsOnYT8=,,W1NpbGJpZGFdCkVudG9uY2VzLCByZXN1bWllbmRvIGxvIHF1ZSBkaWNlIHswfSwgwr9zaWduaWZpY2EgcXVlLCBzaSBubyBodWJpZXJhIGFiaWVydG8gbGEgcHVlcnRhIHkgYmFqYWRvIGFsIHN1YnN1ZWxvLCBubyBoYWJyw61hIGhhYmlkbyBuaW5nw7puIHBlbGlncm8/ClkgcXVlLCBzaSBsbyBodWJpZXJhIGRlamFkbyBjb21vIGVzdGFiYSwgc2UgaGFicsOtYSBtYW50ZW5pZG8gdW4gZXN0YWRvIHBhY8OtZmljbyB5IHNlZ3Vyby4=
H7DfBw,,W1R3aXR5XQpBbmQgdGhlcmUsIHNvbWVvbmUgb2J0YWluZWQgYSBuZXcgYm9keS4=,,,,,W1NpYmlsYV0KRSBsw6EgZW1iYWl4bywgdW0gc2VyIHZpdm8gb2J0ZXZlIHVtIG5vdm8gY29ycG8/,,W1NpbGJpZGFdClkgYWxsw60sIGFsZ3VpZW4gb2J0dXZvIHVuIG51ZXZvIGN1ZXJwby4=
ILDfBw,,W1R3aXR5XQpFdmVuIHRob3VnaCBJIHRvbGQgeW91IG5ldmVyIHRvIHRvdWNoIGFueXRoaW5nLCB5b3UgcGVyc29uYWxseSBvYnRhaW5lZCB0aGUgcGFydHMgdGhhdCBtYWtlIHVwIHRoYXQgYm9keSBhbmQgbWFkZSBpdCBmb3IgdGhlbS4gSXMgdGhhdCBjb3JyZWN0Pw==,,,,,W1NpYmlsYV0KRW1ib3JhIGV1IHRlbmhhIHBlZGlkbyBwYXJhIE7Dg08gVE9DQVIgZW0gbmFkYSwgdm9jw6ogZm9pIGzDoSBlIG1vbnRvdSBlc3NlIGNvcnBvLiBDb3JyZXRvPw==,,W1NpbGJpZGFdCkxlIGRpamUgcXVlIG5vIHRvY2FyYSBhYnNvbHV0YW1lbnRlIG5hZGEsIHkgYXVuIGFzw60gdXN0ZWQgbWlzbW8gY29uc2lndWnDsyBsYXMgcGllemFzIHF1ZSBjb21wb25lbiBlc2UgY3VlcnBvIHkgc2UgbG8gZmFicmljw7MuIMK/RXMgY29ycmVjdG8/
IbDfBw,,WWVzLi4u,,,,,RXIuLi4gcy1zaW0u,,U8OtLi4u
IrDfBw,,W1R3aXR5XQpBbmQgeW91IGRvIG5vdCBldmVuIGtub3cgd2hhdCBkaXNwb3NpdGlvbiBpdCBoYXMuIEluIHRoZSB3b3JzdCBjYXNlLCBpdCBtYXkgY29tZSB1cCBmcm9tIHVuZGVyZ3JvdW5kIGFuZCBkcml2ZSB1cyB0byBydWluLiBJcyB0aGF0IGNvcnJlY3Q/,,,,,W1NpYmlsYV0KRSBuw6NvIHNhYmVtb3MgcXVhbCDDqSBhIG5hdHVyZXphIGRlbGUuIE5vIHBpb3IgY2Vuw6FyaW8sIHBvZGUgc3ViaXIgZG8gc3Vic29sbyBlIG5vcyBhbmlxdWlsYXIuIENvcnJldG8/,,W1NpbGJpZGFdClkgbmkgc2lxdWllcmEgc2FiZW1vcyBxdcOpIGNsYXNlIGRlIGluY2xpbmFjacOzbiB0aWVuZS4gRW4gZWwgcGVvciBkZSBsb3MgY2Fzb3MsIHBvZHLDrWEgc3ViaXIgZGVzZGUgZWwgc3Vic3VlbG8geSBlbXB1amFybm9zIGEgbGEgcnVpbmEuIMK/RXMgY29ycmVjdG8/
I7DfBw,,QnV0IGl0IHNheXMgaXQgd2lsbCBub3QgbGVhdmUuLi4=,,,,,TWFzIGVsZSBkaXNzZSBxdWUgbsOjbyB2YWkgc2Fpci4uLg==,,UGVybyBkaWpvIHF1ZSBubyBzZSBpcsOhLi4u
JLDfBw,,W1R3aXR5XQpUaGluayBvZiBpdCB0aGlzIHdheS4gV2h5IHdvdWxkIG15IG1hc3RlciBsZWF2ZSBvbmx5IGEgSGVhZCBpbiB0aGUgZGFuZ2VyIHpvbmUuCkEgc2luZ2xlIEhlYWQgbGVmdCBhbGwgYWxvbmUgaW4gYSBwbGFjZSBmaWxsZWQgd2l0aCBoYXphcmRvdXMgbWF0ZXJpYWxzLiBDb3VsZCBpdCwgdG9vLCBiZSBhIGhhemFyZG91cyBtYXRlcmlhbD8=,,,,,W1NpYmlsYV0KUGVuc2Ugbmlzc286IHBvciBxdWUgbyBtZXN0cmUgZGVpeGFyaWEgYXBlbmFzIHVtYSBjYWJlw6dhIGVtIHVtYSDDoXJlYSBwZXJpZ29zYT8KVW1hIGNhYmXDp2Egc29saXTDoXJpYSBlbSB1bSBsdWdhciBjaGVpbyBkZSBpdGVucyBwZXJpZ29zb3MuIFNlcsOhIHF1ZSBlbGEgdGFtYsOpbSBuw6NvIMOpIHVtIGl0ZW0gcGVyaWdvc28/,,W1NpbGJpZGFdClBpw6luc2VsbyBkZSBlc3RlIG1vZG8uIMK/UG9yIHF1w6kgbWkgYW1vIGRlasOzIHNvbG8gdW5hIENhYmV6YSBlbiBsYSB6b25hIGRlIHBlbGlncm8/ClVuYSBzb2xhIENhYmV6YSBjb2xvY2FkYSBlbiBzb2xlZGFkIGVuIHVuIGx1Z2FyIHJlcGxldG8gZGUgbWF0ZXJpYWxlcyBwZWxpZ3Jvc29zLiDCv1kgc2kgZXNvIHRhbWJpw6luIGZ1ZXJhIHVuIG1hdGVyaWFsIHBlbGlncm9zbz8=
