wJpe,,RmlsaQ==,,,,,RmlsaQ==,,TGFwaGluZSBjYW50YW50ZQ==
M5te,,W0N1dGUgTGFwaGluZV0KRG9uJ3QgYmUgc2h5LiBJIHN0YXJ0ZWQgd29ya2luZyBqdXN0IHJlY2VudGx5LCB0b28uIEJ1dCBzaW5jZSBJIHdhcyBoZXJlIGZpcnN0LCBJJ20geW91ciBib3NzLCBva2F5PyE=,,,,,W0xhcGhpbmUgQm9uaXRhXQpOw6NvIHNlamEgdMOtbWlkby4gVGFtYsOpbSBjb21lY2VpIGEgdHJhYmFsaGFyIGjDoSBwb3VjbyB0ZW1wby4gTWFzLCBjb21vIGNoZWd1ZWkgYXF1aSBwcmltZWlybywgc291IHNldSBjaGVmZSwgY2VydG8/,,W0xhcGhpbmUgYWRvcmFibGVdCk5vIHNpZW50YXMgdGltaWRlei4gWW8gdGFtYmnDqW4gZW1wZWPDqSBhIHRyYWJhamFyIGhhY2UgcG9jby4gUGVybywgY29tbyBsbGVndcOpIHByaW1lcm8sIHNveSBxdWllbiBtYW5kYSwgwr9kZSBhY3VlcmRvPw==
NJte,,W0N1dGUgTGFwaGluZV0KU28sIHdoYXQncyB5b3VyIHNwZWNpYWx0eT8=,,,,,W0xhcGhpbmUgQm9uaXRhXQpFbnTDo28sIHF1YWwgw6kgc3VhIGVzcGVjaWFsaWRhZGU/,,W0xhcGhpbmUgYWRvcmFibGVdCsK/Q3XDoWwgZXMgdHUgZXNwZWNpYWxpZGFkPw==
NZte,,W0N1dGUgTGFwaGluZV0KV2UgYWxsIGxvdmUgdGhlIGVhcnRoLCBidXQgd2UgZXhwcmVzcyBpdCBpbiBkaWZmZXJlbnQgd2F5cy4gTGlrZSwgdGhvcnVnaCBkYW5jaW5nIG9yIHNpbmdpbmcu,,,,,W0xhcGhpbmUgQm9uaXRhXQpUb2RvcyBuw7NzIGFtYW1vcyBhIFRlcnJhLCBtYXMgZXhwcmVzc2Ftb3MgaXNzbyBkZSBtYW5laXJhcyBkaWZlcmVudGVzLiBQb3IgZXhlbXBsbywgZGFuw6dhbmRvIG91IGNhbnRhbmRvLg==,,W0xhcGhpbmUgYWRvcmFibGVdClRvZG9zIGFtYW1vcyBsYSB0aWVycmEsIHBlcm8gbG8gZXhwcmVzYW1vcyBkZSBkaXN0aW50YXMgbWFuZXJhcy4gUG9yIGVqZW1wbG8sIGJhaWxhbmRvIG8gY2FudGFuZG8u
Npte,,W0N1dGUgTGFwaGluZV0KTG9va3MgbGlrZS4uLnlvdSdyZSBub3QgcmVhbGx5IGdvb2QgYXQgYW55dGhpbmch,,,,,W0xhcGhpbmUgQm9uaXRhXQpQYXJlY2UgcXVlLi4uIHZvY8OqIG7Do28gw6kgcmVhbG1lbnRlIGJvbSBlbSBuYWRhIQ==,,W0xhcGhpbmUgYWRvcmFibGVdCsKhUGFyZWNlIHF1ZSBubyB0ZSBkZXN0YWNhcyBlbiBuYWRhIQ==
N5te,,V2VsbCwgd2hhdCBkbyB5b3UgZG8gdGhlbj8=,,,,,QmVtLCBvIHF1ZSB2b2PDqiBmYXogZW50w6NvPw==,,QnVlbm8sIMK/cXXDqSBoYWNlcyBlbnRvbmNlcz8=
OJte,,W0N1dGUgTGFwaGluZV0KT2ggY29tZSBvbn5Zb3UncmUgaW5zZW5zaXRpdmUsIHRvbz8gTG9vayBhdCBtZSwgc28gY3V0ZSBhbmQgbmljZSE=,,,,,W0xhcGhpbmUgQm9uaXRhXQpBaCwgcXVhbCDDqT8gVm9jw6ogdGFtYsOpbSDDqSBpbnNlbnPDrXZlbD8gT2xoZSBwYXJhIG1pbSwgdW1hIGJlbGV6aW5oYSE=,,W0xhcGhpbmUgYWRvcmFibGVdCk9oLCB2YW1vcy4gwr9UYW1iacOpbiBlcmVzIGluc2Vuc2libGU/IE3DrXJhbWUsIHRhbiBhbWFibGUgeSBhZG9yYWJsZS4=
OZte,,W0N1dGUgTGFwaGluZV0KTXkgam9iIGlzIHRvIHNoYXJlIG15IHNtaWxlIHdpdGggdGhlIGVhcnRoLiBJZiBJIHNtaWxlIGxpa2UgdGhpcywgSSdtIHN1cmUgdGhlIGVhcnRoIHdpbGwgZmVlbCBzbyBtdWNoIGJldHRlciE=,,,,,W0xhcGhpbmUgQm9uaXRhXQpNZXUgdHJhYmFsaG8gw6kgY29tcGFydGlsaGFyIG1ldSBzb3JyaXNvIGNvbSBhIHRlcnJhLiBTZSBldSBzb3JyaXIgYXNzaW0sIHRlbmhvIGNlcnRlemEgZGUgcXVlIGEgdGVycmEgc2Ugc2VudGlyw6EgbXVpdG8gbWVsaG9yIQ==,,W0xhcGhpbmUgYWRvcmFibGVdCk1pIHRyYWJham8gZXMgY29tcGFydGlyIG1pIHNvbnJpc2EgY29uIGxhIHRpZXJyYS4gU2kgc29ucsOtbyBhc8OtLCDCoXPDqSBxdWUgbGEgdGllcnJhIHNlIHNlbnRpcsOhIG11Y2hvIG1lam9yIQ==
Opte,,W0N1dGUgTGFwaGluZV0KQW55d2F5LCB5b3Ugc2hvdWxkIGZpbmQgc29tZSB3b3JrIGZvciB0aGUgZWFydGggYXMgd2VsbC4gVGVsbCBGaWxpIHRoYXQgSSdsbCBzdGFydCB3b3JraW5nLg==,,,,,W0xhcGhpbmUgQm9uaXRhXQpEZSBxdWFscXVlciBmb3JtYSwgdm9jw6ogZGV2ZSBlbmNvbnRyYXIgYWxndW0gdHJhYmFsaG8gcGFyYSBhIHRlcnJhIHRhbWLDqW0uIERpZ2EgYSBGaWxpIHF1ZSB2b3UgY29tZcOnYXIgYSB0cmFiYWxoYXIu,,W0xhcGhpbmUgYWRvcmFibGVdCkRlIHRvZG9zIG1vZG9zLCB0YW1iacOpbiBkZWJlcsOtYXMgZW5jb250cmFyIHRyYWJham8gcGFyYSBsYSB0aWVycmEuIERpbGUgYSBGaWxpIHF1ZSBlbXBlemFyw6kgYSB0cmFiYWphci4=
O5te,,QXMgc29vbiBhcyBoZSBmaW5pc2hlZCB0YWxraW5nLCBoZSBwdXQgb24gYSBicmlnaHQgc21pbGUu,,,,,QXNzaW0gcXVlIHRlcm1pbm91IGRlIGZhbGFyLCBlbGUgZGV1IHVtIHNvcnJpc28gYnJpbGhhbnRlLg==,,RW4gY3VhbnRvIHRlcm1pbsOzIGRlIGhhYmxhciwgZXNib3rDsyB1bmEgZ3JhbiBzb25yaXNhLg==
PJte,,W0N1dGUgTGFwaGluZV0KRG9uJ3QgeW91IGFsd2F5cyBzbWlsZSB3aGVuIHlvdSByZW1lbWJlciBnb29kIG1lbW9yaWVzIG9mIHRoZSBwYXN0Pw==,,,,,W0xhcGhpbmUgQm9uaXRhXQpWb2PDqiBuw6NvIHNvcnJpIHNlbXByZSBxdWUgdGVtIGJvYXMgbGVtYnJhbsOnYXMgZG8gcGFzc2Fkbz8=,,W0xhcGhpbmUgYWRvcmFibGVdCsK/Tm8gc29ucsOtZXMgY3VhbmRvIHJlY3VlcmRhcyBidWVub3MgbW9tZW50b3MgZGVsIHBhc2Fkbz8=
PZte,,Um9zaQ==,,,,,Um9zaQ==,,RXVuY2hlb25n
Ppte,,W1Jvc2ldCkkgbmVlZCB0byBnZXQgYSBzY29vcC4gU29tZXRoaW5nIHRoYXQgd2lsbCBjYXRjaCB0aGUgZXllcyBvZiBhZHZlbnR1cmVycyE=,,,,,W1Jvc2ldClByZWNpc28gY29uc2VndWlyIHVtIGZ1cm8gZGUgcmVwb3J0YWdlbS4gQWxnbyBxdWUgY2hhbWUgYSBhdGVuw6fDo28gZG9zIGF2ZW50dXJlaXJvcyE=,,W1Jvc2ldCk5lY2VzaXRvIHVuYSBwcmltaWNpYS4gQWxnbyBxdWUgYXRyYWlnYSBsYXMgbWlyYWRhcyBkZSBsb3MgdHJvdGFtdW5kb3Mu
P5te,,W1Jvc2ldCkFueXdheSwgdGhpcyBpc24ndCBhbiBvcmRpbmFyeSBwbGFjZS4gVGhpcyBwbGFjZSwgaXQncyBmaWxsZWQgd2l0aCBuZXdzd29ydGh5IHN0b3JpZXMh,,,,,W1Jvc2ldCkRlIHF1YWxxdWVyIGZvcm1hLCBlc3RlIG7Do28gw6kgdW0gbHVnYXIgY29tdW0uIEVzdGUgbHVnYXIgZXN0w6EgcmVwbGV0byBkZSBoaXN0w7NyaWFzIGRpZ25hcyBkZSBub3TDrWNpYSE=,,W1Jvc2ldCkVuIGZpbiwgZXN0ZSBubyBlcyB1biBsdWdhciBjb23Dum4uIEVzdGUgbHVnYXIgZXN0w6EgcmVwbGV0byBkZSBoaXN0b3JpYXMgZGlnbmFzIGRlIHNlciBub3RpY2lhLg==
QJte,,W1Jvc2ldCkl0J3MgeW91IGFnYWluISBPaCwgaXMgaXQgYmVjYXVzZSBJJ20gYSB3b21hbj8gTGV0IG1lIG1ha2UgaXQgY2xlYXIgaGVyZS4gSSdtIGdvaW5nIG5vd2hlcmUgdW50aWwgSSBnZXQgYSBuZXdzIGl0ZW0u,,,,,W1Jvc2ldCsOJIHZvY8OqIGRlIG5vdm8hIEFoLCDDqSBwb3JxdWUgZXUgc291IG11bGhlcj8gVm91IGRlaXhhciBiZW0gY2xhcm8uIE7Do28gdm91IGEgbHVnYXIgbmVuaHVtIGF0w6kgY29uc2VndWlyIHVtYSBub3TDrWNpYS4=,,W1Jvc2ldCsKhRXJlcyB0w7ogb3RyYSB2ZXohIMK/RXMgcG9ycXVlIHNveSBtdWplcj8gRMOpamFtZSBhY2xhcmFyIGFsZ28uIE5vIG1lIGlyw6kgYSBuaW5ndW5hIHBhcnRlIGhhc3RhIGNvbnNlZ3VpciB1bmEgbm90aWNpYS4=
QZte,,W1Jvc2ldCkdvc2gsIHlvdSdyZSBqdXN0IGJ1Z2dpbmcgbWUuIERvbid0IHdvcnJ5LCBJIGNhbiB0YWtlIGNhcmUgb2YgbXlzZWxmIGp1c3QgZmluZSE=,,,,,W1Jvc2ldClB1eGEsIHZvY8OqIGVzdMOhIG1lIGluY29tb2RhbmRvLiBOw6NvIHNlIHByZW9jdXBlLCBldSBzZWkgbWUgY3VpZGFyIG11aXRvIGJlbSE=,,W1Jvc2ldCkNhcmFtYmEsIG1lIGVzdMOhcyBmYXN0aWRpYW5kby4gTm8gdGUgcHJlb2N1cGVzLCBzw6kgY3VpZGFybWUgbXV5IGJpZW4u
Qpte,,W1Jvc2ldClRoaXMgdG93ZXIgaXMgdmVyeSBxdWlldCB5ZXQgbXlzdGVyaW91cy4gSXQncyBkZWZpbml0ZWx5IHNvbWV0aGluZyB0aGF0IGFkdmVudHVyZXJzIHdvdWxkIGxvdmUsIHJpZ2h0Pw==,,,,,W1Jvc2ldCkVzc2EgdG9ycmUgw6kgbXVpdG8gdHJhbnF1aWxhIGUgbWlzdGVyaW9zYS4gw4kgZGVmaW5pdGl2YW1lbnRlIGFsZ28gcXVlIG9zIGF2ZW50dXJlaXJvcyBhZG9yYXJpYW0sIGNlcnRvPw==,,W1Jvc2ldCkVzdGEgdG9ycmUgZXMgdGFuIHRyYW5xdWlsYSBjb21vIG1pc3Rlcmlvc2EuIFNpbiBkdWRhLCBlcyBhbGdvIHF1ZSBsZXMgZW5jYW50YXLDrWEgYSBsb3MgdHJvdGFtdW5kb3MsIMK/dmVyZGFkPw==
Q5te,,W1Jvc2ldCk9oIG15IGdvc2ghIFlvdSBzY2FyZWQgbWUhIFdoYXQgYXJlIHlvdSBkb2luZyBoZXJlPw==,,,,,W1Jvc2ldCkFoLCBtaW5oYSBub3NzYSEgVm9jw6ogbWUgYXNzdXN0b3UhIE8gcXVlIGVzdMOhIGZhemVuZG8gYXF1aT8=,,W1Jvc2ldCsKhUG9yIHRvZG9zIGxvcyBkaW9zZXMhIMKhTWUgYXN1c3Rhc3RlISDCv1F1w6kgaGFjZXMgYXF1w60/
RJte,,RXhwbGFpbiB0aGUgc2l0dWF0aW9u,,,,,RXhwbGlxdWUgYSBzaXR1YcOnw6Nv,,RXhwbGljYXIgbGEgc2l0dWFjacOzbi4=
RZte,,W1Jvc2ldCkkgc2VlLi4uSSBkaWRuJ3Qga25vdyB0aGV5J3JlIHdvcnJpZWQgYWJvdXQgbWUuIEJ1dCBJIGNhbid0IGdvIGJhY2sgbm93LiBJJ20gYSBqb3VybmFsaXN0Lg==,,,,,W1Jvc2ldCkVudGVuZG8uLi4gbsOjbyBzYWJpYSBxdWUgZWxlcyBlc3RhdmFtIHByZW9jdXBhZG9zIGNvbWlnby4gTWFzIG7Do28gcG9zc28gdm9sdGFyIGFnb3JhLiBTb3Ugam9ybmFsaXN0YS4=,,W1Jvc2ldCllhIHZlby4uLiBubyBzYWLDrWEgcXVlIGVzdGFiYW4gcHJlb2N1cGFkb3MgcG9yIG3DrS4gUGVybyB5YSBubyBwdWVkbyB2b2x2ZXIgYXRyw6FzLiBTb3kgcGVyaW9kaXN0YS4=
Rpte,,W1Jvc2ldCkkgd3JpdGUgbmV3cyBhcnRpY2xlcyBmb3IgYWR2ZW50dXJlcnMgZm9yIGEgbWFnYXphaW5lIGNhbGxlZCBNb250aGx5IEJyaWdhbi4=,,,,,W1Jvc2ldCkVzY3Jldm8gYXJ0aWdvcyBwYXJhIGF2ZW50dXJlaXJvcyBlbSB1bWEgcmV2aXN0YSBjaGFtYWRhIEJyaWdhbiBNZW5zYWwu,,W1Jvc2ldCkVzY3JpYm8gYXJ0w61jdWxvcyBwYXJhIHRyb3RhbXVuZG9zIGVuIGxhIHJldmlzdGEgTW9udGhseSBCcmlnYW4u
R5te,,W1Jvc2ldCkkgaGFkIGEgaGFyZCB0aW1lIGNvbWluZyBoZXJlLCBhbmQgSSBmZWVsIGxpa2UgSSdsbCBnZXQgYW4gZXhjbHVzaXZlIHNjb29wIGhlcmUgYW55IG1pbnV0ZSEgQnV0IGl0J3MganVzdCBub3QgaGFwcGVuaW5nIHlldC4uLg==,,,,,W1Jvc2ldCkZvaSBkaWbDrWNpbCB2aXIgYXTDqSBhcXVpIGUgc2ludG8gcXVlIHRlcmVpIHVtIGZ1cm8gZGUgcmVwb3J0YWdlbSBleGNsdXNpdm8gYSBxdWFscXVlciBtb21lbnRvISBNYXMgaXNzbyBhaW5kYSBuw6NvIGVzdMOhIGFjb250ZWNlbmRvLi4u,,W1Jvc2ldCk1lIGNvc3TDsyBtdWNobyBsbGVnYXIgYXF1w60geSBzaWVudG8gcXVlLCBlbiBjdWFscXVpZXIgbW9tZW50bywgY29uc2VndWlyw6kgdW5hIHByaW1pY2lhLiBQZXJvIHRvZGF2w61hIG5vIHN1Y2VkacOzLg==
SJte,,W1Jvc2ldCkFueXdheSwgSSdtIGRvaW5nIHdlbGwuIFRlbGwgaGltIG5vdCB0byB3b3JyeSBhYm91dCBtZS4=,,,,,W1Jvc2ldCkRlIHF1YWxxdWVyIGZvcm1hLCBlc3RvdSBpbmRvIGJlbS4gRGlnYSBhIGVsZSBwYXJhIG7Do28gc2UgcHJlb2N1cGFyIGNvbWlnby4=,,W1Jvc2ldCkVuIGZpbiwgbWUgdmEgYmllbi4gRGlsZSBxdWUgbm8gc2UgcHJlb2N1cGUgcG9yIG3DrS4=
SZte,,W1Jvc2ldCkRvbid0IHdvcnJ5LCBJJ2xsIGdldCB0aGUgYmlnZ2VzdCBzY29vcCBvZiB0aGUgeWVhciE=,,,,,W1Jvc2ldCk7Do28gc2UgcHJlb2N1cGUsIHZvdSBjb25zZWd1aXIgbyBtYWlvciBmdXJvIGRlIHJlcG9ydGFnZW0gZG8gYW5vIQ==,,W1Jvc2ldCk5vIHRlIHByZW9jdXBlcywgwqF0ZW5kcsOpIGxhIG1heW9yIHByaW1pY2lhIGRlbCBhw7FvIQ==
Spte,,RXVuY2hlb25n,,,,,RXVuY2hlb25n,,TnVldm8gT3o=
S5te,,W0V1bmNoZW9uZ10KSSdtIGV4cGxvcmluZyBldmVyeSBpbmNoIG9mIHRoZSB0b3dlci4gSSdsbCB3cml0ZSBhYm91dCBpdCBpbiBteSBtZW1vaXJzIGxhdGVyLg==,,,,,W0V1bmNoZW9uZ10KRXN0b3UgZXhwbG9yYW5kbyBjYWRhIGNlbnTDrW1ldHJvIGRhIHRvcnJlLiBFc2NyZXZlcmVpIHNvYnJlIGlzc28gZW0gbWluaGFzIG1lbcOzcmlhcyBtYWlzIHRhcmRlLg==,,W0V1bmNoZW9uZ10KRXN0b3kgZXhwbG9yYW5kbyBjYWRhIGNlbnTDrW1ldHJvIGRlIGxhIHRvcnJlLiBFc2NyaWJpcsOpIHNvYnJlIGVzdG8gZW4gbWlzIG1lbW9yaWFzIG3DoXMgYWRlbGFudGUu
TJte,,W0V1bmNoZW9uZ10KRG9uJ3QgdGFrZSBtZSBsaWdodGx5IGp1c3QgYmVjYXVzZSBJJ20geW91bmcuIEkndmUgYWxyZWFkeSBiZWVuIHRvIGV2ZXJ5IHBhcnQgb2YgTWlkZ2FyZCBjb250aW5lbnQuIEknbSBhIHJlYWwgYWR2ZW50dXJlciwgeW91IGtub3cu,,,,,W0V1bmNoZW9uZ10KTsOjbyBtZSBsZXZlIGEgbWFsIHPDsyBwb3JxdWUgc291IGpvdmVtLiBKw6EgZXN0aXZlIGVtIHRvZGFzIGFzIHBhcnRlcyBkbyBjb250aW5lbnRlIGRlIE1pZGdhcmQuIFNvdSB1bSB2ZXJkYWRlaXJvIGF2ZW50dXJlaXJvLCB2b2PDqiBzYWJlLg==,,W0V1bmNoZW9uZ10KTm8gbWUgc3ViZXN0aW1lcyBzb2xvIHBvcnF1ZSBzb3kgam92ZW4uIFlhIGVzdHV2ZSBlbiB0b2RhcyBwYXJ0ZXMgZW4gZWwgY29udGluZW50ZSBkZSBNaWRnYXJkLiBTb3kgdHJvdGFtdW5kb3MgZGUgdmVyZGFkLg==
TZte,,W0V1bmNoZW9uZ10KWW91IHJlYWxseSBzaG91bGRuJ3Qgd29ycnkgYWJvdXQgbWUuIEknbGwgZ28gb3V0IHdoZW4gSSdtIGRvbmUgZXhwbG9yaW5nLi4uVGVsbCBoaW0gSSdtIGRvaW5nIG9rYXku,,,,,W0V1bmNoZW9uZ10KVm9jw6ogcmVhbG1lbnRlIG7Do28gZGV2ZXJpYSBzZSBwcmVvY3VwYXIgY29taWdvLiBFdSBzYWlyZWkgcXVhbmRvIHRlcm1pbmFyIGRlIGV4cGxvcmFyLi4uIERpZ2EgYSBlbGUgcXVlIGVzdG91IGJlbS4=,,W0V1bmNoZW9uZ10KTm8gZGViZXLDrWFzIHByZW9jdXBhcnRlIHBvciBtw60uIFNhbGRyw6kgY3VhbmRvIHRlcm1pbmUgZGUgZXhwbG9yYXIuIERpbGUgcXVlIGVzdG95IGJpZW4u
Tpte,,W0V1bmNoZW9uZ10KSSBzaGFsbCBsZWF2ZSB0byBleHBsb3JlIGRpZmZlcmVudCBwYXJ0cyBub3cu,,,,,W0V1bmNoZW9uZ10KVm91IHNhaXIgcGFyYSBleHBsb3JhciBkaWZlcmVudGVzIHBhcnRlcyBhZ29yYS4=,,W0V1bmNoZW9uZ10KQWhvcmEgbWUgaXLDqSBhIGV4cGxvcmFyIG90cmFzIHBhcnRlcy4=
T5te,,W0V1bmNoZW9uZ10KWW91IHdhbnQgbXkgYXV0b2dyYXBoPyBJZiBub3QsIHBsZWFzZSBkb24ndCBpbnRlcnJ1cHQu,,,,,W0V1bmNoZW9uZ10KUXVlciBtZXUgYXV0w7NncmFmbz8gU2UgbsOjbywgcG9yIGZhdm9yLCBuw6NvIGludGVycm9tcGEu,,W0V1bmNoZW9uZ10Kwr9RdWllcmVzIG1pIGF1dMOzZ3JhZm8/IERlIGxvIGNvbnRyYXJpbywgbm8gbWUgaW50ZXJydW1wYXMu
UJte,,W0V1bmNoZW9uZ10KRG9uJ3Qgd29ycnkgYWJvdXQgbWUuIEknbGwgYmUgYSBncmVhdCBhZHZlbnR1cmVyIQ==,,,,,W0V1bmNoZW9uZ10KTsOjbyBzZSBwcmVvY3VwZSBjb21pZ28uIFNlcmVpIHVtIGdyYW5kZSBhdmVudHVyZWlybyE=,,W0V1bmNoZW9uZ10KTm8gdGUgcHJlb2N1cGVzIHBvciBtw60uIMKhU2Vyw6kgdW4gZXhjZWxlbnRlIHRyb3RhbXVuZG9zIQ==
UZte,,W0V1bmNoZW9uZ10KQXJlIHlvdSBhbiBhZHZlbnR1cmVyLCB0b28/IERvbid0IHlvdSBkYXJlIGN1dCBpbiBoZXJlLiBJIHdhcyBoZXJlIGZpcnN0Lg==,,,,,W0V1bmNoZW9uZ10KVm9jw6ogdGFtYsOpbSDDqSB1bSBhdmVudHVyZWlybz8gTsOjbyBzZSBhdHJldmEgYSBlbnRyYXIgYXF1aS4gRXUgZXN0YXZhIGFxdWkgcHJpbWVpcm8u,,W0V1bmNoZW9uZ10Kwr9Uw7ogdGFtYmnDqW4gZXJlcyB0cm90YW11bmRvcz8gTmkgc2UgdGUgb2N1cnJhIG1ldGVydGUgYXF1w60uIFlvIGxsZWd1w6kgcHJpbWVyby4=
Upte,,V2hhdCBkbyB5b3UgbWVhbj8gSSBkaWRuJ3QgY3V0IGluIQ==,,,,,TyBxdWUgZXN0w6EgcXVlcmVuZG8gZGl6ZXIgY29tIGlzc28/IEV1IG7Do28gaW50ZXJyb21waSE=,,wr9RdcOpIHF1aWVyZXMgZGVjaXI/IMKhTm8gbWUgbWV0w60h
U5te,,W0V1bmNoZW9uZ10KV2VsbCwgSSB3YXMgZXhwbG9yaW5nIGhlcmUgZmlyc3QuIFNvIHlvdSBzaG91bGQgY29tZSBiYWNrIGxhdGVyLiBJJ2xsIGJlIGEgZ3JlYXQgYWR2ZW50dXJlciE=,,,,,W0V1bmNoZW9uZ10KQmVtLCBldSBlc3RhdmEgZXhwbG9yYW5kbyBhcXVpIHByaW1laXJvLiBQb3J0YW50bywgdm9jw6ogZGV2ZSB2b2x0YXIgbWFpcyB0YXJkZS4gU2VyZWkgdW0gZ3JhbmRlIGF2ZW50dXJlaXJvIQ==,,W0V1bmNoZW9uZ10KQnVlbm8sIHlvIGVzdGFiYSBleHBsb3JhbmRvIGFxdcOtIHByaW1lcm8uIEFzw60gcXVlIGRlYmVyw61hcyB2b2x2ZXIgbcOhcyB0YXJkZS4gwqFTZXLDqSB1biBleGNlbGVudGUgdHJvdGFtdW5kb3Mh
VJte,,W0V1bmNoZW9uZ10KSGFoLCB0aGF0IExhcGhpbmUgbXVzdCBiZSB2ZXJ5IGlkbGUsIHdvcnJ5aW5nIGFib3V0IGFuIGFkdmVudHVyZXIuIEhlIHNob3VsZG4ndCB3b3JyeSBhYm91dCBhIGd1eSB3aG8ncyBnb2luZyB0byBiZSB0aGUga2luZyBvZiBhZHZlbnR1cmVycyE=,,,,,W0V1bmNoZW9uZ10KSGFoLCBlc3NlIExhcGhpbmUgZGV2ZSBlc3RhciBtdWl0byBvY2lvc28sIHNlIHByZW9jdXBhbmRvIGNvbSB1bSBhdmVudHVyZWlyby4gRWxlIG7Do28gZGV2ZXJpYSBzZSBwcmVvY3VwYXIgY29tIHVtIGNhcmEgcXVlIHZhaSBzZXIgbyByZWkgZG9zIGF2ZW50dXJlaXJvcyE=,,W0V1bmNoZW9uZ10KRXNlIGxhcGhpbmUgbm8gZGViZSB0ZW5lciBuYWRhIHBhcmEgaGFjZXIgc2kgc2UgcHJlb2N1cGEgcG9yIHVuIHRyb3RhbXVuZG9zLiDCoU5vIGRlYmVyw61hIHByZW9jdXBhcnNlIHBvciBlbCBxdWUgc2Vyw6EgZWwgcmV5IGRlIGxvcyB0cm90YW11bmRvcyE=
VZte,,S2luZyBvZiBhZHZlbnR1cmVycz8=,,,,,UmVpIGRvcyBhdmVudHVyZWlyb3M/,,wr9SZXkgZGUgbG9zIHRyb3RhbXVuZG9zPw==
Vpte,,W0V1bmNoZW9uZ10KSSdsbCBsZWF2ZSBteSBmb290cHJpbnRzIGluIGV2ZXJ5IHBhcnQgb2YgdGhlIHdvcmxkLCBmaW5kIGFsbCBraW5kcyBvZiB0cmVhc3VyZXMgYW5kIGhpZGUgdGhlbSBzb21ld2hlcmUuIEV2ZXJ5IGFkdmVudHVyZXIgd2lsbCB0cnkgdG8gZm9sbG93IG15IHBhdGggdGhlbiE=,,,,,W0V1bmNoZW9uZ10KRGVpeGFyZWkgbWluaGFzIHBlZ2FkYXMgZW0gdG9kYXMgYXMgcGFydGVzIGRvIG11bmRvLCBlbmNvbnRyYXJlaSB0b2RvcyBvcyB0aXBvcyBkZSB0ZXNvdXJvcyBlIG9zIGVzY29uZGVyZWkgZW0gYWxndW0gbHVnYXIuIEVudMOjbywgdG9kb3Mgb3MgYXZlbnR1cmVpcm9zIHRlbnRhcsOjbyBzZWd1aXIgbWV1IGNhbWluaG8h,,W0V1bmNoZW9uZ10KRGVqYXLDqSBtaXMgaHVlbGxhcyBlbiB0b2RvIGVsIG11bmRvLCB5IGVuY29udHJhcsOpIHkgb2N1bHRhcsOpIHRvZG8gdGlwbyBkZSB0ZXNvcm9zLiDCoVRvZG9zIGxvcyB0cm90YW11bmRvcyBpbnRlbnRhcsOhbiBzZWd1aXIgbWkgY2FtaW5vIQ==
V5te,,W0V1bmNoZW9uZ10KSWYgeW91IGdldCBhbiBhdXRvZ3JhcGggZnJvbSBtZSBub3csIHlvdSBtaWdodCBiZSBhYmxlIHRvIGZlZWQgdGhyZWUgZ2VuZXJhdGlvbnMgb2YgeW91ciBmYW1pbHkgaW4gdGhlIGZ1dHVyZS4gSG93IGRvZXMgaXQgc291bmQsIHlvdSB3YW50IG9uZT8=,,,,,W0V1bmNoZW9uZ10KU2Ugdm9jw6ogY29uc2VndWlyIHVtIGF1dMOzZ3JhZm8gbWV1IGFnb3JhLCB0YWx2ZXogY29uc2lnYSBhbGltZW50YXIgdHLDqnMgZ2VyYcOnw7VlcyBkZSBzdWEgZmFtw61saWEgbm8gZnV0dXJvLiBPIHF1ZSBhY2hhLCBxdWVyIHVtPw==,,W0V1bmNoZW9uZ10KU2kgbWUgcGlkZXMgdW4gYXV0w7NncmFmbyBhaG9yYSwgcG9kcsOtYXMgYWxpbWVudGFyIGEgdHJlcyBnZW5lcmFjaW9uZXMgZGUgdHUgZmFtaWxpYSBlbiBlbCBmdXR1cm8uIMK/UXXDqSB0ZSBwYXJlY2U/IMK/UXVpZXJlcyB1bm8/
WJte,,TmV2ZXIgbWluZCwgeW91bmcgYm95Lg==,,,,,TsOjbyBpbXBvcnRhLCBnYXJvdGluaG8u,,Tm8gaW1wb3J0YSwgam92ZW5jaXRvLg==
WZte,,W0V1bmNoZW9uZ10KWW91IGNlcnRhaW5seSBhcmUgYSBwb29yIGp1ZGdlIG9mIGNoYXJhY3RlciEgQW55d2F5LCB0ZWxsIGhpbSBub3QgdG8gd29ycnkgYWJvdXQgbWUuIEknbGwgYmUgdGhlIGtpbmcgb2YgYWR2ZW50dXJlcnMhIEkgc2hhbGwgZ28gZXhwbG9yZSBtb3JlIHRoZW4u,,,,,W0V1bmNoZW9uZ10KVm9jw6ogY2VydGFtZW50ZSDDqSB1bSBww6lzc2ltbyBqdWl6IGRlIGNhcsOhdGVyISBEZSBxdWFscXVlciBmb3JtYSwgZGlnYSBhIGVsZSBwYXJhIG7Do28gc2UgcHJlb2N1cGFyIGNvbWlnby4gRXUgc2VyZWkgbyByZWkgZG9zIGF2ZW50dXJlaXJvcyEgRW50w6NvLCB2b3UgZXhwbG9yYXIgbWFpcy4=,,W0V1bmNoZW9uZ10KRXMgb2J2aW8gcXVlIG5vIHNhYmVzIGxlZXIgYSBsYXMgcGVyc29uYXMuIEVuIGZpbiwgZGlsZSBxdWUgbm8gc2UgcHJlb2N1cGUgcG9yIG3DrS4gwqFTZXLDqSBlbCByZXkgZGUgbG9zIHRyb3RhbXVuZG9zISBDb250aW51YXLDqSBtaSBleHBsb3JhY2nDs24u
