gHLZCw,,UGhhbnRhc21hZ29yaWthIFNwb2tlc3BlcnNvbg==,,,,,UG9ydGEtVm96,,UG9ydGF2b3o=
yXPZCw,,W0lhbiBBdG5hZF0KV2h5LAphcmUgeW91IGdpdmluZyB1cD8KWW91J2QgYmV0dGVyIG5vdCBiZS4KSSB0aG91Z2h0IHlvdSB3ZXJlIGJldHRlciB0aGFuIHRoYXQu,,,,,W0lhbiBBdG5hZF0KT3JhcywKdm9jw6ogZXN0w6EgZGVzaXN0aW5kbz8Kw4kgbWVsaG9yIG7Do28gZXN0YXIuClBlbnNlaSBxdWUgdm9jw6ogZm9zc2UgbWVsaG9yIGRvIHF1ZSBpc3NvLg==,,W0lhbiBBdG5hZF0Kwr9Qb3IgcXXDqT8Kwr9UZSByaW5kZXM/Ck3DoXMgdGUgdmFsZSBxdWUgbm8uCkVzcGVyYWJhIG3DoXMgZGUgdGku
ynPZCw,,W0lhbiBBdG5hZF0KSWYgd2hhdCBJIGFza2VkIGlzIHRvbyBkaWZmaWN1bHQgZm9yIHlvdSwgdGhlbiB5b3UgZG9uJ3QgaGF2ZSB0byBkbyBpdC4KQnV0IHlvdSdsbCBoYXZlIHRvIGxlYXZlIG15IHRlYW0u,,,,,W0lhbiBBdG5hZF0KU2UgbyBxdWUgZXUgdGUgcGVkaSDDqSBtdWl0byBkaWbDrWNpbCwgbsOjbyBwcmVjaXNhIGZhemVyLgpNYXMgdm91IHByZWNpc2FyIHF1ZSBzYWlhIGRhIG1pbmhhIGVxdWlwZS4=,,W0lhbiBBdG5hZF0KU2kgbG8gcXVlIHRlIHBlZMOtIHRlIHJlc3VsdGEgbXV5IGNvbXBsaWNhZG8sIG5vIGhhY2UgZmFsdGEgcXVlIGxvIGhhZ2FzLgpQZXJvIHRlbmRyw6FzIHF1ZSBpcnRlIGRlIG1pIGVxdWlwby4=
y3PZCw,,WW91IHNob3VsZCBmaW5kIGFub3RoZXIgQmVlZiBUb2FzdC4=,,,,,w4kgbWVsaG9yIGVuY29udHJhciBvdXRyYSBUb3JyYWRhIGRlIENhcm5lLg==,,QnVzY2Egb3RyYSBUb3N0YWRhIGRlIGNhcm5lLg==
zHPZCw,,W0lhbiBBdG5hZF0KV2VsY29tZSBiYWNrLgpJIGhvcGUgeW91J3JlIGdldHRpbmcgZmFtaWxpYXIgd2l0aCB0aGlzIHNpdGUuClNvLCB3aGF0IGJyaW5ncyB5b3UgdGhpcyB0aW1lPw==,,,,,W0lhbiBBdG5hZF0KQmVtLXZpbmRvIGRlIHZvbHRhLgpFc3Blcm8gcXVlIGVzdGVqYSBzZSBmYW1pbGlhcml6YW5kbyBjb20gbyBsb2NhbC4KRW50w6NvLCBvIHF1ZSB0ZSB0cmF6IGFxdWkgZGVzc2EgdmV6Pw==,,W0lhbiBBdG5hZF0KSG9sYSBkZSBudWV2by4KT2phbMOhIHRlIGVzdMOpcyBhZGFwdGFuZG8gYWwgbHVnYXIuCsK/UXXDqSB0ZSB0cmFlIHBvciBhcXXDrSBlc3RhIHZlej8=
zXPZCw,,QWJvdXQgdGhlIGV4Y2F2YXRpb24u,,,,,U29icmUgYSBlc2NhdmHDp8Ojby4=,,U29icmUgbGEgZXhjYXZhY2nDs24u
znPZCw,,VGFsay4=,,,,,Q29udmVyc2FyLg==,,SGFibGFyLg==
z3PZCw,,Q2FuY2VsLg==,,,,,Q2FuY2VsYXIu,,Q2FuY2VsYXIu
0HPZCw,,W0lhbiBBdG5hZF0KQWJvdXQgdGhlIGV4Y2F2YXRpb24/CkRvIHlvdSBtZWFuIGFib3V0IHRoZSBQb3dlciBDb250cm9sIERldmljZXM/,,,,,W0lhbiBBdG5hZF0KU29icmUgYSBlc2NhdmHDp8Ojbz8KVm9jw6ogZXN0w6EgZmFsYW5kbyBkb3MgTsO6Y2xlb3MgZGUgRW5lcmdpYT8=,,W0lhbiBBdG5hZF0Kwr9Tb2JyZSBsYSBleGNhdmFjacOzbj8Kwr9IYWJsYXMgZGUgbG9zIERpc3Bvc2l0aXZvcyBkZSBFbmVyZ8OtYT8=
0XPZCw,,W0lhbiBBdG5hZF0KSSdtIHN0aWxsIHN0dWR5aW5nIHRoZW0uCkFuZCBJIGNvdWxkIGJyZWFrIHRoZW0gYWxsIHdoaWxlIGRvaW5nIGl0LgpBbnl3YXksIEknbSBidXN5LiBMZWF2ZSBtZSBhbG9uZS4=,,,,,W0lhbiBBdG5hZF0KRXUgYWluZGEgZXN0b3Ugb3MgZXN0dWRhbmRvLgpFIHBvc3NvIGFjYWJhciBxdWVicmFuZG8gdG9kb3Mgbm8gcHJvY2Vzc28uCkRlIHF1YWxxdWVyIGZvcm1hLCBlc3RvdSBvY3VwYWRvLiBEZWl4ZS1tZSBlbSBwYXou,,W0lhbiBBdG5hZF0KQcO6biBsb3MgZXN0b3kgZXN0dWRpYW5kby4KWSBwb2Ryw61hIHJvbXBlcmxvcyB0b2RvcyBlbiBlbCBwcm9jZXNvLgpFbiBmaW4sIHRlbmdvIG11Y2hvIHBvciBoYWNlci4gRMOpamFtZSBlbiBwYXou
0nPZCw,,W0lhbiBBdG5hZF0KVGhlIGxhc3QgYmF0Y2ggb2YgUG93ZXIgQ29udHJvbCBEZXZpY2VzIHlvdSBicm91Z2h0IGJyb2tlLgpUaGV5IGp1c3QgY291bGRuJ3Qgd2l0aHN0YW5kIHByZXNzdXJlLApsaWtlIHlvdSB5b3VuZ3N0ZXJzIG5vd2FkYXlzLg==,,,,,W0lhbiBBdG5hZF0KTyDDumx0aW1vIGxvdGUgZGUgTsO6Y2xlb3MgZGUgRW5lcmdpYSBxdWUgdm9jw6ogdHJvdXhlIHF1ZWJyb3UuCkVsZXMgbsOjbyBhZ3VlbnRhcmFtIGEgcHJlc3PDo28uCmFzc2ltIGNvbW8gdm9jw6pzLCBvcyBqb3ZlbnMgZGUgaG9qZS4=,,W0lhbiBBdG5hZF0KU2Ugcm9tcGllcm9uIGxvcyDDumx0aW1vcyBEaXNwb3NpdGl2b3MgZGUgRW5lcmfDrWEgcXVlIHRyYWppc3RlLgpFcyBxdWUgbm8gcHVkaWVyb24gc29wb3J0YXIgbGEgcHJlc2nDs24uCkp1c3RvIGlndWFsIHF1ZSB1c3RlZGVzLCBsb3MgasOzdmVuZXMgZGUgaG95Lg==
03PZCw,,W0lhbiBBdG5hZF0KTmVpdGhlciBjb3VsZCBBcnF1aWVuLgpTaGUgY291bGRuJ3Qgd2FpdCBsb25nIGVub3VnaC4KU2lnaC4uLg==,,,,,W0lhbiBBdG5hZF0KQXNzaW0gY29tbyBhIEFycXVpZW4uCkVsYSBuw6NvIHBvZGUgZXNwZXJhciBvIHN1ZmljaWVudGUuCipzdXNwaXJvKg==,,W0lhbiBBdG5hZF0KQXJxdWllbiBmdWUgaWd1YWwuCkVzdGFiYSBtdXkgYW5zaW9zYS4KKlN1c3BpcmEuLi4q
1HPZCw,,W0lhbiBBdG5hZF0KWW91IGJyb3VnaHQgdGhlIHJpZ2h0IHRoaW5ncy4KLi4uCldoYXQgYXJlIHlvdSBsb29raW5nIGF0PwpQdXQgdGhlbSBvbiB0aGUgZ3JvdW5kLCBhbmQgbGVhdmUu,,,,,W0lhbiBBdG5hZF0KVm9jw6ogdHJvdXhlIGFzIGNvaXNhcyBjZXJ0YXMuCi4uLgpPIHF1ZSB2b2PDqiBlc3TDoSBvbGhhbmRvPwpDb2xvcXVlIG5vIGNow6NvIGUgY2FpYSBmb3JhLg==,,W0lhbiBBdG5hZF0KVG9kbyBsbyBxdWUgdHJhamlzdGUgZXN0w6EgYmllbi4KLi4uCsK/UXXDqSBlc3TDoXMgbWlyYW5kbz8KUG9ubG8gZW4gZWwgc3VlbG8geSB2ZXRlLg==
1XPZCw,,W0lhbiBBdG5hZF0KLi4uSSdsbCB0cnkgbm90IHRvIGJyZWFrIHRoZW0gc28gZWFzaWx5IHRoaXMgdGltZS4KSSdsbCBzdGFydCB0aGUgcmVzdG9yYXRpb24gcHJvY2VzcyBzb29uLg==,,,,,W0lhbiBBdG5hZF0KVm91IHRlbnRhciBuw6NvIHF1ZWJyw6EtbG9zIHTDo28gZmFjaWxtZW50ZSBkZXNzYSB2ZXouCkNvbWXDp2FyZWkgbyBwcm9jZXNzbyBkZSByZXN0YXVyYcOnw6NvIGVtIGJyZXZlLg==,,W0lhbiBBdG5hZF0KRXN0YSB2ZXosIHRyYXRhcsOpIGRlIG5vIHJvbXBlcmxvcyB0YW4gcsOhcGlkby4KUHJvbnRvIGVtcGV6YXLDqSBlbCBwcm9jZXNvIGRlIHJlc3RhdXJhY2nDs24u
1nPZCw,,W0lhbiBBdG5hZF0KWW91IGtub3cgdGhlIGRyaWxsOgpicmluZyBeNEQ0REZGMjAgUG93ZXIgQ29udHJvbCBEZXZpY2VzXjAwMDAwMC4KVGhlIHF1aWNrZXIgeW91J3JlIGRvbmUsIHRoZSBxdWlja2VyIG15IHRlc3RpbmcgY2FuIGZpbmlzaC4=,,,,,W0lhbiBBdG5hZF0KVm9jw6ogasOhIHNhYmUgbyBxdWUgZmF6ZXI6CnRyYWdhIF40RDRERkYyMCBOw7pjbGVvcyBkZSBFbmVyZ2lhXjAwMDAwMC4KUXVhbnRvIGFudGVzIHZvY8OqIHZvbHRhciwgYW50ZXMgZXUgcG9zc28gdGVybWluYXIgbWV1IGV4cGVyaW1lbnRvLg==,,W0lhbiBBdG5hZF0KWWEgc2FiZXMgY8OzbW8gZXM6CnRyYWUgXjRENERGRjIwRGlzcG9zaXRpdm9zIGRlIEVuZXJnw61hXjAwMDAwMC4KQ3VhbnRvIGFudGVzIHRlcm1pbmVzLCBhbnRlcyB0ZXJtaW5hcsOpIGxhcyBwcnVlYmFzLg==
13PZCw,,W0lhbiBBdG5hZF0KV2hhdCBkbyB5b3UgaGF2ZSB0byBkbyB0b2RheT8KR2V0IFBvd2VyIENvbnRyb2wgRGV2aWNlcywgYXMgdXN1YWwuCi4uLgpJZiB5b3UgZG9uJ3Qgd2FudCB0byBkbyBpdCwgdGhlbiB5b3UgZG9uJ3QgaGF2ZSB0by4=,,,,,W0lhbiBBdG5hZF0KTyBxdWUgdm9jw6ogdGVtIHF1ZSBmYXplciBob2plPwpQZWdhciBvcyBOw7pjbGVvcyBkZSBFbmVyZ2lhLCBjb21vIHNlbXByZS4KLi4uClNlIHZvY8OqIG7Do28gcXVpc2VyLCBlbnTDo28gbsOjbyBwcmVjaXNhLg==,,W0lhbiBBdG5hZF0Kwr9RdcOpIHRpZW5lcyBwYXJhIGhhY2VyIGhveT8KQ29uc2lndWUgRGlzcG9zaXRpdm9zIGRlIEVuZXJnw61hIGNvbW8gc2llbXByZS4KLi4uClNpIG5vIHF1aWVyZXMsIG5vIGhhY2UgZmFsdGEgcXVlIGxvIGhhZ2FzLg==
2HPZCw,,SSdsbCBicmluZyBQb3dlciBDb250cm9sIERldmljZXMu,,,,,RXUgdm91IHRyYXplciBvcyBOw7pjbGVvcyBkZSBFbmVyZ2lhLg==,,VHJhZXLDqSBEaXNwb3NpdGl2b3MgZGUgRW5lcmfDrWEu
2XPZCw,,S2VlcCB1cCB0aGUgZ29vZCB3b3JrLg==,,,,,Q29udGludWUgY29tIG8gYm9tIHRyYWJhbGhvLg==,,wqFTaWd1ZSBhc8OtIQ==
2nPZCw,,W0lhbiBBdG5hZF0KQWxsIHJpZ2h0LAp5b3Ugc2FpZCBpdCB5b3Vyc2VsZiwKYW5kIEkgbmV2ZXIgcmVqZWN0IGEgaGVscGluZyBoYW5kLg==,,,,,W0lhbiBBdG5hZF0KQ2VydG8sCnNlIHZvY8OqIGVzdMOhIGRpemVuZG8sCmV1IG51bmNhIHJlY3VzbyB1bWEgYWp1ZGEu,,W0lhbiBBdG5hZF0KRGUgYWN1ZXJkbywKdMO6IHlhIGxvIGRpamlzdGUsCnkgeW8gbnVuY2EgcmVjaGF6byBheXVkYS4=
23PZCw,,W0lhbiBBdG5hZF0KQnJpbmcgbWUgMjAgUG93ZXIgQ29udHJvbCBEZXZpY2VzIGp1c3QgbGlrZSB0aGUgbGFzdCB0aW1lLgpJZiB3ZSBjYW4gcmV2ZWFsIHRoZSBzZWNyZXQgb2YgdGhlIFBvd2VyIENvbnRyb2wgRGV2aWNlLAp0aGVuIHdlIGNhbiByZWZ1cmJpc2ggdGhlIGJyb2tlbiBvbmVzIGFuZCB0cnkgdGhlbSBmb3IgdmFyaW91cyBwdXJwb3Nlcy4KQWgsIHRoaXMgaXMgZ29pbmcgdG8gYmUgZnVuIQ==,,,,,W0lhbiBBdG5hZF0KVHJhZ2EgMjAgTsO6Y2xlb3MgZGUgRW5lcmdpYSwgY29tbyBkYSDDumx0aW1hIHZlei4KU2UgcHVkZXJtb3MgZGVzY29icmlyIG9zIHNlZ3JlZG9zIGRvIERpc3Bvc2l0aXZvIGRlIENvbnRyb2xlIGRlIEVuZXJnaWEsCnBvZGVtb3MgcmVjaWNsYXIgb3MgcXVlYnJhZG9zIGUgZXhwZXJpbWVudMOhLWxvcyBwYXJhIHbDoXJpb3MgZmlucy4KRSBpc3NvIHZhaSBzZXIgZGl2ZXJ0aWRvIQ==,,W0lhbiBBdG5hZF0KVHLDoWVtZSAyMERpc3Bvc2l0aXZvcyBkZSBFbmVyZ8OtYSBjb21vIGxhIG90cmEgdmV6LgpTaSBsb2dyYW1vcyBkZXNjdWJyaXIgZWwgc2VjcmV0byBkZSBsb3MgZGlzcG9zaXRpdm9zLApwb2RyZW1vcyByZXBhcmFyIGxvcyBhdmVyaWFkb3MgeSBwcm9iYXJsb3MgZW4gZGl2ZXJzb3MgdXNvcy4KwqFVeSwgZXN0byBzZXLDoSBkaXZlcnRpZG8h
3HPZCw,,W0lhbiBBdG5hZF0KQW5kIHNvbWVob3cgSSBmZWVsIHRoYXQgSSd2ZSBzZWVuIGl0IGZyb20gc29tZXdoZXJlLgpJZiBJIGtlZXAgc3R1ZHlpbmcgYW5kIHRlc3RpbmcgaXQsIHRoZW4gSSdsbCBldmVudHVhbGx5IHJlbWVtYmVyIHdoZXJlIEkndmUgc2VlbiBpdC4=,,,,,W0lhbiBBdG5hZF0KRSBkZSBhbGd1bWEgZm9ybWEsIHNpbnRvIHF1ZSBqw6EgdmkgaXNzbyBlbSBhbGd1bSBsdWdhci4KU2UgY29udGludWFyIGVzdHVkYW5kbyBlIHRlc3RhbmRvLCBlbnTDo28gZXZlbnR1YWxtZW50ZSB2b3UgbGVtYnJhciBvbmRlIGV1IHZpLg==,,W0lhbiBBdG5hZF0KTm8gc8OpIHBvciBxdcOpLCBwZXJvIHNpZW50byBxdWUgeWEgbG8gaGUgdmlzdG8uClNpIHNpZ28gZXN0dWRpw6FuZG9sbyB5IHByb2LDoW5kb2xvLCB0ZXJtaW5hcsOpIHBvciByZWNvcmRhciBkw7NuZGUgbG8gaGUgdmlzdG8u
3XPZCw,,W0lhbiBBdG5hZF0KSWYgeW91IGRvbid0IGhhdmUgYnVzaW5lc3Mgd2l0aCBtZSwganVzdCBnbyBhd2F5LgpZb3UncmUgYm90aGVyaW5nIG1lLg==,,,,,W0lhbiBBdG5hZF0KU2Ugdm9jw6ogbsOjbyB0ZW0gbWFpcyBuYWRhIHBhcmEgdHJhdGFyIGNvbWlnbywgdsOhIGVtYm9yYS4KVm9jw6ogZXN0w6EgbWUgaW5jb21vZGFuZG8u,,W0lhbiBBdG5hZF0KU2kgbm8gdGllbmVzIG5pbmfDum4gYXN1bnRvIHBlbmRpZW50ZSBjb25taWdvLCB2ZXRlLgpNZSBlc3TDoXMgbW9sZXN0YW5kby4=
3nPZCw,,W0lhbiBBdG5hZF0KSSBzaG91bGQgaGF2ZSB0b2xkIHlvdSB0aGlzIGEgbG9uZyB0aW1lIGFnby4KSSBkb24ndCBrbm93IHdoYXQgQXJxdWllbiBhc2tlZCB5b3UsCmJ1dCBJIGRvbid0IGhhdmUgdG8gdGVsbCB5b3UgYW55dGhpbmcu,,,,,W0lhbiBBdG5hZF0KRXUgZGV2ZXJpYSB0ZXIgbGhlIGNvbnRhdG8gaXNzbyBow6EgdW0gYm9tIHRlbXBvLgpFdSBuw6NvIHNlaSBvIHF1ZSBhIEFycXVpZW4gdGUgcGVkaXUsCm1hcyBldSBuw6NvIHByZWNpc28gdGUgZGl6ZXIgbmFkYS4=,,W0lhbiBBdG5hZF0KRGViZXLDrWEgaGFiw6lydGVsbyBkaWNobyBoYWNlIG11Y2hvIHRpZW1wby4KTm8gc8OpIHF1w6kgdGUgcGlkacOzIEFycXVpZW4sCnBlcm8geW8gbm8gdGVuZ28gcG9yIHF1w6kgZGVjaXJ0ZSBuYWRhLg==
33PZCw,,W0lhbiBBdG5hZF0KTXkgZmFtaWx5IGlzIG5vbmUgb2YgeW91ciBidXNpbmVzcy4gSWYgeW91J3JlIGhlcmUgdG8gd29yaywgdGhlbiBqdXN0IHdvcmsu,,,,,W0lhbiBBdG5hZF0KTWluaGEgZmFtw61saWEgbsOjbyDDqSBkYSBzdWEgY29udGEuIFNlIGVzdMOhIGFxdWkgcGFyYSB0cmFiYWxoYXIsIHbDoSB0cmFiYWxoYXIu,,W0lhbiBBdG5hZF0KTWkgZmFtaWxpYSBubyBlcyBhc3VudG8gdHV5by4gU2kgdmluaXN0ZSBhIHRyYWJhamFyLCBlbnRvbmNlcyBzb2xvIGhhemxvLg==
4HPZCw,,W0lhbiBBdG5hZF0KWW91IGFza2VkIG1lIGFib3V0IHRoZSBsYXN0IGV4cGxvcmF0aW9uLgpBbmQgSSB0b2xkIHlvdSBJIG5lZWRlZCB0aW1lIHRvIHB1dCBteSB0aG91Z2h0cyBpbiBvcmRlci4=,,,,,W0lhbiBBdG5hZF0KVm9jw6ogbWUgcGVyZ3VudG91IHNvYnJlIGEgw7psdGltYSBleHBsb3Jhw6fDo28uCkV1IGRpc3NlIHF1ZSBwcmVjaXNhdmEgZGUgdGVtcG8gcGFyYSBjb2xvY2FyIG1ldXMgcGVuc2FtZW50b3MgZW0gb3JkZW0u,,W0lhbiBBdG5hZF0KTWUgcHJlZ3VudGFzdGUgcG9yIGxhIMO6bHRpbWEgZXhwbG9yYWNpw7NuLgpZIHlvIHRlIGRpamUgcXVlIG5lY2VzaXRhYmEgdGllbXBvIHBhcmEgb3JkZW5hciBsYXMgaWRlYXMu
4XPZCw,,W0lhbiBBdG5hZF0KSSBuZWVkIG1vcmUgdGltZS4KLi4u,,,,,W0lhbiBBdG5hZF0KUHJlY2lzbyBkZSBtYWlzIHRlbXBvLgouLi4=,,W0lhbiBBdG5hZF0KTmVjZXNpdG8gbcOhcyB0aWVtcG8uCi4uLg==
4nPZCw,,W0lhbiBBdG5hZF0KV2hpbGUgd29ya2luZyBmb3IgdXMsIHlvdSBzaG91bGQgZXhwbG9yZSB0aGUgc2l0ZSBvbiB5b3VyIG93bi4KQW4gb3Bwb3J0dW5pdHkgbGlrZSB0aGlzIGRvZXNuJ3QgY29tZSBlYXNpbHku,,,,,W0lhbiBBdG5hZF0KRW5xdWFudG8gZXN0aXZlciB0cmFiYWxoYW5kbyBwYXJhIG7Ds3MsIHZvY8OqIHRhbWLDqW0gZGV2ZXJpYSBleHBsb3JhciBlc3RlIGx1Z2FyIHBvciBjb250YSBwcsOzcHJpYS4KVW1hIG9wb3J0dW5pZGFkZSBjb21vIGVzdGEgbsOjbyBhcGFyZWNlIHNlbXByZS4=,,W0lhbiBBdG5hZF0KTWllbnRyYXMgdHJhYmFqYSBjb24gbm9zb3Ryb3MsIGV4cGxvcmEgZWwgeWFjaW1pZW50byBwb3IgdHUgY3VlbnRhLgpFc3RlIHRpcG8gZGUgb3BvcnR1bmlkYWRlcyBubyBjYWVuIGRlIGxvcyDDoXJib2xlcy4=
43PZCw,,W0x1a2VdCkRvbid0IHdvcnJ5IGFib3V0IGhpbS4KSGUga25vd3Mgd2hhdCBoZSdzIGRvaW5nLg==,,,,,W0x1a2VdCk7Do28gc2UgcHJlb2N1cGUgY29tIGVsZS4KRWxlIHNhYmUgbyBxdWUgZXN0w6EgZmF6ZW5kby4=,,W0x1a2VdCk5vIHRlIHByZW9jdXBlcyBwb3Igw6lsLgpTYWJlIGxvIHF1ZSBoYWNlLg==
5HPZCw,,W0x1a2VdCi4uLj8KSW50ZXJlc3RpbmcuCkhlIHdhbnRzIHNvbWV0aGluZyByZWFkeSB0byBlYXQsIGp1aWN5LCByZWZyZXNoaW5nLCBhbmQgY2xlYW4tdGFzdGluZz8=,,,,,W0x1a2VdCi4uLj8KSW50ZXJlc3NhbnRlLgpFbGUgcXVlciBhbGdvIHByb250byBwYXJhIGNvbWVyLCBzdWN1bGVudG8sIHJlZnJlc2NhbnRlIGUgcXVlIGxpbXBlIG8gcGFsYWRhci4=,,W0x1a2VdCsK/Li4uPwpJbnRlcmVzYW50ZS4Kwr9RdWllcmUgYWxnbyBsaXN0byBwYXJhIGNvbWVyLCBqdWdvc28sIHJlZnJlc2NhbnRlIHkgYXBldGl0b3NvPw==
5XPZCw,,W0x1a2VdCldlbGwsIEkndmUgZ290IGFuIGlkZWEuIEJyaW5nIG1lIHNvbWUgaW5ncmVkaWVudHMsIGFuZCBJJ2xsIGNvb2sgc29tZXRoaW5nIGZvciB5b3UuCkknbSBwcmV0dHkgc3VyZSBpdCdsbCBmaXQgdGhlIGJpbGwu,,,,,W0x1a2VdCkJvbSwgZXUgdGVuaG8gdW1hIGlkZWlhLiBUcmFnYSBhbGd1bnMgaW5ncmVkaWVudGVzIGUgZXUgcHJlcGFybyBhbGdvIHBhcmEgdm9jw6ouClRlbmhvIGNlcnRlemEgZGUgcXVlIHZhaSBzZXJ2aXIgcGVyZmVpdGFtZW50ZS4=,,W0x1a2VdClB1ZXMgdGVuZ28gdW5hIGlkZWEuIFRyw6FlbWUgYWxndW5vcyBpbmdyZWRpZW50ZXM7IHRlIHByZXBhcmFyw6kgYWxnby4KU2VndXJvIGN1bXBsaXLDoSBlc2FzIGNvbmRpY2lvbmVzLg==
5nPZCw,,W0x1a2VdClRoZSBwcm9ibGVtIGlzCnRoZSBpbmdyZWRpZW50cyBhcmUgZGlmZmljdWx0IHRvIGZpbmQuCkkndmUgbGVhcm5lZCB0aGlzIHJlY2lwZSB3aGlsZSB0cmF2ZWxpbmcgYWNyb3NzIGRpbWVuc2lvbnMu,,,,,W0x1a2VdCk8gcHJvYmxlbWEgw6kgcXVlCm9zIGluZ3JlZGllbnRlcyBzw6NvIGRpZsOtY2VpcyBkZSBlbmNvbnRyYXIuCkV1IGFwcmVuZGkgZXN0YSByZWNlaXRhIGVucXVhbnRvIHZpYWphdmEgcGVsYXMgZGltZW5zw7Vlcy4=,,W0x1a2VdCkVsIHByb2JsZW1hIGVzIHF1ZQpjdWVzdGEgZW5jb250cmFyIGVzb3MgaW5ncmVkaWVudGVzLgpBcHJlbmTDrSBlc3RhIHJlY2V0YSBjdWFuZG8gdmlhamFiYSBlbnRyZSBkaXN0aW50YXMgZGltZW5zaW9uZXMu
53PZCw,,W0x1a2VdCldlbGwsIGl0J2xsIGJlIHlvdSB3aG8gaGFzIHRvIGZpbmQgdGhlIGluZ3JlZGllbnRzOgoyIE1lYXRzLCAxIE1vcmEgTWFuZGFyaW4sIGFuZCAxIEJhbmFuYS4gQ2FuIHlvdSBnZXQgdGhlbT8=,,,,,W0x1a2VdCkJvbSwgdm9jw6ogdGVyw6EgcXVlIGVuY29udHJhciBvcyBpbmdyZWRpZW50ZXM6CjIgQ2FybmVzLCAxIE1hbmdhIGRlIE1vcmEgZSAxIEJhbmFuYS4gUG9kZSBidXNjw6EtbG9zPw==,,W0x1a2VdCkJpZW4sIHRlbmRyw6FzIHF1ZSBlbmNvbnRyYXIgbG9zIHNpZ3VpZW50ZXMgaW5ncmVkaWVudGVzOgoydHJvem9zIGRlIENhcm5lLCAxTWFuZ28gZGUgTW9yYSB5IDFCYW5hbmEuIMK/UHVlZGVzIGNvbnNlZ3Vpcmxvcz8=
6HPZCw,,W0x1a2VdClNvbWUgb2YgdGhlIGZydWl0cyBncm93IG5lYXIgdGhlIF40RDRERkZNaXN0eSBGb3Jlc3QgTGFieXJpbnRoXjAwMDAwMC4KWW91J2xsIGhhdmUgdG8gbG9vayBoYXJkIGZvciB0aGVtLg==,,,,,W0x1a2VdCkFsZ3VtYXMgZGFzIGZydXRhcyBjcmVzY2VtIHBlcnRvIGRvIF40RDRERkZMYWJpcmludG8gZGEgTmVibGluYV4wMDAwMDAuClZvY8OqIHRlcsOhIHF1ZSBwcm9jdXLDoS1sYXMgY29tIGF0ZW7Dp8Ojby4=,,W0x1a2VdCkFsZ3VuYXMgZnJ1dGFzIGNyZWNlbiBjZXJjYSBkZWwgXjRENERGRmxhYmVyaW50byBkZWwgQm9zcXVlIGJydW1vc29eMDAwMDAwLgpUZW5kcsOhcyBxdWUgYnVzY2FybGFzIGJpZW4u
6XPZCw,,W0x1a2VdClRoaXMgc2hvdWxkIHN1ZmZpY2UuCkkgaGF2ZW4ndCBjb29rZWQgaXQgaW4gYSB3aGlsZSwgYnV0IHRoZSByZWNpcGUgaXMgaW4gbXkgaGVhZC4=,,,,,W0x1a2VdCklzc28gZGV2ZSBiYXN0YXIuCkZheiB0ZW1wbyBxdWUgbsOjbyBjb3ppbmhvLCBtYXMgc2VpIGEgcmVjZWl0YSBkZSBjb3Iu,,W0x1a2VdCkNvbiBlc3RvLCBkZWJlcsOtYSBhbGNhbnphci4KSGFjZSBtdWNobyBxdWUgbm8gbG8gY29jaW5vLCBwZXJvIHJlY3VlcmRvIGxhIHJlY2V0YSBkZSBtZW1vcmlhLg==
6nPZCw,,W0x1a2VdCkRvbmUuClRoaXMgZm9vZCBzaG91bGQgZml0IGFsbCB0aGUgY29uZGl0aW9ucyB5b3UgdG9sZCBtZS4=,,,,,W0x1a2VdClByb250by4KRXN0ZSBsYW5jaGUgZGV2ZSBhdGVuZGVyIGEgdG9kYXMgYXMgY29uZGnDp8O1ZXMgcXVlIHZvY8OqIG1lIGRpc3NlLg==,,W0x1a2VdCkxpc3RvLgpTZWd1cm8gcXVlIGVzdGEgY29taWRhIGN1bXBsZSB0b2RhcyBsYXMgY29uZGljaW9uZXMgcXVlIG1lbmNpb25hc3RlLg==
63PZCw,,THVrZSBnYXZlIHlvdSBNb3JhJ3Mgc3BlY2lhbHR5IGZvb2QsIEJlZWYgVG9hc3QuCkl0IHBlcmZlY3RseSBmaXRzIGV2ZXJ5dGhpbmcgSWFuIHNhaWQgaGUgd2FudGVkLg==,,,,,THVrZSB0ZSBkZXUgbyBwcmF0byBlc3BlY2lhbCBkZSBNb3JhLCBhIFRvcnJhZGEgZGUgQ2FybmUuClF1ZSBzZSBlbmNhaXhhIHBlcmZlaXRhbWVudGUgY29tIHR1ZG8gcXVlIElhbiBkaXNzZSBxdWUgcXVlcmlhLg==,,THVrZSB0ZSBkaW8gbGEgZXNwZWNpYWxpZGFkIGRlIE1vcmE6IFRvc3RhZGEgZGUgY2FybmUuClRpZW5lIHRvZG8gbG8gcXVlIElhbiBkaWpvIHF1ZSBxdWVyw61hLg==
7HPZCw,,W0x1a2VdCkRpZCB5b3UgZm9yZ2V0IHRoZSBpbmdyZWRpZW50cz8KMiBNZWF0cywgMSBNb3JhIE1hbmRhcmluLCBhbmQgMSBCYW5hbmEu,,,,,W0x1a2VdClZvY8OqIGVzcXVlY2V1IG9zIGluZ3JlZGllbnRlcz8KMiBDYXJuZXMsIDEgTWFuZ2EgZGUgTW9yYSBlIDEgQmFuYW5hLg==,,W0x1a2VdCsK/T2x2aWRhc3RlIGxvcyBpbmdyZWRpZW50ZXM/CjJ0cm96b3MgZGUgQ2FybmUsIDFNYW5nbyBkZSBNb3JhIHkgMUJhbmFuYS4=
