oPmLDA,,WXVsbWE=,,,,,WXVsbWE=,,WXVsbWE=
BfqLDA,,W1BhaWFuXQpUaGUgZm91cnRoIGZsb29yPyBJJ20gbWFubmluZyB0aGUgZW50cmFuY2UgdG8gdGhhdCBmbG9vciByaWdodCBub3cuLi4KQWgsIHlvdSBjYW1lIHRvIHNlZSBtZSBvbiBKdWxtYSdzIHJlcXVlc3QgZnJvbSBDYXQgb24gYSBCdWxsZXQ/,,,,,W1BhaWFuXQo0wrogYW5kYXI/IFNvdSBldSBxdWVtIGNvbnRyb2xhIGVzc2Egw6FyZWEuLi4KQWgsIHZvY8OqIHJlY2ViZXUgdW0gcGVkaWRvIGRhIFl1bG1hIG5vIOKAnEdhdGluaG8gY29tIEJhbGFz4oCdIGUgdmVpbyBhcXVpIHBhcmEgZGFyIHVtYSBvbGhhZGE/,,W1BhaWFuXQrCv0VsIGN1YXJ0byBwaXNvPyBZbyBzb3kgcXVpZW4gc2UgZW5jYXJnYSBkZSBlc2UgbHVnYXIsIHBlcm8uLi4KQWgsIMK/YXPDrSBxdWUgdmllbmVzIGRlIHBhcnRlIGRlIFl1bG1hIGVuIE1hdWxsaWRvIGRlIEJhbGEgeSB2aW5pc3RlIGFxdcOtIGEgZWNoYXIgdW4gdmlzdGF6bz8/
BvqLDA,,W1BhaWFuXQpUaGVuIEkgc2hvdWxkIGxldCB5b3UgdGhyb3VnaC4KRmVlbCBmcmVlIHRvIGNoZWNrIG91dCB0aGUgdGVzdCBzdWJqZWN0cyBvbiB0aGUgZm91cnRoIGZsb29yLiBJZiB5b3UncmUgaW50ZXJlc3RlZCBpbiBoZWxwaW5nIHVzIHdpdGggb3VyIHJlc2VhcmNoLCB0aGVuIHBsZWFzZSBnbyBiYWNrIHRvIDxOQVZJPltZdWxtYV08SU5GTz5wdWJfY2F0LDk0LDQzLDAsMTAxLDA8L0lORk8+PC9OQVZJPiBhbmQgYXNrIGhlci4=,,,,,W1BhaWFuXQpFbnTDo28gdm91IHRlciBxdWUgZGVpeGFyIHZvY8OqIHBhc3Nhci4KRGVwb2lzIGRlIGRhciB1bWEgb2xoYWRhIG5hcyBjb2JhaWFzIGRvIDTCuiBhbmRhciwgc2UgcXVpc2VyIGFqdWRhciBjb20gbyBwZWRpZG8gZGUgcGVzcXVpc2EsIHZvbHRlIGUgcGVyZ3VudGUgYSA8TkFWST5bWXVsbWFdPElORk8+cHViX2NhdCw5NCw0MywwLDEwMSwwPC9JTkZPPjwvTkFWST4u,,W1BhaWFuXQpFbnRvbmNlcyB0ZW5nbyBxdWUgZGVqYXJ0ZSBwYXNhci4KRGVzcHXDqXMgZGUgZWNoYXIgdW4gdmlzdGF6byBhIGxvcyBlc3BlY8OtbWVuZXMgZGVsIGN1YXJ0byBwaXNvIHksIHNpIGRlc2VhcyBjb2xhYm9yYXIgY29uIGxhIGludmVzdGlnYWNpw7NuLCByZWdyZXNhIHkgcHJlZ8O6bnRhbGUgYSA8TkFWST5bWXVsbWFdPElORk8+cHViX2NhdCw5NCw0MywwLDEwMSwwPC9JTkZPPjwvTkFWST4u
B/qLDA,,W1BhaWFuXQpJJ2xsIHNlbmQgeW91IHRvIHRoZSA0dGggZmxvb3Iu,,,,,W1BhaWFuXQpWb3UgdGUgbGV2YXIgcHJvIDTCuiBhbmRhci4=,,W1BhaWFuXQpUZSBsbGV2YXLDqSBhbCBjdWFydG8gcGlzby4=
CPqLDA,,W1BhaWFuXQpXaGF0PyBObywgSSB3YXNuJ3QhCi4uLlMtc28gd2hhdD8gSSB3YXMgc28gdGlyZWQh,,,,,W1BhaWFuXQpBaCwgdm9jw6ogYWNoYSBxdWUgdGVuaG8gcHJvYmxlbWFzIGRlIGF0aXR1ZGUgbm8gdHJhYmFsaG8/CkTDoSBwcmEgY29jaGlsYXIgdW0gcG91Y28sIG7DqSEh,,W1BhaWFuXQrCocK/UXXDqSwgZGljZXMgcXVlIHRlbmdvIHByb2JsZW1hcyBkZSBhY3RpdHVkIGVuIGVsIHRyYWJham8/IQrCoU8tT3llLCBjdWFscXVpZXJhIHB1ZWRlIHF1ZWRhcnNlIHVuIHBvY28gZG9ybWlkbyBkZSB2ZXogZW4gY3VhbmRvIQ==
CfqLDA,,W1BhaWFuXQpJIG9ubHkgZG96ZWQgb2ZmIGZvciBhIGxpdHRsZSBiaXQhCkkgc3dlYXIh,,,,,W1BhaWFuXQpFdSBzw7MgY29jaGlsZWkgdW0gcG91cXVpbmhvIQrDiSB2ZXJkYWRlIQ==,,W1BhaWFuXQrCoVNvbG8gbWUgcXVlZMOpIGRvcm1pZG8gdW4gcmF0aXRvIQrCoURlIHZlcmRhZCE=
CvqLDA,,W1BhaWFuXQpaenouLi4gSHVoISBTLXNvcnJ5IQpXb3VsZCB5b3UgbGlrZSB0byBnbyBkb3duIHRvIFJ1ZHVzIEZsb29yIDQ/,,,,,W1BhaWFuXQpaenouLi4gVWZhISBELCBkZXNjdWxwYSBhw60hClF1ZXJlcyBkZXNjZXIgcGFyYSBvIDTCuiBhbmRhciBkZSBSdWR1cz8=,,W1BhaWFuXQpaenouLi4gwqFVZiEgwqFQLXBlcmTDs24hCsK/UXVpZXJlcyBiYWphciBhIGxhIGN1YXJ0YSBwbGFudGEgZGUgUnVkdXM/
C/qLDA,,TW92aW5nLg==,,,,,Vm91Lg==,,TWUgdm95Lg==
DPqLDA,,RG8gbm90IG1vdmUu,,,,,TsOjbyBtZSBkZXNsb2NvLg==,,Tm8gdGUgZGVzcGxhemFzLg==
DfqLDA,,W1BhaWFuXQpJJ2xsIG1vdmUgeW91LiBQbGVhc2UgYmUgY2FyZWZ1bCE=,,,,,W1BhaWFuXQpWb3UgdGUgbGV2YXIgYXTDqSBsw6EuIEN1aWRhLXRlIQ==,,W1BhaWFuXQpUZSBsbGV2YXLDqS4gwqFDdcOtZGF0ZSE=
DvqLDA,,W1BhaWFuXQpHb3QgaXQuIEhhaC4uLg==,,,,,W1BhaWFuXQpFbnRlbmRpLiBIYWFhYW0uLi4u,,W1BhaWFuXQpFbnRlbmRpZG8uIEFhYWFoLi4u
D/qLDA,,QW5zdXJpYQ==,,,,,QW5zdXJpYQ==,,QW5zdXJpYQ==
EPqLDA,,W0Fuc3VyaWFdCk9oLCB5b3UncmUgdGhlIGFkdmVudHVyZXIgZnJvbSB0aGUgbGFzdCBvcGVyYXRpb24uCkl0J3MgYW4gaG9ub3IgdG8gbWVldCB5b3UgaW4gYSBwbGFjZSBsaWtlIHRoaXMuIE1heSBJIGJ1eSB5b3UgYSBkcmluaz8=,,,,,W0Fuc3VyaWFdCkFoLCB2b2PDqiDDqSBvIHZpYWphbnRlIGRhIMO6bHRpbWEgbWlzc8Ojby4Kw4kgdW1hIGhvbnJhIGVuY29udHLDoS1sbyBhcXVpLiBQb3NzbyB0ZSBwYWdhciB1bWEgYmViaWRhPw==,,W0Fuc3VyaWFdCk9oLCBlcmVzIGVsIHRyb3RhbXVuZG9zIGRlIGxhIMO6bHRpbWEgb3BlcmFjacOzbi4KRXMgdW4gaG9ub3IgZW5jb250cmFydGUgYXF1w60uIMK/VGUgaW52aXRvIGEgdW5hIGNvcGE/
EfqLDA,,IC0gVGhpcyBxdWVzdCByZXF1aXJlcyBhdCBsZWFzdCBMZXZlbCAyMTUgLQ==,,,,,IC0gTWlzc8OjbyBkaXNwb27DrXZlbCBhIHBhcnRpciBkbyBuw612ZWwgMjE1IC0=,,IC0gTWlzacOzbiBkaXNwb25pYmxlIGEgcGFydGlyIGRlbCBuaXZlbCAyMTUgLQ==
EvqLDA,,W0dlcmJlbmFdCldvdywgezB9ISBDYW4gSSBnZXQgeW91ciBhdXRvZ3JhcGg/CkknbSBzbyBob25vcmVkIHRvIG1lZXQgeW91ISBUZWVoZWUh,,,,,W0dlcmJlbmFdClVhdSwgezB9ISBWb2PDqiBwb2RlcmlhIG1lIGRhciB1bSBhdXTDs2dyYWZvPwrDiSB1bWEgaG9ucmEhIEhlaGUuLi4=,,W0dlcmJlbmFdCsKhVmF5YSwgezB9ISDCv01lIGRhcsOtYXMgdW4gYXV0w7NncmFmbz8KwqFFcyB1biBob25vciEgSmVqZS4uLg==
E/qLDA,,LSBUaGVyZSBpcyBhIHF1ZXN0IGF2YWlsYWJsZSBhZnRlciBjb21wbGV0aW5nIEVwaXNvZGUgMTcuMSAiSWxsdXNpb24iIC0=,,,,,LSBIw6EgdW1hIG1pc3PDo28gZGlzcG9uw612ZWwgYXDDs3MgYSBjb25jbHVzw6NvIGRvIEVwaXPDs2RpbyAxNy4xICJJbHVzacOzbiIgLQ==,,LSBIYXkgdW5hIG1pc2nDs24gZGlzcG9uaWJsZSB0cmFzIGNvbXBsZXRhciBlbCBlcGlzb2RpbyAxNy4xICdJbHVzacOzbicgLQ==
FPqLDA,,W0Fuc3VyaWFdCkhlcmUsIGdpdmUgbWUgYSBnbGFzcyBvZiBUcm9waWNhbCBTb2dyYXQhCkFoLCBpcyBUcm9waWNhbCBTb2dyYXQgYWxyaWdodCBmb3IgeW91Pw==,,,,,W0Fuc3VyaWFdCk9saGEsIG1lIHNlcnZlIHVtIFNvZ3JhdCBUcm9waWNhbCEKQWgsIGVzdMOhIHR1ZG8gYmVtIGNvbSB1bSBTb2dyYXQgVHJvcGljYWw/,,W0Fuc3VyaWFdCsKhT3llLCBkYW1lIHVuIFNvZ3JhdCBUcm9waWNhbCEKQWgsIMK/dGUgcGFyZWNlIGJpZW4gdW4gU29ncmF0IFRyb3BpY2FsPw==
FfqLDA,,W0dlcmJlbmFdCkkgbGlrZSBjaG9jb2xhdGUgbWlsay4=,,,,,W0dlcmJlbmFdCkV1IHByZWZpcm8gY2hvY29sYXRlIGNvbSBsZWl0ZS4=,,W0dlcmJlbmFdCkEgbcOtIG1lIGd1c3RhIGxhIGxlY2hlIGNvbiBjaG9jb2xhdGUu
FvqLDA,,W0Fuc3VyaWFdCllvdSBidXkgaXQgd2l0aCB5b3VyIG93biBtb25leS4KQnkgdGhlIHdheSwgR2VyYmVuYSwgaG93J3MgdGhlIHBlcnNvbm5lbCBzZWxlY3Rpb24gZm9yIEFtaWNpdGlhIGdvaW5nPw==,,,,,W0Fuc3VyaWFdCkNvbXByYSBjb20gbyB0ZXUgcHLDs3ByaW8gZGluaGVpcm8uCkEgcHJvcMOzc2l0bywgR2VyYmVuYSwgY29tbyBlc3TDoSBpbmRvIGEgc2VsZcOnw6NvIGRlIHBlc3NvYWwgZG8gbGFkbyBkZSBBbWljaXRpYT8=,,W0Fuc3VyaWFdCkNvbXByYSBjb20gbyB0ZXUgcHLDs3ByaW8gZGluaGVpcm8uCkEgcHJvcMOzc2l0bywgR2VyYmVuYSwgY29tbyBlc3TDoSBpbmRvIGEgc2VsZcOnw6NvIGRlIHBlc3NvYWwgZG8gbGFkbyBkZSBBbWljaXRpYT8=
F/qLDA,,W0dlcmJlbmFdCldlbGwuLi4gSXQncyBkb25lIGZvciBub3cuCkJ1dCBzaW5jZSB3ZSdyZSBub3QgYSBiaWcgZ3JvdXAsIHdlIGRvbid0IGhhdmUgZW5vdWdoIG1lbWJlcnMgdG8gc2VuZCB0aGVyZS4=,,,,,W0dlcmJlbmFdCkh1bSwgYmVtLi4uIEEgZm9ybWHDp8OjbyBqw6EgZXN0w6EgcHJvbnRhLgpNYXMsIGNvbW8gbyB0b3RhbCBkZSBtZW1icm9zIMOpIHBlcXVlbm8sIMOpIHZlcmRhZGUgcXVlIG8gbsO6bWVybyBkZSBSZWJlbGnDtWVzIHF1ZSBwb2RlbSBzZXIgbW9iaWxpemFkb3MgZXN0w6EgdW0gcG91Y28gYmFpeG8u,,W0dlcmJlbmFdCkJ1ZW5vLCBlcyBxdWUuLi4gTGEgZm9ybWFjacOzbiBlc3TDoSBjb21wbGV0YSBwb3IgYWhvcmEuClBlcm8gY29tbyBubyBzb21vcyB1biBncnVwbyBncmFuZGUsIG5vIHRlbmVtb3Mgc3VmaWNpZW50ZXMgbWllbWJyb3MgcGFyYSBlbnZpYXIgYWxsw60u
GPqLDA,,W0Fuc3VyaWFdCkhtbSwgd2hhdCBzaG91bGQgd2UgZG8/IEdlcmJlbmEuIERvIHlvdSB3YW50IHRvIGdvPw==,,,,,W0Fuc3VyaWFdCkh1bSwgbyBxdWUgYSBnZW50ZSBmYXo/IEdlcmJlbmEuIFZvY8OqIHZhaT8=,,W0Fuc3VyaWFdCk1tbSwgwr9xdcOpIGRlYmVyw61hbW9zIGhhY2VyPyBHZXJiZW5hLCDCv3F1aWVyZXMgaXI/
GfqLDA,,W0dlcmJlbmFdCk9oLCBwbGVhc2UuIEp1c3QgdGhlIHN0YWZmaW5nIGFsb25lIGlzIG1ha2luZyBteSBoYWlyIGZhbGwgb3V0Lg==,,,,,W0dlcmJlbmFdCkFoLCBkw6EgdW0gdGVtcG8uIFPDsyBkZSBkaXN0cmlidWlyIG8gcGVzc29hbCBqw6EgZXN0b3UgZmljYW5kbyBsb3VjYS4=,,W0dlcmJlbmFdCkF5LCBwb3IgZmF2b3IuIFNvbG8gY29uIHBlbnNhciBlbiBsYSBkaXN0cmlidWNpw7NuIGRlbCBwZXJzb25hbCB5YSBzZSBtZSBjYWUgZWwgcGVsbw==
GvqLDA,,W0Fuc3VyaWFdCldoYXQgZG8gd2UgZG8/IFdlIG5lZWQgYXQgbGVhc3QgdHdvIHRlYW1zIGZvciBlYWNoIGZsb29yLg==,,,,,W0Fuc3VyaWFdCk8gcXVlIHZhbW9zIGZhemVyPyBWYW1vcyBwcmVjaXNhciBkZSBkdWFzIGVxdWlwZXMgcG9yIGFuZGFyLi4u,,W0Fuc3VyaWFdCsK/UXXDqSBoYWNlbW9zPyBOZWNlc2l0YXJlbW9zIGRvcyBlcXVpcG9zIHBvciBwaXNvLi4u
G/qLDA,,W0dlcmJlbmFdCkhleSwgQWR2ZW50dXJlciEKQ291bGQgeW91IGhlbHAgdXM/,,,,,W0dlcmJlbmFdCkVJLCBWaWFqYW50ZSEgClZvY8OqIHBvZGVyaWEgbm9zIGFqdWRhcj8=,,W0dlcmJlbmFdCk95ZSwgVHJvdGFtdW5kb3MhCsK/UG9kcsOtYXMgYXl1ZGFybm9zIHVuIHBvY28/
HPqLDA,,W0Fuc3VyaWFdCkdlcmJlbmEsIHdoYXQgYXJlIHlvdSB0YWxraW5nIGFib3V0IGFsbCBvZiBhIHN1ZGRlbiE=,,,,,W0Fuc3VyaWFdCkdlcmJlbmEsIGRvIG5hZGEsIG8gcXVlIMOpIGlzc28h,,W0Fuc3VyaWFdCsKhR2VyYmVuYSwgwr9kZSBxdcOpIGVzdMOhcyBoYWJsYW5kbyBkZSByZXBlbnRlPyE=
HfqLDA,,W0dlcmJlbmFdCk5vLCBBZHZlbnR1cmVyLCB5b3UgYWxyZWFkeSB0b29rIG9uIHRoZSBtaXNzaW9uIHdpdGggdGhlIFJlYmVsbGlvbiBsYXN0IHRpbWUuClNvIEkgd2FzIHdvbmRlcmluZyBpZiB5b3UgY291bGQgc3VwcG9ydCB1cyBhZ2FpbiB0aGlzIHRpbWUuLi4=,,,,,W0dlcmJlbmFdCk7Do28sIG8gSGVyw7NpLCB2b2PDqiBqw6Egc2UgdW5pdSDDoCBSZWJlbGnDo28gbmEgw7psdGltYSBvcGVyYcOnw6NvIGUgYXNzdW1pdSBhIG1pc3PDo28sIG7Do28gZm9pPwpFbnTDo28sIHBlbnNlaSBxdWUgdGFsdmV6IHB1ZGVzc2Ugbm9zIGRhciB1bWEgZm9yw6dhIGRlc3NhIHZleiB0YW1iw6ltLi4u,,W0dlcmJlbmFdCk5vLCBwZXJvLCBow6lyb2UsIGVuIGxhIMO6bHRpbWEgb3BlcmFjacOzbiB0YW1iacOpbiBzZSBhbGnDsyBjb24gbGEgUmViZWxpw7NuIHBhcmEgbGxldmFyIGEgY2FibyBsYSBtaXNpw7NuLgpQb3IgZXNvIHBlbnNhYmEgcXVlIHRhbCB2ZXogcG9kcsOtYSBlY2hhcm5vcyB1bmEgbWFubyBlc3RhIHZleiB0YW1iacOpbi4uLg==
HvqLDA,,W0Fuc3VyaWFdCkhtLi4uIHlvdSdyZSByaWdodC4KQWR2ZW50dXJlciwgd2hhdCBkbyB5b3UgdGhpbms/,,,,,W0Fuc3VyaWFdCkFoLi4uIMOpIHZlcmRhZGUuClZpYWphbnRlLCBPIHF1ZSB2b2PDqiBhY2hhPw==,,W0Fuc3VyaWFdCkVoLi4uIGVzIHZlcmRhZC4KVHJvdGFtdW5kb3MsIMK/cXXDqSB0ZSBwYXJlY2U/
H/qLDA,,TGV0IG1lIGhlYXIgd2hhdCB0aGlzIGlzIGFib3V0IGZpcnN0Li4u,,,,,VmFtb3Mgb3V2aXIgcHJpbWVpcm8gZG8gcXVlIHNlIHRyYXRhLi4u,,UHJpbWVybyB2b3kgYSBlc2N1Y2hhciBkZSBxdcOpIHNlIHRyYXRhLi4u
IPqLDA,,W0Fuc3VyaWFdCkFoLCB0aGF0J3MgcmlnaHQuIFRoYXQncyB0aGUgb3JkZXIgb2YgdGhpbmdzLgpUaGUgdGhpbmcgaXMsIHdlJ3ZlIGRpc2NvdmVyZWQgYSBuZXcgdGVzdGluZyBmYWNpbGl0eSBuZWFyIEVpbmJyb2NoLg==,,,,,W0Fuc3VyaWFdCkFoLCDDqSB2ZXJkYWRlLiBFc3NhIMOpIGEgb3JkZW0gY2VydGEuCk8gcXVlIGFjb250ZWNlIMOpIHF1ZSBkZXNjb2JyaW1vcyB1bWEgbm92YSBpbnN0YWxhw6fDo28gZXhwZXJpbWVudGFsIG5vcyBhcnJlZG9yZXMgZGUgRWluYnJvY2gu,,W0Fuc3VyaWFdCkFoLCBjbGFyby4gRXNlIGVzIGVsIG9yZGVuLgpFbCBjYXNvIGVzIHF1ZSBoZW1vcyBkZXNjdWJpZXJ0byB1bmFzIG51ZXZhcyBpbnN0YWxhY2lvbmVzIGV4cGVyaW1lbnRhbGVzIGVuIGxvcyBhbHJlZGVkb3JlcyBkZSBFaW5icm9jaC4=
IfqLDA,,W0Fuc3VyaWFdClRoZSBuYW1lIGlzIDxGT05UIENPTE9SID0gMDAwMENEPkFtaWNpdGlhIFJlc2VhcmNoIEluc3RpdHV0ZTwvRk9OVD4uIEFjY29yZGluZyB0byBkYXRhIHByb3ZpZGVkIGJ5IFJla2VuYmVyLCBpdCBpcyBzYWlkIHRvIGJlIGEgc2lzdGVyIGxhYiB0byBXZXJuZXIncyBsYWIu,,,,,W0Fuc3VyaWFdCk8gbm9tZSDDqSA8Rk9OVCBDT0xPUiA9IDAwMDBDRD5JbnN0aXR1dG8gZGUgUGVzcXVpc2EgQW1pY2l0aWE8L0ZPTlQ+LiBTZWd1bmRvIG9zIGRhZG9zIGZvcm5lY2lkb3MgcG9yIFJla2VuYmVyLCDDqSB1bSBpbnN0aXR1dG8gaXJtw6NvIGRvIEluc3RpdHV0byBXZXJuZXIu,,W0Fuc3VyaWFdClNlIGxsYW1hIDxGT05UIENPTE9SID0gMDAwMENEPkluc3RpdHV0byBkZSBJbnZlc3RpZ2FjacOzbiBBbWljaXRpYTwvRk9OVD4uIFNlZ8O6biBsb3MgZGF0b3MgcHJvcG9yY2lvbmFkbyBwb3IgUmVrZW5iZXIgc2UgdHJhdGEgZGUgdW4gaW5zdGl0dXRvIGFzb2NpYWRvIGFsIEluc3RpdHV0byBXZXJuZXIu
IvqLDA,,W0Fuc3VyaWFdCkl0IGRvZXNuJ3Qgc2VlbSB0byBjb25kdWN0IGlsbGVnYWwgZXhwZXJpbWVudHMsIGZvY3VzaW5nIGluc3RlYWQgb24gaG9tdW5jdWx1cyBjaGltZXJhIGN1bHRpdmF0aW9uIHJlc2VhcmNoLiBIb3dldmVyLCBpdCB3YXMgYWJhbmRvbmVkIGFmdGVyIGFuIGV4cGxvc2lvbiBhdCB0aGUgdW5kZXJncm91bmQgbWFuYSBwb3dlciBwbGFudC4=,,,,,W0Fuc3VyaWFdClBhcmVjZSBxdWUgZWxlcyBuw6NvIGZhemlhbSBtdWl0b3MgZXhwZXJpbWVudG9zIGlsZWdhaXMsIGNvbmNlbnRyYW5kby1zZSBwcmluY2lwYWxtZW50ZSBuYSBwZXNxdWlzYSBkZSBjdWx0aXZvIGRlIHF1aW1lcmFzIGNvbSBob23Dum5jdWxvcywgbWFzIGRpemVtIHF1ZSBvIGx1Z2FyIGZvaSBhYmFuZG9uYWRvIGRlcG9pcyBkZSB1bWEgZXhwbG9zw6NvIG5hIHVzaW5hIGRlIGVuZXJnaWEgbcOhZ2ljYSBzdWJ0ZXJyw6JuZWEu,,W0Fuc3VyaWFdClBhcmVjZSBxdWUgbm8gcmVhbGl6YWJhbiBleHBlcmltZW50b3MgaWxlZ2FsZXMgeSBjZW50cmFyb24gc3UgaW52ZXN0aWdhY2nDs24gZW4gZWwgY3VsdGl2byBkZSBxdWltZXJhcyB1dGlsaXphbmRvIGhvbcO6bmN1bG9zLCBwZXJvIGRpY2VuIHF1ZSBxdWVkw7MgYWJhbmRvbmFkbyB0cmFzIHVuYSBleHBsb3Npw7NuIGVuIGxhIGNlbnRyYWwgZGUgZW5lcmfDrWEgbcOhZ2ljYSBzdWJ0ZXJyw6FuZWEu
I/qLDA,,W0Fuc3VyaWFdCkl0IGNhbWUgdW5kZXIgaW52ZXN0aWdhdGlvbiBiZWNhdXNlIG9uZSBvZiB0aGUgbWFuYWdlcnMgb2YgdGhhdCBhYmFuZG9uZWQgcmVzZWFyY2ggZmFjaWxpdHkgd2FzIFdlcm5lci4=,,,,,W0Fuc3VyaWFdCkNvbW8gV2VybmVyIGVyYSB1bSBkb3MgYWRtaW5pc3RyYWRvcmVzIGRhcXVlbGUgaW5zdGl0dXRvIGFiYW5kb25hZG8sIGVsZSBhY2Fib3UgZW50cmFuZG8gbmEgbGlzdGEgZGUgaW52ZXN0aWdhZG9zLg==,,W0Fuc3VyaWFdCldlcm5lciBmdWUgcHVlc3RvIGJham8gaW52ZXN0aWdhY2nDs24gcG9ycXVlIGVyYSB1bm8gZGUgbG9zIGdlcmVudGVzIGRlIGVzZSBpbnN0aXR1dG8gZGUgaW52ZXN0aWdhY2nDs24gYWJhbmRvbmFkby4=
JPqLDA,,W0Fuc3VyaWFdCk91ciBpbnZlc3RpZ2F0aW9uIHJldmVhbGVkIHRoYXQgY2hpbWVyYXMgYmVpbmcgY3VsdGl2YXRlZCBoYWQgZ29uZSBiZXJzZXJrIGR1ZSB0byBhbiBleHBsb3Npb24gYW5kIHR1cm5lZCBpbnRvIG1vbnN0ZXJzLCB3aGljaCB3ZXJlIHRoZW4gbGVmdCBhYmFuZG9uZWQu,,,,,W0Fuc3VyaWFdCkEgaW52ZXN0aWdhw6fDo28gcmV2ZWxvdSBxdWUgYXMgcXVpbWVyYXMgcXVlIGVzdGF2YW0gZW0gY3VsdGl2byBlbnRyYXJhbSBlbSBmcmVuZXNpIGRldmlkbyDDoCBleHBsb3PDo28gZSBzZSB0cmFuc2Zvcm1hcmFtIGVtIG1vbnN0cm9zLCBlIGZvcmFtIGRlaXhhZGFzIMOgIHByw7NwcmlhIHNvcnRlLg==,,W0Fuc3VyaWFdClNlZ8O6biBsYSBpbnZlc3RpZ2FjacOzbiwgbGFzIHF1aW1lcmFzcXVlIGVzdGFiYW4gc2llbmRvIGN1bHRpdmFkYXMgc2UgZGVzY29udHJvbGFyb24gcG9yIGxhIGV4cGxvc2nDs24geSBzZSBjb252aXJ0aWVyb24gZW4gbW9uc3RydW9zLCB5IGxhcyBkZWphcm9uIGFow60gYWJhbmRvbmFkYXMu
JfqLDA,,W0Fuc3VyaWFdCldlIGNvdWxkbid0IHRlbGwgaWYgdGhleSB3ZXJlIHNpbXBseSBuZWdsZWN0ZWQgb3IgaW50ZW50aW9uYWxseSBhYmFuZG9uZWQu,,,,,W0Fuc3VyaWFdCk7Do28gZMOhIHByYSBzYWJlciBzZSBmb3JhbSBkZWl4YWRhcyBhc3NpbSBwb3IgYWNpZGVudGUgb3Ugc2UgZm9pIGRlIHByb3DDs3NpdG8u,,W0Fuc3VyaWFdCkF1bnF1ZSBubyBzZSBzYWJlIHNpIGxhcyBkZWphcm9uIGFzw60gcG9yIGRlc2N1aWRvIG8gc2kgZnVlIGEgcHJvcMOzc2l0by4=
JvqLDA,,W0Fuc3VyaWFdClNpbmNlIGl0J3Mgbm90IGZhciBmcm9tIHRoZSBjaXR5LCB0aGUgUmViZWxsaW9uIHdhcyBhc3NpZ25lZCB0byBoYW5kbGUgaXQgZm9yIHNhZmV0eSByZWFzb25zLi4uIGJ1dCBhcyB5b3UndmUgaGVhcmQsIHdlJ3JlIHN0cnVnZ2xpbmcgZHVlIHRvIGEgc2hvcnRhZ2Ugb2YgcGVyc29ubmVsLg==,,,,,W0Fuc3VyaWFdCkNvbW8gZmljYSBwZXJ0byBkYSBjaWRhZGUsIGEgUmViZWxpw6NvIGZpY291IGVuY2FycmVnYWRhIGRhIGxpbXBlemEgcG9yIG1vdGl2b3MgZGUgc2VndXJhbsOnYS4uLiBtYXMsIGNvbW8gdm9jw6ogasOhIG91dml1LCBlc3RhbW9zIGNvbSBmYWx0YSBkZSBwZXNzb2FsIGUgZW5mcmVudGFuZG8gZGlmaWN1bGRhZGVzLg==,,W0Fuc3VyaWFdCkNvbW8gZXN0w6EgY2VyY2EgZGUgbGEgY2l1ZGFkLCAsIGxhIFJlYmVsacOzbiBzZSBoYSBlbmNhcmdhZG8gZGUgbGEgc2VndXJpZGFkLi4uIHBlcm8sIGNvbW8geWEgb8Otc3RlLCB0ZW5lbW9zIHByb2JsZW1hcyBwb3JxdWUgbm9zIGZhbHRhIHBlcnNvbmFsLg==
J/qLDA,,W0dlcmJlbmFdCklmIHlvdSBjb3VsZCBoZWxwIHVzLCBzaXIgaGVybywgaXQgd291bGQgbWFrZSB0aGUgY2xlYW51cCBtdWNoIGVhc2llciBmb3IgdXMh,,,,,W0dlcmJlbmFdClNlIG8gaGVyw7NpIHB1ZGVyIG5vcyBhanVkYXIsIGEgZ2VudGUgdmFpIGNvbnNlZ3VpciBmYXplciBvIHRyYWJhbGhvIGRlIGxpbXBlemEgY29tIG11aXRvIG1haXMgZmFjaWxpZGFkZSE=,,W0dlcmJlbmFdCsKhU2kgbm9zIGF5dWRhcywgSMOpcm9lLCBub3MgcmVzdWx0YXLDoSBtdWNobyBtw6FzIGbDoWNpbCBsbGV2YXIgYSBjYWJvIGxhIGxpbXBpZXphIQ==
KPqLDA,,W0Fuc3VyaWFdClllcy4gQ291bGQgeW91IGFzc2lzdCB1cyB3aXRoIHRoZSBleHRlcm1pbmF0aW9uPw==,,,,,W0Fuc3VyaWFdCsOJIGlzc28gbWVzbW8uIFZvY8OqIHBvZGVyaWEgbm9zIGFqdWRhciBjb20gYSBjYcOnYWRhPw==,,W0Fuc3VyaWFdCkFzw60gZXMuIMK/Tm9zIGF5dWRhcsOtYXMgdW4gcG9jbyBjb24gbGEgY2F6YT8=
KfqLDA,,SGVscC4=,,,,,Vm91IGFqdWRhci4=,,Vm95IGEgYXl1ZGFyLg==
KvqLDA,,W0Fuc3VyaWFdCkl0J3MgYW4gaG9ub3IgdG8gd29yayBhbG9uZ3NpZGUgeW91LCBhZHZlbnR1cmVyIQ==,,,,,W0dlcmJlbmFdCsOJIHVtYSBob25yYSBwb2RlciB0cmFiYWxoYXIgYW8gbGFkbyBkZSB2b2PDqiwgdmlhamFudGUh,,W0dlcmJlbmFdCsKhRXMgdW4gaG9ub3IgcG9kZXIgdHJhYmFqYXIgY29udGlnbywgdHJvdGFtdW5kb3Mh
