AFkAAQ,,R2F0ZQ==,,,,,R2F0ZWk=,,R2F0ZWk=
fVkAAQ,,W0JsYWRlXQpUaGUgM3JkIGFuZCA0dGggZmxvb3JzIGhhdmUgYmVlbiBleGNhdmF0ZWQgYW5kIGRldmVsb3BlZCB0byBzb21lIGV4dGVudCBieSB1cywgc28geW91IGNhbiBtb3ZlIGFyb3VuZCB0aGVtIHJlbGF0aXZlbHkgZnJlZWx5LCBidXQgZnJvbSB0aGUgNXRoIGZsb29yIG9ud2FyZCwgeW91IG11c3QgbW92ZSB2aWEgc3RhaXJzLg==,,,,,W0J1cmxlZF0KUHJpbWVpcm8sIHPDsyBow6EgdW1hIHBhc3NhZ2VtIHBhcmEgbyAzwrogYW5kYXIsIGVzc2EgZW50cmFkYS4gQSBwYXJ0aXIgZG8gNcK6IGFuZGFyLCBzZXLDoSBuZWNlc3PDoXJpbyBzdWJpciBwZWxhcyBlc2NhZGFzLg==,,W0J1cmxlZF0KUHJpbWVybywgc29sbyBoYXkgdW4gcGFzYWplIGFsIDMuwrogcGlzbywgZXN0YSBlbnRyYWRhLiBBIHBhcnRpciBkZWwgNS7CuiBwaXNvLCBzZXLDoSBuZWNlc2FyaW8gc3ViaXIgcG9yIGxhcyBlc2NhbGVyYXMu
flkAAQ,,W0JsYWRlXQpUaGUgdG9wbW9zdCBmbG9vciBvZiB0aGUgdG93ZXIgaXMgdGhlIDEydGggZmxvb3IsIGFuZCBhcyB5b3UgZ28gaGlnaGVyIGludG8gdGhlIHVwcGVyIGZsb29ycywgdGhlIG1vbnN0ZXJzIHRoYXQgYXBwZWFyIGJlY29tZSBjb25zaWRlcmFibHkgc3Ryb25nZXIsIGFuZCB0aGUgc3Vycm91bmRpbmcgdGVycmFpbiBhbHNvIGNoYW5nZXMgZ3JlYXRseS4KV2UgcmVjb21tZW5kIG1vdmluZyB0b2dldGhlciB3aXRoIHBhcnR5IG1lbWJlcnMgd2hlbmV2ZXIgcG9zc2libGUu,,,,,W0J1cmxlZF0KTyDDumx0aW1vIGFuZGFyIMOpIG8gMTLCui4gUXVhbnRvIG1haXMgYWx0byB2b2PDqiBzb2JlLCBtYWlzIGZvcnRlcyBvcyBtb25zdHJvcyBmaWNhbS4gQSBhcGFyw6puY2lhIGRvcyBhbmRhcmVzIHRhbWLDqW0gbXVkYSBjb21wbGV0YW1lbnRlLgpSZWNvbWVuZGFtb3MgcXVlIGVzdGVqYSBlbSB1bSBncnVwbyBzZW1wcmUgcXVlIHBvc3PDrXZlbC4=,,W0J1cmxlZF0KRWwgw7psdGltbyBwaXNvIGVzIGVsIDEyLsK6LiBDdWFudG8gbcOhcyBhbHRvIHN1YmVzLCBtw6FzIGZ1ZXJ0ZXMgc2UgdnVlbHZlbiBsb3MgbW9uc3RydW9zLiBMYSBhcGFyaWVuY2lhIGRlIGxvcyBwaXNvcyB0YW1iacOpbiBjYW1iaWEgY29tcGxldGFtZW50ZS4KUmVjb21lbmRhbW9zIHF1ZSBlc3TDqXMgZW4gZ3J1cG8gc2llbXByZSBxdWUgc2VhIHBvc2libGUu
f1kAAQ,,W0JsYWRlXQpJIGhlYXIgcmVzZWFyY2ggb24gdGhlIHVwcGVyIGZsb29ycyBpcyBpbiBmdWxsIHN3aW5nIHJlY2VudGx5LCBzbyBpZiB5b3UgYXJlIGludGVyZXN0ZWQsIGxvb2sgZm9yIHRoZSBzdGFpcnMgbGVhZGluZyBmcm9tIHRoZSA2dGggZmxvb3IgdG8gdGhlIDd0aCBmbG9vci4=,,,,,W0J1cmxlZF0KSMOhIHVtYSBwZXNxdWlzYSBlbSBkZXNlbnZvbHZpbWVudG8gbmFzIGVzY2FkYXJpYXMgcXVlIGxpZ2FtIG8gNsK6IGFvIDfCuiBhbmRhci4=,,W0J1cmxlZF0KSGF5IHVuYSBpbnZlc3RpZ2FjacOzbiBlbiBkZXNhcnJvbGxvIGVuIGxhcyBlc2NhbGVyYXMgcXVlIGNvbmVjdGFuIGVsIDYuwrogY29uIGVsIDcuwrogcGlzby4=
gFkAAQ,,WW91IGNhbm5vdCBjb250aW51ZSB0aGUgY29udmVyc2F0aW9uIGJlY2F1c2UgeW91IGFyZSBjYXJyeWluZyB0b28gbWFueSBpdGVtcy4KUGxlYXNlIG9yZ2FuaXplIHlvdXIgaXRlbXMgYW5kIHRyeSBhZ2Fpbi4=,,,,,TsOjbyDDqSBwb3Nzw612ZWwgcHJvc3NlZ3VpciBjb20gYSBjb252ZXJzYSBwb3JxdWUgdm9jw6ogZXN0w6EgY2FycmVnYW5kbyB1bWEgcXVhbnRpZGFkZSBncmFuZGUgZGUgaXRlbnMuClBvciBmYXZvciwgb3JnYW5pemUgc2V1cyBpdGVucyBlIHRlbnRlIG5vdmFtZW50ZS4=,,Tm8gc2UgcHVlZGUgY29udGludWFyIGNvbiBsYSBjb252ZXJzYWNpw7NuIHBvcnF1ZSBsbGV2YXMgdW5hIGdyYW4gY2FudGlkYWQgZGUgb2JqZXRvcy4KUG9yIGZhdm9yLCBvcmdhbml6YSB0dXMgb2JqZXRvcyBlIGludMOpbnRhbG8gZGUgbnVldm8u
gVkAAQ,,W0JsYWRlXQpJcyB0aGVyZSBzb21ldGhpbmcgZWxzZSB5b3UgYXJlIGN1cmlvdXMgYWJvdXQ/,,,,,W0J1cmxlZF0KSMOhIG1haXMgYWxndW1hIGNvaXNhIHF1ZSBxdWVpcmEgc2FiZXI/,,W0J1cmxlZF0Kwr9IYXkgYWxnbyBtw6FzIHF1ZSBxdWllcmFzIHNhYmVyPw==
glkAAQ,,QXJlIHRoZSBtb25zdGVycyBiYWNrIHRoZXJlIHN0cm9uZz8=,,,,,T3MgbW9uc3Ryb3Mgc8OjbyBmb3J0ZXM/,,wr9Mb3MgbW9uc3RydW9zIHNvbiBmdWVydGVzPw==
g1kAAQ,,W0JsYWRlXQpJIGNhbm5vdCBqdWRnZSB5b3VyIGFiaWxpdGllcywgYWR2ZW50dXJlciwgYnV0Li4uIFJla2VuYmVyIGRvZXNuJ3QgbWFrZSBjb250cmFjdHMgd2l0aCBqdXN0IGFueW9uZS4gWW91IGFyZSBtb3JlIHRoYW4gY2FwYWJsZSBvZiBoYW5kbGluZyB0aGVtLg==,,,,,W0J1cmxlZF0KRXUgbsOjbyBzZWksIG1hcy4uLiBBIFJla2VuYmVyIG7Do28gZmF6IGNvbnRyYXRvIGNvbSBxdWFscXVlciB1bS4gVm9jw6ogw6kgcGVyZmVpdGFtZW50ZSBjYXBheiBkZSBlbmZyZW50w6EtbG9zLg==,,W0J1cmxlZF0KTm8gbG8gc8OpLCBwZXJvLi4uIFJla2VuYmVyIG5vIGhhY2UgY29udHJhdG8gY29uIGN1YWxxdWllcmEuIEVyZXMgcGVyZmVjdGFtZW50ZSBjYXBheiBkZSBlbmZyZW50YXJsb3Mu
hFkAAQ,,SXMgdGhlcmUgYW55IGJhY2tzdG9yeSBmcm9tIHdoZW4gaXQgd2FzIGJlaW5nIGRldmVsb3BlZD8=,,,,,TyBxdWUgc2FiZSBzb2JyZSBab25kYSBlIFJla2VuYmVyPw==,,wr9RdcOpIHNhYmVzIHNvYnJlIFpvbmRhIHkgUmVrZW5iZXI/
hVkAAQ,,W0JsYWRlXQpXaGF0IGtpbmQgb2Ygc3RvcnkgYXJlIHlvdSBjdXJpb3VzIGFib3V0PyBTb21ldGhpbmcgYSBsaXR0bGUgbW9yZSBzZWNyZXRpdmUgYW5kIGRhbmdlcm91cz8gQXMgbHVjayB3b3VsZCBoYXZlIGl0LCB0aGUgUmVrZW5iZXIgZ3VhcmQgaGFzIHN0ZXBwZWQgYXdheS4uLiBhbmQgSSBoYXBwZW4gdG8gaGF2ZSBzb21ldGhpbmcgdGhhdCBtaWdodCBpbnRlcmVzdCBhbiBhZHZlbnR1cmVyIGxpa2UgeW91Lg==,,,,,W0J1cmxlZF0KTyBxdWUgZXUgc2VpPyBCZW0uLi4gasOhIHF1ZSBvIGd1YXJkYSBkYSBSZWtlbmJlciBzYWl1IGRvIHBvc3RvLi4uIGUgdm9jw6ogcG9kZSB0cm9jYXIgaW5mb3JtYcOnw7VlcyBjb21pZ28u,,W0J1cmxlZF0Kwr9MbyBxdWUgc8OpPyBCdWVuby4uLiB5YSBxdWUgZWwgZ3VhcmRpYSBkZSBSZWtlbmJlciBzYWxpw7MgZGVsIHB1ZXN0by4uLiB5IHB1ZWRlcyBpbnRlcmNhbWJpYXIgaW5mb3JtYWNpw7NuIGNvbm1pZ28u
hlkAAQ,,W0JsYWRlXQpEbyB5b3UgaGFwcGVuIHRvIGtub3cgYWJvdXQgb3VyIFpvbmRhPyBJZiBSdW5lLU1pZGdhcnRzIGhhcyBLYWZyYSwgdGhlbiBTY2h3YXJ6d2FsZCBoYXMgWm9uZGEgc2VydmljZXMuIFlvdSBoYXZlIGhlYXJkIG9mIGl0LCBoYXZlbid0IHlvdT8=,,,,,W0J1cmxlZF0KVm9jw6ogcG9yIGFjYXNvIGNvbmhlY2UgYSBBZ8OqbmNpYSBab25kYT8gQXNzaW0gY29tbyBow6EgYSBLYWZyYSBlbSBSdW5lLU1pZGdhcmQsIGjDoSBvIHNlcnZpw6dvIFpvbmRhIGVtIFNjaHdhcnR6d2FsZC4gSsOhIG91dml1IGZhbGFyLCBuw6NvIMOpPw==,,W0J1cmxlZF0Kwr9Qb3IgY2FzdWFsaWRhZCBjb25vY2VzIGxhIEFnZW5jaWEgWm9uZGE/IEFzw60gY29tbyBlc3TDoSBLYWZyYSBlbiBSdW5lLU1pZGdhcmQsIGVzdMOhIGVsIHNlcnZpY2lvIFpvbmRhIGVuIFNjaHdhcnR6d2FsZC4gSGFzIG/DrWRvIGhhYmxhciwgwr9ubyBlcyBhc8OtPw==
h1kAAQ,,W0JsYWRlXQpXZSBzdGFydGVkIGFzIGEgc21hbGwgZXZlbnQgY29tcGFueSB0aGF0IGhhbmRsZWQgZXZlbnQgZ3VpZGFuY2UgZm9yIGFkdmVudHVyZXJzLCBkdW5nZW9uIGd1aWRhbmNlLCBhbmQgbG9naXN0aWNzIHRyYWRpbmcsIGJ1dCBJIGFtIG5vdCB0cnlpbmcgdG8gdGVsbCB5b3UgdGhlIGNvbXBhbnkncyBsaXR0bGUgaGlzdG9yeS4uLg==,,,,,W0J1cmxlZF0KQSBab25kYSDDqSB1bWEgZW1wcmVzYSBxdWUgdHJhYmFsaGEgZW0gbXVpdGFzIMOhcmVhcy4gUHJvZHXDp8OjbyBkZSBldmVudG9zLCBndWlhcyBwYXJhIGNhbGFib3XDp29zLCBjb23DqXJjaW8gZGUgaXRlbnMuLi4=,,W0J1cmxlZF0KWm9uZGEgZXMgdW5hIGVtcHJlc2EgcXVlIHRyYWJhamEgZW4gbXVjaGFzIMOhcmVhcy4gUHJvZHVjY2nDs24gZGUgZXZlbnRvcywgZ3XDrWFzIHBhcmEgY2FsYWJvem9zLCBjb21lcmNpbyBkZSBvYmpldG9zLi4u
iFkAAQ,,W0JsYWRlXQpSZWtlbmJlciwgd2hvIGhhZCBiZWVuIHdhdGNoaW5nIHVzIGNsb3NlbHksIG1hZGUgYSBjb25zaWRlcmFibGUgaW52ZXN0bWVudCBpbiBvdXIgY29tcGFueS4gVGhhbmtzIHRvIHRoYXQsIHdlIHdlcmUgYWJsZSB0byBleHBhbmQgb3VyIGJ1c2luZXNzLg==,,,,,W0J1cmxlZF0KRW1ib3JhIGEgZW1wcmVzYSB0ZW5oYSBjb21lw6dhZG8gcGVxdWVuYSwgZWxhIGVzdMOhIGNyZXNjZW5kbyBjb20gYSBhanVkYSBkYSBSZWtlbmJlci4gRSBlbGVzIHN1Z2VyaXJhbSBxdWUgZXhwbG9yw6Fzc2Vtb3MgZXN0YSB0b3JyZSBqdW50b3Mu,,W0J1cmxlZF0KQXVucXVlIGxhIGVtcHJlc2EgY29tZW56w7MgcGVxdWXDsWEsIGVzdMOhIGNyZWNpZW5kbyBjb24gbGEgYXl1ZGEgZGUgUmVrZW5iZXIuIFkgZWxsb3Mgc3VnaXJpZXJvbiBxdWUgZXhwbG9yw6FyYW1vcyBlc3RhIHRvcnJlIGp1bnRvcy4=
iVkAAQ,,W0JsYWRlXQpUaGVuLCBpbiB0aGUgbWlkZGxlIG9mIGFsbCB0aGF0LCBSZWtlbmJlciBwcm9wb3NlZCB0aGF0IHdlIGpvaW50bHkgZGV2ZWxvcCB0aGlzIHRvd2VyLiBUbyBhIHNtYWxsIGNvbXBhbnkgbGlrZSBvdXJzLg==,,,,,W0J1cmxlZF0KQSBDb3Jwb3Jhw6fDo28gUmVrZW5iZXIgZXN0w6EgZXNjYXZhbmRvIGFzIHJ1w61uYXMgcGFyYSBlc3R1ZG9zLiBEZXBvaXMgZGlzc28sIG8gbG9jYWwgdmlyYXJpYSB1bWEgYXRyYcOnw6NvIHR1csOtc3RpY2EgcGFyYSBhIFpvbmRhIGdlcmVuY2lhci4=,,W0J1cmxlZF0KTGEgQ29ycG9yYWNpw7NuIFJla2VuYmVyIGVzdMOhIGV4Y2F2YW5kbyBsYXMgcnVpbmFzIHBhcmEgZXN0dWRpYXJsYXMuIERlc3B1w6lzIGRlIGVzbywgZWwgbHVnYXIgc2UgY29udmVydGlyw61hIGVuIHVuYSBhdHJhY2Npw7NuIHR1csOtc3RpY2EgcGFyYSBxdWUgWm9uZGEgbGEgYWRtaW5pc3RyYXJhLg==
ilkAAQ,,W0JsYWRlXQpUaGUgZGVhbCB3YXMgdGhhdCB0aGV5IHdvdWxkIGV4Y2F2YXRlIHRoZSBydWlucyBmb3IgcmVzZWFyY2gsIGFuZCBvbmNlIGRldmVsb3BtZW50IHdhcyBjb21wbGV0ZSwgdGhleSB3b3VsZCB0dXJuIHRoZW0gaW50byBhIHRvdXJpc3Qgc2l0ZSBhbmQgZW50cnVzdCB0aGUgb3BlcmF0aW9uIHRvIHVzLg==,,,,,W0J1cmxlZF0Kw4kgdW0gZ3JhbmRlIG5lZ8OzY2lvLiBTZXJpYSBiZW0gbHVjcmF0aXZvIGNvbW8gYXRyYcOnw6NvIHR1csOtc3RpY2EuIE1hcy4uLg==,,W0J1cmxlZF0KRXMgdW4gZ3JhbiBuZWdvY2lvLiBTZXLDrWEgYmFzdGFudGUgbHVjcmF0aXZvIGNvbW8gYXRyYWNjacOzbiB0dXLDrXN0aWNhLiBQZXJvLi4u
i1kAAQ,,W0JsYWRlXQpJdCB3YXMgdGhlIGJpZ2dlc3QgcHJvamVjdCBzaW5jZSBvdXIgZm91bmRpbmcuIEl0IHdhcyBhIGJ1c2luZXNzIHdob3NlIHByb2ZpdGFiaWxpdHkgYXMgYSB0b3VyaXNtIHJlc291cmNlIHdhcyBndWFyYW50ZWVkLCBzbyB0aGVyZSB3YXMgbm8gcmVhc29uIG5vdCB0byBkbyBpdC4=,,,,,W0J1cmxlZF0KT3MgbW9uc3Ryb3MgZm9ydGVzIHF1ZSBhcGFyZWNlbSBuYSB0b3JyZS4uLiBNb25zdHJvcyBxdWUgbsOjbyBhcGFyZWNpYW0gYW50ZXMu,,W0J1cmxlZF0KTG9zIG1vbnN0cnVvcyBmdWVydGVzIHF1ZSBhcGFyZWNlbiBlbiBsYSB0b3JyZS4uLiBNb25zdHJ1b3MgcXVlIG5vIGFwYXJlY8OtYW4gYW50ZXMu
jFkAAQ,,W0JsYWRlXQpEZXZlbG9wbWVudCB3YXMgcHJvY2VlZGluZyBzbW9vdGhseS4gSWYgb25seSB0aGF0IGluY2lkZW50IGhhZCBub3QgaGFwcGVuZWQgdGhhdCBkYXkuLi4=,,,,,W0J1cmxlZF0KRS4uLiBhcXVlbGUgLi4uIGFjaWRlbnRlIGFjb250ZWNldS4=,,W0J1cmxlZF0KWS4uLiBlc2UgLi4uIGFjY2lkZW50ZSBzdWNlZGnDsy4=
jVkAAQ,,VGhhdCBpbmNpZGVudD8=,,,,,UXVlIGFjaWRlbnRlPw==,,wr9RdcOpIGFjY2lkZW50ZT8=
jlkAAQ,,SSBzZWUu,,,,,RW50ZW5kby4=,,RW50aWVuZG8u
j1kAAQ,,W0JsYWRlXQpJdCB3b3VsZCBiZSBiZXN0IHRvIGVuZCB0aGUgc3RvcnkgaGVyZS4gUGxlYXNlIGJlIGNhcmVmdWwsIG5vIG1hdHRlciB3aGF0Li4u,,,,,W0J1cmxlZF0KQWNobyBtZWxob3IgZW5jZXJyYXIgYSBoaXN0w7NyaWEgcG9yIGFxdWkuIErDoSBmYWxlaSBtdWl0by4uLg==,,W0J1cmxlZF0KQ3JlbyBxdWUgZXMgbWVqb3IgdGVybWluYXIgbGEgaGlzdG9yaWEgYXF1w60uIFlhIGhhYmzDqSBkZW1hc2lhZG8uLi4=
kFkAAQ,,W0JsYWRlXQpIbW0uLi4gYWZ0ZXIgYWxsLCB0aGlzIGlzIGEgY29ycG9yYXRlIHNlY3JldCwgc28gaXQgaXMgcmF0aGVyIGRpZmZpY3VsdCB0byB0YWxrIGFib3V0Lg==,,,,,W0J1cmxlZF0KRGVzY3VscGUsIG7Do28gZGV2ZXJpYSBmYWxhciBhc3NpbSBzb2JyZSBlc3NlIGNhc28uLi4gRXN0b3UgbXVpdG8gcHJlb2N1cGFkbyBjb20gaXNzby4=,,W0J1cmxlZF0KTG8gc2llbnRvLCBubyBkZWJlcsOtYSBoYWJsYXIgYXPDrSBzb2JyZSBlc3RlIGNhc28uLi4gRXN0b3kgbXV5IHByZW9jdXBhZG8gcG9yIGVzdG8u
kVkAAQ,,W0JsYWRlXQpTdGlsbCwgeW91IGFyZSB0aGUgZmlyc3QgYWR2ZW50dXJlciB0byBzaG93IHRoaXMgbXVjaCBpbnRlcmVzdCwgc28gaWYgeW91IGdyYW50IG15IHJlcXVlc3QsIEkgd2lsbCB0ZWxsIHlvdS4gU2luY2UgaXQgaXMgcmVsYXRlZCwgYWZ0ZXIgYWxsLg==,,,,,W0J1cmxlZF0KTWFzLi4uIHNlIHZvY8OqIG1lIHByb21ldGVyIHF1ZSB2YWkgbWUgZmF6ZXIgdW0gZmF2b3IuLi4=,,W0J1cmxlZF0KUGVyby4uLiBzaSBtZSBwcm9tZXRlcyBxdWUgbWUgaGFyw6FzIHVuIGZhdm9yLi4u
klkAAQ,,QWxsIHJpZ2h0Lg==,,,,,RXUgcHJvbWV0byE=,,wqFMbyBwcm9tZXRvIQ==
k1kAAQ,,VGhlbiBJIHdvbid0IGhlYXIgaXQu,,,,,TsOjbyBwcm9tZXRvIG5hZGEu,,Tm8gcHJvbWV0byBuYWRhLg==
lFkAAQ,,W0JsYWRlXQpVbmRlcnN0b29kLiBQbGVhc2UgYmUgY2FyZWZ1bC4uLg==,,,,,W0J1cmxlZF0KQ2VydG8uIFRvbWUgY3VpZGFkby4uLg==,,W0J1cmxlZF0KQmllbi4gVGVuIGN1aWRhZG8uLi4=
lVkAAQ,,W0JsYWRlXQpIbW0uLi4gaXQgc2VlbXMgeW91ciBjdXJyZW50IGFiaWxpdGllcyBhcmUgaW5zdWZmaWNpZW50IHRvIGZ1bGZpbGwgbXkgcmVxdWVzdC4=,,,,,W0J1cmxlZF0KVm9jw6ogbsOjbyDDqSBmb3J0ZSBvIGJhc3RhbnRlLg==,,W0J1cmxlZF0KTm8gZXJlcyBsbyBzdWZpY2llbnRlbWVudGUgZnVlcnRlLg==
llkAAQ,,W0JsYWRlXQpJIGRvIG5vdCB3YW50IHRvIHB1dCB5b3UgaW4gZGFuZ2VyLg==,,,,,W0J1cmxlZF0KTsOjbyBxdWVybyBjb2xvY2FyIHZvY8OqIGVtIHVtYSBzaXR1YcOnw6NvIHBlcmlnb3NhLg==,,W0J1cmxlZF0KTm8gcXVpZXJvIHBvbmVydGUgZW4gdW5hIHNpdHVhY2nDs24gcGVsaWdyb3NhLg==
l1kAAQ,,XjRENERGRlRoZSByZWNvbW1lbmRlZCBsZXZlbCBmb3IgaW52ZXN0aWdhdGluZyBUaGFuYXRvcyBUb3dlciBpcyA5MCBvciBoaWdoZXIuXjAwMDAwMA==,,,,,XjRENERGRkRpc3BvbsOtdmVsIHBhcmEgbyBuw612ZWwgZGUgYmFzZSA5MCBvdSBtYWlzLl4wMDAwMDA=,,XjRENERGRkRpc3BvbmlibGUgcGFyYSBuaXZlbCBiYXNlIDkwIG8gbcOhcy5eMDAwMDAw
mFkAAQ,,W0JsYWRlXQpUaGVuLCBJIGFtIGNvdW50aW5nIG9uIHlvdSwgYWR2ZW50dXJlci4=,,,,,W0J1cmxlZF0KRW50w6NvLCBjb250byBjb20gdm9jw6osIHZpYWphbnRlLg==,,W0J1cmxlZF0KRW50b25jZXMsIGN1ZW50byBjb250aWdvLCB2aWFqZXJvLg==
mVkAAQ,,W0JsYWRlXQpZb3UgaGF2ZSBoZWFyZCB0aGF0IHBvd2VyZnVsIG1vbnN0ZXJzIGFwcGVhciBpbnNpZGUgdGhlIHRvd2VyLCByaWdodD8gVGhvc2UgbW9uc3RlcnMgd2VyZSBub3QgaGVyZSBmcm9tIHRoZSBiZWdpbm5pbmcu,,,,,W0J1cmxlZF0KLi4uT3MgcHJvYmxlbWFzIHF1ZSBlc3NlcyBtb25zdHJvcyBjYXVzYXJhbS4uLiBOw7NzIGRhIFpvbmRhIGUgZGEgUmVrZW5iZXIgZmljYW1vcyBjaG9jYWRvcy4=,,W0J1cmxlZF0KLi4uTG9zIHByb2JsZW1hcyBxdWUgY2F1c2Fyb24gZXN0b3MgbW9uc3RydW9zLi4uIE5vc290cm9zLCBkZSBab25kYSB5IFJla2VuYmVyLCBxdWVkYW1vcyBjb25tb2Npb25hZG9zLg==
mlkAAQ,,W0JsYWRlXQpBZnRlciB0aGF0IGRheSwgYWZ0ZXIgdGhhdCBpbmNpZGVudC4uLiBBbnl3YXksIGJlY2F1c2Ugb2YgdGhhdCBhY2NpZGVudCwgb3VyIFpvbmRhIHN1ZmZlcmVkIGEgc2V2ZXJlIGJsb3cuIFRoZSBtYXRlcmlhbCBsb3NzZXMgd2VyZSBzaWduaWZpY2FudCwgYnV0IHRoZSBncmVhdGVzdCBsb3NzIHdhcyBzb21ldGhpbmcgZWxzZS4=,,,,,W0J1cmxlZF0KVmFtb3Mgc29mcmVyIGVjb25vbWljYW1lbnRlLCBtYXMgbyBtYWlzIHPDqXJpbyDDqSBxdWUuLi4gTXVpdG9zIGZ1bmNpb27DoXJpb3MgZW52b2x2aWRvcyBuYSBleHBsb3Jhw6fDo28gZXN0w6NvLi4uIHNlIHNhY3JpZmljYW5kbyBhbyBlbnRyYXIgbm8gM8K6IGFuZGFyLg==,,W0J1cmxlZF0KVmFtb3MgYSBzdWZyaXIgZWNvbsOzbWljYW1lbnRlLCBwZXJvIGxvIG3DoXMgZ3JhdmUgZXMgcXVlLi4uIE11Y2hvcyBlbXBsZWFkb3MgaW52b2x1Y3JhZG9zIGVuIGxhIGV4cGxvcmFjacOzbiBlc3TDoW4uLi4gc2FjcmlmaWPDoW5kb3NlIGFsIGVudHJhciBhbCAzLsK6IHBpc28u
m1kAAQ,,W0JsYWRlXQpJdCB3YXMgdGhlIGVtcGxveWVlcyB3aG8gd2VyZSBzYWNyaWZpY2VkIHdpdGhvdXQgZXZlbiBhIGNoYW5jZSB0byByZXNpc3QgdGhlIG1vbnN0ZXJzIHRoYXQgc3VkZGVubHkgYXBwZWFyZWQuIFRoZXJlIHdlcmUgcXVpdGUgYSBsb3Qgb2YgdGhlbS4=,,,,,W0J1cmxlZF0KSW52ZXN0aW1vcyB0YW50byBuZXN0ZSBuZWfDs2NpbywgZSBhY29udGVjZXUgZXNzZSBhY2lkZW50ZS4uLiBBY2Fib3UgcXVlIGEgWm9uZGEgc2UgZnVuZGl1IGNvbSBhIFJla2VuYmVyLi4u,,W0J1cmxlZF0KSW52ZXJ0aW1vcyB0YW50byBlbiBlc3RlIG5lZ29jaW8sIHkgc3VjZWRpw7MgZXN0ZSBhY2NpZGVudGUuLi4gUmVzdWx0w7MgcXVlIFpvbmRhIHNlIGZ1c2lvbsOzIGNvbiBSZWtlbmJlci4uLg==
nFkAAQ,,W0JsYWRlXQpSZWtlbmJlciB0aG9yb3VnaGx5IHNpbGVuY2VkIHRoZSBzdXJ2aXZvcnMgcmVnYXJkaW5nIGV2ZXJ5dGhpbmcgYWJvdXQgdGhhdCBpbmNpZGVudCwgYW5kIGV2ZW4gaW5mb3JtZWQgdGhlIGJlcmVhdmVkIGZhbWlsaWVzIHRoYXQgaXQgaGFkIGJlZW4gbm90aGluZyBtb3JlIHRoYW4gYSBzaW1wbGUgYWNjaWRlbnQu,,,,,W0J1cmxlZF0KVG9kb3Mgb3MgbG9jYWlzIGV4cGxvcmFkb3MsIGNvbSBleGNlw6fDo28gZG9zIG1hdGVyaWFpcyBkZSBwZXNxdWlzYSwgc2VyaWFtIGRldm9sdmlkb3MgcGFyYSBuw7NzLCBwYXJhIHVzYXJtb3MgY29tbyBhdHJhw6fDtWVzIHR1csOtc3RpY2FzLi4u,,W0J1cmxlZF0KVG9kb3MgbG9zIGx1Z2FyZXMgZXhwbG9yYWRvcywgY29uIGV4Y2VwY2nDs24gZGUgbG9zIG1hdGVyaWFsZXMgZGUgaW52ZXN0aWdhY2nDs24sIHNlcsOtYW4gZGV2dWVsdG9zIGEgbm9zb3Ryb3MsIHBhcmEgdXNhcmxvcyBjb21vIGF0cmFjY2lvbmVzIHR1csOtc3RpY2FzLi4u
nVkAAQ,,W0JsYWRlXQpBcyBhIHJlc3VsdCwgdGhlIGNvbXBhbnksIHdob3NlIGNpcmN1bXN0YW5jZXMgd29yc2VuZWQgaW4gbWFueSB3YXlzLCBoYWQgbm8gY2hvaWNlIGJ1dCB0byBtZXJnZSB3aXRoIFJla2VuYmVyLiBUaGV5IGNhbGxlZCBpdCBhIG1lcmdlciwgYnV0IGluIHRydXRoIGl0IHdhcyBhYnNvcnB0aW9uLg==,,,,,W0J1cmxlZF0KTmEgdmVyZGFkZSwgdG9kbyBvIHBlc3NvYWwgZW52b2x2aWRvIG5vIGRlc2Vudm9sdmltZW50byBkYSBUb3JyZSDDqSBkYSBab25kYS4=,,W0J1cmxlZF0KRW4gcmVhbGlkYWQsIHRvZG8gZWwgcGVyc29uYWwgaW52b2x1Y3JhZG8gZW4gZWwgZGVzYXJyb2xsbyBkZSBsYSBUb3JyZSBlcyBkZSBab25kYS4=
nlkAAQ,,W0JsYWRlXQpBZnRlciB0aGF0LCB0b3dlciBkZXZlbG9wbWVudCB3YXMgdGVtcG9yYXJpbHkgc3VzcGVuZGVkIHdoaWxlIGl0cyBkZXZlbG9wbWVudCB3YXMgcmV2aWV3ZWQgZnJvbSBtYW55IGFuZ2xlcywgYnV0IGFwcGFyZW50bHkgbm8gY2xlYXIgc29sdXRpb24gd2FzIGZvdW5kLg==,,,,,W0J1cmxlZF0KQWdvcmEsIGEgWm9uZGEgw6kgdHJhdGFkYSBjb21vIHVtYSBtZXJhIHN1YnNpZGnDoXJpYSBkYSBSZWtlbmJlci4=,,W0J1cmxlZF0KQWhvcmEsIFpvbmRhIGVzIHRyYXRhZGEgY29tbyB1bmEgbWVyYSBzdWJzaWRpYXJpYSBkZSBSZWtlbmJlci4=
