oPBODA,7JiI7Ja47J6QIEs=,UHJvcGhldCBL,,,,,UHJvZmV0YSBL,,UHJvZmV0YSBL
6vBODA,W+yYiOyWuOyekCBLXQrsoJzri4jqsIAg67aA7KGx7ZWY6rWwIQoxMuyngOyLoOydmCDquLDsmrTsnbQg64u06ri0IQozMDAw66eMIOygnOuLiOydmCDqsIDsuZjrpbwg7KeA64uMCuyLoOydmCDsmIHrrLzsnbjrjbAuLi4K6re465+0IOyImOuKlCDsl4brhKQhCuu5jOugpOyEnCDrnbzrj4Qg7Jik6rKM64KYfiE=,W1Byb3BoZXQgS10KWW91IGRvbid0IGhhdmUgZW5vdWdoIFplbnkhCkl0J3MgYSBkaXZpbmUgYXJ0aWZhY3QgaW1idWVkIHdpdGggdGhlIGVuZXJneQpvZiB0aGUgMTIgWm9kaWFjIERlaXRpZXMsIHdvcnRoIDMwIG1pbGxpb24gWmVueS4uLgpJdCBjYW4ndCBiZSBsaWtlIHRoYXQhCkNvbWUgYmFjayBldmVuIGlmIHlvdSBoYXZlIHRvIGJvcnJvdyB0aGUgbW9uZXl+IQ==,,,,,W1Byb2ZldGEgS10KRXN0w6Egc2VtIFplbnlzIQrDiSB1bSBvYmpldG8gZGl2aW5vIHNhZ3JhZG8sCmNvbSBhIGVuZXJnaWEgZG9zIDEyIFNpZ25vcyBEaXZpbm9zIQpRdWUgdmFsZSAzMCBtaWxow7VlcyBkZSBaZW55cy4uLgpJc3NvIG7Do28gcG9kZSBzZXIhClZlbmhhIG1lc21vIHF1ZSB0ZW5oYSBxdWUgcGVkaXIgZW1wcmVzdGFkb34h,,W1Byb2ZldGEgS10KwqFUZSBmYWx0YSBaZW55IQrCoUVzIHVuYSByZWxpcXVpYSBkaXZpbmEgaW1idWlkYSBjb24KbGEgZW5lcmfDrWEgZGUgbG9zIDEyIERpb3NlcyBab2RpYWNhbGVzIQrCoUNvbiB1biB2YWxvciBkZSAzMCBtaWxsb25lcyBkZSBaZW55cyEuLi4KwqFFc28gbm8gcHVlZGUgc2VyIQrCoVZlbiBpbmNsdXNvIHNpIHRpZW5lcyBxdWUgcGVkaXIgcHJlc3RhZG9+IQ==
6/BODA,W+yYiOyWuOyekCBLXQrqsIDrsKnsl5Ag7IaM7KeA7ZKI7J20IOqwgOuTne2VmOqyjArssKgg7J6I6rWwLgrshozsp4DtkojsnYQg7KSE7J206rOgIOuLpOyLnArri6Tsi5wg64KY66W8IOywvuyVhOyYpOqyjA==,W1Byb3BoZXQgS10KWW91ciBiYWcgaXMgY29tcGxldGVseSBmdWxsIG9mIGl0ZW1zLgpSZWR1Y2UgeW91ciBpbnZlbnRvcnkgYW5kCmNvbWUgZmluZCBtZSBhZ2Fpbi4=,,,,,W1Byb2ZldGEgS10KU3VhIG1vY2hpbGEgZXN0w6EgY2hlaWEgZGUgaXRlbnMuClJlZHV6YSBzZXVzIGl0ZW5zIGUKdmVuaGEgbWUgdmVyIG5vdmFtZW50ZS4=,,W1Byb2ZldGEgS10KVHUgbW9jaGlsYSBlc3TDoSBsbGVuYSBkZSBvYmpldG9zLgpSZWR1Y2UgdHVzIHBvc2VzaW9uZXMgeQp2dWVsdmUgYSBidXNjYXJtZS4=
7PBODA,W+yYiOyWuOyekCBLXQrslYTrrLTrnpjrj4Qg64KY7J2YIOyYiOyngOuqveydgArslYTsp4Eg64Gd64KY7KeAIOyViuydgCDqsoMg6rCZ7JWELgrrtoTrqoXtnogg6re4IOydtO2bhCAxMuyngOyLoOydmArquLDsmrTsnYQg67Cb7J2AIOyYgeybheuTpOyXkCDrjIDtlZwK7JiI7KeA66q97J20IOydtOyWtOyniCDqsoMg6rCZ7JWELg==,W1Byb3BoZXQgS10KSXQgc2VlbXMgbXkgcHJvcGhldGljIGRyZWFtCmlzIG5vdCBvdmVyIHlldC4KSXQgc2VlbXMgdGhlIHByb3BoZXRpYyBkcmVhbXMgYWJvdXQKdGhlIGhlcm9lcyBibGVzc2VkIGJ5IHRoZSBlbmVyZ3kKb2YgdGhlIDEyIFpvZGlhYyBEZWl0aWVzIHdpbGwgc3VyZWx5IGNvbnRpbnVlLg==,,,,,W1Byb2ZldGEgS10KQWNobyBxdWUgbWV1IHNvbmhvIHByb2bDqXRpY28KYWluZGEgbsOjbyB0ZXJtaW5vdS4KUGFyZWNlIHF1ZSBvcyBzb25ob3MgcHJvZsOpdGljb3MKc29icmUgb3MgaGVyw7NpcyBxdWUgcG9zc3VlbSBhIGVuZXJnaWEKZG9zIDEyIFNpZ25vcyBEaXZpbm9zIHbDo28gY29udGludWFyLg==,,W1Byb2ZldGEgS10KUGFyZWNlIHF1ZSBtaSBzdWXDsW8gcHJvZsOpdGljbwphw7puIG5vIGhhIHRlcm1pbmFkby4KU2VndXJhbWVudGUgY29udGludWFyw6FuIGxvcyBzdWXDsW9zIHByb2bDqXRpY29zCnNvYnJlIGxvcyBow6lyb2VzIHF1ZSBwb3NlZW4KbGEgZW5lcmfDrWEgZGUgbG9zIDEyIERpb3NlcyBab2RpYWNhbGVzLg==
7fBODA,7Iqk7YyM7YGsIOumrA==,U3BhcmsgTGVl,,,,,U3BhcmsgTGVl,,U3BhcmsgTGVl
7vBODA,W+yKpO2MjO2BrCDrpqxdCuuCoOyUqOqwgCDrp47snbQg7LaU7JuM7KGM7Ja0Li4K67CU656M64+EIOu2iOqzoC4uLi4u,W1NwYXJrIExlZV0KVGhlIHdlYXRoZXIgaGFzIGdvdHRlbiBtdWNoIGNvbGRlci4uClRoZSB3aW5kIGlzIGJsb3dpbmcgdG9vLi4uLi4=,,,,,W1NwYXJrIExlZV0KTyB0ZW1wbyBlc2ZyaW91IG11aXRvLi4KRSBvIHZlbnRvIGVzdMOhIHNvcHJhbmRvLi4uLi4=,,W1NwYXJrIExlZV0KRWwgY2xpbWEgc2UgcHVzbyBtdXkgZnLDrW8uLgpZIGVzdMOhIHNvcGxhbmRvIGVsIHZpZW50by4uLi4u
7/BODA,LeyYiOyWuOyekCBL6rCAIOunkO2VnCDsgqzrnozsnbQg66ee64qUIOqygyDqsJnsnYDrjbAgXjRENERGRuyYiOyWuOyekCBL7J2YIOuwgOyEnF4wMDAwMDDqsIAg7JeG64ukLi0=,LSBJdCBzZWVtcyBsaWtlIHRoZSBwZXJzb24gUHJvcGhldCBLIG1lbnRpb25lZCwgYnV0IEkgZG9uJ3QgaGF2ZSBeNEQ0REZGUHJvcGhldCBLJ3MgU2VjcmV0IExldHRlcl4wMDAwMDAuIC0=,,,,,LSBQYXJlY2Ugc2VyIGEgcGVzc29hIGRlIHF1ZW0gbyBQcm9mZXRhIEsgZmFsb3UsIG1hcyB2b2PDqiBuw6NvIHRlbSBhIF40RDRERkZDYXJ0YSBTZWNyZXRhIGRvIFByb2ZldGEgS14wMDAwMDAuIC0=,,LVBhcmVjZSBzZXIgbGEgcGVyc29uYSBkZSBsYSBxdWUgaGFibMOzIGVsIFByb2ZldGEgSywgcGVybyBubyB0ZW5nbyBsYSBeNEQ0REZGY2FydGEgc2VjcmV0YSBkZWwgUHJvZmV0YSBLXjAwMDAwMC4t
8PBODA,W+yKpO2MjO2BrCDrpqxdCuuCoOyUqOuPhCDstpTsm4zsp4Dqs6AuLgrsmbjroa3qs6AuLi4K7JO47JO4IO2VmOuEpC4uLi4=,W1NwYXJrIExlZV0KVGhlIHdlYXRoZXIgaXMgZ2V0dGluZyBjb2xkZXIuLgpMb25lbHkuLi4KRGVzb2xhdGUuLi4u,,,,,W1NwYXJrIExlZV0KTyB0ZW1wbyBlc3TDoSBmaWNhbmRvIG1haXMgZnJpby4uCkVzdG91IHNvbGl0w6FyaW8uLi4KUXVlIHNvbGlkw6NvLi4u,,W1NwYXJrIExlZV0KRWwgY2xpbWEgc2UgZXN0w6EgZW5mcmlhbmRvLi4KTWUgc2llbnRvIHNvbG8uLi4KWSBzb2xpdGFyaW8uLi4u
8fBODA,LSDrrZDrnbzqs6Ag66eQ7J2EIOqxuOyWtOyVvCDtlaDquYw/IC0=,LSBXaGF0IHNob3VsZCBJIHNheSB0byBoaW0/IC0=,,,,,LSBPIHF1ZSBkZXZvIGRpemVyIHBhcmEgZWxlPyAt,,LSDCv1F1w6kgZGViZXLDrWEgZGVjaXJsZT8gLQ==
8vBODA,7J247IOB7J20IOywuCDsoovsnLzshLjsmpQu,WW91IGhhdmUgYSB2ZXJ5IG5pY2UgaW1wcmVzc2lvbi4=,,,,,Vm9jw6ogdGVtIHVtYSBib2EgYXBhcsOqbmNpYS4=,,VGllbmUgdW5hIGltcHJlc2nDs24gbXV5IGFncmFkYWJsZS4=
8/BODA,6riw7Jq07J20IOywuCDsoovsnLzshLjsmpQ=,WW91IGhhdmUgdmVyeSBnb29kIGVuZXJneS4=,,,,,Vm9jw6ogdGVtIHVtYSBlbmVyZ2lhIGJvYS4=,,VGllbmUgbXV5IGJ1ZW5hIGVuZXJnw61hLg==
9PBODA,7Ja86rW07JeQ7IScIOu5m+ydtCDrgpjsi5zrhKTsmpQ=,WW91ciBmYWNlIGlzIGdsb3dpbmcu,,,,,U2V1IHJvc3RvIGVzdMOhIGJyaWxoYW5kby4=,,U3Ugcm9zdHJvIGlycmFkaWEgbHV6Lg==
9fBODA,7KGw7IOB64uY7J20IOqzteuNleydhCDrp47snbQg7IyT7JWY64KY67SQ7JqU,WW91ciBhbmNlc3RvcnMgbXVzdCBoYXZlIGFjY3VtdWxhdGVkIG11Y2ggbWVyaXQu,,,,,U2V1cyBhbmNlc3RyYWlzIGRldmVtIHRlciBhY3VtdWxhZG8gbXVpdG9zIG3DqXJpdG9zLg==,,UGFyZWNlIHF1ZSBzdXMgYW5jZXN0cm9zIGFjdW11bGFyb24gbXVjaGFzIGJ1ZW5hcyBhY2Npb25lcy4=
9vBODA,W+yKpO2MjO2BrCDrpqxdCuq3uOuemCDrs7TsnbTrgpjsmpQ/Ci4uLg==,W1NwYXJrIExlZV0KRG8gSSBsb29rIHRoYXQgd2F5PwouLi4=,,,,,W1NwYXJrIExlZV0Kw4k/IFBhcmVjZSBtZXNtbz8KLi4u,,W1NwYXJrIExlZV0Kwr9FbiBzZXJpbyBzZSB2ZSBhc8OtPwouLi4=
9/BODA,W+yKpO2MjO2BrCDrpqxdCuyaqeqxtOydtOuCmCDrp5DslIDtlZjsi5zso6AK66y07Iqo7J2866GcLi4g7KCA66W8Pw==,W1NwYXJrIExlZV0KSnVzdCBzdGF0ZSB5b3VyIGJ1c2luZXNzLgpGb3Igd2hhdCByZWFzb24uLiBhcmUgeW91IGFwcHJvYWNoaW5nIG1lPw==,,,,,W1NwYXJrIExlZV0KRGlnYSBvIG1vdGl2byBkYSBzdWEgdmlzaXRhLgpPIHF1ZS4uLiB0cmF6IHZvY8OqIGF0w6kgbWltPw==,,W1NwYXJrIExlZV0KTWVqb3IgZMOtZ2FtZSBlbCBtb3Rpdm8Kwr9BIHF1w6kgZGVibyBzdSB2aXNpdGEuLi4/
+PBODA,7JiI7Ja47J6QIEvsnZgg67CA7ISc66W8IOqxtOuEqOuLpA==,SGFuZCBvdmVyIFByb3BoZXQgSydzIFNlY3JldCBMZXR0ZXIu,,,,,RW50cmVnYSBhIENhcnRhIFNlY3JldGEgZG8gUHJvZmV0YSBLLg==,,RW50cmVnYXIgbGEgY2FydGEgc2VjcmV0YSBkZWwgUHJvZmV0YSBLLg==
+fBODA,LSDsl5DslrjsnpAgS+ydmCDrsIDshJzrpbwgLQotIOqxtOuEpOqzoCDsnpDstIjsp4DsooXsnYQgLQotIOydtOyVvOq4sCDtlojri6QuIC0=,LSBIYW5kZWQgb3ZlciBQcm9waGV0IEsncyBTZWNyZXQgTGV0dGVyIC0KLSBhbmQgZXhwbGFpbmVkIHRoZSB3aG9sZSBzdG9yeS4gLQ==,,,,,LSBFbnRyZWdhIGEgQ2FydGEgU2VjcmV0YSBkbyBQcm9mZXRhIEsgLQotIGUgZXhwbGljYSB0b2RhIGEgc2l0dWHDp8OjbyAtCi0gcGFyYSBlbGUuIC0=,,LSBMZSBlbnRyZWfDsyBsYSBjYXJ0YSBzZWNyZXRhIGRlbCBQcm9mZXRhIEsgLQotIHkgbGUgY29udMOzIHRvZGEgbGEgaGlzdG9yaWEgY29uIGRldGFsbGVzLiAt
+vBODA,W+yKpO2MjO2BrCDrpqxdCuyGlOynge2eiCDri7nsi6DsnZgg66eQ7J2ECuyJveqyjCDrr7/snYQg7IiY64qUIOyXhuyWtOyalC4K6rytIOyCrOq4sOq+vOydtCDtlZjripQK66eQIOyymOufvCDrk6TroKTsmpQ=,W1NwYXJrIExlZV0KRnJhbmtseSwgSSBjYW4ndCBlYXNpbHkKYmVsaWV2ZSB5b3VyIHdvcmRzLgpJdCBzb3VuZHMganVzdCBsaWtlCndoYXQgYSBzY2FtbWVyIHdvdWxkIHNheS4=,,,,,W1NwYXJrIExlZV0KU2luY2VyYW1lbnRlLCBuw6NvIHBvc3NvCmFjcmVkaXRhciBmYWNpbG1lbnRlIG5hIHN1YSBwYWxhdnJhLgpTb2EgY29tbyBhbGdvIHF1ZSB1bSBnb2xwaXN0YQpkaXJpYS4=,,W1NwYXJrIExlZV0KU2luY2VyYW1lbnRlLCBubyBwdWVkbwpjcmVlciBzdXMgcGFsYWJyYXMgZsOhY2lsbWVudGUuClN1ZW5hbiBjb21vIGxhcyBkZQp1biBlc3RhZmFkb3Iu
+/BODA,W+yKpO2MjO2BrCDrpqxdCuuLueyLoOydmCDrp5DsnYQg66+/6rOgCuydtCDrsIDshJzrpbwg7J296rKMIO2VmOqzoCDsi7bri6TrqbQK64u57Iug7JeQIOuMgO2VnCDsi6DrorDqsIAg7ZWE7JqU7ZW07JqULg==,W1NwYXJrIExlZV0KSWYgeW91IHdhbnQgbWUgdG8gYmVsaWV2ZSB5b3VyIHdvcmRzCmFuZCByZWFkIHRoaXMgc2VjcmV0IGxldHRlciwKSSBuZWVkIHRvIGhhdmUgdHJ1c3QgaW4geW91Lg==,,,,,W1NwYXJrIExlZV0KU2UgcXVlciBxdWUgZXUgYWNyZWRpdGUgbmEgc3VhIHBhbGF2cmEKZSBsZWlhIGVzdGEgY2FydGEgc2VjcmV0YSwKcHJlY2lzbyBjb25maWFyIGVtIHZvY8OqLg==,,W1NwYXJrIExlZV0KU2kgcXVpZXJlIHF1ZSBjcmVhIGVuIHN1cyBwYWxhYnJhcwp5IGxlYSBlc3RhIGNhcnRhIHNlY3JldGEsCm5lY2VzaXRvIGNvbmZpYXIgZW4gdXN0ZWQu
/PBODA,7KCc6rCAIOyWtOuWu+qyjCDtlZjrqbQuLuuQoOq5jOyalD8=,V2hhdCBzaG91bGQgSSBkby4uPw==,,,,,TyBxdWUgZGV2byBmYXplci4uPw==,,wr9RdcOpIGRlYm8gaGFjZXIuLi4/
/fBODA,W+yKpO2MjO2BrCDrpqxdCuydjC4uLiDsoJzqsIAg7KeA6riICuq8rSDtlYTsmpTtlZzqsowg7J6I6rGw65Og7JqULArqt7gg6rG4IOqwgOyguOuLpCDso7zsi5zrqbQK6re47Kq97JeQ7IScIOq3uOunjO2BvCDsnZjsp4DqsIAK7J6I64qUIOqxuOuhnCDtjJDri6gg7ZWg6rKM7JqU,W1NwYXJrIExlZV0KSG1tLi4uIFRoZXJlJ3Mgc29tZXRoaW5nCkkgcmVhbGx5IG5lZWQgcmlnaHQgbm93LgpJZiB5b3UgY2FuIGJyaW5nIHRoYXQgdG8gbWUsCkknbGwgdGFrZSBpdCBhcyBhIHNpZ24gb2YgeW91cgpzaW5jZXJpdHku,,,,,W1NwYXJrIExlZV0KSG0uLi4gSMOhIGFsZ28gcXVlIGV1CnJlYWxtZW50ZSBwcmVjaXNvIGFnb3JhLgpTZSB2b2PDqiB0cm91eGVyIGlzc28gcGFyYSBtaW0sCnZvdSBjb25zaWRlcmFyIHF1ZSBow6EKZGV0ZXJtaW5hw6fDo28gZGEgc3VhIHBhcnRlLg==,,W1NwYXJrIExlZV0KTW1tLi4uIEVuIGVzdGUgbW9tZW50bwpoYXkgYWxnbyBxdWUgbmVjZXNpdG8gbXVjaG8uClNpIG1lIGxvIHRyYWUsCmxvIHRvbWFyw6kgY29tbyB1bmEgbXVlc3RyYQpkZSBzdSBkZXRlcm1pbmFjacOzbi4=
/vBODA,W+yKpO2MjO2BrCDrpqxdCuygnOqwgCDqsIHsooUg6rys66as7JmAIOq0gOugqOuQnArsiJjsp5Eg7Leo66+46rCAIOyeiOyWtOyEnOyalArsm5DsiK3snbTsnZgg6rys66asIDIw6rCcLArsoITqsIjsnZgg6rys66asIDIw6rCc66W8Cuq1rO2VtOuLpCDso7zshLjsmpQ=,W1NwYXJrIExlZV0KSSBoYXZlIGEgY29sbGVjdGluZyBob2JieQpyZWxhdGVkIHRvIHZhcmlvdXMgdGFpbHMuClBsZWFzZSBnZXQgbWUKMjAgWW95byBUYWlscywKYW5kIDIwIFNjb3JwaW9uIFRhaWxzLg==,,,,,W1NwYXJrIExlZV0KVGVuaG8gdW0gaG9iYnkgZGUgY29sZWNpb25hcgp2w6FyaW9zIHRpcG9zIGRlIGNhdWRhLgpQcmVjaXNvIHF1ZSB2b2PDqiBtZSB0cmFnYQoyMCBDYXVkYXMgZGUgWW95bwplIDIwIENhdWRhcyBkZSBFc2NvcnBpw6NvLg==,,W1NwYXJrIExlZV0KVGVuZ28gbGEgYWZpY2nDs24gZGUgY29sZWNjaW9uYXIKdG9kYSBjbGFzZSBkZSBjb2xhcy4KQ29uc8OtZ2FtZSAyMCBDb2xhcyBkZSBNb25vCnkgMjAgQ29sYXMgZGUgRXNjb3JwacOzbi4=
//BODA,W+yKpO2MjO2BrCDrpqxdCu2UhOuhoO2FjOudvCDsnITsqr3sl5Ag7J6I64qUCu2UhOuhoO2FjOudvCDtlYTrk5zsl5Ag6rCA66m0IOyalOyalOulvCwK66qo66Gc7YGsIOyVhOuemOyXkCDsnojripQK7IaM6re465287Yq4IOyCrOunieyXkCDqsIDrqbQK7Iqk7L2c7ZS87Jio7J2EIOuzvCDsiJgg7J6I7J2E6rGw7JeQ7JqULg==,W1NwYXJrIExlZV0KSWYgeW91IGdvIHRvIHRoZSBQcm9udGVyYSBGaWVsZHMKbm9ydGggb2YgUHJvbnRlcmEsIHlvdSdsbCBmaW5kIFlveW9zLAphbmQgaWYgeW91IGdvIHRvIHRoZSBTb2dyYXQgRGVzZXJ0CnNvdXRoIG9mIE1vcnJvYywKeW91J2xsIGZpbmQgU2NvcnBpb25zLg==,,,,,W1NwYXJrIExlZV0KU2UgZm9yIHBhcmEgbyBDYW1wbyBkZSBQcm9udGVyYSwKYWNpbWEgZGUgUHJvbnRlcmEsIHZvY8OqIGVuY29udHJhcsOhIFlveW9zLAplIHNlIGZvciBwYXJhIG8gRGVzZXJ0byBTb2dyYXQsCmFiYWl4byBkZSBNb3Jyb2MsIHZvY8OqCmVuY29udHJhcsOhIEVzY29ycGnDtWVzLg==,,W1NwYXJrIExlZV0KUHVlZGUgZW5jb250cmFyIFlveW9zCmVuIGVsIENhbXBvIGRlIFByb250ZXJhLCBhcnJpYmEgZGUgUHJvbnRlcmEsCnkgRXNjb3JwaW9uZXMKZW4gZWwgRGVzaWVydG8gZGUgU29ncmF0LCBhYmFqbyBkZSBNb3Jyb2Mu
APFODA,W+yKpO2MjO2BrCDrpqxdCuyalOyalOyXkOqyjOyEnArsm5DsiK3snbTsnZgg6rys66as66W8CuyKpOy9nO2UvOyYqOyXkOqyjOyEnArsoITqsIjsnZgg6rys66as66W8Cuq1rO2VtOuLpCDso7zshLjsmpQu,W1NwYXJrIExlZV0KUGxlYXNlIGdldCBZb3lvIFRhaWxzCmZyb20gWW95b3MKYW5kIFNjb3JwaW9uIFRhaWxzCmZyb20gU2NvcnBpb25zLg==,,,,,W1NwYXJrIExlZV0KT2J0ZW5oYSBkb3MgWW95b3MKb3MgQ2F1ZGFzIGRlIFlveW8KZSBkb3MgRXNjb3JwacO1ZXMKb3MgQ2F1ZGFzIGRlIEVzY29ycGnDo28uClRyYWdhLW9zIHBhcmEgbWltLg==,,W1NwYXJrIExlZV0KUG9yIGZhdm9yLCBjb25zw61nYW1lCmxhcyBDb2xhcyBkZSBNb25vIGRlIGxvcyBZb3lvcwp5IGxhcyBDb2xhcyBkZSBFc2NvcnBpw7NuCmRlIGxvcyBFc2NvcnBpb25lcy4=
AfFODA,W+yKpO2MjO2BrCDrpqxdCuq3uCDsoJXrj4Qg7ISx7J2Y66W8IOuztOyXrOyjvOyLnOuptArstqnrtoTtnogg64u57Iug7J2YIOydtOyVvOq4sOyZgArsnbQg67CA7ISc7JeQIOq0gO2VnCDrgrTsmqnsl5AK7Iug66Kw6rCAIOqwiCDqsoMg6rCZ7JWE7JqULgrqt7jrnpgg7KO87Iuk6rGw7KOgPwrquLDri6Trpqzqs6Ag7J6I7J2E6rKM7JqUfiE=,W1NwYXJrIExlZV0KSWYgeW91IHNob3cgdGhhdCBtdWNoIHNpbmNlcml0eSwKSSBzaG91bGQgYmUgYWJsZSB0byB0cnVzdAp5b3VyIHN0b3J5IGFuZCB0aGUgY29udGVudHMKb2YgdGhpcyBzZWNyZXQgbGV0dGVyLgpZb3UnbGwgZG8gaXQsIHJpZ2h0PwpJJ2xsIGJlIHdhaXRpbmd+IQ==,,,,,W1NwYXJrIExlZV0KU2Ugdm9jw6ogbW9zdHJhciBlc3NhIGJvYSB2b250YWRlLAphY2hvIHF1ZSBwb2RlcmVpIGNvbmZpYXIKc3VmaWNpZW50ZW1lbnRlIG5hIHN1YSBoaXN0w7NyaWEKZSBubyBjb250ZcO6ZG8gZGVzdGEgY2FydGEgc2VjcmV0YS4KVm9jw6ogZmFyw6EgaXNzbywgY2VydG8/CkVzdGFyZWkgZXNwZXJhbmRvfiE=,,W1NwYXJrIExlZV0KU2kgbXVlc3RyYSBlc2Egc2luY2VyaWRhZCwKY3JlbyBxdWUgcG9kcsOpIGNvbmZpYXIKc3VmaWNpZW50ZW1lbnRlIGVuIHN1IGhpc3RvcmlhCnkgZWwgY29udGVuaWRvIGRlIGVzdGEgY2FydGEgc2VjcmV0YS4Kwr9MbyBoYXLDoSwgdmVyZGFkPwrCoUVzdGFyw6kgZXNwZXJhbmRvfiE=
AvFODA,W+yKpO2MjO2BrCDrpqxdCuydjC4uPyDrgpjtlZzthYwK7ZWgIOunkOydtCDsnojsp4Ag7JWK7JWY64KYPy4u,W1NwYXJrIExlZV0KSG1tLi4/IERpZG4ndCB5b3UgaGF2ZQpzb21ldGhpbmcgdG8gc2F5IHRvIG1lPy4u,,,,,W1NwYXJrIExlZV0KSG0uLj8gVm9jw6ogbsOjbyB0aW5oYQphbGdvIHBhcmEgbWUgZGl6ZXI/Li4=,,W1NwYXJrIExlZV0Kwr9NbS4uPyDCv05vIHRlbsOtYXMKYWxnbyBxdWUgZGVjaXJtZT8uLg==
A/FODA,W+yKpO2MjO2BrCDrpqxdCuyZoOyngCDrgpjtlZzthYwg7ZWgIOydtOyVvOq4sOqwgC4uCuyeiOyWtCDrs7TsnbTripTrjbAuLg==,W1NwYXJrIExlZV0KRm9yIHNvbWUgcmVhc29uLCBpdCBzZWVtcyBsaWtlCnlvdSBoYXZlIHNvbWV0aGluZyB0byB0ZWxsIG1lLi4=,,,,,W1NwYXJrIExlZV0KUGFyZWNlIHF1ZSB2b2PDqiB0ZW0gYWxnby4uLgpwYXJhIG1lIGRpemVyLi4=,,W1NwYXJrIExlZV0KU2llbnRvIGNvbW8gc2kgdHV2aWVyYXMKYWxnbyBxdWUgY29udGFybWUuLi4=
BPFODA,67aA7YOB7ZWcIOqxuCDqsIDsoLjsmZTslrTsmpQ=,SSd2ZSBicm91Z2h0IHdoYXQgeW91IGFza2VkIGZvci4=,,,,,VHJvdXhlIG8gcXVlIHZvY8OqIHBlZGl1Lg==,,SGUgdHJhw61kbyBsbyBxdWUgbWUgcGlkacOzLg==
BfFODA,W+yKpO2MjO2BrCDrpqxdCuydjD8g6rWs7ZW07Jik7Iuc64uk64uILi4K7Iug66Kw66W8IOuTnOumtCDsiJgg67CW7JeQIOyXhuq1sOyalC4K7J20IOygleuPhCDrhbjroKXsnbTrnbzrqbQKMTLsp4Dsi6Dri5jrj4Qg6rCQ64+Z7ZWY7Iuk6rGw7JeQ7JqULgrrrLzroaAg7KCcIOyLoOuisOuPhArrrLTtlZztnogg7IyT7JiA7Iq164uI64ukfiE=,W1NwYXJrIExlZV0KSG1tPyBZb3UgYnJvdWdodCB0aGVtLi4KSSBoYXZlIG5vIGNob2ljZSBidXQgdG8gdHJ1c3QgeW91LgpXaXRoIHRoaXMgbGV2ZWwgb2YgZWZmb3J0LApldmVuIHRoZSAxMiBab2RpYWMgRGVpdGllcyB3b3VsZCBiZSBtb3ZlZC4KT2YgY291cnNlLCBteSB0cnVzdCBpbiB5b3UKaGFzIGJ1aWx0IHVwIGluZmluaXRlbHl+IQ==,,,,,W1NwYXJrIExlZV0KSG0/IFZvY8OqIHJlYWxtZW50ZSB0cm91eGUuLgpOw6NvIHRlbmhvIGVzY29saGEgYSBuw6NvIHNlciBjb25maWFyIGVtIHZvY8OqLgpDb20gZXNzZSBlc2ZvcsOnbywKYXTDqSBvcyAxMiBTaWdub3MgRGl2aW5vcyBmaWNhcmlhbSBjb21vdmlkb3MuCkUsIGNsYXJvLCBtaW5oYSBjb25maWFuw6dhCmVtIHZvY8OqIGNyZXNjZXUgaW5maW5pdGFtZW50ZX4h,,W1NwYXJrIExlZV0Kwr9PaD8gwr9Mb3MgY29uc2lndWnDsz8uLgpObyBtZSBxdWVkYSBtw6FzIHF1ZSBjb25maWFyIGVuIHVzdGVkLgpDb24gZXN0ZSBuaXZlbCBkZSBlc2Z1ZXJ6bywKaGFzdGEgbG9zIDEyIERpb3NlcyBab2RpYWNhbGVzIHNlIGNvbm1vdmVyw61hbi4KwqFQb3Igc3VwdWVzdG8sIG1pIGNvbmZpYW56YQplbiB1c3RlZCB0YW1iacOpbiBoYSBhdW1lbnRhZG8gYWwgbcOheGltb34h
BvFODA,W+yKpO2MjO2BrCDrpqxdCuq1rO2VtCDsmKTsi6DqsbQK7J6YIOuwm+uPhOuhnSDtlZjqsqDsirXri4jri6QuCuq3uOumrOqzoCDri7nsi6DsnbQg7J207JW86riw7ZWcCuuCtOyaqeqzvCDsnbQg67CA7ISc66W8IOyLoOykke2VmOqyjArsnb3slrTrs7TqsqDsirXri4jri6Qu,W1NwYXJrIExlZV0KSSdsbCBhY2NlcHQgd2hhdCB5b3UKYnJvdWdodCBmb3IgbWUuCkFuZCBJIHdpbGwgY2FyZWZ1bGx5IHJlYWQKdGhlIGNvbnRlbnRzIHlvdSBtZW50aW9uZWQKYW5kIHRoaXMgc2VjcmV0IGxldHRlci4=,,,,,W1NwYXJrIExlZV0KVm91IGFjZWl0YXIgbyBxdWUKdm9jw6ogdHJvdXhlLgpFIHZvdSBsZXIgY29tIGN1aWRhZG8KYSBzdWEgaGlzdMOzcmlhCmUgZXN0YSBjYXJ0YSBzZWNyZXRhLg==,,W1NwYXJrIExlZV0KQWNlcHRhcsOpIGxvIHF1ZQpoYSBjb25zZWd1aWRvLgpZIGxlZXLDqSBjdWlkYWRvc2FtZW50ZQpsbyBxdWUgbWUgaGEgY29udGFkbwp5IGVzdGEgY2FydGEgc2VjcmV0YS4=
