gIbiAg,,QmFyZA==,,,,,QmFyZG8=,,QmFyZG8=
BIfiAg,,W1RlcnJpYmxlIFNpbmdlcl0KSSBjYW1lIGFjcm9zcyBoaW0gYSBmZXcgbW9yZSB0aW1lcyBiZWZvcmUgaGUgbGVmdCBIdWdlbCwgYW5kIGV2ZXJ5IHRpbWUsIEkgc2FuZyBhIHNvbmcgZm9yIGhpbS4KSXQncyBub3QgZXZlcnkgZGF5IHlvdSBjYW4gbWVldCBzdWNoIGEgd29ydGh5IGNvbXBldGl0b3Iu,,,,,W1RvbmUtZGVhZiBwZXJzb25dCkV1IHBvZGVyaWEgdGVyIGEgb3BvcnR1bmlkYWRlIGRlIGNhbnRhciBwYXJhIGVsZSBlbSBIdWdlbC4KTsOjbyBow6EgbmluZ3XDqW0gcXVlIHRlbmhhIGhhYmlsaWRhZGVzIGFzc2ltLg==,,W0NhbnRhbnRlIHRlcnJpYmxlXQpNZSBjcnVjw6kgY29uIMOpbCB1bmFzIGN1YW50YXMgdmVjZXMgbcOhcyBhbnRlcyBkZSBxdWUgZGVqYXJhIEh1Z2VsIHkgY2FkYSB2ZXogbGUgY2FudGFiYSB1bmEgY2FuY2nDs24uCk5vIHRvZG9zIGxvcyBkw61hcyBzZSBwdWVkZSBjb25vY2VyIGEgdW4gY29tcGV0aWRvciB0YW4gZGlnbm8u
BYfiAg,,W1RlcnJpYmxlIFNpbmdlcl0KV2hlbiB3ZSBsYXN0IG1ldCwgaGUgZXZlbiBnYXZlIG1lIGEgc29uZyB0aGF0IGhlJ2Qgc3BlY2lhbGx5IHdyaXR0ZW4gZm9yIG1lLg==,,,,,W1RvbmUtZGVhZiBwZXJzb25dCkFudGVzIGRlIGVsZSBzYWlyLCBnYW5oZWkgdW1hIGNhbsOnw6NvIHF1ZSBtZSBsZW1icmEgZGVsZS4=,,W0NhbnRhbnRlIHRlcnJpYmxlXQpMYSDDumx0aW1hIHZleiBxdWUgbm9zIHZpbW9zLCBpbmNsdXNvIG1lIHJlZ2Fsw7MgdW5hIGNhbmNpw7NuIHF1ZSBoYWLDrWEgZXNjcml0byBlc3BlY2lhbG1lbnRlIHBhcmEgbcOtLg==
BofiAg,,W1RlcnJpYmxlIFNpbmdlcl0KSGUgc2FpZCBoZSB3YXMgZ29pbmcgdG8gdGhlIFRoYW5hdG9zIFRvd2VyLiBJIHdvbmRlciBob3cgaGUncyBkb2luZy4=,,,,,W1RvbmUtZGVhZiBwZXJzb25dCkVsZSBkaXNzZSBxdWUgZWxlIGlyw6EgYSBUaGFuYXRvcy4=,,W0NhbnRhbnRlIHRlcnJpYmxlXQpEaWpvIHF1ZSBpYmEgYSBsYSBUb3JyZSBkZSBUaGFuYXRvcy4gTWUgcHJlZ3VudG8gY8OzbW8gZXN0YXLDoS4=
B4fiAg,,W3swfV0KSGUgZXZlbiB3cm90ZSBhIHNvbmcgZm9yIHlvdT8=,,,,,W3swfV0KVm9jw6ogZ2FuaG91IHVtYSBjYW7Dp8Ojbz8=,,W3swfV0Kwr9JbmNsdXNvIGVzY3JpYmnDsyB1bmEgY2FuY2nDs24gcGFyYSB0aT8=
CIfiAg,,W1RlcnJpYmxlIFNpbmdlcl0KT2gsIHllcy4KSGUgd2FzIHRoYXQgaW1wcmVzc2l2ZSBieSBteSBzaW5naW5nIHNraWxscyE=,,,,,W1RvbmUtZGVhZiBwZXJzb25dClNpbSEKRWxlIGFncmFkZWNldSBwZWxhIG1pbmhhIGhhYmlsaWRhZGUh,,W0NhbnRhbnRlIHRlcnJpYmxlXQpBaCwgc8OtLgrCoUFzw60gZGUgaW1wcmVzaW9uYWRvIGVzdGFiYSBwb3IgbWlzIGhhYmlsaWRhZGVzIGNvbW8gY2FudGFudGUh
CYfiAg,,W3swfV0KTWluZCBpZiBJIGFzayB5b3UgdG8gc2luZyBpdCBmb3IgbWU/,,,,,W3swfV0KUG9zc28gZXNjdXRhciBhIGNhbsOnw6NvPw==,,W3swfV0Kwr9UZSBtb2xlc3RhIHNpIHRlIHBpZG8gcXVlIG1lIGxhIGNhbnRlcz8=
CofiAg,,W1RlcnJpYmxlIFNpbmdlcl0KQWhlbS4uLgpHaXZlIG1lIGEgbW9tZW50LgpJIHB1dCB0aGUgbm90ZSBoZSBnYXZlIG1lIHNvbWV3aGVyZSBhcm91bmQgaGVyZS4KSSd2ZSBzZXduIGl0IGludG8gbXkgdmVzdCBhcyBhIGx1Y2t5IGNoYXJtLg==,,,,,W1RvbmUtZGVhZiBwZXJzb25dCkh1bW0uLi4KRXNwZXJlLgpQcmVjaXNvIGVuY29udHJhciB1bSBwZWRhw6dvIGRlIHBhcGVsLgpFdSBvIGNvbG9xdWVpIGVtIG1ldSBjb2xldGUu,,W0NhbnRhbnRlIHRlcnJpYmxlXQpFamVtLi4uCkRhbWUgdW4gbW9tZW50by4KUHVzZSBsYSBub3RhIHF1ZSBtZSBkaW8gcG9yIGFxdcOtLgpMYSBjb3PDrSBhIG1pIGNoYWxlY28gY29tbyBhbXVsZXRvIGRlIGxhIHN1ZXJ0ZS4=
C4fiAg,,W1RlcnJpYmxlIFNpbmdlcl0KKlJ1c3RsZSwgUnVzdGxlKgoqUnVtbWFnZSwgUnVtbWFnZSo=,,,,,W1RvbmUtZGVhZiBwZXJzb25dClByb2N1cmFuZG8gcHJvY3VyYW5kby4KRXhhbWluYW5kbyBleGFtaW5hbmRvLg==,,W0NhbnRhbnRlIHRlcnJpYmxlXQoqU3VzdXJyYSwgc3VzdXJyYSoKKkh1cmdhLCBodXJnYSo=
DIfiAg,,W1RlcnJpYmxlIFNpbmdlcl0KQWgsIHRoZXJlIGl0IGlzIQpBaGVtIQpJJ2xsIGhhdmUgeW91IGtub3cgSSdtIG5vdCBzaW5naW5nIGl0IGZvciBqdXN0IGFueW9uZS4KSXQncyBjYWxsZWQuLi4gXkY1N0Q3RE1ldGFsbGljIFNvdW5kIV4wMDAwMDA=,,,,,W1RvbmUtZGVhZiBwZXJzb25dClByb250by4KSHVtIQpFc2N1dGUgY29tIGF0ZW7Dp8OjbyEKXkY1N0Q3RCdSdcOtZG8gRXN0cmlkZW50ZSEhJ14wMDAwMDA=,,W0NhbnRhbnRlIHRlcnJpYmxlXQrCoUFoLCBhaMOtIGVzdMOhIQrCoUVqZW0hClF1ZSBzZXBhcyBxdWUgbm8gc2UgbGEgY2FudG8gYSBjdWFscXVpZXJhLgpTZSBsbGFtYS4uLiBeRjU3RDdEwqFTb25pZG8gbWV0w6FsaWNvIV4wMDAwMDA=
DYfiAg,,W1RlcnJpYmxlIFNpbmdlcl0KJCQkJCQkQEBAQEAhISEhCiYmJCUmQEBAJCMkfn4KJCNeIyQjIyMjJCQhISFAQCMhISEhIQ==,,,,,W1RvbmUtZGVhZiBwZXJzb25dCiQkJCQkJEBAQEBAISEhIQomJiQlJkBAQCQjJH5+CiQjXiMkIyMjIyQkISEhQEAjISEhISE=,,W0NhbnRhbnRlIHRlcnJpYmxlXQokJCQkJCRAQEBAQCEhISEKJiYkJSZAQEAkIyQKJCNeIyQjIyMjJCQhISFAQCMhISEhIQ==
DofiAg,,W1RlcnJpYmxlIFNpbmdlcl0KIUBAQCQkJV5AQCMlXiUhISEhISEKISEhISEhISMjJCReXl4jXiEhIQomJCQlQEBAJUAjIyV+fn4=,,,,,W1RvbmUtZGVhZiBwZXJzb25dCiFAQEAkJCVeQEAjJV4lISEhISEhCiEhISEhISEjIyQkXl5eI14hISEKJiQkJUBAQCVAIyMlfn5+,,W0NhbnRhbnRlIHRlcnJpYmxlXQohQEBAJCQlXkBAIyVeJSEhISEhIQohISEhISEhIyMkJF5eXiNeISEhCiYkJCVAQEAlQCMjJQ==
D4fiAg,,LSBJJ20gbG9zaW5nIG15IG1pbmQuIC0KLSBIaXMgdm9pY2UgaXMgLQotIHBvd2VyZnVsbHkgZGVzdHJ1Y3RpdmUsIC0KLSBhbGwgcmlnaHQuIC0=,,,,,LSBWb2PDqiBwZXJkZSBhIGNvbnNjacOqbmNpYS4tCi1Fc3NhIHZveiBkZXZlIHRlci0KLWdyYW5kZXMgcG9kZXJlcy0KLWRlc3RydWlkb3Jlcy4t,,KEVzdG95IHBlcmRpZW5kbyBsYSBjYWJlemEuClN1IHZveiBlcwpwb2Rlcm9zYW1lbnRlIGRlc3RydWN0aXZhLAplcyBjaWVydG8pLg==
EIfiAg,,LSBBbHNvLCBJIGNhbiBiYXJlbHkgcmVtZW1iZXIgLQotIHRoZSBsYXRlciBwYXJ0cyBvZiB0aGUgc29uZy4gLQ==,,,,,LUUgZXUgbsOjbyBjb25zaWdvIGxlbWJyYXItCi1vIGZpbmFsIGRlc3NhIGNhbsOnw6NvLi0=,,KEFkZW3DoXMsIGFwZW5hcyBwdWVkbyByZWNvcmRhcgpsYXMgw7psdGltYXMgcGFydGVzIGRlIGxhIGNhbmNpw7NuKS4=
EYfiAg,,W1RlcnJpYmxlIFNpbmdlcl0KSGV5Lg==,,,,,W1RvbmUtZGVhZiBwZXJzb25dCkVpIQ==,,W0NhbnRhbnRlIHRlcnJpYmxlXQpPeWUu
EofiAg,,W1RlcnJpYmxlIFNpbmdlcl0KV2FrZSB1cC4=,,,,,W1RvbmUtZGVhZiBwZXJzb25dCkFicmEgb3Mgb2xob3N+,,W0NhbnRhbnRlIHRlcnJpYmxlXQpEZXNwaWVydGEu
E4fiAg,,W1RlcnJpYmxlIFNpbmdlcl0KKlNsYXAsIFNsYXAqCkhleS4=,,,,,W1RvbmUtZGVhZiBwZXJzb25dCkFwbGF1c28KRWkh,,W0NhbnRhbnRlIHRlcnJpYmxlXQoqQm9mZXRhZGEsIGJvZmV0YWRhKgpPeWUu
FIfiAg,,W3swfV0KQXd3Li4u,,,,,W3swfV0KRWVlZWUuLi4=,,W3swfV0KQXkuLi4=
FYfiAg,,W1RlcnJpYmxlIFNpbmdlcl0KWW91J3JlIHdlYWtlciB0aGFuIHlvdSBsb29rLiBJIGNhbid0IGJlbGlldmUgaG93IHF1aWNrbHkgeW91IGZlbGwuIFlvdSBuZWVkIHRvIHRyYWluIGhhcmRlci4=,,,,,W1RvbmUtZGVhZiBwZXJzb25dCkFjaG8gcXVlIHZvY8OqIMOpIHF1YWxpZmljYWRvLCBtYXMgcGFyZWNlIHF1ZSB2b2PDqiBwcmVjaXNhIGRlIG1haXMgdHJlaW5hbWVudG8u,,W0NhbnRhbnRlIHRlcnJpYmxlXQpFcmVzIG3DoXMgZMOpYmlsIGRlIGxvIHF1ZSBwYXJlY2VzLiBObyBwdWVkbyBjcmVlciBsbyByw6FwaWRvIHF1ZSBjYcOtc3RlLiBUaWVuZXMgcXVlIGVudHJlbmFyIG3DoXMu
FofiAg,,LSBJIGZlZWwgZXhoYXVzdGVkLiAtCi0gTm93IHRoYXQgSSd2ZSBnb3Qgc29tZSBpbmZvcm1hdGlvbiwgLQotIEkgc2hvdWxkIGdvIGJhY2sgdG8gbXkgcm9vbSBhbmQgcmVzdC4gLQ==,,,,,LUVzdG91IHTDo28gY2Fuc2Fkby4tCi12b2PDqiBjb25zZWd1aXUgaW5mb3JtYcOnw7VlcyAtIAotZW50w6NvIHZvbHRlIGFvIGhvdGVsLi0=,,KFNpZW50byBtdWNobyBjYW5zYW5jaW8uCkFob3JhIHF1ZSB0ZW5nbyBhbGdvIGRlIGluZm9ybWFjacOzbiwKZGViZXLDrWEgdm9sdmVyIGEgbWkgaGFiaXRhY2nDs24geSBkZXNjYW5zYXIpLg==
F4fiAg,,W3swfV0KVGhhbmsgeW91IGZvciBzaW5naW5nIHRoYXQgc29uZy4KTm93LCBJJ3ZlIGdvdCB0byBnby4uLg==,,,,,W3swfV0KT2JyaWdhZG8gcGVsYSBzdWEgYXRlbsOnw6NvLgpUZW5obyBxdWUgdm9sdGFyLi4u,,W3swfV0KR3JhY2lhcyBwb3IgY2FudGFyIGVzYSBjYW5jacOzbi4KQWhvcmEgdGVuZ28gcXVlIGlybWUuLi4=
GIfiAg,,W1RlcnJpYmxlIFNpbmdlcl0KWW91J3JlIHdlbGNvbWUuCllvdSdyZSBzbyBmcmFpbC4gVGFrZSBnb29kIGNhcmUgb2YgeW91cnNlbGYuCkZlZWwgZnJlZSB0byBjb21lIGJhY2sgaWYgeW91IHdhbnQgdG8gbGlzdGVuIHRvIG15IHNpbmdpbmcgYWdhaW4uCk13YSBoYWggaGFoIQ==,,,,,W1RvbmUtZGVhZiBwZXJzb25dCkjDoz8KQ2VydG8sIHZlam8gdm9jw6ogZGVwb2lzLgpTZSB2b2PDqiBxdWlzZXIgb3V2aXIgYSBtaW5oYSBtw7pzaWNhLCB2b2PDqiBwb2RlIG1lIHZpc2l0YXIuCkhhaGFoaA==,,W0NhbnRhbnRlIHRlcnJpYmxlXQpEZSBuYWRhLgpFcmVzIG11eSBmcsOhZ2lsLiBDdcOtZGF0ZSBtdWNoby4KTm8gZHVkZXMgZW4gdm9sdmVyIHNpIHF1aWVyZXMgZXNjdWNoYXJtZSBjYW50YXIgZGUgbnVldm8uCsKhTXVhLCBqYSwgamEh
GYfiAg,,W1RlcnJpYmxlIFNpbmdlcl0KWW91J3JlIGxlYXZpbmcgSHVnZWwuCldlbGwsIGZlZWwgZnJlZSB0byBjb21lIGJhY2sgaWYgeW91IHdhbnQgdG8gbGlzdGVuIHRvIG15IHNpbmdpbmcgYWdhaW4uCk13YSBoYWggaGFoIQ==,,,,,W1RvbmUtZGVhZiBwZXJzb25dCkrDoSBlc3TDoSBkZSBzYcOtZGE/PwpTZSB2b2PDqiBxdWlzZXIgb3V2aXIgYSBtaW5oYSBtw7pzaWNhLCB2b2PDqiBwb2RlIG1lIHZpc2l0YXIuCkhhaGFoYWg=,,W0NhbnRhbnRlIHRlcnJpYmxlXQpUZSB2YXMgZGUgSHVnZWwuCkJ1ZW5vLCBubyBkdWRlcyBlbiB2b2x2ZXIgc2kgcXVpZXJlcyBlc2N1Y2hhcm1lIGNhbnRhciBkZSBudWV2by4KwqFNdWFqYWphIQ==
GofiAg,,W1RlcnJpYmxlIFNpbmdlcl0KT29vaCwKeW91J3ZlIGJlY29tZSBzdHJvbmdlciwgaGF2ZW4ndCB5b3U/CkZpbmFsbHksIHdlIGNhbiBjb21wZXRlIHdpdGggZWFjaCBvdGhlciBvbiBlcXVhbCB0ZXJtcyE=,,,,,W1RvbmUtZGVhZiBwZXJzb25dCk9oIQpWb2PDqiBwYXJlY2Ugc2VyIGZvcnRlIQpWb2PDqiBuw6NvIMOpIG1lbm9zIGNvbXBldGVudGUgcXVlIGV1Lg==,,W0NhbnRhbnRlIHRlcnJpYmxlXQpPaGhoLAp0ZSB2b2x2aXN0ZSBtw6FzIGZ1ZXJ0ZSwgwr92ZXJkYWQ/CsKhUG9yIGZpbiwgcG9kZW1vcyBjb21wZXRpciBlbnRyZSBub3NvdHJvcyBlbiBpZ3VhbGRhZCBkZSBjb25kaWNpb25lcyE=
G4fiAg,,LSBUaGVyZSdzIGEgcGllY2Ugb2YgcGFwZXIgb24gdGhlIGdyb3VuZC4gLQ==,,,,,LSBUZW0gdW0gcGVkYcOnbyBkZSBwYXBlbCBubyBjaMOjby4t,,KEhheSB1biB0cm96byBkZSBwYXBlbCBlbiBlbCBzdWVsbyku
HIfiAg,,W3swfV0KV2hhdCdzIHRoaXM/,,,,,W3swfV0KTyBxdWUgw6k/,,W3swfV0Kwr9RdcOpIGVzIGVzdG8/
HYfiAg,,W0thcmlhbl0KV2hhdCBpcyBpdD8=,,,,,W0thcmlhbl0KTyBxdWUgZGl6Pw==,,W0thcmlhbl0Kwr9RdcOpIHN1Y2VkZT8=
HofiAg,,PT09PT09PT09PT09PT09PT09Cj0gUGhvdG8gUmVjZWlwdCA9Cj09PT09PT09PT09PT09PT09PQ==,,,,,PT09PT09PT09PT09PT09PT09PQo9PXRyb2NhIGRlIGZvdG9zPT09Cj09PT09PXJlY2libz09PT09PT0KPT09PT09PT09PT09PT09PT09PQ==,,Jz09PT09PT09PT09PT09PT09PQo9IFJlY2libyBkZSBmb3RvID0KPT09PT09PT09PT09PT09PT09Jyc=
H4fiAg,,Q3VzdG9tZXIgTmFtZTogTWFlc3RybyBTb25n,,,,,Tm9tZTogTWVsbG8gRGlhcw==,,Tm9tYnJlIGRlbCBjbGllbnRlOiBNYWVzdHJvIFNvbmc=
IIfiAg,,LSBQbGVhc2UgYnJpbmcgeW91ciByZWNlaXB0IHRvIHRoaXMgc3RvcmUgdG8gcGljayB1cCB5b3VyIHBob3Rvcy4=,,,,,LSBUcmFnYSBlc3NlIHJlY2libyBlIHRyb3F1ZS1vLg==,,J1BvciBmYXZvciwgdHJhZSB0dSByZWNpYm8gYSBlc3RhIHRpZW5kYSBwYXJhIHJldGlyYXIgdHVzIGZvdG9zLg==
IYfiAg,,LSBKdW5vIFN0b3JlIE1hbmFnZXI6IENsaWNrIEtpbQ==,,,,,LSBHZXJlbnRlIGRhIGxvamEgZGUgSnVubzogU3IuIENsaWNr,,QWRtaW5pc3RyYWRvciBkZSBsYSB0aWVuZGEgZGUgSnVubzogQ2xpY2sgS2ltJycu
IofiAg,,LSBEaXJlY3Rpb25zOiBOZWFyIEp1bm8gUGxhemEgLQ==,,,,,LSBPcmllbnRhw6fDtWVzOiBQZXJ0byBkYSBwcmHDp2EgZGUgSnVuby4=,,J0PDs21vIGxsZWdhcjogQ2VyY2EgZGUgbGEgcGxhemEgZGUgSnVubycnLg==
I4fiAg,,W3swfV0KQSBwaG90byByZWNlaXB0PwpEb2VzIGhlIGV2ZW4ga25vdyBoZSBkcm9wcGVkIGl0IGhlcmU/,,,,,W3swfV0KUmVjaWJvIGRlIHRyb2NhIGRlIGZvdG9zPwpDb21vIGZvaSBxdWUgZWxlIGRlcnJ1Ym91IGlzc28uLi4/,,W3swfV0Kwr9FbCByZWNpYm8gZGUgdW5hIGZvdG8/CsK/U2FiZSBzaXF1aWVyYSBxdWUgc2UgbGUgY2F5w7MgYXF1w60/
JIfiAg,,W0thcmlhbl0KVGhlIEp1bm8gc3RvcmUsIGh1aC4KU2hhbGwgd2UgZ28gdG8gSnVubywgdGhlbj8=,,,,,W0thcmlhbl0KTG9qYSBkZSBKdW5vLi4uClZhbW9zIHBhcmEgSnVuby4uLg==,,W0thcmlhbl0KTGEgdGllbmRhIGRlIEp1bm8sIGVoLgrCv1ZhbW9zIGEgSnVubywgZW50b25jZXM/
JYfiAg,,TWFuYWdlciBDbGljayBLaW0=,,,,,U3IuIENsaWNr,,QWRtaW5pc3RyYWRvciBDbGljayBLaW0=
JofiAg,,W0NsaWNrIEtpbV0KT2gsIGhvd2R5IQpGcmVlemUgeW9yIHByZWNpb3VzIG11bWVudHMgaW4gdGltZSB3aXRoIHVzIQpXb3VsZCB5ZXIgbGlrZSB0ZXIgdGFrZSBhIHBob3RvPw==,,,,,W1NyLiBDbGlja10KT2l+IHNlamEgYmVtLXZpbmRvfgpQb3NzbyB0aXJhciB1bWEgZm90byBwYXJhIHZvY8OqLgpRdWVyIHRpcmFyIHVtYSBmb3RvPw==,,W0NsaWNrIEtpbV0KwqFIb2xhIQrCoUNvbmdlbGEgZW4gZWwgdGllbXBvIHR1cyBwcmVjaWFkb3MgbW9tZW50b3MgY29uIG5vc290cm9zIQrCv1RlIGd1c3RhcsOtYSB0b21hcnRlIHVuYSBmb3RvPw==
J4fiAg,,W3swfV0KTm8uCkRvIHlvdSByZW1lbWJlciB0aGlzIHJlY2VpcHQgYnkgY2hhbmNlPw==,,,,,W3swfV0KTsOjby4uLgpMZW1icmEtc2UgZGVzc2UgcmVjaWJvPw==,,W3swfV0KTm8uCsK/RGUgY2FzdWFsaWRhZCByZWN1ZXJkYXMgZXN0ZSByZWNpYm8/
KIfiAg,,W0NsaWNrIEtpbV0KTGV0J3Mgc2VlLi4uCk1tLi4u,,,,,W1NyLiBDbGlja10KRGVpeGUtbWUgdmVyfgpIdW1tLi4u,,W0NsaWNrIEtpbV0KVmVhbW9zLi4uCk1tLi4u
KYfiAg,,W0NsaWNrIEtpbV0KV2VsbCwgd2VsbC4KVGhpcyByZWNlaXB0IGxvb2tzIGxpa2UgaXQncyBhdCBsZWFzdCBhIGZldyB5ZWFycyBvbGQu,,,,,W1NyLiBDbGlja10KU2ltLgpFbGUgcGFyZWNlIHNlciBtdWl0byB2ZWxoby4=,,W0NsaWNrIEtpbV0KVmF5YSwgdmF5YS4KRXN0ZSByZWNpYm8gcGFyZWNlIHRlbmVyIGFsIG1lbm9zIHVub3MgYcOxb3MuIA==
KofiAg,,W0NsaWNrIEtpbV0KQnV0IHRoYXQncyBva2F5LgpXZSdyZSB1c2VkIHRlciBoYXZpbicgdHJhdmVsZXJzIGFuZCBhZHZlbnR1cmVycyBub3QgcGlja2luJyB1cCB0aGVpciBwaG90b3MgYXQgb25jZS4=,,,,,W1NyLiBDbGlja10KVHVkbyBiZW0uCk9zIHR1cmlzdGFzIGdlcmFsbWVudGUgbsOjbyByZXRpcmFtIHN1YXMgZm90b3Mu,,W0NsaWNrIEtpbV0KUGVybyBubyBwYXNhIG5hZGEuCkVzdGFtb3MgYWNvc3R1bWJyYWRvcyBhIHF1ZSBsb3MgdmlhamFudGVzIHkgbG9zIHRyb3RhbXVuZG9zIG5vIHJldGlyZW4gc3VzIGZvdG9zLg==
K4fiAg,,W0NsaWNrIEtpbV0KVGhhbmtzIHRlciBmZmVtLCBvdXIgc3RvcmUgaXMgZmlsbGVkIHdpdiBwaG90b3MgYW5kIEknbSBibG9vZHkgd2VsbCBvdXQgJ2VyZS4=,,,,,W1NyLiBDbGlja10KRW50w6NvLCBuw6NvIGjDoSBlc3Bhw6dvIHBhcmEgZ3VhcmRhciBmb3RvcywgbWFzIG7Do28gdGVtIHByb2JsZW1hLg==,,W0NsaWNrIEtpbV0KR3JhY2lhcyBhIGVsbG9zLCBudWVzdHJhIHRpZW5kYSBlc3TDoSByZXBsZXRhIGRlIGZvdG9zIHkgeW8gZXN0b3kgaGFydG8u
LIfiAg,,W0NsaWNrIEtpbV0KVGhlcmUgYXJlIG1vdW50YWlucyBvZiB1bmNsYWltZWQgcGhvdG9zLCByaWdodCwgYnV0IEkgY2FuIGZpbmQgeW9ycyBpbiB0aGVyZSBzb29uLgpJJ3ZlIGV2ZW4gaW5oZXJpdGVkIHNvbWUgb2YgdGhlbSBmcm9tIG1lIGFuY2VzdG9ycywgYXQgbGVhc3QgZml2ZSBnZW5lcmF0aW9ucyBiYWNrLgpTbywgbm90IGEgYmlnIGRlYWwu,,,,,W1NyLiBDbGlja10KUG9zc28gZW5jb250cmFyIGlzc28gbXVpdG8gZmFjaWxtZW50ZS4KRXUgZ3VhcmRvIG11aXRhcyBjb2lzYXMgYW50aWdhcy4KU2VtIHByb2JsZW1hcy4=,,W0NsaWNrIEtpbV0KSGF5IG1vbnRhw7FhcyBkZSBmb3RvcyBzaW4gcmVjbGFtYXIsIGNpZXJ0bywgcGVybyBwdWVkbyBlbmNvbnRyYXIgbGEgdHV5YSBhaMOtIGRlbnRybyBwcm9udG8uCkluY2x1c28gaGVyZWTDqSBhbGd1bmFzIGRlIG1pcyBhbnRlcGFzYWRvcywgZGUgYWwgbWVub3MgY2luY28gZ2VuZXJhY2lvbmVzIGF0csOhcy4KQXPDrSBxdWUgbm8gZXMgcGFyYSB0YW50by4=
LYfiAg,,W0NsaWNrIEtpbV0KKlJ1bW1hZ2UsIFJ1bW1hZ2Uq,,,,,W1NyLiBDbGlja10KcHJvY3VyYW5kbw==,,W0NsaWNrIEtpbV0KKkh1cmdhLCBodXJnYSo=
LofiAg,,W0NsaWNrIEtpbV0KKlBob3RvcyBzbGlkZSBkb3duIGFuZCBmYWxsKg==,,,,,W1NyLiBDbGlja10KKkFzIGZvdG9zIGRlc2xpemFtIGUgY2FlbSou,,W0NsaWNrIEtpbV0KKkxhcyBmb3RvcyBzZSBkZXNsaXphbiB5IGNhZW4q
L4fiAg,,W0NsaWNrIEtpbV0KRm91bmQgaXQhCkEgbW91bnRhaW4gb2YgcGhvdG9zIGluIHRoZSBjb3JuZXIgJ2FzIGNvbGxhcHNlZCwgYnV0IHRoYXQncyBva2F5LgpOb3QgYSBiaWcgZGVhbC4=,,,,,W1NyLiBDbGlja10KQWNobyBxdWUgZW5jb250cmVpIQpBIGZvdG8gZmljb3UgZGFuaWZpY2FkYSwgbWFzIGVzdMOhIGJlbS4KU2VtIHByb2JsZW1hcy4=,,W0NsaWNrIEtpbV0KwqFMYSBlbmNvbnRyw6khClVuYSBtb250YcOxYSBkZSBmb3RvcyBlbiBsYSBlc3F1aW5hIHNlIGRlcnJ1bWLDsywgcGVybyBubyBwYXNhIG5hZGEuCkFzw60gcXVlIG5vIGVzIHBhcmEgdGFudG8u
MIfiAg,,W0NsaWNrIEtpbV0KTm93LCByaWdodCwgcGxlYXNlIHJlbWVtYmVyIHVzIGlmIHllciB3YW50IHRlciB0YWtlIGEgcGhvdG8u,,,,,W1NyLiBDbGlja10KVm9jw6ogcG9kZSBkYXIgdW1hIG9saGFkYS4=,,W0NsaWNrIEtpbV0KUG9yIGZhdm9yLCBhY3XDqXJkYXRlIGRlIG5vc290cm9zIHNpIHF1aWVyZXMgdG9tYXJ0ZSB1bmEgZm90by4=
MYfiAg,,W3swfV0KQSBwaG90byEKV2hhdCBhIHVzZWZ1bCBwaWVjZSBvZiBpbmZvcm1hdGlvbiEKTGV0J3Mgc2VlIHdoYXQncyBpbiBpdC4=,,,,,W3swfV0KQSBmb3RvIQpEZWl4ZS1tZSB2ZXIh,,W3swfV0KwqFVbmEgZm90byEKwqFRdcOpIGluZm9ybWFjacOzbiB0YW4gw7p0aWwhClZlYW1vcyBxdcOpIGhheSBlbiBlbGxhLg==
MofiAg,,W0thcmlhbl0KQ29tZSBvbiwgdGFrZSBpdCBvdXQu,,,,,W0thcmlhbl0KUsOhcGlkby4=,,W0thcmlhbl0KVmFtb3MsIHPDoWNhbGEu
M4fiAg,,W0thcmlhbl0KT29oLCB0aGF0IGxvb2tzIHByZXR0eSBnb29kLg==,,,,,W0thcmlhbl0KT2gsfiBRdWUgZm90byBib2EsIG7Do28gw6k/,,W0thcmlhbl0KT2hoLCBlc28gc2UgdmUgbXV5IGJpZW4u
NIfiAg,,W3swfV0KSSB3YXMgZXhwZWN0aW5nIHRvIHNlZSBNYWVzdHJvIFNvbmcncyBmYWNlLgpIZSdzIHdlYXJpbmcgYSBtYXNrIQpXZSBqdXN0IHdhc3RlZCBvdXIgdGltZSBjb21pbmcgdG8gSnVuby4=,,,,,W3swfV0KRXNwZXJhdmEgdmVyIG8gcm9zdG8gZG8gJ01lbGxvIERpYXMnLCBtYXMgZWxlIGVzdMOhIHVzYW5kbyB1bWEgbcOhc2NhcmEuCkVsZSBlc3TDoSB1c2FuZG8gdW1hIG3DoXNjYXJhPyEKRWxlIHZlaW8gYXF1aSBwYXJhIGlzc28u,,W3swfV0KRXNwZXJhYmEgdmVyIGVsIHJvc3RybyBkZWwgbWFlc3RybyBTb25nLgrCoVRpZW5lIHB1ZXN0YSB1bmEgbcOhc2NhcmEhClBlcmRpbW9zIGVsIHRpZW1wbyBhbCB2ZW5pciBhIEp1bm8u
NYfiAg,,W0thcmlhbl0KQWgsIGxvb2shClNvbWV0aGluZydzIHdyaXR0ZW4gb24gdGhlIGJhY2su,,,,,W0thcmlhbl0KQWghIE9saGUgc8OzIGlzc28hClRlbSBhbGd1bWEgY29pc2Egbm8gdmVyc28gZGEgZm90bz8=,,W0thcmlhbl0KwqFBaCwgbWlyYSEKSGF5IGFsZ28gZXNjcml0byBkZXRyw6FzLg==
