wHguAg,,Tm95ZWU=,,,,,Tm95ZWU=,,Tm95ZWU=
G3kuAg,,W0FhZGluXQpQbGVhc2UgbGVhdmUgZm9yClBheW9uIGFzIHNvb24gYXMKcG9zc2libGUgc28gdGhhdCBJIGNhbiBnZXQgdGhlIGluZm9ybWF0aW9uIHRoYXQgSSBuZWVkIGZvciBteSByZXNlYXJjaC4gVGhhbmsgeW91LCBhbmQgaGF2ZQphIHNhZmUgdHJpcC4=,,,,,W0FhZGluXQpQZWxvIHF1ZSBwYXJlY2UsIApWb2PDqiBhaW5kYSBuw6NvIGZvaSBhIFBheW9uLgpQb3IgZmF2b3IsIHBhcnRhIHBhcmEgUGF5b24gbyBtYWlzIHLDoXBpZG8gcG9zc8OtdmVsLgpGYcOnYSB1bWEgYm9hIHZpYWdlbSE=,,W0FhZGluXQpQb3IgZmF2b3IsIHZlciBhClBheW9uIHRhbiBwcm9udG8gY29tbwpwdWVkYXMgcGFyYSBjb25zZWd1aXIgbGEgaW5mb3JtYWNpw7NuIHF1ZSBuZWNlc2l0byBwYXJhIG1pIGludmVzdGlnYWNpw7NuLiBHcmFjaWFzLCB5IHF1ZSB0ZW5nYXMKdW4gYnVlbiB2aWFqZS4=
HHkuAg,,W0FhZGluXQpBaCwgeW91J3JlIGJhY2suIFNvIGhhdmUgeW91IG1lbW9yaXplZCB0aGUgc3Rvcnk/,,,,,W0FhZGluXQpBaCwgdm9jw6ogdm9sdG91IQpFbnTDo28sIHZvY8OqIG1lbW9yaXpvdSBhIGhpc3TDs3JpYT8=,,W0FhZGluXQpBaCwgdm9sdmlzdGUuIMK/TWVtb3JpemFzdGUgbGEgaGlzdG9yaWE/
HXkuAg,,W0FhZGluXQpJIGtub3cgaXQnZCBiZSBtdWNoIGVhc2llciBpZiB0aGlzIHRhbGUgd2FzIGFscmVhZHkgd3JpdHRlbiwgYnV0IHlvdSBtdXN0IHVuZGVyc3RhbmQgdGhhdCBtYW55IHN0b3JpZXMgcmVnYXJkaW5nIHRoZSBnb2RzIGFyZSBvbmx5IG9yYWxseSB0cmFuc21pdHRlZC4=,,,,,W0FhZGluXQpTaW0sIGV1IHNlaSBxdWUgc2VyaWEgY29udmVuaWVudGUKc2UgZXNzYSBoaXN0w7NyaWEgZm9zc2UgbWFudGlkYSBudW0gbGl2cm8uCk1hcyBwYXJlY2UgcXVlIGVsZXMgdMOqbSBhbGd1bSB0aXBvIGRlIHJlZ3JhIHF1ZSBvcyBpbXBlZGUgZGUgZXNjcmV2ZXIgYSBoaXN0w7NyaWEsIG1hcyBzb21lbnRlIGNvbnRhciDDoHMgcGVzc29hcyB2ZXJiYWxtZW50ZS4=,,W0FhZGluXQpTw6kgcXVlIHNlcsOtYSBtdWNobyBtw6FzIGbDoWNpbCBzaSBlc3RhIGhpc3RvcmlhIHlhIGVzdHV2aWVyYSBlc2NyaXRhLCBwZXJvIGRlYmVzIGNvbXByZW5kZXIgcXVlIG11Y2hhcyBoaXN0b3JpYXMgc29icmUgbG9zIGRpb3NlcyBzb2xvIHNlIHRyYW5zbWl0ZW4gZGUgZm9ybWEgb3JhbC4=
HnkuAg,,W0FhZGluXQpBbHJpZ2h0LApJJ20gbGlzdGVuaW5nLgpQbGVhc2UgbGV0IG1lCmtub3cgd2hhdCB5b3UndmUgbGVhcm5lZC4=,,,,,W0FhZGluXQpPaywgdMO0IHByb250byBwcmEgb3V2aXIuClbDoSBlbSBmcmVudGUuCi4uLi4uLi4=,,W0FhZGluXQpNdXkgYmllbiwKVGUgZXNjdWNoby4KRGltZQpsbyBxdWUgaGFzIGFwcmVuZGlkby4=
H3kuAg,,W0FhZGluXQouLi4KLi4uLi4u,,,,,W0FhZGluXQouLi4KLi4uLi4u,,W0FhZGluXQouLi4KLi4uLi4u
IHkuAg,,W0FhZGluXQouLi4KLi4uLi4uCi4uLi4uLi4uLg==,,,,,W0FhZGluXQouLi4KLi4uLi4uCi4uLi4uLi4uLg==,,W0FhZGluXQouLi4KLi4uLi4uCi4uLi4uLi4uLg==
IXkuAg,,W0FhZGluXQouLi4KLi4uLi4uCi4uLi4uLi4uLgouLi4uLi4uLi4uLi4=,,,,,W0FhZGluXQouLi4KLi4uLi4uCi4uLi4uLi4uLgouLi4uLi4uLi4uLi4=,,W0FhZGluXQouLi4KLi4uLi4uCi4uLi4uLi4uLgouLi4uLi4uLi4uLi4=
InkuAg,,W0FhZGluXQpIbW0sIEkgc2VlLgpGYXNjaW5hdGluZy4KSG93ZXZlciwgSSdtIHN1cmUKeW91J3ZlIG1pc3NlZCBzb21lCmltcG9ydGFudCBkZXRhaWwu,,,,,W0FhZGluXQpIbW0uLi4KRW50ZW5kby4KQWdvcmEgZXUgZW50ZW5kbyBtYWlzIHNvYnJlIGEgcGVuYS4KT2gsIGVzcGVyZS4uLg==,,W0FhZGluXQpNbW0sIGVudGllbmRvLgpGYXNjaW5hbnRlLgpTaW4gZW1iYXJnbywgZXN0b3kgc2VndXJvCmRlIHF1ZSB0ZSBmYWx0YW4gYWxndW5vcwpkZXRhbGxlcyBpbXBvcnRhbnRlcy4=
I3kuAg,,W0FhZGluXQpBcmUgeW91IHN1cmUgeW91J3ZlIGxpc3RlbmVkIHRvIHRoZSB0YWxlIGluIGl0cyBlbnRpcmV0eT8gSSdtIHNvcnJ5IHRvIGFzayB0aGlzIG9mIHlvdSwgYnV0IHdvdWxkIHlvdSBnbyB0byBQYXlvbiBhbmQgbGlzdGVuIHRvIHRoaXMgc3Rvcnkgb25jZSBtb3JlPw==,,,,,W0FhZGluXQpQYXJlY2UgcXVlIHZvY8OqIHBlcmRldSBwYXJ0ZXMgaW1wb3J0YW50ZXMgZGEgaGlzdMOzcmlhIQpFdSBzaW50byBtdWl0byBlbSBsaGUgZGl6ZXIgaXNzbywgbWFzIHZvY8OqIHNlIGltcG9ydGFyaWEgZW0gdm9sdGFyIGF0w6kgUGF5b24KZSBvdXZpciBhIGhpc3TDs3JpYSBkZSBub3ZvPyBFdSBnb3N0YXJpYSBkZSBvdXZpLWxhIG5vdmFtZW50ZS4=,,W0FhZGluXQrCv0RlIHZlcmRhZCBlc2N1Y2hhc3RlIGxhIGhpc3RvcmlhIGVudGVyYT8gU2llbnRvIHBlZMOtcnRlbG8sIHBlcm8gwr9wb2Ryw61hcyBpciBhIFBheW9uIHkgZXNjdWNoYXIgbGEgaGlzdG9yaWEgdW5hIHZleiBtw6FzPw==
JHkuAg,,W0FhZGluXQpNbS4uLj8KWW91IGhhdmVuJ3QgbGVmdApmb3IgUGF5b24geWV0Li4uPwpJIGhvcGUgeW91IGNhbgp0ZWxsIG1lIHRoZSByZXN0Cm9mIHRoZSBzdG9yeSBzb29uLg==,,,,,W0FhZGluXQpWb2PDqiBhaW5kYSBuw6NvIHBhcnRpdSBwYXJhIFBheW9uLgpFc3Blcm8gcXVlIHbDoSBvIG1haXMgcsOhcGlkbyBwb3Nzw612ZWwu,,W0FhZGluXQrCv01tLi4uPwrCv0HDum4gbm8gdGUgZnVpc3RlCmEgUGF5b24uLi4/CkVzcGVybyBxdWUgcHVlZGFzCmNvbnRhcm1lIGVsIHJlc3RvCmRlIGxhIGhpc3RvcmlhIHByb250by4=
JXkuAg,,W0FhZGluXQpJbiB0aGUgbWVhbnRpbWUsIEkgd2lsbCB0cnkgdG8gY29tcGxldGUgYXMgbXVjaCBvZiBteSByZXNlYXJjaAphcyBJIGNhbiB3aXRoIHRoZSBzdG9yeSBkZXRhaWxzIHRoYXQgeW91J3ZlIGFscmVhZHkgYnJvdWdodC4=,,,,,W0FhZGluXQpNZXNtbyBjb20gYSBoaXN0w7NyaWEgcXVlIHZvY8OqIHRyb3V4ZSwgYWNobyBxdWUgcG9zc28KY29tcGxldGFyIGEgbWFpb3IgcGFydGUgZGEgcGVzcXVpc2Eu,,W0FhZGluXQpNaWVudHJhcyB0YW50bywgaW50ZW50YXLDqSBjb21wbGV0YXIgbGEgbWF5b3IgcGFydGUgZGUgbWkgaW52ZXN0aWdhY2nDs24KY29tbyBwdWVkYSBjb24gbG9zIGRldGFsbGVzIGRlIGxhIGhpc3RvcmlhIHF1ZSB5YSBhcG9ydGFzdGUu
JnkuAg,,W0FhZGluXQpBaCwgeW91J3JlIGJhY2suClNvIGhhdmUgeW91Cm1lbW9yaXplZCB0aGUgc3Rvcnk/,,,,,W0FhZGluXQpPaCwgdm9jw6ogdm9sdG91IQpPaywgdMO0IHByb250byBwcmEgb3V2aXIuClbDoSBlbSBmcmVudGUuCi4uLi4uLi4=,,W0FhZGluXQpBaCwgdm9sdmlzdGUuCsK/WSB0w7o/Cm1lbW9yaXphc3RlIGxhIGhpc3RvcmlhPw==
J3kuAg,,W0FhZGluXQpIbW0sIEkgc2VlLgpGYXNjaW5hdGluZy4KeW91J3ZlIG1pc3NlZCBzb21lCmltcG9ydGFudCBkZXRhaWwu,,,,,W0FhZGluXQpIbW0sIFNlaS4uLgpGYXNjaW5hbnRlLgpNYXMgdm9jw6ogZXNxdWVjZXUgYWxndW1hcyBwYXJ0ZXMKaWltcG9ydGFudGVzIGRhIGhpc3TDs3JpYS4=,,W0FhZGluXQpNbW0sIGVudGllbmRvLgpGYXNjaW5hbnRlLgpkZSBxdWUgdGUgZmFsdGFuIGFsZ3Vub3MKZGV0YWxsZXMgaW1wb3J0YW50ZXMu
KHkuAg,,V2VsbCwgdW0uLi4=,,,,,Qm9tLCBlcnIuLi4=,,QnVlbm8sIGVtLi4u
KXkuAg,,SW1wb3NzaWJsZSE=,,,,,SW1wb3Nzw612ZWwh,,wqFFcyBpbXBvc2libGUh
KnkuAg,,W0FhZGluXQpIbW0uCk5vLCB3YWl0Li4uClRoYXQgd2FzIHRoZQpjb21wbGV0ZSBzdG9yeS4KTXkgYXBvbG9naWVzfg==,,,,,W0FhZGluXQpIbW0uCk7Do28sIHVtIG1vbWVudG8uLi4KRXN0YSByZWFsbWVudGUgZm9pCmEgaGlzdMOzcmlhIGNvbXBsZXRhLgpNZSBkZXNjdWxwZX4=,,W0FhZGluXQpNbW0uCk5vLCBlc3BlcmEuLi4KRXNhIGZ1ZSBsYQpoaXN0b3JpYSBjb21wbGV0YS4KUGVyZMOzbi4=
K3kuAg,,W0FhZGluXQpBaH4KSSBzdGFuZCBjb3JyZWN0ZWQuClRoYW5rIHlvdSBmb3IgcG9pbnRpbmcKb3V0IG15IGVycm9yIGluIGp1ZGdtZW50Lg==,,,,,W0FhZGluXQpBaH4KUXVlciBkaXplci4uLi4KTWUgZGVzY3VscGUuIFJlYWxtZW50ZQplc3TDoSB0dWRvIGNlcnRvLg==,,W0FhZGluXQpBaC4KTWUgZXF1aXZvcXXDqS4KR3JhY2lhcyBwb3Igc2XDsWFsYXIKbWkgZXJyb3IgZGUganVpY2lvLg==
LHkuAg,,W0FhZGluXQpZZXMsIGl0IHNlZW1zIHRoYXQgdGhlIHN0b3J5IHlvdSd2ZSBqdXN0IHRvbGQgbWUgc2hvdWxkIGJlIGF1dGhlbnRpYy4gT2YgY291cnNlLCBpdCdzIHVuZGVyc3RhbmRhYmxlIGlmIGxpdHRsZSBjaGFuZ2VzIGFyZSBtYWRlLCBkZXBlbmRpbmcgb24gdGhlIHN0b3J5dGVsbGVyLg==,,,,,W0FhZGluXQpIbW0uLi4gZW50ZW5kby4KUGFyZWNlIHF1ZSBhIHN1YSBoaXN0w7NyaWEgw6kgdMOjbyBleGF0YSBxdWFudG8gYSBvcmlnaW5hbC4Kw4kgY29tcHJlZW5zw612ZWwgcXVlIGEgaGlzdMOzcmlhIHNlamEgbXVkYWRhIHBlbGEgcGVzc29hIHF1ZSBhIGVzdMOhIGNvbnRhbmRvLCBqw6EgcXVlIGVsYSBlc3TDoSBzZW5kbyBtYW50aWRhIG5vIGJvY2EgYSBib2NhLg==,,W0FhZGluXQpTw60sIHBhcmVjZSBxdWUgbGEgaGlzdG9yaWEgcXVlIG1lIGFjYWJhcyBkZSBjb250YXIgZGViZSBzZXIgYXV0w6ludGljYS4gUG9yIHN1cHVlc3RvLCBlcyBjb21wcmVuc2libGUgcXVlIHNlIGhhZ2FuIHBlcXVlw7FvcyBjYW1iaW9zLCBzZWfDum4gZGVsIG5hcnJhZG9yLg==
LXkuAg,,W0FhZGluXQpTdXJlbHksIEknbGwgYmUgYWJsZSB0byBhbnN3ZXIgc29tZSBvZiBteSBtb3N0IGltcG9ydGFudCBxdWVzdGlvbnMgd2l0aCB0aGUgaW5mb3JtYXRpb24geW91J3ZlIGJyb3VnaHQgdG8gbWUsIHRob3VnaCBpdCBzdGlsbCB3b24ndCBiZSBlYXN5Lg==,,,,,W0FhZGluXQpTaW0sIGEgbWFpb3JpYSBkYXMgbWluaGFzIHF1ZXN0w7VlcyBmaW5hbG1lbnRlIGVuY29udHJvdSByZXNwb3N0YXMu,,W0FhZGluXQpTZWd1cmFtZW50ZSBwb2Ryw6kgcmVzcG9uZGVyIGFsZ3VuYXMgZGUgbGFzIHByZWd1bnRhcyBtw6FzIGltcG9ydGFudGVzIGNvbiBsYSBpbmZvcm1hY2nDs24gcXVlIG1lIGhhcyB0cmHDrWRvLCBhdW5xdWUgc2VndWlyw6Egc2llbmRvIGRpZsOtY2lsLg==
LnkuAg,,W0FhZGluXQpBZnRlciBhbGwsIGZpbmRpbmcgYW5zd2VycyB0ZW5kcyB0byBjYXVzZSBuZXcgcXVlc3Rpb25zIHRvIGFyaXNlLiBOb25ldGhlbGVzcywgSSB0aGFuayB5b3UgZm9yIHlvdXIgaGVscC4=,,,,,W0FhZGluXQpBbyBtZXNtbyB0ZW1wbywgYSBoaXN0w7NyaWEgbWUgZGV1IG5vdmFzIHBlcmd1bnRhcy4KSG1tbS4uLiBpc3NvIG7Do28gw6kgbmFkYSBmw6FjaWwuCk1lc21vIGFzc2ltLCBvYnJpZ2FkbyBwZWxhIGFqdWRhLg==,,W0FhZGluXQpBbCBmaW4geSBhbCBjYWJvLCBjdWFuZG8gZW5jdWVudHJhcyByZXNwdWVzdGFzLCBzdWVsZW4gc3VyZ2lyIG51ZXZhcyBwcmVndW50YXMuIE5vIG9ic3RhbnRlLCB0ZSBhZ3JhZGV6Y28gbGEgYXl1ZGEu
L3kuAg,,W0FhZGluXQpTb21ldGltZXMsIGRpZmZlcmVudCB2ZXJzaW9ucyBvZiB0aGUgc2FtZSBteXRoIG9yIGxlZ2VuZCBhcmlzZS4=,,,,,W0FhZGluXQpIbW1tLi4uLgrDgHMgdmV6ZXMsIHVtYSBsZW5kYSBvdSB1bSBtaXRvCmNvbnTDqW0gZHVhcyBoaXN0w7NyaWFzIGRpZmVyZW50ZXMgcXVlIHPDo28gdG90YWxtZW50ZSBjb25mbGl0YW50ZXMu,,W0FhZGluXQpBIHZlY2VzLCBzdXJnZW4gZGlmZXJlbnRlcyB2ZXJzaW9uZXMgZGUgdW4gbWlzbW8gbWl0byBvIGxleWVuZGEu
MHkuAg,,W0FhZGluXQpBbHRob3VnaCBteXRocywgYXMgdGhleSBjaGFuZ2Ugd2l0aCB0aW1lLCBtYXkgY29uZmxpY3Qgd2l0aCBlYWNoIG90aGVyLCB0aGUgZnVuZGFtZW50YWwgYmFzaXMgb2YgdGhlc2Ugc3RvcmllcyBpcyB3aGF0IG1ha2VzIHRoZW0gdGltZWxlc3Mu,,,,,W0FhZGluXQpWb2PDqiBwb2RlIGFjaGFyIG8gbW90aXZvIGFvIGVuY29udHJhciBhIG9yaWdlbSBkYXMgaGlzdMOzcmlhcy4=,,W0FhZGluXQpBdW5xdWUgbG9zIG1pdG9zLCBhbCBjYW1iaWFyIGNvbiBlbCB0aWVtcG8sIHB1ZWRlbiBlbnRyYXIgZW4gY29uZmxpY3RvIGVudHJlIHPDrSwgbGEgYmFzZSBmdW5kYW1lbnRhbCBkZSBlc3RhcyBoaXN0b3JpYXMgZXMgbG8gcXVlIGxhcyBoYWNlIGF0ZW1wb3JhbGVzLg==
MXkuAg,,W0t1cmR0XQpBaCwgeW91IG11c3QgYmUKdGhlIG5ldyBhc3Npc3RhbnQuClBsZWFzZWQgdG8gbWVldCB5b3Uu,,,,,W0t1cmR0XQpBaCwgdm9jw6ogZGV2ZSBzZXIgbyBub3ZvIGFzc2lzdGVudGUuCsOJIHVtIHByYXplciBjb25oZWPDqi1sby4=,,W0t1cmR0XQpBaCwgdMO6IGRlYmVzIHNlcgplbCBudWV2byBhc2lzdGVudGUuCkVuY2FudGFkbyBkZSBjb25vY2VydGUu
MnkuAg,,W0t1cmR0XQpJbiBhbGwgaG9uZXN0eSwgSSB3YXMgZXhwZWN0aW5nIHNvbWVvbmUgd2l0aCBhIGJpdCBtb3JlIGV4cGVyaWVuY2UgaW4gdGhlIGZpZWxkIG9mIHJlc2VhcmNoLCBidXQgaXQncyB1bmRlcnN0YW5kYWJsZS4=,,,,,W0t1cmR0XQpFdSBlc3RhdmEgZXNwZXJhbmRvIHVtIGFzc2lzdGVudGUgcHJvZmlzc2lvbmFsCm1hcyDDqSBjb21wcmVlbnPDrXZlbCwgasOhIHF1ZSBhIHNpdHVhw6fDo28gbsOjbyBub3MgcGVybWl0ZS4=,,W0t1cmR0XQpTaW5jZXJhbWVudGUsIGVzcGVyYWJhIGEgYWxndWllbiBjb24gdW4gcG9jbyBtw6FzIGRlIGV4cGVyaWVuY2lhIGVuIGVsIGNhbXBvIGRlIGxhIGludmVzdGlnYWNpw7NuLCBwZXJvIGVzIGNvbXByZW5zaWJsZS4=
M3kuAg,,W0t1cmR0XQpBZnRlciBhbGwsIHdlJ3JlIG5vdCBpbiB0aGUgcG9zaXRpb24gdG8gZXhwZWN0IHByb2Zlc3Npb25hbCBhc3Npc3RhbmNlLiBJbiBhbnkgY2FzZSwgSSBiZWxpZXZlIHlvdSdsbCBicmluZyBhIG5ldyBwZXJzcGVjdGl2ZSB0byBvdXIgd29yay4=,,,,,W0t1cmR0XQpBbMOpbSBkaXNzbywgw6BzIHZlemVzLCBwZXNzb2FzIGNvbXVucwp0cmF6ZW0gbWVsaG9yZXMgcmVzdWx0YWRvcyBkbyBxdWUgYXNzaXN0ZW50ZXMgcHJvZmlzc2lvbmFpcy4KRW50w6NvLCBlc3Blcm8gcXVlIGZvcm1lbW9zIHVtYSBib2EgZXF1aXBlIGp1bnRvcy4=,,W0t1cmR0XQpEZXNwdcOpcyBkZSB0b2RvLCBubyBlc3RhbW9zIGVuIHBvc2ljacOzbiBkZSBlc3BlcmFyIGFzaXN0ZW5jaWEgcHJvZmVzaW9uYWwuIEVuIGN1YWxxdWllciBjYXNvLCBjcmVvIHF1ZSBsZSBhcG9ydGFyw6FzIHVuYSBudWV2YSBwZXJzcGVjdGl2YSBhIG51ZXN0cm8gdHJhYmFqby4=
NHkuAg,,W0t1cmR0XQpJJ3ZlIGFsbW9zdCBjb21wbGV0ZWQgbXkgcHJvamVjdCBhbmQgZG9uJ3QgbmVlZCB0b28gbXVjaCBpbiB0aGUgd2F5IG9mIG1hbnBvd2VyLiBIb3dldmVyLCB0aGUgbGFzdCB0YXNrIEkgbmVlZCBmaW5pc2hlZCBpcyBkaWZmaWN1bHQu,,,,,W0t1cmR0XQpEZSBmYXRvLCB0w7QgcXVhc2Ugbm8gZmltIGRhIHBlc3F1aXNhLApwb3IgaXNzbyBuw6NvIHByZWNpc28gZGUgbXVpdGEgYWp1ZGEuLi4=,,W0t1cmR0XQpZYSBjYXNpIHRlcm1pbm8gY29uIG1pIHByb3llY3RvLCBhc8OtIHF1ZSBubyBuZWNlc2l0byBkZW1hc2lhZGEgYXl1ZGEuIFNpbiBlbWJhcmdvLCBsYSDDumx0aW1hIHRhcmVhIHF1ZSBuZWNlc2l0byB0ZXJtaW5hciBlcyBkaWbDrWNpbC4=
NXkuAg,,W0t1cmR0XQpJIHdhcyB0aGlua2luZyBvZiB1c2luZyBteSBvd24gZnVuZHMgdG8gaGlyZSBhbiBvdXRzaWRlIGFnZW5jeSwgYnV0IHRoZXJlJ3Mgbm8gbmVlZCB0byBkbyB0aGF0IG5vdyB0aGF0IHlvdSdyZSBoZXJlfg==,,,,,W0t1cmR0XQpFbnRyZXRhbnRvLCBhIMO6bHRpbWEgY29pc2EgcXVlIHRlbmhvIGRlIGZhemVyIMOpIGJlbSBkaWbDrWNpbCBkZSBzZXIgZmVpdGEgc296aW5oYS4uLiBldSB0YXZhIHBlbnNhbmRvIGVtIGNvbnRyYXRhciB1bWEgYWfDqm5jaWEgZGUgZm9yYS4=,,W0t1cmR0XQpFc3RhYmEgcGVuc2FuZG8gZW4gdXNhciBtaXMgcHJvcGlvcyBmb25kb3MgcGFyYSBjb250cmF0YXIgdW5hIGFnZW5jaWEgZXh0ZXJuYSwgcGVybyBubyBoYXkgbmVjZXNpZGFkIGRlIGhhY2VybG8gYWhvcmEgcXVlIGVzdMOhcyBhcXXDrS4=
NnkuAg,,W0t1cmR0XQpXaGF0IEknZCBsaWtlIHRvIGFzayB5b3UgdG8gZG8gaXMgdG8gZ2F0aGVyIG1hdGVyaWFscyBzbyB0aGF0IEkgY2FuIGNyZWF0ZSB0aGUgJ1NwaXJpdCBvZiBGaXNoLic=,,,,,W0t1cmR0XQpNYXMsIGV1IG7Do28gcHJlY2lzbyBmYXplciBpc3NvIGFnb3JhLCBqw6EgcXVlIHZvY8OqIGVzdMOhIGFxdWkuCk8gcXVlIGV1IHByZWNpc28gYWdvcmEgc8OjbyBtYXRlcmlhaXMgcGFyYSByZXByb2R1emlyCkjDoWxpdG8gZGUgUGVpeGUnLg==,,W0t1cmR0XQpMbyBxdWUgcXVpZXJvIHBlZGlydGUgZXMgcXVlIHJlw7puYXMgbG9zIG1hdGVyaWFsZXMgcXVlIG1lIHBlcm1pdGFuIGNyZWFyIGVsIEVzcMOtcml0dSBkZWwgcGV6Lg==
N3kuAg,,W0t1cmR0XQpJJ20gbm90IHN1cmUgaWYgSSBjYW4gYWN0dWFsbHkgcHJvZHVjZSBpdCBvciBub3QsIGJ1dCB3ZSBjYW4gYXQgbGVhc3QgZ2l2ZSB0aGlzIGV4cGVyaW1lbnQgYSB0cnku,,,,,W0t1cmR0XQpFdSBuw6NvIHRlbmhvIGNlcnRlemEgc2UgcmVhbG1lbnRlIHBvc3NvIGZhemVyIGlzc28uCk1hcyBuw7NzIHBvZGVtb3MgcGVsbyBtZW5vcyB0ZW50YXIu,,W0t1cmR0XQpObyBzw6kgY29uIHByZWNpc2nDs24gc2kgcG9kcsOpIGNyZWFybG8gbyBubywgcGVybyBhbCBtZW5vcyBwb2RlbW9zIGludGVudGFybG8u
OHkuAg,,W0t1cmR0XQpCYXNpY2FsbHksIHlvdSBhbmQgY29sbGVjdCB0aGluZ3MgbGlrZSAnRmlzaCBTY2FsZXMnIG9yIEZpc2ggVGFpbHMsJyBiYXNpY2FsbHkgYW55dGhpbmcgeW91IGNhbiBvYnRhaW4gZnJvbSBtYXJpbmUgbGlmZS4=,,,,,W0t1cmR0XQpCYXNpY2FtZW50ZSwgdm9jw6ogcG9kZSBpciBlIHJldW5pciBjb2lzYXMgY29tbwonRXNjYW1hcyBkZSBQZWl4ZScgb3UgJ0NhdWRhcyBkZSBQZWl4ZScKb3UgcXVhbHF1ZXIgY29pc2EgcXVlIHZvY8OqIHBvc3NhIG9idGVyIGRlIHVtYSB2aWRhIG1hcmluaGEu,,W0t1cmR0XQpCw6FzaWNhbWVudGUsIGRlYmVzIHJlY29sZWN0YXIgY29zYXMgY29tbyBFc2NhbWFzIGRlIHBleiBvIENvbGFzIGRlIHBlc2NhZG8uIEVzIGRlY2lyLCBjdWFscXVpZXIgY29zYSBxdWUgcHVlZGFzIG9idGVuZXIgZGUgbGEgdmlkYSBtYXJpbmEu
OXkuAg,,W0t1cmR0XQpJIGRvbid0IG5lZWQgYQpyaWRpY3Vsb3VzIGFtb3VudCBvZiBvbmUKa2luZCBvZiBtYXRlcmlhbCwgSSdkIHNheSBhYm91dCAxMCBvZiBvbmUga2luZCBvZiBlYWNoIGl0ZW0gc2hvdWxkIHdvcmsuIEdpdmUgb3IgdGFrZSA1Li4u,,,,,W0t1cmR0XQpFdSBuw6NvIHByZWNpc28gZGUgbXVpdG8sIHPDsyB1bnMgZGV6IGRlIGNhZGEu,,W0t1cmR0XQpObyBuZWNlc2l0byB1bmEKY2FudGlkYWQgcmlkw61jdWxhIGRlIGNhZGEKdGlwbyBkZSBtYXRlcmlhbCwgcGVybyBkaXLDrWEgcXVlIHVuYXMgMTAgdW5pZGFkZXMgZGUgY2FkYSB0aXBvIGRlIG9iamV0byBkZWJlcsOtYW4gYmFzdGFyLiBNw6FzIG8gbWVub3MgNS4uLg==
OnkuAg,,W0t1cmR0XQpJIHNob3VsZCBtZW50aW9uIHRoYXQgSSBhbHNvIHJlcXVpcmUgYSBnb29kIHZhcmlldHkgb2YgbWFyaW5lIHJlbGF0ZWQgbWF0ZXJpYWxzLiBZb3UgY2FuJ3QgY29uZHVjdCBhbiBleHBlcmltZW50IHdpdGhvdXQgZGlmZmVyZW50IG9iamVjdHMgdG8gdGVzdCwgcmlnaHQ/,,,,,W0t1cmR0XQpEZXZvIG1lbmNpb25hciBxdWUgdGFtYsOpbSBwcmVjaXNvIGRlIHVtYSBib2EgdmFyaWVkYWRlIGRlIG1hdGVyaWFpcyByZWxhY2lvbmFkb3Mgw6AgbWFyaW5oYS4gTsOjbyDDqSBwb3Nzw612ZWwgcmVhbGl6YXIgdW0gZXhwZXJpbWVudG8gc2VtIG9iamV0b3MgZGlmZXJlbnRlcyBwYXJhIHRlc3RhciwgY2VydG8/,,W0t1cmR0XQpEZWJvIG1lbmNpb25hciBxdWUgdGFtYmnDqW4gbmVjZXNpdG8gdW5hIGJ1ZW5hIHZhcmllZGFkIGRlIG1hdGVyaWFsZXMgbWFyaW5vcy4gTm8gc2UgcHVlZGUgaGFjZXIgdW4gZXhwZXJpbWVudG8gc2luIGRpZmVyZW50ZXMgb2JqZXRvcyBwYXJhIHByb2Jhciwgwr9ubz8=
O3kuAg,,W0t1cmR0XQpBbnl3YXksIEkgaG9wZSB5b3UgZG9uJ3QgcnVuIGludG8gdG9vIG11Y2ggdHJvdWJsZSBmaW5kaW5nIHdoYXQgSSBuZWVkIGZvciB0aGlzIGV4cGVyaW1lbnQuIEdvb2QgbHVja34=,,,,,W0t1cmR0XQpFc3Blcm8gcXVlIG7Do28gc2VqYSBtdWl0byBkaWbDrWNpbCBhY2jDoS1sb3MuCk9icmlnYWRhIHBvciBzZSBwcmVvY3VwYXIgZSBmYcOnYSB1bWEgYm9hIHZpYWdlbSE=,,W0t1cmR0XQpFbiBmaW4sIGVzcGVybyBxdWUgbm8gdGVuZ2FzIG11Y2hvcyBwcm9ibGVtYXMgcGFyYSBlbmNvbnRyYXIgbG8gcXVlIG5lY2VzaXRvIHBhcmEgZXN0ZSBleHBlcmltZW50by4gQnVlbmEgc3VlcnRlLg==
PHkuAg,,W0t1cmR0XQpBaCwgeW91J3ZlIHJldHVybmVkLgpPa2F5LCBsZXQgbWUgY2hlY2sKd2hhdCB5b3UgYnJvdWdodCB0byBtZS4gSG1tLi4u,,,,,W0t1cmR0XQpBaCwgdm9jw6ogdm9sdG91IQpEZWl4ZS1tZSB2ZXIgbyBxdWUgdm9jw6ogdHJvdXhlLgpIbW1tLi4uLgouLi4uLi4uLi4=,,W0t1cmR0XQpBaCwgaGFzIHZ1ZWx0by4KVmFsZSwgZMOpamFtZSBjb21wcm9iYXIKbG8gcXVlIG1lIHRyYWppc3RlLiBNbW0uLi4=
